lga_name_2016,lga_code_2016,p_othserv_0,p_othserv_1_15,p_othserv_16_24,p_othserv_25_34,p_othserv_35_39,p_othserv_40,p_othserv_41_48,p_othserv_49over,p_othserv_hours_ns,p_othserv_tot,p_id_ns_0,p_id_ns_1_15,p_id_ns_16_24,p_id_ns_25_34,p_id_ns_35_39,p_id_ns_40,p_id_ns_41_48,p_id_ns_49over,p_id_ns_hours_ns,p_id_ns_tot,p_tot_0,p_tot_1_15,p_tot_16_24,p_tot_25_34,p_tot_35_39,p_tot_40,p_tot_41_48,p_tot_49over,p_tot_hours_ns,p_tot_tot
Albury (C),10050,18,114,108,106,186,172,95,137,12,935,25,96,63,59,142,127,49,107,170,838,838,2768,2344,2972,4362,3897,2275,3062,388,22907
Armidale Regional (A),10130,15,59,35,36,91,55,49,53,9,401,18,40,22,28,43,40,23,46,79,340,501,1738,1253,1474,2529,1726,968,1899,240,12327
Ballina (A),10250,22,76,73,78,121,106,45,82,9,614,20,81,68,68,91,75,20,62,169,654,595,2330,2164,2647,3265,2581,1232,2308,342,17463
Balranald (A),10300,0,0,0,4,4,9,4,8,0,21,3,11,4,4,11,6,0,10,20,57,29,84,99,118,161,173,64,225,31,982
Bathurst Regional (A),10470,17,92,59,65,142,114,64,117,8,677,42,72,39,53,104,83,34,83,143,649,730,2218,1749,1949,3746,3075,1585,2762,354,18165
Bega Valley (A),10550,17,59,55,52,85,75,40,72,4,461,17,60,44,43,59,48,23,64,125,476,628,1894,1493,1915,2269,1871,1027,1793,271,13153
Bellingen (A),10600,7,26,22,27,28,20,23,26,3,161,12,29,29,17,19,23,8,11,37,181,201,745,641,821,774,622,322,661,101,4890
Berrigan (A),10650,3,17,11,8,22,17,12,42,0,148,13,18,7,16,19,19,11,9,46,150,173,404,323,403,443,487,279,685,89,3282
Blacktown (C),10750,115,528,501,481,1317,1146,527,703,64,5381,185,587,609,607,1937,1753,517,766,1854,8820,4142,13247,13582,14466,39287,33798,12694,16630,3625,151468
Bland (A),10800,0,16,7,11,30,18,11,21,0,105,3,3,4,9,6,10,3,16,43,105,87,283,217,260,329,386,187,711,79,2541
Blayney (A),10850,3,17,11,16,30,19,23,27,0,140,9,15,5,5,22,19,7,12,27,132,128,374,317,350,477,482,317,714,68,3222
Blue Mountains (C),10900,38,168,135,162,196,202,110,177,15,1194,47,154,98,95,183,235,74,159,176,1229,1246,4651,4257,4240,6161,6165,3349,5322,476,35860
Bogan (A),10950,0,0,5,3,3,5,4,5,0,33,5,3,7,4,3,9,3,3,15,42,25,106,97,116,160,168,116,346,33,1173
Botany Bay (C),11100,13,88,90,85,172,200,73,116,16,857,25,85,84,83,178,225,57,117,227,1074,676,1983,2359,2138,4801,5243,2163,3109,486,22963
Bourke (A),11150,0,4,0,8,5,5,0,10,0,33,4,4,8,3,5,5,0,8,14,48,23,67,63,103,222,195,84,224,22,1000
Brewarrina (A),11200,0,0,3,0,7,7,0,0,0,11,0,0,0,3,0,0,0,0,13,22,17,20,28,61,93,78,29,151,23,498
Broken Hill (C),11250,14,41,31,41,62,51,27,29,3,294,11,24,10,16,33,25,20,31,74,251,324,770,587,816,1433,1085,561,1145,164,6902
Hilltops (A),13910,11,47,25,24,66,47,25,44,3,291,8,47,30,28,39,44,16,35,87,342,270,878,759,909,1290,1178,645,1439,187,7563
Hornsby (A),14000,55,309,267,235,417,454,230,346,30,2348,70,304,249,208,424,580,185,319,454,2789,2006,8489,7554,6849,12144,15788,6678,10312,977,70798
Hunters Hill (A),14100,0,23,34,26,28,34,21,34,0,194,9,26,18,17,34,60,22,48,43,275,213,741,624,596,678,1272,548,1470,92,6240
Inner West (A),14170,80,350,310,346,629,618,321,408,36,3107,82,326,382,291,503,786,287,521,740,3917,2877,8232,9775,9378,17429,21791,11200,17394,1494,99575
Inverell (A),14200,3,22,21,21,67,49,18,35,4,238,16,20,13,16,40,34,11,27,89,268,227,732,592,856,1297,924,513,1060,190,6393
Junee (A),14300,0,8,3,4,18,13,12,13,0,78,4,8,4,3,22,12,4,5,17,82,91,243,198,242,475,417,200,401,44,2318
Kempsey (A),14350,13,50,41,29,70,48,28,42,4,332,19,36,23,35,48,28,18,39,143,402,451,1250,1198,1364,1777,1247,682,1169,322,9463
Kiama (A),14400,8,39,32,24,54,52,25,50,3,293,21,52,25,17,18,48,22,45,54,305,416,1313,1159,1073,1503,1600,874,1410,132,9488
Ku-ring-gai (A),14500,33,267,211,156,166,277,139,244,12,1503,56,269,200,167,242,491,139,374,347,2272,1439,7536,5910,5037,6729,11271,5238,11062,696,54920
Kyogle (A),14550,3,10,14,11,15,24,8,12,3,94,6,21,10,3,14,28,3,26,49,161,119,426,382,454,487,482,217,589,83,3239
Lachlan (A),14600,0,9,5,4,6,26,7,17,0,70,5,6,13,10,8,19,9,23,40,139,104,231,205,277,242,458,205,663,91,2472
Lake Macquarie (C),14650,108,473,363,378,752,698,398,471,19,3668,112,282,214,241,527,564,176,349,602,3064,3228,10502,9690,10281,16269,15588,7690,10688,1318,85264
Lane Cove (A),14700,10,77,58,60,95,100,44,92,7,546,23,71,56,47,109,174,64,128,119,777,549,1794,1787,1624,2832,4385,2106,3970,245,19292
Leeton (A),14750,4,17,8,19,35,25,23,26,0,152,7,22,7,13,20,51,18,16,51,209,179,475,352,471,894,986,463,772,115,4705
Lismore (C),14850,18,96,67,80,144,126,76,98,4,714,27,78,60,58,91,95,32,58,153,653,595,2492,2065,2780,3692,2665,1322,2218,341,18168
Lithgow (C),14870,5,38,31,36,62,54,28,40,4,303,11,27,27,27,56,65,6,34,70,322,326,916,838,920,1584,1333,652,1061,167,7798
Liverpool (C),14900,67,367,324,300,726,686,280,393,58,3197,134,447,362,383,1152,1049,301,401,1207,5438,2296,7940,7537,8082,20021,18762,6915,10062,2289,83905
Liverpool Plains (A),14920,0,20,9,15,30,17,4,11,0,101,10,19,8,11,19,19,9,17,44,149,113,305,258,373,499,457,264,648,83,3013
