LGA_MAIN11,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU_15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
57080,0,283,330,31,18,14,6,0,0,682,0,124,373,174,144,174,113,82,28,1212,6,33,53,13,7,18,8,4,3,145,293,998,2077,685,628,640,334,145,41,5841,0,83,1165,670,623,714,408,129,23,3815,0,327,1071,227,170,106,32,10,0,1943,0,3,20,59,67,48,12,3,3,215,628,0,0,0,0,0,0,0,0,628,0,174,0,0,0,0,0,0,0,174,0,110,75,20,6,3,0,0,0,214,0,201,137,11,5,12,7,6,3,382,0,79,92,6,3,0,0,0,0,180,0,588,816,105,52,42,17,4,0,1624,0,257,912,551,446,449,241,136,47,3039,19,69,106,44,23,32,21,4,3,321,647,1891,4394,1693,1395,1406,738,292,79,12535,Perth (C)
57140,0,0,0,0,3,3,0,0,0,6,0,3,0,3,5,12,9,7,10,49,3,4,3,0,3,3,0,3,0,19,104,42,51,64,73,78,66,27,13,518,0,3,29,79,76,107,87,41,3,425,0,18,33,17,21,8,4,0,0,101,0,3,9,13,11,6,5,3,3,53,228,0,0,0,0,0,0,0,0,228,0,11,0,0,0,0,0,0,0,11,0,27,8,4,4,0,0,0,0,43,0,0,0,0,0,3,6,0,0,9,0,6,0,0,0,0,3,3,0,12,0,0,3,0,6,6,3,0,0,18,0,6,0,9,20,25,23,15,16,114,6,7,12,3,14,6,0,3,0,51,234,81,94,125,152,161,131,65,22,1065,Pingelly (S)
57210,0,7,0,6,3,4,3,0,0,23,0,4,11,14,38,40,50,43,16,216,15,11,9,3,14,19,10,0,0,81,440,208,222,300,363,318,218,100,33,2202,0,24,163,318,430,447,313,102,27,1824,0,46,104,92,64,58,14,0,0,378,0,12,34,56,53,17,7,9,3,191,885,0,0,0,0,0,0,0,0,885,0,146,0,0,0,0,0,0,0,146,0,128,39,12,13,4,3,0,0,199,0,27,3,9,3,10,10,7,7,76,0,16,3,6,10,0,4,0,0,39,0,21,5,9,14,7,3,0,0,59,0,18,20,45,98,81,82,67,20,431,23,26,17,13,25,32,19,4,0,159,908,464,388,560,710,656,455,189,57,4387,Plantagenet (S)
57280,0,44,49,15,13,11,3,0,0,135,0,30,41,32,47,37,14,7,3,211,56,48,58,22,28,20,3,3,0,238,1232,755,1080,820,656,332,73,21,6,4975,0,64,842,994,773,423,72,9,3,3180,0,339,584,359,231,92,6,0,0,1611,0,30,68,94,81,36,19,4,0,332,2451,0,0,0,0,0,0,0,0,2451,0,233,0,0,0,0,0,0,0,233,0,384,106,29,11,6,0,0,0,536,0,125,75,44,46,27,24,4,3,348,0,86,72,21,24,14,3,0,0,220,0,111,134,81,53,51,12,0,0,442,0,67,158,140,172,126,54,18,6,741,90,97,123,83,78,40,7,6,0,524,2541,1536,2162,1845,1469,815,197,41,12,10618,Port Hedland (T)
57350,0,0,0,3,3,3,0,0,3,12,0,0,5,4,5,9,16,19,3,61,3,3,3,0,0,3,3,3,3,21,104,23,47,62,89,68,56,41,12,502,0,0,28,68,112,93,82,35,6,424,0,7,15,17,16,12,0,0,0,67,0,3,10,12,5,4,0,0,0,34,196,0,0,0,0,0,0,0,0,196,0,5,0,0,0,0,0,0,0,5,0,21,6,3,0,0,0,0,0,30,0,3,0,3,6,6,6,0,0,24,0,0,3,3,0,0,0,0,0,6,0,0,0,3,7,3,0,5,3,21,0,3,10,9,19,24,22,23,8,118,6,3,6,0,3,6,6,3,3,36,202,45,78,118,168,148,116,66,20,961,Quairading (S)
60410,0,26,24,9,15,23,11,0,0,108,0,27,50,57,79,127,104,67,14,525,47,46,30,13,24,20,12,4,0,196,1836,989,1081,1095,962,842,407,169,42,7423,0,34,643,1074,1075,1069,530,159,21,4605,0,253,512,408,237,103,28,8,0,1549,0,132,300,289,193,89,34,26,15,1078,3703,0,0,0,0,0,0,0,0,3703,0,617,0,0,0,0,0,0,0,617,0,509,191,85,41,21,4,0,0,851,0,80,31,16,36,36,25,17,10,251,0,58,27,16,10,5,4,0,0,120,0,56,49,26,36,44,27,4,0,242,0,54,134,142,192,245,179,88,22,1056,81,94,69,32,42,37,24,9,0,388,3784,1887,1956,2088,1862,1649,855,311,68,14460,Brighton (M)
60610,0,83,36,14,30,17,12,4,0,196,0,69,87,80,165,243,222,264,111,1241,39,55,35,16,16,26,27,14,9,237,1858,1281,1117,1231,1328,1132,777,505,182,9411,0,81,776,1251,1465,1393,1016,440,89,6511,0,365,518,351,255,116,25,10,5,1645,0,86,181,329,230,77,37,38,28,1006,3652,0,0,0,0,0,0,0,0,3652,0,730,0,0,0,0,0,0,0,730,0,650,160,67,65,29,6,0,0,977,0,74,35,17,14,40,29,17,14,240,0,57,22,11,10,4,3,0,0,107,0,174,88,34,48,36,20,15,0,415,0,131,222,241,348,430,355,341,145,2213,72,108,79,42,38,49,42,21,9,460,3724,2456,2081,2343,2473,2174,1533,882,290,17956,Burnie (C)
60810,0,22,23,8,19,37,16,8,3,136,0,31,57,58,159,254,298,304,124,1285,31,51,26,18,30,46,41,25,7,275,1901,1033,985,1355,1644,1406,1038,620,198,10180,0,51,745,1459,2060,1887,1316,591,100,8209,0,220,422,388,298,141,41,11,0,1521,0,52,168,285,239,59,42,44,17,906,3790,0,0,0,0,0,0,0,0,3790,0,823,0,0,0,0,0,0,0,823,0,716,191,89,68,22,3,0,0,1089,0,44,23,13,29,39,25,20,23,216,0,51,13,7,16,8,5,0,0,100,0,68,50,31,44,50,43,19,3,308,0,69,147,182,365,452,439,406,161,2221,72,105,55,50,56,87,72,41,14,552,3862,2199,1814,2504,3175,2745,1986,1132,318,19735,Central Coast (M)
61010,0,0,0,0,6,3,4,0,0,13,0,3,9,3,14,24,23,15,5,96,7,4,8,6,6,7,4,0,0,42,200,75,117,108,157,173,118,36,8,992,0,4,74,141,174,225,149,52,3,822,0,36,65,40,38,34,13,6,0,232,0,9,14,11,19,4,11,6,6,80,378,0,0,0,0,0,0,0,0,378,0,48,0,0,0,0,0,0,0,48,0,37,21,16,6,6,0,0,0,86,0,3,5,0,9,0,8,0,3,28,0,4,0,4,3,0,0,3,0,14,0,6,0,0,12,11,4,0,0,33,0,6,22,19,51,78,61,24,8,269,10,14,12,6,12,16,11,0,0,81,388,167,213,237,324,374,257,91,20,2071,Central Highlands (M)
61210,0,19,11,6,6,10,5,0,0,57,0,22,27,20,52,70,65,78,29,363,9,24,7,3,6,14,5,3,3,74,849,423,435,506,528,471,264,158,56,3690,0,55,336,602,683,660,369,148,33,2886,0,128,231,177,144,57,14,3,0,754,0,21,57,81,68,18,12,13,10,280,1700,0,0,0,0,0,0,0,0,1700,0,265,0,0,0,0,0,0,0,265,0,230,53,29,28,6,0,0,0,346,0,25,16,8,5,9,12,4,9,88,0,16,6,6,3,6,0,0,0,37,0,37,28,9,9,17,9,3,0,112,0,56,79,65,129,150,129,118,41,767,19,44,26,13,14,24,14,6,3,163,1719,877,832,990,1083,947,559,295,96,7398,Circular Head (M)
61410,0,102,92,41,54,50,20,9,3,371,0,73,206,210,357,621,625,677,333,3102,86,154,86,47,58,78,73,44,13,639,4551,2755,2839,3411,3709,3358,2270,1426,555,24874,0,115,1989,3715,4384,4219,2824,1353,312,18911,0,472,1280,983,712,432,131,28,0,4038,0,145,397,661,697,319,128,126,63,2536,9203,0,0,0,0,0,0,0,0,9203,0,2295,0,0,0,0,0,0,0,2295,0,1644,634,273,193,82,5,3,0,2834,0,185,105,46,77,106,86,75,38,718,0,147,78,33,27,16,3,0,7,311,0,221,245,105,105,98,51,19,3,847,0,157,442,523,741,1045,892,898,447,5145,185,286,187,109,116,121,111,71,17,1203,9388,5667,5357,6448,7052,6438,4231,2573,887,48041,Clarence (C)
57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,3,4,6,7,11,4,0,0,43,0,0,0,6,14,8,8,0,0,36,0,3,7,3,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,16,0,0,0,0,0,0,0,0,0,0,12,6,7,9,14,21,14,0,0,83,Sandstone (S)
57700,0,23,15,15,15,12,5,0,0,85,0,12,32,25,56,84,59,41,7,316,22,51,21,10,10,18,9,3,6,150,1965,1136,1000,1379,1227,912,454,179,40,8292,0,79,848,1743,1685,1358,758,229,27,6727,0,237,445,400,292,133,24,6,3,1540,0,37,105,180,134,59,21,16,7,559,4025,0,0,0,0,0,0,0,0,4025,0,762,0,0,0,0,0,0,0,762,0,827,184,63,29,12,6,5,0,1126,0,78,30,20,27,40,37,26,20,278,0,65,34,22,13,8,3,3,0,148,0,45,66,23,30,27,14,0,0,205,0,40,108,91,127,160,105,75,16,722,40,88,47,26,32,37,14,6,6,296,4065,2258,1867,2568,2369,1834,982,366,79,16388,Serpentine-Jarrahdale (S)
57770,0,0,5,3,3,0,0,0,0,11,0,0,0,5,9,12,5,5,3,39,3,3,0,3,5,0,3,0,3,20,59,22,49,56,50,63,31,12,6,348,0,0,35,48,35,79,50,18,4,269,0,17,32,22,24,16,3,0,0,114,0,0,4,12,4,0,0,0,0,20,125,0,0,0,0,0,0,0,0,125,0,7,0,0,0,0,0,0,0,7,0,12,3,3,0,0,0,0,0,18,0,0,0,0,0,7,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,8,6,3,3,3,0,0,23,0,0,6,15,29,28,18,19,3,118,6,3,3,6,5,3,6,3,6,41,131,39,91,115,100,136,80,40,13,745,Shark Bay (S)
57840,0,553,328,58,43,60,38,6,3,1089,0,195,387,272,334,564,437,470,314,2973,36,115,89,39,38,42,23,16,9,407,2675,2942,3023,2502,2595,2362,1253,871,452,18675,0,130,1964,2947,2976,2773,1372,671,173,13006,0,450,1248,518,394,308,96,6,0,3020,0,31,122,292,434,219,67,68,54,1287,5319,0,0,0,0,0,0,0,0,5319,0,1787,0,0,0,0,0,0,0,1787,0,787,473,114,86,54,12,0,0,1526,0,716,278,46,53,43,57,39,29,1261,0,291,149,24,10,13,4,0,3,494,0,1120,843,168,104,119,62,18,6,2440,0,387,833,635,709,957,659,582,398,5160,79,203,173,78,71,73,41,24,9,751,5398,5902,6083,4822,4837,4559,2370,1408,672,36051,South Perth (C)
57910,0,1224,1414,327,253,243,112,54,25,3652,0,417,1608,1393,1488,2333,2305,2380,1263,13187,185,389,373,141,127,160,126,69,33,1603,15319,11828,15489,13364,11741,10369,7218,5089,1932,92349,0,822,10907,15631,13475,11705,8375,4733,1021,66669,0,2107,6185,2848,1700,1009,295,88,20,14252,0,238,881,1897,2342,1182,442,414,221,7617,30892,0,0,0,0,0,0,0,0,30892,0,8754,0,0,0,0,0,0,0,8754,0,4882,2812,947,609,265,36,0,0,9551,0,1717,1233,303,318,399,299,300,154,4723,0,763,776,178,127,76,11,13,0,1944,0,2743,3717,957,654,536,253,111,40,9011,0,886,3519,3266,3369,4036,3450,3160,1595,23281,381,696,786,370,271,240,197,119,42,3102,31273,23608,30816,26397,22865,19448,13358,8938,3093,179796,Stirling (C)
