lga_code_2016,p_85y_ov_no_udw,p_85y_ov_udw_notstated,p_85y_ov_total,p_tot_udw_5_hrs_less,p_tot_udw_5_14_hrs,p_tot_udw_15_29_hrs,p_tot_udw_30_hrs_more,p_tot_no_udw,p_tot_udw_notstated,p_tot_total,lga_name_2016
47490,9,20,56,318,439,247,204,267,183,1660,Streaky Bay (DC)
47630,52,74,198,1202,1388,695,545,912,626,5366,Tatiara (DC)
47700,1067,332,2080,18315,23339,10858,7423,16538,4087,80560,Tea Tree Gully (C)
47800,42,28,112,807,1111,639,542,892,415,4406,The Coorong (DC)
47910,37,34,93,393,550,311,303,418,214,2171,Tumby Bay (DC)
47980,972,179,1637,8021,9569,3929,2207,6168,1839,31733,Unley (C)
48050,337,151,789,2104,3307,2121,1576,2570,1071,12754,Victor Harbor (C)
48130,105,45,200,990,1317,730,702,1202,517,5469,Wakefield (DC)
51960,3,0,6,515,642,253,311,638,429,2782,Coolgardie (S)
52030,8,0,12,146,206,127,135,176,99,891,Coorow (S)
48260,158,34,309,1581,1788,819,505,1288,456,6424,Walkerville (M)
48340,117,94,322,1712,2456,1365,1241,1873,903,9553,Wattle Range (DC)
48410,839,485,2148,11952,13534,5363,3608,11569,3416,49447,West Torrens (C)
48540,193,84,429,3109,4539,2264,1906,4114,1703,17638,Whyalla (C)
48640,14,8,37,199,243,132,115,182,111,971,Wudinna (DC)
48750,61,21,138,722,1188,759,578,772,416,4435,Yankalilla (DC)
48830,217,81,459,1546,2359,1463,1315,2003,836,9530,Yorke Peninsula (DC)
49399,7,11,25,505,626,280,226,782,610,3032,Unincorporated SA
49499,17,0,22,466,435,143,126,850,627,2648,No usual address (SA)
49799,0,0,0,4,0,0,0,3,0,3,Migratory - Offshore - Shipping (SA)
50080,437,215,1046,6002,7981,3950,3420,5455,2997,29805,Albany (C)
50210,341,250,917,13030,16389,7264,6662,13546,4989,61871,Armadale (C)
50250,4,0,7,1585,1683,586,606,4631,2212,11305,Ashburton (S)
50280,82,43,225,2170,3257,1686,1303,1611,1137,11159,Augusta-Margaret River (S)
50350,163,52,334,2846,3540,1429,1103,2530,943,12390,Bassendean (T)
50420,568,415,1484,13244,14514,5644,4195,12274,4602,54483,Bayswater (C)
50490,358,178,817,7424,7995,2965,2367,8390,4150,33294,Belmont (C)
50560,18,11,42,200,329,190,237,315,207,1475,Beverley (S)
50630,3,3,14,265,362,189,206,260,161,1441,Boddington (S)
50770,13,13,36,249,328,187,218,251,150,1377,Boyup Brook (S)
50840,28,16,90,611,1036,611,538,611,424,3838,Bridgetown-Greenbushes (S)
50910,7,23,38,131,177,95,109,171,126,805,Brookton (S)
50980,26,12,56,2789,3279,1213,792,2364,1905,12338,Broome (S)
51080,0,5,11,165,208,104,107,150,136,871,Broomehill-Tambellup (S)
51120,13,3,20,136,142,113,92,181,79,739,Bruce Rock (S)
51190,445,128,875,5172,6855,3165,2723,5595,2869,26383,Bunbury (C)
51260,298,228,851,5805,7977,4105,3432,5039,2852,29211,Busselton (C)
51310,364,103,831,5507,5988,2895,1965,3435,1347,21139,Cambridge (T)
51330,700,222,1549,17677,18756,8106,6593,18555,4651,74339,Canning (C)
51400,35,20,104,2733,3592,1797,1576,2318,951,12970,Capel (S)
51470,3,3,5,85,122,55,53,96,45,452,Carnamah (S)
51540,22,17,69,768,1029,475,323,988,810,4401,Carnarvon (S)
51610,7,0,13,178,293,160,165,149,146,1092,Chapman Valley (S)
51680,6,5,36,753,1181,609,610,783,477,4413,Chittering (S)
51750,199,66,461,2170,2206,1008,698,1600,783,8458,Claremont (T)
51820,591,366,1430,19603,22448,9380,7464,18000,6683,83575,Cockburn (C)
51890,56,47,152,1155,1736,944,993,1467,832,7128,Collie (S)
52100,10,9,30,157,237,115,115,164,122,915,Corrigin (S)
52170,100,36,226,1707,1766,771,525,985,506,6252,Cottesloe (T)
52240,4,8,12,135,213,122,124,182,116,882,Cranbrook (S)
52310,3,5,15,132,181,88,97,103,113,708,Cuballing (S)
52380,0,0,0,21,35,19,7,45,38,166,Cue (S)
52450,7,9,23,263,272,118,131,261,131,1176,Cunderdin (S)
52520,16,3,30,258,254,129,142,223,126,1132,Dalwallinu (S)
52590,13,13,45,463,763,359,330,503,298,2714,Dandaragan (S)
52660,134,52,269,2243,2874,1488,1371,2073,946,11003,Dardanup (S)
52730,28,34,117,816,1392,783,572,702,570,4837,Denmark (S)
52800,22,4,36,1195,1266,604,579,1109,980,5741,Derby-West Kimberley (S)
52870,42,17,108,821,1237,743,681,734,597,4819,Donnybrook-Balingup (S)
52940,3,0,11,108,133,61,88,101,46,529,Dowerin (S)
53010,3,0,7,111,131,58,86,69,92,544,Dumbleyung (S)
53080,3,0,6,77,115,66,70,189,144,659,Dundas (S)
53150,43,67,170,1591,1746,769,569,872,486,6027,East Fremantle (T)
53220,0,0,3,1470,1807,537,409,2742,2017,8980,East Pilbara (S)
53290,124,43,253,2260,2725,1368,1197,2089,1667,11303,Esperance (S)
53360,0,5,11,462,618,273,210,335,257,2165,Exmouth (S)
53430,292,181,731,6142,7030,2815,1771,4442,2602,24792,Fremantle (C)
53570,21,19,70,674,1015,574,638,889,534,4331,Gingin (S)
53640,5,3,9,198,220,100,128,193,135,971,Gnowangerup (S)
54280,77,36,153,4996,5855,2313,2075,5008,2913,23159,Kalgoorlie/Boulder (C)
54310,11,3,22,3489,4075,1507,1429,3023,2642,16164,Karratha (C)
53710,14,6,27,139,192,98,137,157,102,822,Goomalling (S)
53780,588,353,1431,20024,22823,10003,8885,23993,7680,93412,Gosnells (C)
53800,279,141,638,5933,7823,3703,3345,6196,3595,30597,Greater Geraldton (C)
53920,3,3,7,740,387,128,69,485,576,2393,Halls Creek (S)
53990,106,45,294,4043,5478,2819,2670,3631,2013,20663,Harvey (S)
54060,34,16,85,472,696,441,469,555,327,2958,Irwin (S)
54130,0,0,9,154,237,110,123,124,130,874,Jerramungup (S)
54170,1133,373,2401,30550,36041,16339,11829,23569,6608,124925,Joondalup (C)
54200,335,211,922,10114,12710,5938,5082,8987,3443,46275,Kalamunda (S)
54340,42,21,95,609,666,371,328,801,532,3316,Katanning (S)
54410,22,13,45,158,227,129,137,222,139,1008,Kellerberrin (S)
54480,0,0,3,90,83,53,57,80,67,427,Kent (S)
54550,16,20,62,304,390,187,216,254,215,1562,Kojonup (S)
54620,4,0,12,156,163,95,75,151,66,707,Kondinin (S)
54690,0,0,7,60,79,43,53,69,33,333,Koorda (S)
54760,3,8,20,140,151,68,82,100,64,616,Kulin (S)
54830,148,72,324,6253,7529,3137,2937,6652,3728,30236,Kwinana (C)
54900,7,3,11,217,245,123,130,165,113,985,Lake Grace (S)
54970,3,0,3,152,201,83,41,309,216,1009,Laverton (S)
55040,3,3,5,201,204,77,58,326,319,1178,Leonora (S)
55110,970,422,2124,12347,16714,8367,7676,15270,5879,66260,Mandurah (C)
55180,63,49,200,1375,1952,1035,935,1362,866,7523,Manjimup (S)
55250,0,5,10,124,164,56,61,246,238,876,Meekatharra (S)
55320,1189,695,3221,19850,22597,10493,7705,15386,5250,81281,Melville (C)
55950,0,0,13,89,113,70,58,65,49,435,Mukinbudin (S)
55390,0,0,0,85,81,29,23,147,67,426,Menzies (S)
55460,20,17,67,501,726,309,300,555,304,2694,Merredin (S)
55530,0,0,7,67,79,43,35,84,60,368,Mingenew (S)
56090,221,124,604,6185,8466,4151,3507,5145,4068,31521,Mundaring (S)
55600,23,7,49,373,472,226,202,395,248,1914,Moora (S)
55670,8,5,18,101,136,70,66,146,70,587,Morawa (S)
56860,0,0,8,26,57,26,32,38,25,206,Nungarin (S)
55740,48,65,182,1898,1931,816,562,1307,737,7248,Mosman Park (T)
55810,0,0,3,55,76,34,30,77,118,394,Mount Magnet (S)
55880,3,0,6,89,101,59,55,72,35,413,Mount Marshall (S)
56160,0,0,0,19,26,11,16,11,42,131,Murchison (S)
56230,133,51,298,2346,3371,1727,1822,2855,1441,13557,Murray (S)
56300,0,3,18,167,299,180,193,161,127,1127,Nannup (S)
56370,9,4,25,147,135,75,91,146,72,667,Narembeen (S)
56460,54,29,132,804,998,476,464,782,560,4086,Narrogin (S)
56580,228,84,574,4499,4704,2310,1704,2715,1005,16932,Nedlands (C)
56620,0,0,3,286,245,99,80,150,346,1207,Ngaanyatjarraku (S)
56730,94,30,200,1484,2086,1077,1061,1836,1486,9019,Northam (S)
56790,15,27,62,452,688,371,427,476,396,2809,Northampton (S)
56930,9,4,41,391,328,159,133,208,108,1326,Peppermint Grove (S)
57630,0,0,0,13,15,9,9,21,22,86,Sandstone (S)
57700,92,36,189,4395,5546,2364,2397,3909,1825,20437,Serpentine-Jarrahdale (S)
57770,3,3,14,139,206,98,93,136,113,778,Shark Bay (S)
57840,444,295,1136,9553,9842,3780,2586,7083,3049,35887,South Perth (C)
57910,1895,1065,4902,43578,46221,18347,13948,38340,14376,174807,Stirling (C)
57980,136,148,435,4633,4554,1651,1087,3117,1462,16509,Subiaco (C)
58050,522,360,1381,23535,27044,11489,10053,23613,9131,104850,Swan (C)
58190,0,0,3,65,60,39,38,59,54,308,Tammin (S)
58260,7,0,17,74,82,59,80,98,51,452,Three Springs (S)
57000,0,3,8,96,110,56,42,140,80,529,Perenjori (S)
57080,63,27,160,5700,4446,1141,639,5189,3537,20656,Perth (C)
57140,7,3,24,140,229,121,112,219,137,948,Pingelly (S)
57210,40,21,97,738,1071,610,568,636,572,4199,Plantagenet (S)
57280,18,9,34,2341,2638,884,804,2393,1978,11041,Port Hedland (T)
57350,11,5,27,133,176,107,113,188,136,850,Quairading (S)
57420,4,6,16,237,298,176,180,323,200,1428,Ravensthorpe (S)
57490,715,404,1712,20076,25333,11504,10353,20911,9027,97197,Rockingham (C)
65010,38,22,86,875,1190,659,588,1095,517,4915,Southern Midlands (M)
65210,15,26,61,263,492,316,290,379,311,2047,Tasman (M)
65410,140,56,311,2008,2795,1580,1438,2424,985,11238,Waratah/Wynyard (M)
65610,20,5,38,539,816,450,435,783,368,3383,West Coast (M)
58330,12,3,35,618,922,569,574,651,451,3781,Toodyay (S)
58400,9,3,12,46,67,31,33,53,68,296,Trayning (S)
69499,0,0,3,153,152,50,40,256,178,835,No usual address (Tas.)
58470,0,0,0,31,34,27,28,28,46,200,Upper Gascoyne (S)
58510,537,299,1132,7632,7770,2561,1961,6953,3383,30255,Victoria Park (T)
69799,0,0,0,7,6,3,10,36,8,73,Migratory - Offshore - Shipping (Tas.)
70200,79,27,164,4372,5376,1912,1155,3874,2868,19560,Alice Springs (T)
58540,0,3,6,150,161,81,105,167,84,746,Victoria Plains (S)
58570,348,73,663,8432,8180,2581,1676,5266,2789,28927,Vincent (C)
58610,28,12,62,272,338,231,190,284,197,1517,Wagin (S)
58680,3,0,4,58,85,47,49,77,45,354,Wandering (S)
58760,898,447,1892,33270,38142,16107,13381,33072,11029,145001,Wanneroo (C)
58820,30,35,96,540,784,457,493,620,480,3375,Waroona (S)
58890,3,0,23,137,164,100,99,99,52,651,West Arthur (S)
59030,0,0,0,63,53,21,25,53,48,259,Westonia (S)
72800,41,14,85,5870,7240,2539,1911,4836,2686,25072,Palmerston (C)
73600,4,0,6,1523,841,394,223,999,652,4626,Roper Gulf (R)
74050,0,0,4,394,343,205,79,692,134,1837,Tiwi Islands (R)
74550,4,0,10,471,435,178,129,399,443,2052,Victoria Daly (R)
59100,8,4,15,111,132,95,90,83,67,576,Wickepin (S)
74560,0,0,3,81,123,68,46,50,25,392,Wagait (S)
74660,5,0,9,1019,1454,421,317,550,797,4555,West Arnhem (R)
74680,0,0,0,541,483,333,104,380,279,2128,West Daly (R)
79399,0,3,9,1175,1397,482,366,960,1053,5432,Unincorporated NT
79499,0,0,0,334,366,137,92,522,839,2281,No usual address (NT)
59170,5,0,13,154,209,108,112,107,92,776,Williams (S)
59250,0,0,0,122,117,26,11,240,135,660,Wiluna (S)
79799,0,0,0,0,0,0,4,43,23,72,Migratory - Offshore - Shipping (NT)
89399,2194,1341,6155,82357,102080,39392,22602,53853,22141,322415,Unincorporated ACT
89499,3,0,3,133,94,23,10,138,118,506,No usual address (ACT)
89799,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
99399,20,9,51,622,888,365,299,762,781,3714,Unincorp. Other Territories
99499,0,0,0,5,11,0,3,22,4,46,No usual address (OT)
99799,0,0,0,0,0,0,0,3,0,6,Migratory - Offshore - Shipping (OT)
59310,7,7,27,210,254,148,151,203,78,1050,Wongan-Ballidu (S)
59320,0,0,0,56,92,51,43,52,29,318,Woodanilling (S)
59330,10,3,23,66,99,58,48,102,63,439,Wyalkatchem (S)
59340,7,5,19,1428,1319,459,321,1132,856,5511,Wyndham-East Kimberley (S)
59350,0,0,3,47,45,21,11,115,59,302,Yalgoo (S)
59360,6,12,24,188,214,96,109,267,179,1046,Yilgarn (S)
59370,34,19,82,448,751,393,449,545,404,2988,York (S)
59499,7,6,23,962,791,327,210,1663,1594,5559,No usual address (WA)
59799,3,0,3,32,31,10,9,274,81,434,Migratory - Offshore - Shipping (WA)
60210,64,35,153,751,1224,784,755,1141,593,5247,Break O'Day (M)
60410,79,29,144,2179,3234,1544,1282,3223,1173,12624,Brighton (M)
60610,218,67,431,2892,4018,2033,1719,3505,1274,15446,Burnie (C)
60810,222,110,522,3222,4654,2425,2158,3724,1561,17742,Central Coast (M) (Tas.)
61010,7,3,22,288,421,234,240,421,203,1802,Central Highlands (M) (Tas.)
61210,52,28,115,1095,1579,846,750,1336,695,6304,Circular Head (M)
61410,678,219,1497,9477,13133,6246,4137,8523,3458,44973,Clarence (C)
61510,76,15,154,1400,1920,1145,901,1962,825,8149,Derwent Valley (M)
61610,334,141,700,3809,5064,2653,2127,4776,1779,20209,Devonport (C)
61810,64,33,173,910,1292,756,745,1174,599,5480,Dorset (M)
62010,6,3,15,129,202,137,99,140,68,775,Flinders (M) (Tas.)
62210,62,29,129,820,1271,746,738,1268,675,5511,George Town (M)
62410,36,26,111,605,962,570,465,789,476,3860,Glamorgan/Spring Bay (M)
62610,453,251,1154,7687,9983,4201,3355,9149,3457,37831,Glenorchy (C)
62810,642,206,1401,11143,13122,5149,2812,7807,3170,43208,Hobart (C)
63010,128,43,260,2285,3613,2010,1729,2373,1276,13295,Huon Valley (M)
63210,42,24,100,859,1270,685,734,1048,513,5109,Kentish (M)
63410,21,8,43,265,325,204,118,261,161,1336,King Island (M)
63610,340,75,718,6316,8820,4334,2906,4581,1772,28724,Kingborough (M)
63810,114,42,257,1598,2311,1233,1084,1863,821,8913,Latrobe (M) (Tas.)
64010,831,295,1677,10947,14261,6526,4946,11954,5082,53708,Launceston (C)
70420,9,5,20,1234,1268,419,191,1093,708,4911,Barkly (R)
70540,0,0,0,22,49,20,3,41,0,131,Belyuen (S)
70620,8,0,12,705,594,386,169,449,286,2593,Central Desert (R)
70700,4,0,9,153,243,102,101,201,280,1073,Coomalie (S)
71000,234,74,470,15352,16979,5796,3974,13886,8264,64253,Darwin (C)
71300,0,0,8,2024,1327,543,454,1306,792,6435,East Arnhem (R)
72200,17,20,41,1589,1697,610,434,1359,1832,7526,Katherine (T)
72300,21,22,67,3336,4747,1976,1512,3466,4601,19634,Litchfield (M)
72330,12,0,17,741,1118,572,142,626,1603,4797,MacDonnell (R)
