lga_code_2016,p_85y_ov_no_udw,p_85y_ov_udw_notstated,p_85y_ov_total,p_tot_udw_5_hrs_less,p_tot_udw_5_14_hrs,p_tot_udw_15_29_hrs,p_tot_udw_30_hrs_more,p_tot_no_udw,p_tot_udw_notstated,p_tot_total,lga_name_2016
11750,40,17,78,627,849,422,400,779,546,3623,Cobar (A)
11800,762,610,2070,11585,16085,7931,6131,11856,6001,59595,Coffs Harbour (C)
12000,32,47,120,575,802,469,410,667,508,3431,Coolamon (A)
12150,57,34,105,492,659,329,319,710,611,3124,Coonamble (A)
12350,203,76,433,1788,2389,1354,1251,2293,1223,10296,Cowra (A)
12380,1755,551,3282,33827,33504,14956,14768,60914,13745,171707,Cumberland (A)
12700,59,46,179,1320,1939,1038,991,1225,801,7315,Dungog (A)
12730,160,60,295,1332,1825,872,717,1559,964,7276,Edward River (A)
12750,585,350,1388,5078,8321,4944,3733,6171,3669,31914,Eurobodalla (A)
12850,2275,356,3585,30689,28826,13353,13215,63523,11279,160880,Fairfield (C)
12870,144,122,411,1772,2480,1313,1143,2186,1291,10187,Federation (A)
12900,132,53,254,1395,1834,934,852,1677,951,7636,Forbes (A)
12930,1891,510,3763,28249,28708,13085,9863,35123,7192,122216,Georges River (A)
12950,68,30,134,586,782,434,411,828,405,3440,Gilgandra (A)
13010,111,84,279,1193,1719,955,883,1456,1128,7322,Glen Innes Severn (A)
13310,231,248,738,4625,6197,2997,2399,4956,3073,24238,Goulburn Mulwaree (A)
13340,112,73,259,1548,2040,1152,1073,1473,831,8116,Greater Hume Shire (A)
13450,188,250,669,4049,4692,2296,1832,4718,2687,20274,Griffith (C)
13510,184,74,391,1621,2172,1187,1102,2063,981,9126,Gundagai (A)
13550,162,56,318,1872,2370,1250,1140,1958,1095,9686,Gunnedah (A)
13660,64,42,155,659,921,511,588,969,635,4280,Gwydir (A)
13800,479,187,1010,11798,13905,6516,5360,10053,4080,51718,Hawkesbury (C)
13850,22,25,60,392,552,272,253,545,412,2431,Hay (A)
16350,1193,391,2316,34567,39855,17028,14380,36304,12650,154775,Penrith (C)
16380,1406,558,2981,12037,17473,9155,7129,13398,6241,65441,Port Macquarie-Hastings (A)
16400,765,360,1676,10568,14774,7914,6353,11726,5701,57039,Port Stephens (A)
16490,314,105,680,10581,13593,5589,3623,7653,4022,45061,Queanbeyan-Palerang Regional (A)
16550,1492,568,3181,32607,29009,10144,6566,29302,12073,119698,Randwick (C)
16610,284,121,634,3103,4487,2361,2158,4173,2161,18441,Richmond Valley (A)
16650,1283,684,2817,20870,20837,8150,6431,27976,7717,91982,Rockdale (C)
16700,1375,429,2972,24074,24805,10689,7480,24755,5535,97335,Ryde (C)
16900,568,342,1377,11276,13941,7093,5756,12467,4319,54854,Shellharbour (C)
16950,1283,800,3160,14607,21409,11651,9526,16829,9311,83332,Shoalhaven (C)
17000,179,55,343,3601,4813,2373,2226,3443,1666,18127,Singleton (A)
17040,171,126,460,3530,4568,2053,1634,2798,2173,16754,Snowy Monaro Regional (A)
17080,156,145,430,1957,2793,1568,1404,2376,1692,11789,Snowy Valleys (A)
17420,941,251,2000,31139,33938,16333,12387,24605,5225,123621,The Hills Shire (A)
17550,1592,923,3581,14673,19386,9911,7485,16487,8101,76052,Tweed (A)
17620,147,101,352,2116,2935,1382,1246,2165,1364,11207,Upper Hunter Shire (A)
17640,83,22,184,1142,1723,892,776,1136,687,6346,Upper Lachlan Shire (A)
17650,60,10,118,914,1404,693,582,812,482,4888,Uralla (A)
17750,668,231,1372,10960,13675,5993,4619,10300,4128,49690,Wagga Wagga (C)
17850,31,44,96,423,624,317,304,485,392,2556,Walcha (A)
17900,37,15,77,824,1004,450,467,1295,847,4885,Walgett (A)
17950,34,13,60,367,547,233,203,501,305,2153,Warren (A)
18020,159,65,305,1174,1696,1023,973,1677,1156,7699,Warrumbungle Shire (A)
18050,635,354,1513,17595,13698,4372,2646,10983,6808,56111,Waverley (A)
18100,61,27,148,493,709,434,415,616,386,3051,Weddin (A)
18200,68,22,135,965,1380,682,577,1159,751,5519,Wentworth (A)
18230,501,199,1081,7747,10290,4778,3841,8202,4842,39702,Western Plains Regional (A)
18250,829,217,1731,15590,16088,6863,4670,13132,3552,59899,Willoughby (C)
18350,600,301,1428,7949,10858,5734,4419,6904,3618,39473,Wingecarribee (A)
18400,268,168,652,8347,10248,5008,4262,6956,3015,37840,Wollondilly (A)
18450,2568,833,5253,37531,44021,20321,15287,37895,12031,167073,Wollongong (C)
18500,626,309,1599,14168,11647,4034,2617,8492,4812,45764,Woollahra (A)
18710,75,115,296,2664,3904,1863,1344,1675,1287,12744,Yass Valley (A)
19399,7,8,22,171,217,96,76,192,119,869,Unincorporated NSW
19499,41,26,78,1976,1606,620,412,3500,3428,11545,No usual address (NSW)
19799,5,0,10,23,36,19,40,163,93,374,Migratory - Offshore - Shipping (NSW)
20110,144,88,383,1952,2889,1490,1105,1781,1166,10384,Alpine (S)
20260,153,71,359,1715,2272,1161,1027,1982,1642,9798,Ararat (RC)
20570,1153,409,2409,17979,22135,10044,8039,17059,6964,82219,Ballarat (C)
20660,1442,598,3253,24506,27930,12389,8739,19814,6473,99850,Banyule (C)
20740,489,243,1143,4944,7335,3767,3043,5450,2923,27459,Bass Coast (S)
20830,460,276,1112,7979,10283,5226,4645,7270,3789,39188,Baw Baw (S)
20910,1611,562,3624,20826,21992,9979,6275,14261,5342,78669,Bayside (C)
21010,215,98,528,2164,2900,1638,1320,2337,1328,11686,Benalla (RC)
21110,2211,595,4829,38772,38006,16293,10588,26497,8276,138430,Boroondara (C)
21180,1526,536,2926,32283,32568,13831,12885,52745,14152,158457,Brimbank (C)
21270,153,88,336,895,1193,690,628,1088,703,5206,Buloke (S)
21370,550,277,1164,5838,7544,3805,3318,6437,3481,30424,Campaspe (S)
21450,576,218,1185,16759,19447,8798,7160,14553,5687,72402,Cardinia (S)
21610,1834,560,3450,52179,55788,24173,20591,62381,16333,231449,Casey (C)
21670,217,102,448,1789,2512,1502,1327,2604,1241,10982,Central Goldfields (S)
21750,269,117,585,3253,4497,2302,1889,3523,1813,17277,Colac-Otway (S)
21830,205,106,468,2508,3103,1701,1577,2712,1524,13125,Corangamite (S)
21890,1630,777,3736,31260,32158,11666,8414,28916,10870,123281,Darebin (C)
22110,574,398,1391,6392,9390,5355,4691,7362,4700,37892,East Gippsland (S)
22170,1279,559,2713,25635,29055,12245,9182,23615,9381,109114,Frankston (C)
22250,157,70,378,1640,2087,1230,1139,1804,973,8870,Gannawarra (S)
22830,688,325,1484,10106,12161,5882,4729,12281,5965,51131,Greater Shepparton (C)
22910,214,121,469,2269,3447,1854,1513,2262,1596,12934,Hepburn (S)
22980,127,64,290,868,1120,677,653,1048,495,4859,Hindmarsh (S)
23110,958,332,1952,17268,19172,7753,6025,16706,5510,72429,Hobsons Bay (C)
23190,260,104,613,3202,4152,2195,1666,3334,1372,15913,Horsham (RC)
23270,1050,298,1889,31142,32865,14396,13548,49254,12255,153462,Hume (C)
23350,166,62,353,2519,3669,1938,1418,2214,1348,13104,Indigo (S)
23430,1783,933,4139,30839,33813,13697,9569,27740,8938,124594,Kingston (C) (Vic.)
23670,1612,515,3105,31517,33716,14943,11056,28731,7084,127047,Knox (C)
23810,823,382,1761,11222,14909,7400,6537,13330,6596,59998,Latrobe (C) (Vic.)
23940,121,61,256,1051,1389,810,847,1306,919,6322,Loddon (S)
24130,361,178,811,7697,10475,5213,4191,5764,3328,36659,Macedon Ranges (S)
24210,1814,554,3668,23286,24248,12016,9017,23437,5513,97529,Manningham (C)
24250,96,36,207,1386,1919,987,780,1176,792,7049,Mansfield (S)
24330,667,286,1379,17882,17876,5886,4275,17057,6120,69093,Maribyrnong (C)
24410,1275,496,2647,22790,25100,10801,7768,17947,5359,89771,Maroondah (C)
24600,516,421,1255,36756,26926,6222,3530,38003,15802,127232,Melbourne (C)
24650,491,137,887,22076,24045,10345,9763,26854,9012,102097,Melton (C)
24780,664,308,1419,8294,10637,5239,4309,9988,5178,43642,Mildura (RC)
24850,240,138,581,6692,8284,3727,3389,6736,3618,32439,Mitchell (S)
24900,428,225,935,4443,5772,2903,2700,5268,2903,23981,Moira (S)
24970,2370,802,5088,36683,37972,16899,12384,40531,9246,153720,Monash (C)
17400,42,76,176,906,1295,766,803,984,841,5591,Tenterfield (A)
22750,2984,1251,6460,42523,50128,23566,18120,40278,16556,191166,Greater Geelong (C)
25060,1341,457,2967,25038,25183,10412,7462,21376,7646,97118,Moonee Valley (C)
25150,225,83,491,5325,6789,3312,2777,4991,2180,25373,Moorabool (S)
25250,2161,541,4311,35576,36092,12680,9310,32113,10686,136461,Moreland (C)
25340,2245,1012,5059,27204,34424,17005,12561,25894,11067,128156,Mornington Peninsula (S)
25430,199,162,563,2716,4418,2287,1768,2325,2429,15946,Mount Alexander (S)
25490,153,83,373,2519,3384,1877,1565,2342,1441,13134,Moyne (S)
25620,152,61,314,2066,2991,1576,1346,2189,1376,11546,Murrindindi (S)
25710,309,119,705,12397,14255,6964,4685,8256,2653,49213,Nillumbik (S)
25810,194,69,400,1686,2493,1274,1101,2131,1043,9724,Northern Grampians (S)
25900,734,221,1433,28621,24364,6512,3686,15672,10225,89077,Port Phillip (C)
25990,67,52,178,958,1362,762,805,1164,1055,6105,Pyrenees (S)
26080,46,30,149,483,773,392,250,344,276,2523,Queenscliffe (B)
26170,367,160,808,4361,6033,3514,2959,4142,2570,23581,South Gippsland (S)
26260,232,151,582,2510,3460,1738,1569,2630,1289,13199,Southern Grampians (S)
26350,1104,407,2472,28696,23774,7748,4843,17933,7957,90965,Stonnington (C)
26430,163,98,376,1489,2185,1190,1039,1805,1051,8763,Strathbogie (S)
26490,290,84,566,5435,6756,3436,2469,3481,1778,23345,Surf Coast (S)
26610,244,142,563,3013,3695,1884,1629,3748,2682,16646,Swan Hill (RC)
26670,93,40,197,892,1345,722,637,891,533,5023,Towong (S)
26700,362,352,1008,4370,6241,3151,2458,4469,2515,23209,Wangaratta (RC)
26730,445,198,969,6018,7193,3321,2560,5722,2734,27546,Warrnambool (C)
26810,450,214,1033,6375,8692,4717,4157,6840,4569,35358,Wellington (S)
26890,53,37,132,685,815,448,407,571,307,3234,West Wimmera (S)
26980,2080,879,4959,33772,35463,15816,10812,31377,7595,134835,Whitehorse (C)
27070,1384,313,2354,33532,35807,15545,13818,45411,11195,155311,Whittlesea (C)
27170,383,121,745,6736,8654,3715,2919,6540,2676,31242,Wodonga (C)
27260,709,323,1451,35221,40352,17526,15826,41616,12776,163311,Wyndham (C)
27350,495,191,1075,26747,21259,5601,2931,12463,7979,76983,Yarra (C)
27450,1184,437,2533,28848,33957,15865,11913,22124,8374,121080,Yarra Ranges (S)
27630,140,87,332,971,1332,754,688,1208,667,5618,Yarriambiack (S)
29399,0,0,0,159,112,46,50,162,216,746,Unincorporated Vic
29499,22,12,38,1281,954,324,278,1969,2020,6825,No usual address (Vic.)
29799,0,0,0,7,3,3,0,11,3,25,Migratory - Offshore - Shipping (Vic.)
30250,0,0,0,570,163,21,7,114,35,901,Aurukun (S)
30300,34,11,64,644,841,379,369,813,392,3437,Balonne (S)
30370,100,36,211,2208,2827,1357,1326,2121,1314,11152,Banana (S)
30410,22,17,51,433,553,255,297,487,248,2279,Barcaldine (R)
30450,0,0,3,48,48,33,21,62,18,232,Barcoo (S)
30760,21,3,42,297,366,203,192,367,146,1572,Blackall-Tambo (R)
34710,35,12,76,587,803,332,261,603,362,2964,Longreach (R)
34770,830,257,1645,18389,24177,11242,9987,17746,9671,91204,Mackay (R)
34800,3,0,9,120,152,60,60,192,73,665,McKinlay (S)
34830,0,0,0,98,47,25,7,37,9,224,Mapoon (S)
34860,111,53,225,1920,2504,1111,998,2145,1237,9908,Maranoa (R)
34880,162,62,379,2813,4197,2336,1924,3127,3278,17681,Mareeba (S)
35010,2853,2189,7364,74650,93447,42411,33859,65099,26715,336175,Moreton Bay (R)
35250,0,0,0,97,149,142,138,178,92,793,Mornington (S)
35300,27,19,80,2988,3758,1455,1206,2761,2018,14193,Mount Isa (C)
35600,55,22,102,638,814,390,318,859,388,3411,Murweh (S)
35670,0,0,0,222,207,30,15,184,14,665,Napranum (S)
35740,506,353,1373,8768,12413,6264,4640,7749,3862,43702,Noosa (S)
35760,131,80,292,1326,1969,1049,1021,1891,1374,8625,North Burnett (R)
35780,0,0,6,501,415,238,179,317,116,1768,Northern Peninsula Area (R)
35790,0,0,0,853,243,71,77,352,64,1662,Palm Island (S)
35800,12,10,29,240,339,141,128,337,149,1325,Paroo (S)
36070,0,0,0,304,119,17,14,84,22,553,Pormpuraaw (S)
36150,3,0,9,132,173,57,74,152,57,648,Quilpie (S)
36250,1403,797,3279,27900,34283,15525,11029,23102,7571,119405,Redland (C)
17100,407,76,752,7920,7172,3167,2466,10564,2797,34086,Strathfield (A)
17150,3058,680,5947,44446,49631,22242,15418,35470,9596,176814,Sutherland Shire (A)
17200,733,510,1790,58856,42380,9563,5152,51606,26782,194336,Sydney (C)
17310,663,305,1437,9149,12324,6214,4963,9669,5233,47550,Tamworth Regional (A)
17350,121,20,210,834,1192,663,633,1111,495,4934,Temora (A)
22310,2108,564,4240,31390,31779,12330,7697,24739,7176,115105,Glen Eira (C)
22410,281,120,555,2765,4075,2205,1893,3524,1921,16377,Glenelg (S)
22490,118,30,225,3333,4679,2367,2211,2828,1352,16769,Golden Plains (S)
22620,1169,645,2743,19056,24042,11128,9174,17472,8410,89283,Greater Bendigo (C)
22670,1750,442,3008,24793,24315,10478,9367,45179,10479,124599,Greater Dandenong (C)
36300,3,3,8,129,150,61,68,158,81,638,Richmond (S)
36370,677,414,1609,12684,16627,7796,6393,13117,6535,63147,Rockhampton (R)
36510,394,137,804,5987,8603,4518,3906,5854,3628,32494,Scenic Rim (R)
36580,171,69,346,3442,4762,2585,2563,3956,2261,19567,Somerset (R)
36630,369,123,715,4345,6183,3503,3528,5528,2964,26054,South Burnett (R)
36660,432,153,902,4990,7237,3979,3808,5780,2715,28501,Southern Downs (R)
36720,3579,1443,7706,52358,68095,32193,24045,45190,19114,240989,Sunshine Coast (R)
36820,280,120,622,3366,5124,2802,2693,3856,2479,20319,Tablelands (R)
36910,1474,1059,3802,26528,34558,16489,13873,24650,12088,128188,Toowoomba (R)
36950,8,3,14,504,542,143,137,768,537,2627,Torres (S)
36960,6,0,6,942,529,147,313,706,324,2954,Torres Strait Island (R)
37010,1131,366,2305,33137,41468,17236,13534,28943,14733,149046,Townsville (C)
31750,0,0,7,55,60,24,21,89,33,289,Bulloo (S)
31820,1110,507,2348,13321,18844,10106,9486,16883,7843,76488,Bundaberg (R)
31900,178,114,463,2733,3415,1765,1660,2937,1527,14039,Burdekin (S)
31950,0,0,0,45,40,31,12,84,61,274,Burke (S)
32080,955,430,1981,26430,34397,13876,10479,25331,14279,124795,Cairns (R)
32250,6,3,10,258,326,123,107,457,271,1548,Carpentaria (S)
32260,323,115,647,4050,5748,2950,2723,4940,3056,23462,Cassowary Coast (R)
32270,60,31,133,4306,5336,2353,2346,3489,3247,21073,Central Highlands (R) (Qld)
32310,101,41,211,1615,2116,1118,1101,2043,1325,9327,Charters Towers (R)
30900,0,0,0,68,85,29,19,88,68,351,Boulia (S)
31000,8858,4261,20904,247415,260457,100841,68799,184667,69698,931879,Brisbane (C)
34580,273,120,587,6002,7776,3712,3510,6312,3756,31063,Lockyer Valley (R)
34590,1896,520,3357,50980,60614,26874,21858,54905,19619,234848,Logan (C)
32330,5,0,5,208,214,39,15,289,46,807,Cherbourg (S)
32450,7,8,20,453,519,200,190,619,434,2416,Cloncurry (S)
32500,10,9,31,533,759,401,390,663,691,3439,Cook (S)
32600,0,0,4,32,44,21,12,57,63,229,Croydon (S)
37300,0,0,3,607,834,277,239,549,354,2866,Weipa (T)
37310,256,142,599,4934,6219,3093,3092,5028,3700,26057,Western Downs (R)
37340,182,121,440,5416,6781,3029,2526,5508,4403,27657,Whitsunday (R)
32750,0,0,0,58,54,15,17,50,42,239,Diamantina (S)
41140,138,25,276,1430,2039,1109,927,1260,637,7394,Clare and Gilbert Valleys (DC)
41060,1843,484,3637,21457,25698,10921,7574,22374,6392,94420,Charles Sturt (C)
