lga_code16,maopd_tot_a_20_24,maopd_tot_a_25_34,maopd_tot_a_35_44,maopd_tot_a_45_54,maopd_tot_a_55_64,maopd_tot_a_65_74,maopd_tot_a_75ov,maopd_tot_tot,lab_nni_a_15_19,lab_nni_a_20_24,lab_nni_a_25_34,lab_nni_a_35_44,lab_nni_a_45_54,lab_nni_a_55_64,lab_nni_a_65_74,lab_nni_a_75ov,lab_nni_tot,lab_1_149_a_15_19,lab_1_149_a_20_24,lab_1_149_a_25_34,lab_1_149_a_35_44,lab_1_149_a_45_54,lab_1_149_a_55_64,lab_1_149_a_65_74,lab_1_149_a_75ov,lab_1_149_tot,lab_150_299_a_15_19,lab_150_299_a_20_24,lab_150_299_a_25_34,lab_150_299_a_35_44,lab_150_299_a_45_54,lab_150_299_a_55_64,lab_150_299_a_65_74,lab_150_299_a_75ov,lab_150_299_tot,lab_300_399_a_15_19,lab_300_399_a_20_24,lab_300_399_a_25_34,lab_300_399_a_35_44,lab_300_399_a_45_54,lab_300_399_a_55_64,lab_300_399_a_65_74,lab_300_399_a_75ov,lab_300_399_tot,lab_400_499_a_15_19,lab_400_499_a_20_24,lab_400_499_a_25_34,lab_400_499_a_35_44,lab_400_499_a_45_54,lab_400_499_a_55_64,lab_400_499_a_65_74,lab_400_499_a_75ov,lab_400_499_tot,lab_500_649_a_15_19,lab_500_649_a_20_24,lab_500_649_a_25_34,lab_500_649_a_35_44,lab_500_649_a_45_54,lab_500_649_a_55_64,lab_500_649_a_65_74,lab_500_649_a_75ov,lab_500_649_tot,lab_650_799_a_15_19,lab_650_799_a_20_24,lab_650_799_a_25_34,lab_650_799_a_35_44,lab_650_799_a_45_54,lab_650_799_a_55_64,lab_650_799_a_65_74,lab_650_799_a_75ov,lab_650_799_tot,lab_800_999_a_15_19,lab_800_999_a_20_24,lab_800_999_a_25_34,lab_800_999_a_35_44,lab_800_999_a_45_54,lab_800_999_a_55_64,lab_800_999_a_65_74,lab_800_999_a_75ov,lab_800_999_tot,lab_1000_1249_a_15_19,lab_1000_1249_a_20_24,lab_1000_1249_a_25_34,lab_1000_1249_a_35_44,lab_1000_1249_a_45_54,lab_1000_1249_a_55_64,lab_1000_1249_a_65_74,lab_1000_1249_a_75ov,lab_1000_1249_tot,lab_1250_1499_a_15_19,lab_1250_1499_a_20_24,lab_1250_1499_a_25_34,lab_1250_1499_a_35_44,lab_1250_1499_a_45_54,lab_1250_1499_a_55_64,lab_1250_1499_a_65_74,lab_1250_1499_a_75ov,lab_1250_1499_tot,lab_1500_1749_a_15_19,lab_1500_1749_a_20_24,lab_1500_1749_a_25_34,lab_1500_1749_a_35_44,lab_1500_1749_a_45_54,lab_1500_1749_a_55_64,lab_1500_1749_a_65_74,lab_1500_1749_a_75ov,lab_1500_1749_tot,lab_1750_1999_a_15_19,lab_1750_1999_a_20_24,lab_1750_1999_a_25_34,lab_1750_1999_a_35_44,lab_1750_1999_a_45_54,lab_1750_1999_a_55_64,lab_1750_1999_a_65_74,lab_1750_1999_a_75ov,lab_1750_1999_tot,lab_2000_2999_a_15_19,lab_2000_2999_a_20_24,lab_2000_2999_a_25_34,lab_2000_2999_a_35_44,lab_2000_2999_a_45_54,lab_2000_2999_a_55_64,lab_2000_2999_a_65_74,lab_2000_2999_a_75ov,lab_2000_2999_tot,lab_3000mo_a_15_19,lab_3000mo_a_20_24,lab_3000mo_a_25_34,lab_3000mo_a_35_44,lab_3000mo_a_45_54,lab_3000mo_a_55_64,lab_3000mo_a_65_74,lab_3000mo_a_75ov,lab_3000mo_tot,lab_pins_a_15_19,lab_pins_a_20_24,lab_pins_a_25_34,lab_pins_a_35_44,lab_pins_a_45_54,lab_pins_a_55_64,lab_pins_a_65_74,lab_pins_a_75ov,lab_pins_tot,lab_tot_a_15_19,lab_tot_a_20_24,lab_tot_a_25_34,lab_tot_a_35_44,lab_tot_a_45_54,lab_tot_a_55_64,lab_tot_a_65_74,lab_tot_a_75ov,lab_tot_tot,oidns_nni_a_15_19,oidns_nni_a_20_24,oidns_nni_a_25_34,oidns_nni_a_35_44,oidns_nni_a_45_54,oidns_nni_a_55_64,oidns_nni_a_65_74,oidns_nni_a_75ov,oidns_nni_t,oidns_1_149_a_15_19,oidns_1_149_a_20_24,oidns_1_149_a_25_34,oidns_1_149_a_35_44,oidns_1_149_a_45_54,oidns_1_149_a_55_64,oidns_1_149_a_65_74,oidns_1_149_a_75ov,oidns_1_149_t,oidns_150_299_a_15_19,oidns_150_299_a_20_24,oidns_150_299_a_25_34,oidns_150_299_a_35_44,oidns_150_299_a_45_54,oidns_150_299_a_55_64,oidns_150_299_a_65_74,oidns_150_299_a_75ov,oidns_150_299_t,oidns_300_399_a_15_19,oidns_300_399_a_20_24,oidns_300_399_a_25_34,oidns_300_399_a_35_44,oidns_300_399_a_45_54,oidns_300_399_a_55_64,oidns_300_399_a_65_74,oidns_300_399_a_75ov,oidns_300_399_t,oidns_400_499_a_15_19,oidns_400_499_a_20_24,oidns_400_499_a_25_34,oidns_400_499_a_35_44,oidns_400_499_a_45_54,oidns_400_499_a_55_64,oidns_400_499_a_65_74,oidns_400_499_a_75ov,oidns_400_499_t,oidns_500_649_a_15_19,oidns_500_649_a_20_24,oidns_500_649_a_25_34,lga_name16
10850,10,118,155,114,70,23,3,488,3,0,0,0,0,0,0,0,4,36,0,0,0,0,7,0,0,46,0,0,3,3,3,4,3,0,22,4,3,3,3,0,3,0,0,21,0,0,8,5,0,3,0,0,17,0,5,0,4,6,10,7,0,31,5,6,4,7,15,9,0,3,49,0,3,9,5,10,9,4,0,38,0,4,11,13,3,0,3,0,41,0,4,8,17,12,7,0,0,47,0,4,7,7,7,11,0,0,40,0,0,11,5,14,0,0,0,37,0,0,7,3,4,0,0,0,12,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,9,55,25,72,81,82,66,15,11,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,Blayney (A)
10900,50,60,92,125,165,64,8,590,11,0,3,0,3,3,0,0,21,162,23,13,0,15,9,5,0,235,51,26,21,18,32,33,4,0,190,22,30,13,34,32,28,16,0,185,18,35,36,36,45,37,19,4,220,16,43,49,52,70,58,17,3,303,4,27,51,48,66,60,18,0,270,7,19,30,25,50,47,5,0,185,0,16,16,20,31,29,4,0,116,0,0,12,9,7,14,5,0,49,0,0,13,8,9,6,3,0,31,0,0,9,5,11,0,0,0,22,0,0,3,5,4,4,0,0,13,0,0,0,0,3,0,0,0,6,7,0,4,5,0,4,4,0,22,298,227,276,268,376,331,94,13,1879,4,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,15,0,0,6,7,0,3,3,0,20,0,0,4,0,3,3,0,0,14,0,0,5,Blue Mountains (C)
10950,20,41,41,46,20,11,0,185,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,7,0,4,5,0,0,0,0,0,12,0,0,4,4,6,3,0,0,14,0,3,9,5,3,0,0,0,20,0,3,4,4,12,3,0,0,29,0,5,3,0,11,0,0,0,19,0,0,8,3,3,5,0,0,24,0,0,0,0,5,0,0,0,9,0,0,3,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,18,45,24,36,18,9,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,Bogan (A)
11100,362,955,1038,1166,830,210,4,4644,0,3,6,3,4,4,0,0,23,70,11,11,13,13,11,3,0,139,49,44,30,17,25,24,6,0,193,22,61,97,39,35,24,9,0,279,11,93,121,40,45,43,9,3,361,14,81,129,101,81,75,21,4,508,17,53,180,139,133,130,14,3,667,5,53,177,149,178,139,27,0,727,0,37,136,104,136,110,21,0,544,0,16,52,66,76,53,10,0,269,0,0,34,44,42,23,7,0,146,0,0,27,34,31,17,0,0,103,0,0,17,50,49,23,0,0,139,0,0,0,5,4,4,3,0,11,5,6,7,10,12,8,0,0,57,201,463,1025,807,851,678,131,16,4174,3,3,6,0,3,4,0,0,25,10,3,0,3,5,0,0,0,27,3,8,3,3,6,7,6,0,37,3,7,5,5,0,10,3,0,34,0,3,15,6,7,0,0,3,45,0,10,16,Botany Bay (C)
11150,3,7,4,19,17,8,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,3,0,11,0,0,0,5,3,0,0,0,7,0,0,3,3,0,0,0,0,15,0,0,0,0,6,3,0,0,10,0,0,0,3,7,5,0,0,21,0,3,3,0,4,4,0,0,21,0,0,4,4,8,3,0,0,17,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,8,14,17,31,31,4,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bourke (A)
11200,3,0,5,7,8,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,10,0,0,0,0,3,4,0,0,8,0,0,0,0,0,6,0,0,7,0,0,3,0,7,0,0,0,15,0,0,4,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,7,16,13,7,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brewarrina (A)
14300,9,27,35,42,49,10,0,175,0,0,0,0,0,0,0,0,4,13,3,3,0,0,0,0,0,17,4,6,0,0,0,6,0,0,10,0,3,0,0,3,6,0,0,18,0,3,8,3,6,3,5,0,22,3,10,16,6,5,10,0,0,43,3,14,27,7,13,8,0,0,77,3,7,32,7,10,0,0,0,64,0,3,3,8,7,3,0,0,25,0,0,10,3,0,3,0,0,16,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,45,103,41,45,38,14,0,308,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junee (A)
14350,32,83,132,156,152,32,3,604,4,3,3,0,0,5,0,0,12,92,7,7,3,8,4,3,0,116,19,13,8,13,16,17,10,0,98,13,10,21,16,26,20,7,0,120,12,14,10,22,31,19,3,0,125,9,27,37,33,43,41,10,4,189,11,20,42,42,43,56,7,0,216,3,18,32,37,45,28,4,0,163,0,11,18,25,31,20,0,0,108,0,5,8,18,12,11,0,0,49,0,0,8,3,5,3,0,0,23,0,0,6,3,3,0,3,0,12,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,6,3,6,10,0,0,32,161,129,194,226,274,236,46,6,1272,4,0,0,3,0,0,0,0,7,4,0,3,0,0,0,0,0,12,0,3,0,0,0,0,4,4,12,0,0,0,3,3,4,0,3,13,0,0,3,0,0,4,5,3,17,0,3,0,Kempsey (A)
11250,46,157,146,144,171,28,3,696,4,0,0,0,0,0,0,0,3,39,0,3,3,3,6,0,0,53,13,5,12,3,9,13,0,0,62,4,9,13,12,12,17,3,0,73,9,3,18,11,18,22,7,0,82,3,8,25,14,28,25,4,0,106,3,13,18,17,33,23,3,0,104,0,4,13,12,21,19,6,0,81,0,0,9,15,18,13,0,0,61,0,3,4,6,7,12,0,0,29,0,0,9,4,3,4,0,0,18,0,0,3,3,0,0,0,0,9,0,3,4,0,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,3,4,3,9,3,3,0,27,83,56,124,99,165,158,30,0,725,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,3,0,0,0,0,0,5,0,4,0,0,0,0,0,9,14,0,3,0,0,3,0,0,0,10,3,0,3,Broken Hill (C)
13910,20,55,71,122,98,31,3,410,0,0,0,0,3,4,0,0,15,44,9,9,8,8,3,3,0,75,19,5,5,8,20,19,5,0,76,7,7,14,13,12,18,6,3,77,10,3,6,16,21,20,6,0,87,15,27,23,35,36,32,9,3,168,10,35,44,38,48,38,3,4,212,3,29,43,40,43,30,10,0,196,0,7,11,11,27,8,3,0,71,0,0,4,3,7,3,0,0,19,0,0,7,4,3,3,0,0,17,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,14,7,0,3,0,7,0,0,3,21,112,130,166,182,220,186,50,18,1059,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,7,0,0,0,0,0,6,0,3,8,0,0,0,0,3,0,0,0,4,0,0,0,Hilltops (A)
14000,132,312,391,463,425,117,8,1908,14,3,0,3,3,0,0,0,26,345,44,11,20,22,12,9,0,456,97,66,26,25,21,37,7,3,288,47,60,36,27,44,42,12,0,266,30,54,50,44,61,45,18,0,305,24,70,52,51,83,89,20,7,400,8,53,91,99,132,120,19,0,525,0,36,108,82,115,115,22,6,494,0,20,81,61,74,64,15,0,326,3,3,37,41,47,39,5,0,169,0,0,25,29,39,29,5,0,133,0,0,12,17,21,19,0,0,65,0,0,11,10,22,14,6,0,60,0,0,0,0,0,0,4,0,10,5,16,9,3,9,3,0,0,44,587,423,567,506,708,625,134,22,3576,10,3,0,5,4,0,0,0,25,17,5,4,0,3,3,0,0,26,0,7,9,6,6,7,0,0,25,3,0,0,9,3,0,3,3,21,0,12,9,3,3,7,0,3,32,3,12,9,Hornsby (A)
