lga_code16,maopd_tot_a_20_24,maopd_tot_a_25_34,maopd_tot_a_35_44,maopd_tot_a_45_54,maopd_tot_a_55_64,maopd_tot_a_65_74,maopd_tot_a_75ov,maopd_tot_tot,lab_nni_a_15_19,lab_nni_a_20_24,lab_nni_a_25_34,lab_nni_a_35_44,lab_nni_a_45_54,lab_nni_a_55_64,lab_nni_a_65_74,lab_nni_a_75ov,lab_nni_tot,lab_1_149_a_15_19,lab_1_149_a_20_24,lab_1_149_a_25_34,lab_1_149_a_35_44,lab_1_149_a_45_54,lab_1_149_a_55_64,lab_1_149_a_65_74,lab_1_149_a_75ov,lab_1_149_tot,lab_150_299_a_15_19,lab_150_299_a_20_24,lab_150_299_a_25_34,lab_150_299_a_35_44,lab_150_299_a_45_54,lab_150_299_a_55_64,lab_150_299_a_65_74,lab_150_299_a_75ov,lab_150_299_tot,lab_300_399_a_15_19,lab_300_399_a_20_24,lab_300_399_a_25_34,lab_300_399_a_35_44,lab_300_399_a_45_54,lab_300_399_a_55_64,lab_300_399_a_65_74,lab_300_399_a_75ov,lab_300_399_tot,lab_400_499_a_15_19,lab_400_499_a_20_24,lab_400_499_a_25_34,lab_400_499_a_35_44,lab_400_499_a_45_54,lab_400_499_a_55_64,lab_400_499_a_65_74,lab_400_499_a_75ov,lab_400_499_tot,lab_500_649_a_15_19,lab_500_649_a_20_24,lab_500_649_a_25_34,lab_500_649_a_35_44,lab_500_649_a_45_54,lab_500_649_a_55_64,lab_500_649_a_65_74,lab_500_649_a_75ov,lab_500_649_tot,lab_650_799_a_15_19,lab_650_799_a_20_24,lab_650_799_a_25_34,lab_650_799_a_35_44,lab_650_799_a_45_54,lab_650_799_a_55_64,lab_650_799_a_65_74,lab_650_799_a_75ov,lab_650_799_tot,lab_800_999_a_15_19,lab_800_999_a_20_24,lab_800_999_a_25_34,lab_800_999_a_35_44,lab_800_999_a_45_54,lab_800_999_a_55_64,lab_800_999_a_65_74,lab_800_999_a_75ov,lab_800_999_tot,lab_1000_1249_a_15_19,lab_1000_1249_a_20_24,lab_1000_1249_a_25_34,lab_1000_1249_a_35_44,lab_1000_1249_a_45_54,lab_1000_1249_a_55_64,lab_1000_1249_a_65_74,lab_1000_1249_a_75ov,lab_1000_1249_tot,lab_1250_1499_a_15_19,lab_1250_1499_a_20_24,lab_1250_1499_a_25_34,lab_1250_1499_a_35_44,lab_1250_1499_a_45_54,lab_1250_1499_a_55_64,lab_1250_1499_a_65_74,lab_1250_1499_a_75ov,lab_1250_1499_tot,lab_1500_1749_a_15_19,lab_1500_1749_a_20_24,lab_1500_1749_a_25_34,lab_1500_1749_a_35_44,lab_1500_1749_a_45_54,lab_1500_1749_a_55_64,lab_1500_1749_a_65_74,lab_1500_1749_a_75ov,lab_1500_1749_tot,lab_1750_1999_a_15_19,lab_1750_1999_a_20_24,lab_1750_1999_a_25_34,lab_1750_1999_a_35_44,lab_1750_1999_a_45_54,lab_1750_1999_a_55_64,lab_1750_1999_a_65_74,lab_1750_1999_a_75ov,lab_1750_1999_tot,lab_2000_2999_a_15_19,lab_2000_2999_a_20_24,lab_2000_2999_a_25_34,lab_2000_2999_a_35_44,lab_2000_2999_a_45_54,lab_2000_2999_a_55_64,lab_2000_2999_a_65_74,lab_2000_2999_a_75ov,lab_2000_2999_tot,lab_3000mo_a_15_19,lab_3000mo_a_20_24,lab_3000mo_a_25_34,lab_3000mo_a_35_44,lab_3000mo_a_45_54,lab_3000mo_a_55_64,lab_3000mo_a_65_74,lab_3000mo_a_75ov,lab_3000mo_tot,lab_pins_a_15_19,lab_pins_a_20_24,lab_pins_a_25_34,lab_pins_a_35_44,lab_pins_a_45_54,lab_pins_a_55_64,lab_pins_a_65_74,lab_pins_a_75ov,lab_pins_tot,lab_tot_a_15_19,lab_tot_a_20_24,lab_tot_a_25_34,lab_tot_a_35_44,lab_tot_a_45_54,lab_tot_a_55_64,lab_tot_a_65_74,lab_tot_a_75ov,lab_tot_tot,oidns_nni_a_15_19,oidns_nni_a_20_24,oidns_nni_a_25_34,oidns_nni_a_35_44,oidns_nni_a_45_54,oidns_nni_a_55_64,oidns_nni_a_65_74,oidns_nni_a_75ov,oidns_nni_t,oidns_1_149_a_15_19,oidns_1_149_a_20_24,oidns_1_149_a_25_34,oidns_1_149_a_35_44,oidns_1_149_a_45_54,oidns_1_149_a_55_64,oidns_1_149_a_65_74,oidns_1_149_a_75ov,oidns_1_149_t,oidns_150_299_a_15_19,oidns_150_299_a_20_24,oidns_150_299_a_25_34,oidns_150_299_a_35_44,oidns_150_299_a_45_54,oidns_150_299_a_55_64,oidns_150_299_a_65_74,oidns_150_299_a_75ov,oidns_150_299_t,oidns_300_399_a_15_19,oidns_300_399_a_20_24,oidns_300_399_a_25_34,oidns_300_399_a_35_44,oidns_300_399_a_45_54,oidns_300_399_a_55_64,oidns_300_399_a_65_74,oidns_300_399_a_75ov,oidns_300_399_t,oidns_400_499_a_15_19,oidns_400_499_a_20_24,oidns_400_499_a_25_34,oidns_400_499_a_35_44,oidns_400_499_a_45_54,oidns_400_499_a_55_64,oidns_400_499_a_65_74,oidns_400_499_a_75ov,oidns_400_499_t,oidns_500_649_a_15_19,oidns_500_649_a_20_24,oidns_500_649_a_25_34,lga_name16
10050,92,240,286,363,328,92,4,1429,9,3,0,3,6,0,3,0,19,172,11,8,13,7,7,3,0,231,51,30,23,20,29,30,11,0,189,27,26,30,25,42,46,11,0,202,22,24,30,29,48,46,21,0,222,12,48,55,47,69,57,11,0,306,10,33,88,71,69,82,17,0,361,6,27,51,48,76,63,7,4,288,0,11,38,32,35,33,10,0,157,0,3,15,18,15,8,0,0,56,0,0,13,7,15,7,0,0,47,0,0,0,4,8,4,0,0,16,0,0,0,0,3,5,0,0,12,0,0,0,0,5,0,0,0,4,3,3,5,10,3,9,0,0,38,312,211,355,337,430,401,91,9,2153,0,0,3,3,7,0,3,0,12,3,0,0,0,0,0,0,0,12,7,3,0,0,0,0,0,3,18,0,8,0,3,3,0,4,0,18,0,3,3,3,6,0,3,0,23,0,0,5,Albury (C)
10130,57,77,70,111,113,29,5,483,7,0,5,0,3,3,0,0,17,76,12,14,7,10,3,0,0,120,28,36,19,14,19,19,8,0,134,10,35,27,9,18,19,9,0,130,9,33,22,24,22,18,9,3,141,14,36,74,46,33,27,7,0,244,12,32,77,41,43,39,3,0,254,4,12,46,23,48,36,3,0,173,0,10,17,18,25,11,3,0,84,0,0,4,8,12,3,0,0,32,0,0,0,0,3,4,0,0,15,0,0,0,0,3,3,0,0,5,0,0,0,0,0,3,0,0,7,0,0,0,0,5,0,3,0,4,4,10,6,4,3,3,0,0,33,166,207,313,200,245,197,57,6,1393,0,0,0,3,0,0,0,0,9,7,0,3,0,0,0,0,0,13,0,0,0,3,0,3,0,0,12,0,0,0,4,0,0,0,0,8,0,0,0,0,0,6,0,0,11,0,0,3,Armidale Regional (A)
10250,58,116,111,156,195,62,3,717,5,0,0,4,3,0,0,0,11,133,12,3,7,11,8,0,0,171,27,9,7,14,19,33,10,0,117,21,10,24,18,33,40,3,0,147,23,25,25,30,55,40,19,0,217,7,22,59,52,59,54,6,0,267,5,45,76,56,72,54,11,0,325,8,12,45,35,53,51,7,3,212,0,5,20,22,24,21,4,4,101,0,0,8,5,10,6,0,0,28,0,0,3,3,3,7,0,0,22,0,0,3,5,0,0,0,0,12,0,0,3,4,5,0,0,0,16,0,0,3,0,0,4,0,0,12,3,3,3,6,5,4,3,0,34,234,148,277,270,352,320,77,12,1695,0,0,0,0,3,0,0,0,3,3,0,0,3,0,3,0,0,11,3,0,0,0,0,0,3,0,9,0,0,3,5,0,3,0,3,23,0,0,0,4,9,4,0,0,21,0,0,4,Ballina (A)
10300,6,14,8,24,24,3,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,3,0,0,0,0,13,3,0,4,4,3,5,0,0,15,4,0,0,4,3,4,0,0,13,0,3,3,0,3,12,0,0,19,0,5,5,4,3,3,3,0,27,0,3,10,3,6,5,0,0,23,0,0,4,7,0,0,0,0,12,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,7,10,30,35,29,37,3,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,57,139,190,246,210,56,9,924,12,0,0,3,3,0,0,0,27,121,18,8,11,6,0,3,0,169,37,23,19,18,17,25,3,0,143,21,24,20,29,30,15,10,0,145,19,23,32,29,31,27,13,0,173,16,47,46,44,43,51,10,3,258,10,54,56,52,68,52,6,0,299,3,28,55,48,72,49,3,0,259,0,13,37,40,54,45,8,0,202,0,3,9,22,30,22,3,0,90,0,0,13,22,29,26,3,0,91,0,0,3,10,18,11,0,0,49,0,0,8,7,8,6,0,0,33,0,0,0,3,0,3,0,0,14,5,0,6,0,9,10,0,0,31,247,236,318,334,430,341,74,11,1982,4,0,0,3,0,0,0,0,15,4,3,0,0,0,0,0,3,16,3,5,3,6,0,0,0,0,15,4,0,0,6,0,3,0,0,19,0,0,3,0,0,6,0,0,16,0,3,0,Bathurst Regional (A)
10550,33,76,123,181,189,43,7,664,11,0,3,0,0,7,0,0,20,78,8,0,5,8,21,0,0,128,16,9,14,10,20,22,9,0,97,8,11,18,17,26,34,16,0,128,13,13,17,25,33,46,9,0,161,3,18,28,46,39,52,22,3,209,12,25,33,30,52,60,12,3,220,7,17,45,38,75,60,16,0,253,3,13,48,37,66,39,6,0,209,0,5,20,22,24,18,0,0,83,0,3,10,3,18,6,0,0,40,0,0,4,5,3,0,3,0,19,0,0,0,0,3,0,0,0,3,0,0,0,3,3,4,0,0,9,9,3,4,0,12,6,3,0,45,176,122,256,242,378,367,88,7,1624,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,0,15,0,0,0,3,0,10,3,0,18,0,0,0,0,0,9,3,0,18,0,3,3,Bega Valley (A)
10600,7,38,34,69,72,26,0,240,0,0,0,0,0,0,0,0,0,38,0,3,3,7,11,0,0,52,14,0,8,4,5,7,0,0,43,0,3,3,3,9,13,7,3,40,3,0,4,4,13,16,3,0,40,5,7,15,7,15,14,4,0,71,0,8,7,12,15,11,3,0,57,0,3,7,11,15,15,3,0,60,0,6,4,3,17,13,0,0,40,0,0,4,7,6,9,0,0,28,0,0,3,4,4,0,0,0,12,0,0,0,3,5,0,0,0,8,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,10,59,31,51,64,118,116,21,9,472,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,3,7,0,0,0,4,0,3,0,0,10,0,0,0,Bellingen (A)
10650,15,27,36,55,63,32,7,226,3,0,0,3,0,0,0,0,3,14,0,0,0,3,0,0,0,27,0,9,4,3,3,6,0,0,27,3,0,7,6,10,6,5,0,37,0,4,8,0,10,9,3,3,38,3,4,9,7,12,9,9,0,53,9,11,11,9,4,17,4,0,59,3,8,0,13,14,11,4,0,58,0,3,3,5,3,5,3,0,32,0,3,4,3,3,3,0,0,12,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,37,42,44,57,57,75,35,6,356,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Berrigan (A)
10750,1282,3711,3892,3873,2572,430,17,16044,41,8,15,7,11,3,0,0,94,584,73,33,35,30,25,11,0,792,236,140,82,71,103,94,22,0,748,93,139,116,99,126,103,23,3,709,68,140,160,126,169,145,42,0,855,72,181,241,229,298,196,52,7,1274,61,240,376,337,452,330,59,0,1846,41,194,363,370,422,327,65,0,1781,22,104,302,285,322,227,38,0,1292,0,49,147,176,153,124,13,0,663,0,22,103,89,121,61,9,0,409,3,12,45,67,49,30,6,0,213,0,9,37,60,52,39,0,0,192,0,0,10,9,15,8,5,0,45,23,31,33,32,41,22,5,0,187,1241,1342,2072,1986,2366,1733,353,24,11109,17,9,10,27,16,6,0,0,85,29,3,9,9,4,8,0,0,66,17,20,20,11,6,3,4,5,88,9,17,10,14,17,15,10,4,87,9,23,18,18,13,11,0,10,108,4,25,36,Blacktown (C)
10800,18,70,72,64,79,18,3,331,4,0,0,0,0,0,0,0,9,10,4,0,3,0,0,0,0,21,9,0,5,3,0,4,0,0,31,7,0,3,0,5,8,0,0,17,3,3,5,3,8,4,3,0,31,3,3,3,12,10,14,8,0,51,3,5,8,7,6,3,5,4,41,0,7,7,14,8,6,0,0,45,0,3,9,8,7,0,3,0,30,0,0,0,0,3,0,0,0,14,0,0,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,6,32,28,52,62,63,42,19,9,317,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,Bland (A)
