lga_code16,m_ind_15_19_pd_gd_gcl,m_ind_15_19_bdl,m_ind_15_19_adip_dipl,m_ind_15_19_ct_iii_iv,m_ind_15_19_ct_i_ii,m_ind_15_19_cl_nfd,m_ind_15_19_loe_ns,m_ind_15_19_tot,m_ind_20_24_pd_gd_gcl,m_ind_20_24_bdl,m_ind_20_24_adip_dipl,m_ind_20_24_ct_iii_iv,m_ind_20_24_ct_i_ii,m_ind_20_24_cl_nfd,m_ind_20_24_loe_ns,m_ind_20_24_tot,m_ind_25_34_pd_gd_gcl,m_ind_25_34_bdl,m_ind_25_34_adip_dipl,m_ind_25_34_ct_iii_iv,m_ind_25_34_ct_i_ii,m_ind_25_34_cl_nfd,m_ind_25_34_loe_ns,m_ind_25_34_tot,m_ind_35_44_pd_gd_gcl,m_ind_35_44_bdl,m_ind_35_44_adip_dipl,m_ind_35_44_ct_iii_iv,m_ind_35_44_ct_i_ii,m_ind_35_44_cl_nfd,m_ind_35_44_loe_ns,m_ind_35_44_tot,m_ind_45_54_pd_gd_gcl,m_ind_45_54_bdl,m_ind_45_54_adip_dipl,m_ind_45_54_ct_iii_iv,m_ind_45_54_ct_i_ii,m_ind_45_54_cl_nfd,m_ind_45_54_loe_ns,m_ind_45_54_tot,m_ind_55_64_pd_gd_gcl,m_ind_55_64_bdl,m_ind_55_64_adip_dipl,m_ind_55_64_ct_iii_iv,m_ind_55_64_ct_i_ii,m_ind_55_64_cl_nfd,m_ind_55_64_loe_ns,m_ind_55_64_tot,m_ind_65ov_ptgdde_gddp_gdct,m_ind_65ov_bdl,m_ind_65ov_adip_dipl,m_ind_65ov_ct_iii_iv,m_ind_65ov_ct_i_ii,m_ind_65ov_cl_nfd,m_ind_65ov_loe_ns,m_ind_65ov_tot,m_ind_tot_pd_gd_gcl,m_ind_tot_bdl,m_ind_tot_adip_dipl,m_ind_tot_ct_iii_iv,m_ind_tot_ct_i_ii,m_ind_tot_cl_nfd,m_ind_tot_loe_ns,m_ind_tot_tot,m_noni_15_19_pd_gd_gcl,m_noni_15_19_bdl,m_noni_15_19_adip_dipl,m_noni_15_19_ct_iii_iv,m_noni_15_19_ct_i_ii,m_noni_15_19_cl_nfd,m_noni_15_19_loe_ns,m_noni_15_19_tot,m_noni_20_24_pd_gd_gcl,m_noni_20_24_bdl,m_noni_20_24_adip_dipl,m_noni_20_24_ct_iii_iv,m_noni_20_24_ct_i_ii,m_noni_20_24_cl_nfd,m_noni_20_24_loe_ns,m_noni_20_24_tot,m_noni_25_34_pd_gd_gcl,m_noni_25_34_bdl,m_noni_25_34_adip_dipl,m_noni_25_34_ct_iii_iv,m_noni_25_34_ct_i_ii,m_noni_25_34_cl_nfd,m_noni_25_34_loe_ns,m_noni_25_34_tot,m_noni_35_44_pd_gd_gcl,m_noni_35_44_bdl,m_noni_35_44_adip_dipl,m_noni_35_44_ct_iii_iv,m_noni_35_44_ct_i_ii,m_noni_35_44_cl_nfd,m_noni_35_44_loe_ns,m_noni_35_44_tot,m_noni_45_54_pd_gd_gcl,m_noni_45_54_bdl,m_noni_45_54_adip_dipl,m_noni_45_54_ct_iii_iv,m_noni_45_54_ct_i_ii,m_noni_45_54_cl_nfd,m_noni_45_54_loe_ns,m_noni_45_54_tot,m_noni_55_64_pd_gd_gcl,m_noni_55_64_bdl,m_noni_55_64_adip_dipl,m_noni_55_64_ct_iii_iv,m_noni_55_64_ct_i_ii,m_noni_55_64_cl_nfd,m_noni_55_64_loe_ns,m_noni_55_64_tot,m_noni_65ov_ptgdde_gddp_gdct,m_noni_65ov_bdl,m_noni_65ov_adip_dipl,m_noni_65ov_ct_iii_iv,m_noni_65ov_ct_i_ii,m_noni_65ov_cl_nfd,m_noni_65ov_loe_ns,m_noni_65ov_tot,m_noni_totpdde_gddp_gdct,m_noni_tot_bdl,m_noni_tot_adip_dipl,m_noni_tot_ct_iii_iv,m_noni_tot_ct_i_ii,m_noni_tot_cl_nfd,m_noni_tot_loe_ns,m_noni_tot_tot,m_is_ns_15_19_pd_gd_gcll,m_is_ns_15_19_bdl,m_is_ns_15_19_adip_dipl,m_is_ns_15_19_ct_iii_iv_l,m_is_ns_15_19_ct_i_ii,m_is_ns_15_19_cl_nfd,m_is_ns_15_19_loe_ns,m_is_ns_15_19_tot,m_is_ns_20_24_pd_gd_gcll,m_is_ns_20_24_bdl,m_is_ns_20_24_addip_and_dipl,m_is_ns_20_24_ct_iii_iv_l,m_is_ns_20_24_ct_i_ii,m_is_ns_20_24_cl_nfd,m_is_ns_20_24_loe_ns,m_is_ns_20_24_tot,m_is_ns_25_34_pd_gd_gcll,m_is_ns_25_34_bdl,m_is_ns_25_34_addip_and_dipl,m_is_ns_25_34_ct_iii_iv_l,m_is_ns_25_34_ct_i_ii_l,m_is_ns_25_34_cl_nfd,m_is_ns_25_34_loe_ns,m_is_ns_25_34_tot,m_is_ns_35_44_pd_gd_gcll,m_is_ns_35_44_bdl,m_is_ns_35_44_adip_dipl,m_is_ns_35_44_ct_iii_iv_l,m_is_ns_35_44_ct_i_ii_l,m_is_ns_35_44_cl_nfd,m_is_ns_35_44_loe_ns,m_is_ns_35_44_tot,m_is_ns_45_54_pdde_gddp_gdc,m_is_ns_45_54_bdl,m_is_ns_45_54_adip_dipl,m_is_ns_45_54_ct_iii_iv_l,m_is_ns_45_54_ct_i_ii_l,m_is_ns_45_54_cl_nfd,m_is_ns_45_54_loe_ns,m_is_ns_45_54_tot,m_is_ns_55_64_pd_gd_gcl,m_is_ns_55_64_bdl,m_is_ns_55_64_adip_dipl,m_is_ns_55_64_ct_iii_iv_l,m_is_ns_55_64_ct_i_ii_l,m_is_ns_55_64_cl_nfd,m_is_ns_55_64_loe_ns,m_is_ns_55_64_tot,m_is_ns_65ov_pd_gd_gcl,m_is_ns_65ov_bdl,m_is_ns_65ov_adip_dipl,m_is_ns_65ov_ct_iii_iv_l,m_is_ns_65ov_ct_i_ii,m_is_ns_65ov_cl_nfd,m_is_ns_65ov_loe_ns,m_is_ns_65ov_tot,m_is_ns_totpdde_gddp_gdct,m_is_ns_tot_bdl,m_is_ns_tot_adip_dipl,m_is_ns_tot_ct_iii_iv_l,m_is_ns_tot_ct_i_ii,m_is_ns_tot_cl_nfd,m_is_ns_tot_loe_ns,m_is_ns_tot_tot,m_t_15_19_pd_gd_gcl,m_t_15_19_bdl,m_t_15_19_adip_dipl,m_t_15_19_ct_iii_iv,m_t_15_19_ct_i_ii,m_t_15_19_cl_nfd,m_t_15_19_loe_ns,m_t_15_19_tot,lga_name16
10050,0,0,0,4,0,0,12,15,0,0,3,17,3,0,8,24,0,4,0,21,0,3,5,41,3,0,3,19,3,0,9,38,0,0,10,18,0,0,5,30,0,3,0,6,0,0,5,13,0,0,3,3,0,0,3,11,3,13,15,89,5,5,41,178,0,0,4,73,12,6,56,148,3,62,52,447,42,21,40,661,118,430,278,1093,58,33,61,2069,173,435,254,927,28,39,83,1931,166,318,258,936,31,66,84,1863,180,279,268,864,18,60,101,1773,117,235,261,970,13,77,328,2005,762,1760,1371,5304,208,303,750,10456,0,0,0,0,0,0,91,92,0,0,0,5,0,0,131,136,3,0,3,3,0,0,221,232,0,0,0,3,0,0,180,183,0,0,3,8,0,0,198,209,3,0,0,15,0,0,199,221,0,0,3,7,0,0,294,306,7,0,11,45,0,0,1309,1372,0,0,4,75,17,6,152,248,Albury (C)
10130,0,0,0,5,0,0,13,20,0,0,0,16,3,0,11,32,0,0,5,38,3,3,11,61,4,0,5,19,0,6,10,47,4,0,0,20,0,3,11,43,4,3,3,13,0,3,11,33,0,6,0,10,0,3,11,22,15,14,19,117,8,18,61,249,0,0,3,59,19,9,39,131,3,85,22,203,29,18,29,392,166,297,82,400,23,18,39,1035,210,231,119,310,8,17,37,919,217,219,139,397,14,42,62,1097,232,208,116,384,12,31,55,1036,266,191,130,375,17,32,181,1189,1092,1235,606,2133,120,162,437,5784,0,0,0,0,0,0,94,97,0,0,0,0,0,0,123,123,0,3,0,3,0,0,116,121,3,3,0,3,0,0,90,98,0,0,0,3,0,0,124,127,0,0,0,0,0,0,118,124,0,3,0,9,0,0,147,163,8,11,3,15,0,0,809,847,0,0,3,71,19,9,138,236,Armidale Regional (A)
10250,0,0,0,3,0,0,9,9,0,0,0,11,0,0,3,14,0,3,5,23,3,3,3,38,3,10,10,23,0,0,4,57,0,7,7,16,0,8,3,40,0,4,6,16,0,0,3,34,0,4,7,14,0,0,3,30,5,27,36,108,9,8,34,223,0,0,4,26,16,3,54,98,3,31,15,194,22,11,22,288,54,257,111,582,23,26,49,1102,127,369,195,678,12,46,69,1497,177,392,229,800,13,47,85,1740,206,415,257,828,16,60,109,1890,226,445,382,1117,32,127,427,2761,792,1903,1201,4230,127,324,810,9382,0,0,0,0,0,0,66,66,0,0,0,0,0,0,46,51,0,0,0,0,0,0,102,107,3,3,0,4,0,0,133,136,0,5,0,4,0,0,171,178,0,0,5,10,0,0,210,223,0,0,0,7,0,0,265,280,3,13,5,25,0,4,993,1039,0,0,4,32,16,3,125,181,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,0,6,24,0,0,0,3,0,0,11,15,0,0,0,16,0,0,0,24,0,5,3,25,3,0,6,42,0,7,9,21,0,3,10,50,3,3,7,28,0,3,6,48,3,3,3,36,0,0,8,56,0,4,3,29,0,0,13,54,9,32,24,153,10,4,54,285,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,4,0,0,0,0,0,0,11,10,0,0,0,0,0,0,10,12,0,0,0,0,0,0,12,12,0,0,0,0,0,0,21,21,0,0,0,0,0,0,21,21,0,0,0,0,0,0,88,95,0,0,0,3,0,0,15,22,Balranald (A)
10470,0,0,0,0,0,0,18,23,0,0,5,23,7,0,52,83,0,3,5,43,5,0,90,141,0,3,6,31,0,3,46,96,0,3,8,11,0,3,23,47,0,3,9,6,0,0,8,27,3,0,0,8,0,0,8,16,3,14,28,133,14,5,239,433,0,0,4,52,15,3,57,141,6,81,27,323,28,13,141,609,87,313,137,880,30,34,303,1785,119,279,192,737,23,32,218,1597,145,257,230,806,25,33,171,1668,170,214,212,737,21,55,113,1514,149,217,185,759,14,78,256,1657,672,1360,988,4293,152,251,1264,8977,0,0,0,0,0,0,95,95,0,0,0,4,0,0,145,147,0,0,0,10,0,0,149,155,0,0,0,6,0,0,124,141,0,0,0,6,0,3,147,164,0,0,0,5,0,0,153,163,0,3,3,6,0,0,240,253,0,4,10,32,3,4,1049,1108,0,0,4,54,13,3,173,254,Bathurst Regional (A)
10550,0,0,0,3,0,0,10,8,0,0,0,11,3,0,0,17,0,0,0,19,0,0,7,24,0,3,0,12,0,0,7,23,3,0,3,11,0,0,3,25,0,7,5,8,0,0,4,21,0,4,0,4,0,0,7,16,7,9,9,64,3,0,33,130,0,0,0,25,5,3,67,99,3,15,13,178,14,14,23,247,35,75,54,450,21,21,40,695,56,149,101,495,19,30,56,905,79,197,157,716,17,35,78,1286,149,275,252,908,24,63,127,1789,173,387,301,972,20,84,371,2313,489,1097,873,3738,126,250,759,7338,0,0,0,0,0,0,54,54,0,0,0,3,0,0,47,50,0,0,0,4,0,0,80,85,0,3,0,7,0,0,90,103,0,0,3,7,0,0,173,183,0,4,0,11,0,0,202,218,3,3,3,10,0,0,278,296,3,9,9,46,0,0,917,985,0,0,0,28,5,3,132,162,Bega Valley (A)
10600,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,6,0,3,0,10,0,0,0,15,0,0,3,12,0,0,0,16,0,0,0,5,0,0,0,7,0,0,0,12,0,0,0,17,0,0,0,4,0,0,0,3,0,5,5,43,3,7,5,68,0,0,0,8,6,0,38,52,3,8,9,37,8,3,8,77,5,55,21,162,12,4,7,262,21,90,54,182,11,10,26,396,43,104,76,242,0,15,31,516,48,131,99,324,7,23,33,667,77,109,107,363,13,34,124,821,196,497,357,1318,59,94,262,2789,0,0,0,0,0,0,18,18,0,0,0,0,0,0,16,16,0,0,0,0,0,0,27,29,0,0,0,3,0,0,32,33,0,0,0,0,0,0,59,58,0,0,0,0,0,0,63,68,0,0,4,3,0,0,78,85,3,0,4,9,0,0,290,309,0,0,0,6,6,0,60,78,Bellingen (A)
10650,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,8,0,0,0,3,0,0,4,7,0,0,0,4,0,0,0,7,0,0,0,3,0,0,0,5,0,0,0,3,0,0,3,4,0,0,3,22,0,0,8,34,0,0,0,3,5,0,27,30,0,3,3,63,0,4,10,85,9,40,32,124,5,3,11,224,5,27,29,144,3,4,18,235,9,19,25,128,4,10,15,210,4,34,43,170,3,8,31,304,10,28,52,227,3,14,121,449,36,160,183,861,22,45,227,1525,0,0,0,0,0,0,22,22,0,0,0,3,0,0,20,23,0,0,0,0,0,0,36,36,0,0,0,0,0,0,33,36,0,0,0,0,0,0,35,36,0,0,0,0,0,0,54,54,0,0,0,4,0,0,91,100,0,0,3,6,0,0,294,308,0,0,0,3,5,0,45,56,Berrigan (A)
10750,0,0,4,26,3,0,47,78,0,8,13,96,6,8,57,191,8,14,28,126,5,7,92,282,8,8,17,70,7,8,62,189,9,13,32,77,3,5,63,198,3,10,14,36,3,8,41,116,3,8,4,26,0,3,28,66,30,69,110,463,33,39,385,1126,0,14,64,334,85,50,394,936,107,1160,802,1697,154,116,465,4505,2129,4947,2848,4535,231,374,1132,16192,3281,4919,2647,4738,177,470,1101,17328,1465,2981,1960,4540,165,409,916,12436,971,2132,1318,3561,125,348,776,9229,500,1315,746,3263,66,339,1246,7484,8453,17477,10382,22671,992,2106,6034,68120,0,0,0,4,0,0,456,464,0,10,3,12,0,0,458,480,3,15,12,14,3,0,1034,1081,3,10,8,19,0,3,988,1032,4,3,5,22,0,3,873,907,6,6,10,24,0,0,687,724,4,3,8,26,0,0,762,805,19,39,47,121,3,7,5263,5505,0,18,62,366,86,50,896,1487,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,3,7,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,3,0,0,5,5,0,0,0,16,0,0,9,34,0,0,0,14,3,4,8,33,0,4,0,52,3,0,7,62,4,32,13,106,3,0,5,163,3,22,22,101,3,9,17,181,3,23,17,91,3,4,13,161,7,14,16,95,0,19,23,169,3,17,13,107,3,11,62,214,19,100,86,564,21,39,142,972,0,0,0,0,0,0,16,16,0,0,0,0,0,0,10,10,0,0,0,0,0,0,34,34,0,0,0,3,0,0,28,34,0,0,0,0,0,0,38,39,0,0,0,0,0,0,53,53,0,0,0,0,0,0,58,61,0,0,0,7,0,0,239,244,0,0,0,14,3,4,22,42,Bland (A)
