lga_code16,pvte_2000_2999_mng,pvte_2000_2999_pro,pvte_2000_2999_tectw,pvte_2000_2999_copsw,pvte_2000_2999_claw,pvte_2000_2999_swks,pvte_2000_2999_maopdv,pvte_2000_2999_lab,pvte_2000_2999_idns,pvte_2000_2999_tot,pvte_3000mo_mng,pvte_3000mo_pro,pvte_3000mo_tectw,pvte_3000mo_copsw,pvte_3000mo_claw,pvte_3000mo_swks,pvte_3000mo_maopdv,pvte_3000mo_lab,pvte_3000mo_idns,pvte_3000mo_tot,pvte_pins_mng,pvte_pins_pro,pvte_pins_tectw,pvte_pins_copsw,pvte_pins_claw,pvte_pins_swks,pvte_pins_maopdv,pvte_pins_lab,pvte_pins_idns,pvte_pins_tot,pvte_tot_mng,pvte_tot_pro,pvte_tot_tectw,pvte_tot_copsw,pvte_tot_claw,pvte_tot_swks,pvte_tot_maopdv,pvte_tot_lab,pvte_tot_idns,pvte_tot_tot,ns_nni_mng,ns_nni_pro,ns_nni_tectw,ns_nni_copsw,ns_nni_claw,ns_nni_swks,ns_nni_maopdv,ns_nni_lab,ns_nni_idns,ns_nni_tot,ns_1_149_mng,ns_1_149_pro,ns_1_149_tectw,ns_1_149_copsw,ns_1_149_claw,ns_1_149_swks,ns_1_149_maopdv,ns_1_149_lab,ns_1_149_idns,ns_1_149_tot,ns_150_299_mng,ns_150_299_pro,ns_150_299_tectw,ns_150_299_copsw,ns_150_299_claw,ns_150_299_swks,ns_150_299_maopdv,ns_150_299_lab,ns_150_299_idns,ns_150_299_tot,ns_300_399_mng,ns_300_399_pro,ns_300_399_tectw,ns_300_399_copsw,ns_300_399_claw,ns_300_399_swks,ns_300_399_maopdv,ns_300_399_lab,ns_300_399_idns,ns_300_399_tot,ns_400_499_mng,ns_400_499_pro,ns_400_499_tectw,ns_400_499_copsw,ns_400_499_claw,ns_400_499_swks,ns_400_499_maopdv,ns_400_499_lab,ns_400_499_idns,ns_400_499_tot,ns_500_649_mng,ns_500_649_pro,ns_500_649_tectw,ns_500_649_copsw,ns_500_649_claw,ns_500_649_swks,ns_500_649_maopdv,ns_500_649_lab,ns_500_649_idns,ns_500_649_tot,ns_650_799_mng,ns_650_799_pro,ns_650_799_tectw,ns_650_799_copsw,ns_650_799_claw,ns_650_799_swks,ns_650_799_maopdv,ns_650_799_lab,ns_650_799_idns,ns_650_799_tot,ns_800_999_mng,ns_800_999_pro,ns_800_999_tectw,ns_800_999_copsw,ns_800_999_claw,ns_800_999_swks,ns_800_999_maopdv,ns_800_999_lab,ns_800_999_idns,ns_800_999_tot,ns_1000_1249_mng,ns_1000_1249_pro,ns_1000_1249_tectw,ns_1000_1249_copsw,ns_1000_1249_claw,ns_1000_1249_swks,ns_1000_1249_maopdv,ns_1000_1249_lab,ns_1000_1249_idns,ns_1000_1249_tot,ns_1250_1499_mng,ns_1250_1499_pro,ns_1250_1499_tectw,ns_1250_1499_copsw,ns_1250_1499_claw,ns_1250_1499_swks,ns_1250_1499_maopdv,ns_1250_1499_lab,ns_1250_1499_idns,ns_1250_1499_tot,ns_1500_1749_mng,ns_1500_1749_pro,ns_1500_1749_tectw,ns_1500_1749_copsw,ns_1500_1749_claw,ns_1500_1749_swks,ns_1500_1749_maopdv,ns_1500_1749_lab,ns_1500_1749_idns,ns_1500_1749_tot,ns_1750_1999_mng,ns_1750_1999_pro,ns_1750_1999_tectw,ns_1750_1999_copsw,ns_1750_1999_claw,ns_1750_1999_swks,ns_1750_1999_maopdv,ns_1750_1999_lab,ns_1750_1999_idns,ns_1750_1999_tot,ns_2000_2999_mng,ns_2000_2999_pro,ns_2000_2999_tectw,ns_2000_2999_copsw,ns_2000_2999_claw,ns_2000_2999_swks,ns_2000_2999_maopdv,ns_2000_2999_lab,ns_2000_2999_idns,ns_2000_2999_tot,ns_3000mo_mng,ns_3000mo_pro,ns_3000mo_tectw,ns_3000mo_copsw,ns_3000mo_claw,ns_3000mo_swks,ns_3000mo_maopdv,ns_3000mo_lab,ns_3000mo_idns,ns_3000mo_tot,ns_pins_mng,ns_pins_pro,ns_pins_tectw,ns_pins_copsw,ns_pins_claw,ns_pins_swks,ns_pins_maopdv,ns_pins_lab,ns_pins_idns,ns_pins_tot,ns_tot_mng,ns_tot_pro,ns_tot_tectw,ns_tot_copsw,ns_tot_claw,ns_tot_swks,ns_tot_maopdv,ns_tot_lab,ns_tot_idns,ns_tot_tot,lga_name16
10050,274,331,72,16,64,51,31,12,11,864,150,215,15,6,29,26,8,4,4,461,30,35,49,38,40,59,20,29,13,311,2283,3179,3015,2630,2562,3055,1349,2000,173,20248,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,4,0,4,10,18,0,0,0,3,0,0,0,0,7,16,0,0,0,0,0,3,0,0,10,20,0,0,0,0,0,3,0,3,14,28,0,0,0,0,3,0,0,4,10,18,6,3,3,3,0,0,3,3,8,30,0,0,7,0,0,0,0,0,8,15,0,4,0,0,3,0,0,0,3,14,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,3,48,64,13,22,25,17,7,8,5,28,139,263,Albury (C)
10130,142,163,25,3,27,13,9,7,6,397,70,99,4,3,15,15,3,4,3,223,46,27,22,17,12,16,8,27,6,187,1648,1523,1225,1184,1173,1309,420,1255,87,9823,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,3,6,10,3,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,5,11,0,0,3,0,0,3,0,0,3,10,5,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,15,21,11,0,11,4,3,3,3,13,62,121,Armidale Regional (A)
10250,132,209,28,11,28,25,18,15,8,476,122,144,14,0,13,26,3,12,3,340,26,29,19,26,17,22,6,27,11,179,1811,2147,1849,1686,1412,1672,666,1567,111,12914,0,3,0,0,3,0,0,0,3,11,0,0,3,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,8,11,3,4,5,3,0,0,0,0,12,29,0,3,0,3,0,0,0,3,7,16,0,4,0,0,0,0,0,0,16,24,3,0,0,4,0,3,0,4,11,26,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,7,4,4,0,0,0,22,44,12,15,22,13,8,8,4,13,91,189,Ballina (A)
10300,16,3,0,0,0,0,4,0,0,22,13,0,0,0,0,0,0,3,0,16,12,0,0,3,0,0,0,3,3,17,175,39,79,53,63,31,63,127,12,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,9,12,Balranald (A)
10470,204,224,92,8,40,25,30,32,11,659,97,105,21,4,21,16,7,9,0,289,32,10,34,19,22,28,15,30,12,213,1846,1949,2087,1737,1585,1838,834,1856,130,13857,3,0,0,0,0,0,0,0,10,13,0,0,4,0,0,0,0,0,16,20,0,0,0,3,0,0,0,0,10,17,0,3,0,3,0,0,0,0,9,12,3,0,4,0,0,3,0,0,5,16,0,0,0,0,0,0,0,4,7,15,0,3,0,0,3,0,0,3,13,24,0,0,0,3,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,4,0,6,5,0,3,3,0,7,21,41,14,15,21,12,6,6,3,12,111,191,Bathurst Regional (A)
10550,90,103,41,13,16,15,16,0,3,288,43,77,9,7,8,8,5,9,0,168,23,10,24,14,14,24,6,40,6,170,1564,1334,1511,1225,1084,1354,599,1542,108,10314,0,0,0,0,0,0,0,0,4,5,0,0,4,0,3,0,0,0,3,10,0,0,0,0,3,0,0,0,3,8,0,0,3,0,0,0,0,5,8,14,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,5,10,16,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,16,14,4,16,9,8,3,3,15,68,135,Bega Valley (A)
10600,22,36,24,0,9,4,9,4,3,106,23,25,7,0,0,0,0,3,0,63,11,8,10,7,4,7,3,10,3,56,549,410,452,373,290,295,209,423,35,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,12,3,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,10,8,0,0,0,4,3,9,20,52,Bellingen (A)
10650,35,14,3,0,0,0,0,4,3,68,25,5,0,0,0,7,0,3,0,49,17,0,4,0,3,0,3,4,0,42,626,178,320,273,233,192,209,328,26,2382,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,4,3,13,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,8,4,3,7,0,0,6,4,3,14,44,Berrigan (A)
10750,2043,1450,692,55,397,320,487,173,47,5667,1437,636,150,20,150,149,106,44,19,2720,139,124,190,85,125,148,222,165,68,1259,11103,11322,12164,7160,12273,10445,15571,10501,1146,91690,3,0,6,4,4,0,0,7,51,75,0,5,0,5,3,7,0,8,24,55,0,8,8,11,3,4,3,4,47,93,0,3,11,12,3,0,3,9,44,92,0,0,9,8,4,4,13,9,59,116,4,4,14,13,17,6,17,20,64,150,6,9,16,12,12,9,28,21,78,188,7,12,19,4,3,4,28,16,100,199,3,18,18,5,18,0,23,13,64,165,4,12,7,3,0,3,11,4,26,77,4,3,3,0,0,0,0,3,22,46,0,7,4,0,0,3,0,3,12,28,0,7,3,0,0,0,3,0,20,34,0,0,3,0,0,0,5,0,11,25,13,17,24,16,14,8,20,25,218,348,49,107,141,105,87,57,152,139,842,1678,Blacktown (C)
10800,40,27,47,0,4,0,38,5,4,158,48,25,7,0,4,0,10,3,3,100,25,0,7,0,0,7,3,6,0,54,680,163,331,142,192,152,296,283,21,2268,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11,0,0,0,0,0,0,7,28,49,Bland (A)
