LGA_MAIN11,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,LGA_NAME11
13500,42,1186,470,140,1130,1.1,907,2.5,Gundagai (A)
13550,40,1300,485,190,1200,1.1,937,2.5,Gunnedah (A)
13650,41,1083,418,150,985,1.1,805,2.5,Guyra (A)
13660,45,928,387,100,907,1.1,726,2.3,Gwydir (A)
13700,47,1083,424,140,1030,1.1,763,2.4,Harden (A)
13800,36,2029,622,280,1598,1.1,1385,2.8,Hawkesbury (C)
13850,43,1083,441,125,981,1.1,805,2.4,Hay (A)
13950,34,2058,517,330,1353,1.2,1209,2.8,Holroyd (C)
14000,39,2400,682,400,2119,1.1,1824,2.9,Hornsby (A)
14100,42,3000,820,390,2715,1.1,2178,2.6,Hunters Hill (A)
14150,37,2167,540,350,1475,1.2,1284,2.8,Hurstville (C)
14200,41,1200,430,160,963,1.1,792,2.5,Inverell (A)
14250,45,1000,449,80,1068,1.1,856,2.5,Jerilderie (A)
14300,39,1192,472,155,1142,1.1,895,2.5,Junee (A)
14350,45,1300,386,190,902,1.1,748,2.4,Kempsey (A)
14400,45,2000,564,300,1522,1.1,1234,2.5,Kiama (A)
14450,37,2167,605,380,1667,1.2,1463,2.8,Kogarah (C)
14500,41,3000,814,575,2679,1.1,2508,2.9,Ku-ring-gai (A)
14550,45,1083,376,170,883,1.1,714,2.4,Kyogle (A)
14600,40,867,445,110,985,1.1,846,2.4,Lachlan (A)
14650,41,1733,520,255,1396,1.1,1117,2.5,Lake Macquarie (C)
14700,37,2734,970,420,2637,1.1,2181,2.5,Lane Cove (A)
14750,36,1300,478,160,1195,1.1,966,2.5,Leeton (A)
14800,37,3000,1086,480,2738,1.1,2234,2.3,Leichhardt (A)
14850,40,1495,469,224,1123,1.1,907,2.4,Lismore (C)
14870,42,1452,450,170,1190,1.1,896,2.3,Lithgow (C)
14900,33,2167,510,295,1401,1.2,1299,3.2,Liverpool (C)
14920,44,1083,433,150,988,1.1,797,2.4,Liverpool Plains (A)
14950,44,997,456,100,1069,1.1,868,2.5,Lockhart (A)
15050,36,1733,562,259,1555,1.1,1292,2.7,Maitland (C)
15150,37,3033,985,520,2649,1.1,2221,2.5,Manly (A)
15200,36,2485,772,370,1964,1.2,1605,2.3,Marrickville (A)
15270,41,1551,449,200,1204,1.1,929,2.4,Mid-Western Regional (A)
15300,35,1300,558,140,1253,1.1,1053,2.5,Moree Plains (A)
15350,40,3033,1117,473,2838,1.1,2465,2.3,Mosman (A)
15500,47,1435,463,200,1043,1.1,845,2.3,Murray (A)
15550,38,1062,508,140,1109,1.1,894,2.5,Murrumbidgee (A)
15650,34,1733,619,230,1697,1.1,1399,2.6,Muswellbrook (A)
15700,49,1200,377,195,853,1.1,700,2.3,Nambucca (A)
15750,39,1300,520,140,1246,1.1,982,2.5,Narrabri (A)
15800,43,1075,453,140,1013,1.1,810,2.4,Narrandera (A)
15850,39,1083,492,145,1084,1.1,850,2.5,Narromine (A)
15900,37,1777,563,275,1530,1.1,1165,2.4,Newcastle (C)
15950,36,2700,1216,480,2768,1.2,2205,2.0,North Sydney (A)
16100,41,1517,525,170,1272,1.1,988,2.5,Oberon (A)
16150,36,1625,582,230,1472,1.1,1161,2.5,Orange (C)
16180,41,2165,824,250,2104,1.1,1813,2.7,Palerang (A)
16200,39,1300,456,150,1131,1.1,882,2.5,Parkes (A)
16250,33,2063,544,340,1451,1.2,1288,2.7,Parramatta (C)
16350,34,1983,623,300,1582,1.1,1398,2.9,Penrith (C)
16370,42,3000,754,498,2137,1.1,1819,2.7,Pittwater (A)
16380,47,1650,447,250,1008,1.1,837,2.3,Port Macquarie-Hastings (A)
16400,42,1725,498,250,1246,1.1,999,2.5,Port Stephens (A)
16470,35,2000,842,285,2066,1.1,1657,2.5,Queanbeyan (C)
16550,35,2600,718,440,2066,1.2,1577,2.4,Randwick (C)
16610,42,1300,407,200,956,1.1,789,2.4,Richmond Valley (A)
16650,36,2167,555,370,1443,1.2,1276,2.7,Rockdale (C)
16700,36,2329,635,370,1841,1.2,1466,2.6,Ryde (C)
16900,37,1900,479,250,1346,1.1,1126,2.7,Shellharbour (C)
16950,46,1517,426,220,984,1.1,822,2.3,Shoalhaven (C)
17000,35,2000,640,260,1927,1.1,1692,2.7,Singleton (A)
17050,38,1517,634,230,1405,1.1,1154,2.4,Snowy River (A)
17700,45,500,390,80,854,1.1,721,2.4,Urana (A)
17750,34,1549,586,220,1418,1.1,1149,2.5,Wagga Wagga (C)
17800,48,960,414,120,985,1.1,810,2.4,Wakool (A)
17850,44,867,459,100,1077,1.1,826,2.4,Walcha (A)
17900,41,810,386,100,959,1.1,706,2.3,Walgett (A)
17950,42,900,498,110,1128,1.1,874,2.4,Warren (A)
18000,38,2600,745,440,2080,1.1,1722,2.7,Warringah (A)
18020,45,870,380,120,869,1.1,689,2.4,Warrumbungle Shire (A)
18050,35,3000,973,500,2496,1.2,1912,2.3,Waverley (A)
18100,47,867,383,105,874,1.1,717,2.3,Weddin (A)
18150,41,1200,411,130,950,1.1,765,2.4,Wellington (A)
18200,42,1200,473,150,1095,1.1,886,2.5,Wentworth (A)
18250,37,2817,858,490,2479,1.2,1996,2.6,Willoughby (C)
