lga_name_2016,lga_code_2016,negnil_inc_be_wft,negnil_inc_be_wpt,negnil_inc_be_baw,negnil_inc_1eft_othpt,negnil_inc_1eft_othaw,negnil_inc_1eft_othnw,negnil_inc_1ept_othaw,negnil_inc_1ept_othnw,negnil_inc_1aw_othnw,negnil_inc_bnw,negnil_inc_lfsta_ns,negnil_inc_tot,i_1_149_be_wft,i_1_149_be_wpt,i_1_149_be_baw,i_1_149_1eft_othpt,i_1_149_1eft_othaw,i_1_149_1eft_othnw,i_1_149_1ept_othaw,i_1_149_1ept_othnw,i_1_149_1aw_othnw,i_1_149_bnw,i_1_149_lfsta_ns,i_1_149_tot,i_150_299_be_wft,i_150_299_be_wpt,i_150_299_be_baw,i_150_299_1eft_othpt,i_150_299_1eft_othaw,i_150_299_1eft_othnw,i_150_299_1ept_othaw,i_150_299_1ept_othnw,i_150_299_1aw_othnw,i_150_299_bnw,i_150_299_lfsta_ns,i_150_299_tot,i_300_399_be_wft,i_300_399_be_wpt,i_300_399_be_baw,i_300_399_1eft_othpt,i_300_399_1eft_othaw,i_300_399_1eft_othnw,i_300_399_1ept_othaw,i_300_399_1ept_othnw,i_300_399_1aw_othnw,i_300_399_bnw,i_300_399_lfsta_ns,i_300_399_tot,i_400_499_be_wft,i_400_499_be_wpt,i_400_499_be_baw,i_400_499_1eft_othpt,i_400_499_1eft_othaw,i_400_499_1eft_othnw,i_400_499_1ept_othaw,i_400_499_1ept_othnw,i_400_499_1aw_othnw,i_400_499_bnw,i_400_499_lfsta_ns,i_400_499_tot,i_500_649_be_wft,i_500_649_be_wpt,i_500_649_be_baw,i_500_649_1eft_othpt,i_500_649_1eft_othaw,i_500_649_1eft_othnw,i_500_649_1ept_othaw,i_500_649_1ept_othnw,i_500_649_1aw_othnw,i_500_649_bnw,i_500_649_lfsta_ns,i_500_649_tot,i_650_799_be_wft,i_650_799_be_wpt,i_650_799_be_baw,i_650_799_1eft_othpt,i_650_799_1eft_othaw,i_650_799_1eft_othnw,i_650_799_1ept_othaw,i_650_799_1ept_othnw,i_650_799_1aw_othnw,i_650_799_bnw,i_650_799_lfsta_ns,i_650_799_tot,i_800_999_be_wft,i_800_999_be_wpt,i_800_999_be_baw,i_800_999_1eft_othpt,i_800_999_1eft_othaw,i_800_999_1eft_othnw,i_800_999_1ept_othaw,i_800_999_1ept_othnw,i_800_999_1aw_othnw,i_800_999_bnw,i_800_999_lfsta_ns,i_800_999_tot,i_1000_1249_be_wft,i_1000_1249_be_wpt,i_1000_1249_be_baw,i_1000_1249_1eft_othpt,i_1000_1249_1eft_othaw,i_1000_1249_1eft_othnw,i_1000_1249_1ept_othaw,i_1000_1249_1ept_othnw,i_1000_1249_1aw_othnw,i_1000_1249_bnw,i_1000_1249_lfsta_ns,i_1000_1249_tot,i_1250_1499_be_wft,i_1250_1499_be_wpt,i_1250_1499_be_baw,i_1250_1499_1eft_othpt,i_1250_1499_1eft_othaw,i_1250_1499_1eft_othnw,i_1250_1499_1ept_othaw,i_1250_1499_1ept_othnw,i_1250_1499_1aw_othnw,i_1250_1499_bnw,i_1250_1499_lfsta_ns,i_1250_1499_tot,i_1500_1749_be_wft,i_1500_1749_be_wpt,i_1500_1749_be_baw,i_1500_1749_1eft_othpt,i_1500_1749_1eft_othaw,i_1500_1749_1eft_othnw,i_1500_1749_1ept_othaw,i_1500_1749_1ept_othnw,i_1500_1749_1aw_othnw,i_1500_1749_bnw,i_1500_1749_lfsta_ns,i_1500_1749_tot,i_1750_1999_be_wft,i_1750_1999_be_wpt,i_1750_1999_be_baw,i_1750_1999_1eft_othpt,i_1750_1999_1eft_othaw,i_1750_1999_1eft_othnw,i_1750_1999_1ept_othaw,i_1750_1999_1ept_othnw,i_1750_1999_1aw_othnw,i_1750_1999_bnw,i_1750_1999_lfsta_ns,i_1750_1999_tot,i_2000_2499_be_wft,i_2000_2499_be_wpt,i_2000_2499_be_baw,i_2000_2499_1eft_othpt,i_2000_2499_1eft_othaw,i_2000_2499_1eft_othnw,i_2000_2499_1ept_othaw,i_2000_2499_1ept_othnw,i_2000_2499_1aw_othnw,i_2000_2499_bnw,i_2000_2499_lfsta_ns,i_2000_2499_tot,i_2500_2999_be_wft,i_2500_2999_be_wpt,i_2500_2999_be_baw,i_2500_2999_1eft_othpt,i_2500_2999_1eft_othaw,i_2500_2999_1eft_othnw,i_2500_2999_1ept_othaw,i_2500_2999_1ept_othnw,i_2500_2999_1aw_othnw,i_2500_2999_bnw,i_2500_2999_lfsta_ns,i_2500_2999_tot,i_3000_3499_be_wft,i_3000_3499_be_wpt,i_3000_3499_be_baw,i_3000_3499_1eft_othpt,i_3000_3499_1eft_othaw,i_3000_3499_1eft_othnw,i_3000_3499_1ept_othaw,i_3000_3499_1ept_othnw,i_3000_3499_1aw_othnw,i_3000_3499_bnw,i_3000_3499_lfsta_ns,i_3000_3499_tot,i_3500_3999_be_wft,i_3500_3999_be_wpt,i_3500_3999_be_baw,i_3500_3999_1eft_othpt,i_3500_3999_1eft_othaw,i_3500_3999_1eft_othnw,i_3500_3999_1ept_othaw,i_3500_3999_1ept_othnw,i_3500_3999_1aw_othnw,i_3500_3999_bnw,i_3500_3999_lfsta_ns,i_3500_3999_tot,i_4000more_be_wft,i_4000more_be_wpt,i_4000more_be_baw,i_4000more_1eft_othpt,i_4000more_1eft_othaw,i_4000more_1eft_othnw,i_4000more_1ept_othaw,i_4000more_1ept_othnw
Albury (C),10050,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,3,0,3,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,21,0,42,0,3,0,3,0,15,0,20,0,33,0,79,3,5,0,11,0,24,0,23,3,40,0,112,5,14,0,19,4,64,0,35,3,52,0,198,22,18,3,83,8,118,4,33,0,38,3,332,42,19,0,182,16,105,6,30,5,43,0,451,52,11,0,196,13,100,9,13,6,23,0,425,63,16,0,192,20,77,8,19,3,13,0,414,206,38,12,391,41,106,18,19,4,14,3,848,207,19,5,257,42,52,9,8,3,9,0,606,144,14,3,196,16,23,6,4,0,3,0,407,102,3,3,61,10,27,7,4,0,0,0,219,141,6,9,129,13,36,7,0
Armidale Regional (A),10130,3,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,22,0,0,0,5,0,5,0,3,3,17,0,40,3,3,0,3,0,17,3,11,3,39,0,88,9,13,0,22,3,31,0,20,3,28,0,117,16,14,0,41,3,66,0,28,3,29,0,202,41,21,0,70,6,57,3,4,3,30,0,232,36,13,0,103,7,42,3,16,3,8,0,240,37,13,3,78,11,44,11,6,3,5,0,208,101,15,0,141,21,55,5,10,0,9,0,362,90,12,3,102,8,15,4,3,0,3,0,252,73,4,6,71,11,11,0,3,0,9,0,182,61,0,0,27,0,21,0,0,0,4,0,120,103,6,0,58,3,17,0,0
Ballina (A),10250,0,0,0,0,0,0,0,0,0,8,0,11,3,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,3,0,3,0,9,0,14,0,0,0,0,0,0,0,3,0,4,0,7,3,0,3,3,0,3,0,3,0,12,0,32,0,3,0,3,0,4,0,5,3,16,0,39,6,3,0,11,0,18,0,23,4,24,0,90,6,22,0,21,3,36,3,37,0,29,0,160,16,43,5,69,6,81,3,41,7,51,0,327,34,30,0,102,13,71,3,34,9,45,0,347,31,25,3,130,12,57,5,20,4,29,0,317,55,29,0,165,3,55,9,23,3,25,0,365,148,48,5,276,27,85,13,23,8,25,3,659,127,24,3,202,15,17,4,17,3,10,0,412,121,14,0,104,13,14,3,7,4,0,0,269,59,6,3,41,10,22,0,5,3,6,0,152,126,15,6,114,9,36,3,8
Balranald (A),10300,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,0,0,15,0,0,0,10,0,8,0,0,0,3,3,21,4,0,0,4,0,8,0,0,0,0,0,18,5,0,0,6,0,6,0,0,0,0,0,21,3,4,0,11,0,0,0,0,0,0,0,22,12,3,0,8,3,7,0,0,0,0,0,29,13,0,0,6,3,0,0,0,0,0,0,26,3,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,3,0,0
Bathurst Regional (A),10470,4,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,6,3,11,0,24,0,0,0,0,0,10,0,7,0,23,0,47,5,5,0,3,0,10,0,13,6,34,0,73,8,8,0,22,0,50,3,32,5,35,0,161,17,11,0,61,3,70,3,28,3,51,3,251,41,26,0,128,12,84,0,15,9,30,0,343,52,13,4,106,13,74,4,12,0,14,0,307,57,10,3,124,12,63,3,8,4,13,0,308,185,31,3,298,34,106,10,13,9,8,0,698,214,16,9,225,34,41,6,8,4,3,0,557,175,4,3,151,19,12,6,3,0,5,0,387,112,4,3,60,20,25,3,4,0,0,0,224,159,4,0,91,17,37,7,6
Bega Valley (A),10550,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,3,0,0,0,3,5,0,0,5,0,0,0,3,0,15,0,28,0,8,0,4,0,8,0,12,3,19,0,57,3,9,0,10,0,15,0,21,3,30,0,85,6,14,3,19,4,39,3,30,3,29,0,149,24,24,0,78,0,83,4,31,3,40,0,287,25,35,4,91,8,65,4,24,3,31,4,291,29,24,0,103,11,37,3,7,3,16,0,240,40,19,4,96,8,32,5,7,6,16,0,238,122,18,4,194,18,53,7,8,3,17,0,441,78,8,3,97,9,16,4,3,0,7,0,228,60,6,0,41,9,11,0,3,0,4,0,130,42,0,0,24,4,9,0,0,3,0,0,78,48,5,3,41,3,11,0,5
Bellingen (A),10600,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,6,0,21,0,3,0,3,0,0,0,5,0,4,0,19,0,5,0,4,0,3,0,13,0,20,0,52,0,12,0,11,0,9,0,13,0,16,0,71,7,21,0,33,5,30,5,18,0,14,0,127,13,14,0,32,3,27,0,13,6,13,0,122,11,5,0,30,0,19,3,10,0,8,0,93,21,14,0,31,4,19,0,3,0,7,0,102,39,18,0,59,6,17,3,3,0,8,0,160,35,3,0,32,3,9,0,3,0,0,0,86,21,3,0,13,3,6,0,0,0,0,0,48,11,3,0,11,3,5,0,0,0,0,0,38,22,3,0,16,4,5,0,0
Berrigan (A),10650,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,5,0,0,0,0,0,14,0,0,0,0,0,5,0,5,4,3,0,13,3,4,0,8,0,12,0,4,3,10,0,42,10,6,0,28,0,11,0,3,0,6,0,67,15,3,0,29,3,18,0,3,0,6,0,79,4,4,0,26,5,11,0,7,3,4,0,67,15,0,0,32,0,17,0,0,0,0,0,75,36,3,0,50,9,9,3,0,0,5,0,127,24,3,3,16,5,4,0,0,0,0,0,57,11,0,0,10,0,0,0,0,0,0,0,27,9,0,0,8,0,0,0,0,0,0,0,17,14,0,0,11,0,3,0,0
Blacktown (C),10750,12,3,0,3,0,15,0,15,4,197,3,253,5,0,0,0,0,11,0,12,0,64,3,94,0,5,0,4,0,14,0,44,7,92,0,172,4,0,0,0,0,13,7,42,4,55,3,128,3,3,0,3,0,50,4,99,17,235,0,423,3,18,3,22,0,167,3,178,30,237,10,671,9,42,6,46,7,344,0,231,23,376,7,1095,29,90,6,122,8,798,14,301,49,388,14,1823,86,162,10,395,33,1283,26,334,80,492,20,2914,307,176,32,801,70,1287,34,279,66,456,19,3527,456,131,17,944,81,1311,40,193,63,337,9,3582,744,124,25,1092,124,1120,29,156,35,335,12,3793,2544,219,58,2236,298,2004,81,248,77,457,28,8250,2491,135,50,1845,274,760,56,105,34,235,9,5991,2013,90,40,1149,195,390,28,73,20,153,0,4160,1383,42,27,483,122,554,10,46,20,58,7,2750,2446,72,45,1064,184,512,19,49
Bland (A),10800,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,11,0,0,0,0,0,3,0,4,0,6,0,12,3,3,0,7,0,5,0,0,0,9,0,25,5,3,0,24,4,15,0,3,0,9,0,62,5,3,0,16,0,8,0,3,0,0,0,42,13,0,0,17,0,5,0,3,0,0,0,41,11,3,0,14,0,10,0,0,0,0,0,45,15,0,0,33,3,12,0,3,0,0,0,69,15,0,0,21,3,4,0,0,0,0,0,42,11,0,0,20,3,0,0,0,0,0,0,34,12,0,0,0,0,6,0,0,0,0,0,20,20,0,0,10,0,0,0,0
