lga_name_2016,lga_code_2016,t_ei_ns_indst_nsp,t_ei_ns_totm,t_ei_ns_totf,t_ei_ns_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indigstat_nsm,tot_indigstat_nsf,tot_indigstat_nsp,tot_totm,tot_totf,tot_totp
Albury (C),10050,2973,1902,2004,3902,299,312,611,5450,6311,11756,1538,1522,3063,7283,8145,15435
Armidale Regional (A),10130,1851,1176,1267,2442,454,477,933,3969,4464,8433,934,976,1908,5364,5914,11275
Ballina (A),10250,2290,1574,1737,3309,266,300,568,4242,4606,8853,1161,1208,2373,5676,6118,11793
Balranald (A),10300,207,147,128,273,43,38,87,209,207,420,109,99,211,369,348,712
Bathurst Regional (A),10470,2426,2398,1655,4052,602,489,1082,5656,5338,10993,1234,1297,2532,7487,7121,14604
Bega Valley (A),10550,2073,1448,1538,2982,205,240,444,2948,3231,6180,1085,1089,2172,4237,4559,8796
Bellingen (A),10600,702,482,535,1017,82,96,179,1228,1442,2670,375,390,769,1687,1926,3617
Berrigan (A),10650,686,453,472,925,29,41,75,749,835,1589,353,359,707,1134,1236,2373
Blacktown (C),10750,12683,10627,9927,20552,2107,1934,4047,46336,46317,92649,6597,6696,13291,55043,54952,109991
Bland (A),10800,565,365,376,742,50,65,117,594,657,1245,282,296,573,925,1012,1940
Blayney (A),10850,412,301,277,573,69,59,126,777,906,1685,239,212,454,1086,1172,2262
Blue Mountains (C),10900,2853,1848,1968,3820,380,431,809,9076,9688,18763,1475,1516,2993,10924,11634,22558
Bogan (A),10950,231,167,165,327,79,110,193,191,232,424,128,107,240,397,448,852
Botany Bay (C),11100,2477,1701,1721,3419,122,149,271,6137,6168,12302,1287,1241,2526,7546,7559,15104
Bourke (A),11150,435,267,266,536,133,166,302,126,142,270,226,217,442,488,522,1012
Brewarrina (A),11200,83,123,78,196,179,168,345,53,53,105,44,43,89,275,262,538
Broken Hill (C),11250,964,822,810,1634,327,309,642,1546,1717,3261,495,518,1010,2369,2544,4914
Hilltops (A),13910,977,733,783,1510,188,155,347,1848,2126,3975,511,523,1040,2553,2804,5353
Hornsby (A),14000,3658,2651,2978,5623,132,170,297,20027,20780,40809,1904,1929,3831,22062,22880,44940
Hunters Hill (A),14100,604,386,381,763,47,10,57,2252,1783,4037,317,302,626,2613,2101,4715
Inner West (A),14170,11553,6975,6823,13796,316,355,672,20511,22094,42604,5998,5785,11781,26830,28234,55060
Inverell (A),14200,1096,735,789,1529,286,259,542,1556,1696,3249,559,594,1153,2396,2547,4948
Junee (A),14300,420,1151,288,1441,284,70,355,1161,609,1771,230,205,435,1677,883,2559
Kempsey (A),14350,1975,1923,1599,3526,793,712,1502,2627,2538,5166,1018,1060,2081,4435,4304,8744
Kiama (A),14400,1084,718,773,1488,68,81,149,2410,2444,4848,555,574,1126,3034,3094,6127
Ku-ring-gai (A),14500,3448,2257,2634,4894,53,42,97,18197,18605,36798,1694,1874,3567,19947,20514,40457
Kyogle (A),14550,700,473,426,900,67,76,147,783,906,1692,399,328,730,1258,1307,2566
Lachlan (A),14600,565,400,378,780,198,239,437,452,481,928,295,277,574,936,1005,1942
Lake Macquarie (C),14650,6002,4913,5381,10285,1600,1624,3232,21616,23166,44782,3174,3160,6336,26394,27953,54344
Lane Cove (A),14700,1415,865,850,1718,46,20,70,4841,4616,9462,756,698,1448,5639,5339,10979
Leeton (A),14750,813,574,585,1153,123,150,270,1238,1357,2597,420,422,844,1782,1932,3709
Lismore (C),14850,2853,1809,1870,3674,496,476,972,4602,5198,9798,1473,1486,2956,6568,7157,13728
Lithgow (C),14870,1671,1569,1177,2741,285,236,519,2276,2079,4349,880,861,1740,3439,3175,6611
Liverpool (C),14900,11244,7881,7938,15817,601,596,1204,27932,29262,57190,5867,5780,11653,34401,35645,70047
Liverpool Plains (A),14920,577,385,424,809,164,177,342,629,680,1313,288,305,597,1080,1160,2248
Lockhart (A),14950,227,125,169,297,19,21,43,278,349,629,102,129,229,402,505,906
Maitland (C),15050,2993,2219,2198,4419,844,864,1702,8991,9487,18484,1603,1545,3150,11439,11897,23334
Mid-Coast (A),15240,4939,3560,3883,7444,1145,1159,2301,7390,8360,15755,2570,2659,5227,11102,12186,23289
Mid-Western Regional (A),15270,2033,1339,1308,2650,269,260,527,2330,2427,4755,1081,1051,2133,3678,3740,7415
Moree Plains (A),15300,1316,908,856,1760,468,532,1001,952,1005,1962,696,650,1342,2118,2190,4311
Mosman (A),15350,1743,980,1091,2071,9,6,15,3347,3743,7092,843,926,1769,4192,4678,8872
Murray River (A),15520,711,506,557,1067,54,94,148,1028,1217,2247,371,365,737,1460,1677,3140
Murrumbidgee (A),15560,360,254,220,480,60,54,116,428,347,777,198,172,366,687,577,1262
Muswellbrook (A),15650,853,862,584,1448,286,245,531,1875,1728,3601,469,430,902,2630,2410,5036
Nambucca (A),15700,1082,855,911,1763,312,325,633,1652,1865,3513,581,574,1154,2543,2759,5304
Narrabri (A),15750,1175,757,804,1562,296,291,585,1088,1233,2326,607,615,1223,1995,2140,4137
Narrandera (A),15800,525,339,372,706,96,123,218,491,574,1070,267,270,535,861,963,1827
Narromine (A),15850,520,360,358,718,256,271,527,481,484,965,271,271,543,1007,1027,2036
Newcastle (C),15900,5243,4503,4845,9353,1070,1118,2192,20330,21414,41742,2870,2622,5492,24272,25155,49427
North Sydney (A),15950,4724,2542,2723,5270,30,28,56,5693,6719,12413,2324,2441,4760,8050,9183,17233
Northern Beaches (A),15990,10529,6650,7425,14077,279,284,566,32243,33240,65478,5321,5528,10850,37844,39058,76898
Oberon (A),16100,463,440,294,732,40,29,67,618,535,1158,250,223,470,910,784,1698
Orange (C),16150,2071,1452,1490,2937,509,527,1040,4532,4845,9375,1101,1063,2166,6148,6436,12589
Parkes (A),16200,1094,703,798,1501,292,272,560,1339,1596,2935,561,579,1141,2192,2438,4629
Parramatta (C),16260,10304,8302,7024,15328,492,339,834,30206,29246,59452,5364,5190,10558,36068,34778,70845
Burwood (A),11300,1556,1019,1076,2098,23,22,47,5364,5824,11184,776,816,1591,6165,6664,12822
Byron (A),11350,3487,2052,2085,4136,101,114,215,3051,3412,6461,1786,1818,3611,4941,5348,10292
Cabonne (A),11400,743,563,564,1127,119,120,236,1526,1696,3217,404,392,798,2045,2208,4253
Camden (A),11450,2763,1902,2048,3947,429,399,828,10021,10758,20786,1438,1465,2906,11893,12626,24523
Campbelltown (C) (NSW),11500,7122,4953,5616,10570,1214,1295,2511,19188,20201,39395,3580,3843,7419,23984,25344,49326
Canada Bay (A),11520,4317,2522,2748,5277,70,80,152,10335,10964,21300,2140,2260,4402,12551,13308,25854
Canterbury-Bankstown (A),11570,15434,11911,11761,23678,451,533,987,48334,48093,96427,8063,8016,16077,56841,56648,113490
Carrathool (A),11600,189,142,123,261,29,47,72,243,259,504,100,94,199,368,402,776
Central Coast (C) (NSW),11650,14300,10230,11303,21528,2566,2681,5244,35610,38483,74094,7313,7713,15027,45483,48877,94365
Central Darling (A),11700,200,186,151,334,109,119,232,85,77,158,108,94,206,303,292,597
Cessnock (C),11720,3113,2930,2291,5222,1000,749,1750,5945,5922,11863,1575,1654,3230,8512,8332,16844
Clarence Valley (A),11730,2964,2406,2137,4546,713,636,1354,4644,4823,9467,1611,1518,3130,6974,6977,13949
Cobar (A),11750,448,318,273,592,113,120,228,390,435,824,252,208,465,748,767,1517
Coffs Harbour (C),11800,4057,2826,3053,5879,748,805,1552,7454,8466,15927,2086,2125,4206,10290,11396,21687
Coolamon (A),12000,389,253,244,502,30,41,73,475,487,962,200,202,402,713,728,1440
Coonamble (A),12150,505,337,332,667,221,236,456,167,196,364,262,256,521,646,688,1334
Cowra (A),12350,833,582,601,1185,188,180,361,1062,1211,2275,415,448,863,1667,1829,3499
Cumberland (A),12380,9099,7360,7100,14466,238,225,465,30701,29901,60598,4810,4654,9467,35755,34781,70534
Dungog (A),12700,510,376,374,753,99,98,198,916,965,1881,284,268,553,1303,1335,2636
Edward River (A),12730,721,479,485,962,63,63,129,800,898,1700,388,377,769,1251,1348,2594
Eurobodalla (A),12750,2278,1724,1771,3494,409,416,831,2991,3270,6261,1218,1162,2373,4613,4853,9463
Fairfield (C),12850,6742,6008,6158,12169,271,286,553,27047,28317,55369,3566,3523,7093,30883,32127,63014
Federation (A),12870,831,608,610,1218,42,40,76,1187,1320,2510,431,438,866,1656,1799,3456
Forbes (A),12900,672,483,460,947,208,235,441,859,964,1821,391,335,722,1459,1530,2985
Georges River (A),12930,4930,3516,3639,7158,137,174,313,19798,19900,39700,2533,2586,5119,22464,22661,45133
Gilgandra (A),12950,248,211,204,414,109,97,211,333,395,733,142,118,262,594,615,1207
Glen Innes Severn (A),13010,707,631,524,1154,128,103,232,882,861,1738,341,387,730,1356,1347,2699
Goulburn Mulwaree (A),13310,1482,1699,1186,2884,321,224,547,3571,3259,6828,803,758,1561,4695,4241,8938
Greater Hume Shire (A),13340,540,381,427,813,89,79,171,1240,1314,2551,275,283,560,1599,1683,3279
Griffith (C),13450,2032,1364,1394,2760,212,211,428,2761,2848,5617,1047,1027,2080,4026,4093,8114
Gundagai (A),13510,616,475,456,932,105,87,186,1058,1141,2197,355,313,675,1520,1541,3061
Gunnedah (A),13550,750,538,574,1115,311,323,632,1007,1169,2177,392,394,787,1718,1883,3598
Gwydir (A),13660,426,313,267,583,51,70,122,449,453,910,245,198,446,749,722,1478
Hawkesbury (C),13800,3116,2038,2078,4116,488,485,979,7350,7927,15276,1625,1601,3224,9465,10009,19471
Hay (A),13850,297,188,191,376,36,38,77,240,272,509,164,156,314,439,465,902
Penrith (C),16350,8453,6576,6478,13059,1666,1643,3309,23505,24742,48248,4383,4402,8787,29546,30787,60338
Port Macquarie-Hastings (A),16380,3896,2785,2974,5759,653,721,1373,7635,8587,16225,2060,2033,4095,10346,11345,21684
Port Stephens (A),16400,4111,2782,2866,5653,652,695,1345,6910,7379,14290,2168,2102,4270,9735,10180,19912
Queanbeyan-Palerang Regional (A),16490,3409,2202,2115,4319,381,329,710,6551,6789,13347,1810,1712,3525,8743,8833,17578
Randwick (C),16550,8660,6786,5299,12089,613,385,996,21362,20463,41832,4484,4361,8838,26456,25207,51664
Richmond Valley (A),16610,1424,1059,1050,2107,351,364,715,2110,2398,4510,774,734,1505,3234,3499,6731
Rockdale (C),16650,5568,3781,3841,7625,117,113,236,13821,13954,27770,2857,2854,5713,16794,16928,33724
Ryde (C),16700,3928,2669,2863,5534,83,101,183,15859,16518,32383,2017,2049,4060,17967,18664,36631
Shellharbour (C),16900,2707,2032,2228,4260,570,579,1149,7850,8552,16400,1419,1449,2864,9834,10578,20408
Shoalhaven (C),16950,5446,4711,4255,8970,1163,1166,2330,9542,9855,19403,2876,2791,5665,13587,13810,27396
Singleton (A),17000,1449,926,909,1830,233,276,504,2480,2664,5146,783,732,1512,3491,3672,7163
Snowy Monaro Regional (A),17040,1457,1202,961,2167,110,69,179,2303,2219,4526,773,737,1510,3187,3031,6216
Snowy Valleys (A),17080,1000,878,728,1610,134,139,272,1516,1508,3024,534,522,1056,2182,2167,4344
The Hills Shire (A),17420,3690,2557,2770,5336,182,176,356,23192,23281,46468,1935,1957,3890,25303,25411,50716
Tweed (A),17550,5198,3723,4054,7773,731,764,1494,8747,9946,18694,2699,2743,5436,12173,13450,25623
Upper Hunter Shire (A),17620,1041,683,727,1410,156,167,322,1403,1574,2978,521,579,1101,2078,2312,4393
Upper Lachlan Shire (A),17640,509,373,323,691,30,38,62,729,785,1519,287,248,537,1047,1070,2112
Uralla (A),17650,329,252,265,508,75,99,176,614,709,1326,172,184,355,863,996,1853
Wagga Wagga (C),17750,2939,2042,2042,4080,693,806,1493,7314,8179,15493,1610,1476,3085,9615,10455,20074
