lga_name_2016,lga_code_2016,p_foodhosppersserv_occ_mng,p_foodhosppersserv_occ_pro,p_foodhosppersserv_occ_ttw,p_foodhosppersserv_occ_cps,p_foodhosppersserv_occ_ca,p_foodhosppersserv_occ_sal,p_foodhosppersserv_occ_mod,p_foodhosppersserv_occ_lab,p_foodhosppersserv_occ_idns,p_foodhosppersserv_total,p_mixfieldprog_occ_mng,p_mixfieldprog_occ_pro,p_mixfieldprog_occ_ttw,p_mixfieldprog_occ_cps,p_mixfieldprog_occ_ca,p_mixfieldprog_occ_sal,p_mixfieldprog_occ_mod,p_mixfieldprog_occ_lab,p_mixfieldprog_occ_idns,p_mixfieldprog_total,p_fs_id_occ_mng,p_fs_id_occ_pro,p_fs_id_occ_ttw,p_fs_id_occ_cps,p_fs_id_occ_ca,p_fs_id_occ_sal,p_fs_id_occ_mod,p_fs_id_occ_lab,p_fs_id_occ_idns,p_fs_id_total,p_fs_ns_occ_mng,p_fs_ns_occ_pro,p_fs_ns_occ_ttw,p_fs_ns_occ_cps,p_fs_ns_occ_ca,p_fs_ns_occ_sal,p_fs_ns_occ_mod,p_fs_ns_occ_lab,p_fs_ns_occ_idns,p_fs_ns_total,p_tot_occ_mng,p_tot_occ_pro,p_tot_occ_ttw,p_tot_occ_cps,p_tot_occ_ca,p_tot_occ_sal,p_tot_occ_mod,p_tot_occ_lab,p_tot_occ_idns,p_total_total
Albury (C),10050,115,20,377,170,92,125,52,94,8,1058,3,6,0,5,4,3,0,4,0,28,25,31,14,18,21,10,22,17,0,165,29,28,58,42,27,46,37,77,48,388,1848,4172,2690,1948,1880,917,734,898,188,15285
Armidale Regional (A),10130,41,9,151,58,40,40,19,47,3,411,0,0,3,3,0,4,0,3,0,9,19,19,8,11,9,3,8,4,0,82,38,47,21,23,18,22,15,45,18,244,1218,2698,1052,956,1023,432,214,610,103,8299
Ballina (A),10250,88,18,284,142,71,81,21,60,13,777,3,0,0,0,3,0,0,0,0,13,24,28,11,15,15,7,6,13,4,124,24,24,64,41,28,33,24,58,50,340,1627,3646,1915,1549,1322,708,348,756,187,12065
Balranald (A),10300,7,0,13,0,3,0,3,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,7,0,6,7,3,0,5,8,3,41,78,79,79,56,45,6,27,65,3,440
Bathurst Regional (A),10470,82,23,269,118,59,53,30,79,7,727,0,4,0,0,4,3,0,4,0,19,17,15,16,18,24,7,21,8,12,129,34,22,59,33,34,27,29,65,44,339,1576,3194,2113,1663,1429,688,555,846,165,12216
Bega Valley (A),10550,82,15,242,89,55,67,18,98,9,664,0,0,0,0,0,0,0,4,0,8,27,19,14,19,17,5,5,17,0,116,47,32,59,38,28,40,21,58,22,352,1188,1979,1589,1116,874,555,322,769,104,8492
Bellingen (A),10600,29,4,77,17,18,17,12,19,3,195,0,0,0,0,0,0,0,0,0,4,8,11,3,5,5,0,4,3,3,46,12,7,23,11,16,14,9,20,8,123,471,987,534,431,338,177,141,240,52,3367
Berrigan (A),10650,25,3,45,21,12,12,3,21,0,153,0,0,0,0,0,0,0,0,0,3,11,0,3,3,0,0,4,3,0,26,20,6,20,14,11,10,13,14,6,121,413,368,309,260,188,90,115,181,25,1954
Blacktown (C),10750,432,127,1413,612,554,469,454,442,73,4578,19,8,14,16,18,14,33,43,6,177,148,215,183,176,266,125,259,173,56,1602,183,200,359,266,312,188,426,403,478,2813,10817,26152,14660,10673,15473,6055,7260,6110,1815,99021
Bland (A),10800,20,0,22,15,3,3,6,8,0,78,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,11,29,3,11,5,3,10,14,11,10,89,364,254,248,123,142,69,115,112,24,1442
