lga_name_2016,lga_code_2016,one_method_train_m,one_method_train_f,one_method_train_p,one_method_bus_m,one_method_bus_f,one_method_bus_p,one_method_ferry_m,one_method_ferry_f,one_method_ferry_p,one_met_tram_incl_lt_rail_m,one_met_tram_incl_lt_rail_f,one_met_tram_incl_lt_rail_p,one_method_taxi_m,one_method_taxi_f,one_method_taxi_p,one_method_car_as_driver_m,one_method_car_as_driver_f,one_method_car_as_driver_p,one_method_car_as_passenger_m,one_method_car_as_passenger_f,one_method_car_as_passenger_p,one_method_truck_m,one_method_truck_f,one_method_truck_p,one_method_motorbike_scootr_m,one_method_motorbike_scootr_f,one_method_motorbike_scootr_p,one_method_bicycle_m,one_method_bicycle_f,one_method_bicycle_p,one_method_other_m,one_method_other_f,one_method_other_p,one_method_walked_only_m,one_method_walked_only_f,one_method_walked_only_p,one_method_tot_one_method_m,one_method_tot_one_method_f,one_method_tot_one_method_p,two_methods_train_bus_m,two_methods_train_bus_f,two_methods_train_bus_p,two_methods_train_ferry_m,two_methods_train_ferry_f,two_methods_train_ferry_p,two_mt_trn_trm_incl_lt_rl_m,two_mt_trn_trm_incl_lt_rl_f,two_mt_trn_trm_incl_lt_rl_p,two_methods_trn_car_as_drvr_m,two_methods_trn_car_as_drvr_f,two_methods_trn_car_as_drvr_p,two_methods_trn_car_as_pass_m,two_methods_trn_car_as_pass_f,two_methods_trn_car_as_pass_p,two_methods_train_other_m,two_methods_train_other_f,two_methods_train_other_p,two_methods_train_tot_m,two_methods_train_tot_f,two_methods_train_tot_p,two_methods_bus_ferry_m,two_methods_bus_ferry_f,two_methods_bus_ferry_p,two_mth_bu_trm_inc_lt_rl_m,two_mth_bu_trm_inc_lt_rl_f,two_mth_bu_trm_inc_lt_rl_p,two_methods_bus_car_as_drvr_m,two_methods_bus_car_as_drvr_f,two_methods_bus_car_as_drvr_p,two_methods_bus_car_as_pass_m,two_methods_bus_car_as_pass_f,two_methods_bus_car_as_pass_p,two_methods_bus_other_m,two_methods_bus_other_f,two_methods_bus_other_p,two_methods_bus_tot_m,two_methods_bus_tot_f,two_methods_bus_tot_p,two_methds_othr_two_methds_m,two_methds_othr_two_methds_f,two_methds_othr_two_methds_p,two_methods_tot_two_methods_m,two_methods_tot_two_methods_f,two_methods_tot_two_methods_p,three_meth_trn_two_othr_met_m,three_meth_trn_two_othr_met_f,three_meth_trn_two_othr_met_p,three_met_bs_2_ot_met_ex_tr_m,three_met_bs_2_ot_met_ex_tr_f,three_met_bs_2_ot_met_ex_tr_p,three_meth_othr_three_meth_m,three_meth_othr_three_meth_f,three_meth_othr_three_meth_p,three_meth_tot_three_meth_m,three_meth_tot_three_meth_f,three_meth_tot_three_meth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,method_travel_to_work_ns_m,method_travel_to_work_ns_f,method_travel_to_work_ns_p,tot_m,tot_f,tot_p
Albury (C),10050,4,7,15,56,69,126,3,3,6,0,4,3,18,16,38,8908,8079,16987,524,580,1102,137,3,134,106,10,118,168,45,218,62,34,99,366,388,760,10351,9252,19601,3,0,3,0,0,0,0,0,0,7,5,8,0,0,0,4,0,4,11,7,17,0,0,0,0,0,0,4,0,4,5,7,13,0,3,4,8,10,19,87,51,141,106,71,176,4,0,6,0,0,0,8,3,11,11,3,14,273,452,723,786,1425,2208,98,82,181,11620,11284,22907
Armidale Regional (A),10130,5,3,8,23,25,49,0,0,0,0,3,3,18,18,37,4057,3852,7906,370,427,796,136,18,151,89,16,102,96,25,117,61,37,91,350,312,663,5203,4728,9928,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,6,4,5,0,0,0,0,0,0,3,0,3,0,3,7,4,0,4,7,3,14,64,34,101,79,42,115,3,3,3,0,0,3,3,0,7,8,3,14,443,447,887,467,786,1254,59,68,129,6252,6076,12327
Ballina (A),10250,7,3,13,46,44,97,3,0,5,3,0,3,5,3,6,6127,5818,11946,343,448,788,195,6,202,91,15,108,155,62,213,77,42,117,238,311,548,7293,6752,14043,0,3,3,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,7,11,0,0,0,0,0,0,4,0,4,7,11,14,4,0,4,16,12,22,77,51,130,97,62,162,0,0,0,0,0,0,10,0,10,9,0,9,574,726,1302,672,1065,1737,110,104,210,8758,8711,17463
Balranald (A),10300,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,356,252,601,27,20,48,12,0,12,5,0,5,0,5,6,10,10,15,57,46,104,464,329,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,51,47,97,19,46,69,9,8,16,547,435,982
Bathurst Regional (A),10470,15,6,21,33,26,51,8,0,8,0,0,0,16,21,39,6669,6162,12835,447,514,962,197,7,209,55,6,61,68,13,85,55,26,83,365,326,685,7931,7104,15035,0,7,4,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,8,4,13,0,0,0,0,0,0,4,3,3,0,4,7,3,3,6,5,9,19,57,39,100,80,54,130,3,3,8,0,0,0,4,3,8,11,5,15,354,480,838,757,1189,1945,117,96,208,9245,8923,18165
Bega Valley (A),10550,5,6,12,22,30,54,0,0,0,0,0,0,0,6,6,4448,4117,8566,251,285,530,170,7,177,56,8,65,43,15,56,70,42,110,306,332,644,5367,4850,10219,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,6,8,0,0,0,0,0,0,0,0,3,3,8,9,0,0,0,3,9,11,50,22,77,58,39,94,0,0,0,0,0,0,5,4,11,3,4,8,466,510,973,697,982,1681,96,86,177,6689,6466,13153
Bellingen (A),10600,4,0,3,11,0,10,0,0,0,0,0,0,3,0,3,1582,1448,3025,91,117,207,58,0,65,23,0,30,18,8,26,20,12,34,136,118,252,1943,1721,3658,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,6,24,24,14,33,3,0,3,0,0,0,0,0,0,3,0,9,260,253,516,214,384,593,34,44,80,2479,2414,4890
Berrigan (A),10650,3,3,3,7,0,8,0,0,0,0,3,3,0,0,0,1080,995,2077,60,57,118,53,4,52,13,0,13,22,3,25,22,9,38,116,93,209,1383,1171,2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,178,144,324,120,217,338,28,27,59,1722,1561,3282
Blacktown (C),10750,7154,6811,13962,2577,2750,5325,9,3,14,16,6,22,228,65,292,53713,38211,91922,3257,4416,7669,1462,18,1473,574,41,614,238,50,291,440,208,647,771,939,1717,70429,53515,123947,1974,2306,4285,8,5,12,20,26,48,1646,1240,2885,337,695,1028,113,46,156,4095,4315,8418,3,0,6,0,4,4,243,186,423,82,184,262,17,15,37,343,389,729,529,268,799,4970,4976,9948,629,716,1346,14,19,31,24,8,29,663,741,1406,1419,2423,3843,4085,6657,10743,913,675,1590,82472,68997,151468
Bland (A),10800,0,0,3,56,6,61,0,0,0,0,0,0,3,0,0,707,639,1349,88,60,152,52,3,51,3,0,4,5,5,12,36,9,48,95,59,154,1051,787,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,0,0,0,0,0,0,7,3,15,14,4,15,24,5,28,0,0,0,0,0,0,4,0,8,6,0,3,214,173,388,93,143,238,29,23,53,1414,1135,2541
Blayney (A),10850,3,0,4,8,5,14,0,0,0,0,0,3,0,0,0,1138,1024,2164,66,54,112,58,7,62,22,0,18,3,0,3,10,6,17,71,63,137,1378,1161,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,13,6,7,16,0,0,0,0,0,0,0,0,0,0,0,3,157,139,296,141,193,333,15,20,40,1696,1529,3222
Blue Mountains (C),10900,1546,1263,2806,55,72,127,3,0,3,4,3,7,37,27,67,11247,10463,21713,499,721,1221,352,9,360,166,16,179,95,24,120,116,51,171,449,464,916,14573,13115,27693,155,121,277,0,0,0,4,3,7,320,247,567,56,77,134,72,22,95,620,462,1085,0,0,0,0,0,0,5,5,15,4,4,9,3,0,3,10,9,27,115,72,186,744,547,1288,87,85,173,0,0,0,5,0,7,97,83,179,1089,1353,2440,1528,2498,4021,127,108,236,18157,17705,35860
Bogan (A),10950,0,0,0,41,15,52,0,0,0,0,0,0,0,0,0,358,312,669,34,21,56,18,0,15,11,0,7,9,3,10,6,0,5,44,50,98,514,405,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,6,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,75,59,130,36,47,86,15,7,23,646,529,1173
Botany Bay (C),11100,1095,1123,2216,1056,1414,2472,0,0,3,0,0,4,65,15,78,6474,4623,11098,380,695,1072,126,0,123,228,27,256,230,26,253,95,48,138,615,520,1135,10360,8486,18849,408,403,808,5,0,3,11,16,27,70,46,118,24,37,63,19,7,24,538,512,1049,3,0,3,7,3,8,59,75,135,21,77,94,13,15,29,104,167,271,74,44,116,717,722,1439,69,78,143,7,9,23,0,0,0,75,87,170,261,364,629,636,1037,1678,116,93,208,12176,10784,22963
Bourke (A),11150,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,288,257,554,32,42,68,13,0,16,4,0,7,7,3,9,8,10,17,74,83,158,434,401,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,7,0,0,0,0,0,0,4,0,4,4,0,4,38,42,82,24,36,61,6,11,17,512,490,1000
Brewarrina (A),11200,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,106,120,226,24,17,37,18,0,18,8,3,13,0,0,4,0,0,4,52,55,110,220,197,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,23,22,44,5,12,22,8,3,14,261,239,498
Broken Hill (C),11250,3,0,3,27,11,31,0,3,5,0,0,0,3,0,9,2468,2366,4836,180,232,415,35,0,36,48,0,48,32,5,34,15,11,25,170,159,321,2986,2781,5770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,8,0,8,9,17,26,21,17,34,0,0,3,0,0,0,0,0,0,4,0,4,60,98,163,384,457,844,54,40,93,3507,3395,6902
Hilltops (A),13910,3,0,7,14,8,17,0,0,0,0,0,0,7,7,18,2552,2252,4798,208,166,375,173,13,186,32,3,33,10,0,13,53,21,71,219,200,419,3278,2670,5942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,34,11,43,32,16,49,0,0,0,0,0,0,3,0,3,3,0,3,364,321,683,293,475,766,60,56,113,4027,3533,7563
Hornsby (A),14000,6491,5195,11689,1307,1150,2456,3,5,7,10,4,11,41,19,63,18997,16115,35112,759,1435,2199,396,4,403,316,27,347,189,27,215,197,114,312,909,996,1911,29615,25105,54720,945,767,1710,8,4,14,8,7,19,1092,752,1848,205,303,511,127,37,162,2390,1875,4266,0,0,0,0,0,0,102,67,175,21,59,78,7,3,12,131,132,263,193,137,329,2718,2141,4863,306,239,541,6,6,11,16,7,17,328,251,579,1861,2257,4113,2135,3940,6069,262,186,451,36924,33872,70798
Hunters Hill (A),14100,10,12,21,349,351,700,137,79,211,0,0,0,16,8,30,1884,1571,3449,74,130,200,22,0,23,42,3,50,34,9,41,16,9,32,75,73,146,2661,2241,4905,28,48,83,6,8,11,0,0,0,7,5,14,4,3,6,0,0,0,49,60,111,18,0,20,0,0,0,20,20,36,4,5,15,3,0,3,50,25,75,52,22,72,146,114,262,12,7,15,3,0,3,7,0,10,20,4,31,197,281,482,186,323,509,28,20,48,3242,2995,6240
