LGA_MAIN11,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P,LGA_NAME11
13450,6649,6688,13337,1670,1728,3398,1322,1308,2630,114,116,230,77,73,150,31,30,61,7,13,20,4,3,7,12,12,24,35,45,80,0,0,0,1602,1600,3202,465,479,944,42,39,81,3779,3846,7625,868,726,1594,11296,11260,22556,Griffith (C)
13500,1198,1164,2362,200,202,402,209,182,391,8,5,13,11,10,21,0,0,0,4,7,11,0,0,0,5,0,5,12,22,34,0,0,0,249,226,475,18,18,36,6,3,9,473,449,922,85,70,155,1756,1683,3439,Gundagai (A)
13550,3282,3186,6468,729,813,1542,920,947,1867,19,21,40,129,154,283,5,3,8,8,4,12,5,9,14,6,6,12,3,0,3,0,0,0,1095,1144,2239,52,37,89,26,20,46,1902,2014,3916,391,398,789,5575,5598,11173,Gunnedah (A)
13650,1341,1305,2646,212,221,433,276,300,576,10,12,22,47,52,99,3,3,6,4,3,7,3,0,3,3,3,6,0,0,0,0,0,0,346,373,719,13,18,31,13,7,20,584,619,1203,125,106,231,2050,2030,4080,Guyra (A)
13660,1587,1544,3131,240,252,492,288,293,581,9,8,17,99,108,207,0,0,0,3,0,3,5,3,8,0,0,0,0,0,0,0,0,0,404,412,816,18,18,36,13,12,25,675,694,1369,81,63,144,2343,2301,4644,Gwydir (A)
13700,1101,1130,2231,171,168,339,231,237,468,19,18,37,19,13,32,3,5,8,4,0,4,3,0,3,6,0,6,20,31,51,0,0,0,305,304,609,7,24,31,9,3,12,492,499,991,79,65,144,1672,1694,3366,Harden (A)
13800,17921,18037,35958,2242,2369,4611,6057,6316,12373,129,98,227,266,240,506,58,49,107,53,46,99,18,20,38,38,28,66,46,41,87,0,0,0,6665,6838,13503,320,376,696,109,94,203,9336,9677,19013,1623,1514,3137,28880,29228,58108,Hawkesbury (C)
13850,918,919,1837,221,238,459,92,95,187,28,34,62,16,8,24,8,5,13,3,0,3,0,0,0,5,3,8,3,3,6,0,0,0,155,148,303,17,15,32,3,3,6,396,404,800,75,62,137,1389,1385,2774,Hay (A)
13950,24941,26044,50985,2692,2696,5388,9518,9732,19250,142,124,266,144,142,286,73,59,132,31,33,64,5,8,13,11,5,16,28,25,53,0,0,0,9952,10128,20080,4071,4210,8281,191,161,352,16906,17195,34101,3036,2836,5872,44883,46075,90958,Holroyd (C)
14000,44764,47380,92144,4360,4404,8764,13744,14612,28356,310,321,631,309,370,679,105,111,216,112,112,224,32,40,72,20,18,38,76,99,175,0,0,0,14708,15683,30391,5142,5536,10678,184,199,383,24394,25822,50216,2423,2514,4937,71581,75716,147297,Hornsby (A)
14100,3398,3766,7164,366,364,730,1716,1473,3189,27,15,42,38,29,67,7,11,18,21,22,43,0,0,0,5,4,9,11,13,24,0,0,0,1825,1567,3392,286,282,568,15,18,33,2492,2231,4723,257,298,555,6147,6295,12442,Hunters Hill (A)
14150,21333,22892,44225,1944,2117,4061,7462,8001,15463,94,86,180,113,107,220,37,41,78,41,40,81,11,7,18,8,8,16,31,40,71,0,0,0,7797,8330,16127,2869,3198,6067,126,104,230,12736,13749,26485,1681,1605,3286,35750,38246,73996,Hurstville (C)
14200,4263,4368,8631,1076,1184,2260,1098,1221,2319,18,19,37,285,301,586,13,11,24,14,12,26,0,12,12,18,15,33,9,3,12,0,0,0,1455,1594,3049,116,125,241,30,15,45,2677,2918,5595,408,307,715,7348,7593,14941,Inverell (A)
14250,535,469,1004,77,66,143,42,41,83,26,22,48,7,10,17,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,78,73,151,9,8,17,3,0,3,167,147,314,49,37,86,751,653,1404,Jerilderie (A)
14300,1541,1489,3030,269,279,548,342,360,702,22,20,42,26,28,54,6,5,11,0,0,0,0,0,0,5,0,5,6,12,18,0,0,0,407,425,832,18,20,38,8,3,11,702,727,1429,900,129,1029,3143,2345,5488,Junee (A)
