lga_name_2016,lga_code_2016,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Glen Eira (C),22310,6,1222,1229,0,475,470,0,944,949,3,1111,1109,4,2616,2617,3,1978,1978,13,2736,2749,17,2825,2838,11,3618,3630,6,3339,3347,14,5630,5645,14,5390,5402,11,3534,3544,35,11764,11803,12,3838,3852,3,1136,1141,157,52138,52296
Glenelg (S),22410,8,91,100,4,83,87,10,226,237,14,295,305,13,763,777,13,419,431,19,704,722,24,579,603,22,669,698,11,533,547,22,752,774,23,617,637,13,352,370,12,484,495,12,519,536,5,327,329,231,7411,7644
Moreland (C),25250,9,1093,1093,3,495,499,23,1408,1425,18,1763,1783,27,3846,3877,22,2315,2343,34,3766,3804,39,3592,3630,42,4680,4727,33,4355,4386,52,7281,7329,74,6690,6765,33,4338,4371,61,9132,9187,45,4597,4637,10,1351,1357,519,60704,61218
Mornington Peninsula (S),25340,11,792,810,0,425,422,18,1021,1036,27,1650,1680,30,4324,4350,43,3005,3046,54,4654,4709,55,4195,4244,58,4892,4948,57,4153,4208,85,6391,6470,55,5301,5359,37,3257,3295,57,6743,6803,46,4359,4400,23,1981,2002,643,57149,57791
Mount Alexander (S),25430,0,73,79,0,82,83,7,195,203,3,307,312,4,801,806,10,480,491,10,722,729,3,613,620,5,709,712,6,557,562,6,769,776,8,550,559,0,280,287,5,430,437,8,502,515,4,205,213,93,7277,7374
Moyne (S),25490,3,90,96,0,56,60,0,123,124,3,181,189,5,426,428,0,304,305,3,488,494,7,458,462,10,517,527,16,486,503,14,730,742,7,537,543,0,306,306,3,480,479,4,445,452,6,180,187,87,5805,5897
Murrindindi (S),25620,0,88,94,3,45,50,7,150,152,3,230,232,7,477,486,3,291,293,3,494,495,4,399,401,5,457,467,6,405,412,22,556,575,12,431,443,7,251,255,3,314,317,11,388,399,8,187,195,96,5171,5263
Nillumbik (S),25710,3,184,186,0,112,111,3,211,213,3,254,256,3,644,652,0,527,524,6,793,805,4,874,875,5,1219,1224,10,1202,1211,13,2239,2250,11,2367,2383,14,1864,1881,32,4951,4982,12,1872,1883,0,317,320,128,19629,19759
Northern Grampians (S),25810,4,58,64,0,53,52,4,141,147,7,194,201,11,555,560,3,291,292,9,477,488,7,434,437,10,406,415,6,371,374,3,438,439,4,324,328,3,162,161,3,213,223,12,289,301,3,205,210,83,4604,4695
Port Phillip (C),25900,0,841,844,3,330,334,13,887,907,16,1245,1263,16,1867,1879,8,1396,1402,17,1893,1910,10,2252,2256,22,3016,3042,22,2968,2985,24,5395,5414,22,5370,5394,19,2702,2722,38,10786,10827,19,3098,3116,19,794,812,282,44830,45110
