lga_name_2016,lga_code_2016,m_pode_pode_nfd_mng,m_pode_pode_nfd_pro,m_pode_pode_nfd_ttw,m_pode_pode_nfd_cps,m_pode_pode_nfd_ca,m_pode_pode_nfd_sal,m_pode_pode_nfd_mod,m_pode_pode_nfd_lab,m_pode_pode_nfd_idns,m_pode_pode_nfd_tot,m_pode_doctde_mng,m_pode_doctde_pro,m_pode_doctde_ttw,m_pode_doctde_cps,m_pode_doctde_ca,m_pode_doctde_sal,m_pode_doctde_mod,m_pode_doctde_lab,m_pode_doctde_idns,m_pode_doctde_tot,m_pode_masde_mng,m_pode_masde_pro,m_pode_masde_ttw,m_pode_masde_cps,m_pode_masde_ca,m_pode_masde_sal,m_pode_masde_mod,m_pode_masde_lab,m_pode_masde_idns,m_pode_masde_tot,m_grdigrcer_grdigrcernfd_mng,m_grdigrcer_grdigrcernfd_pro,m_grdigrcer_grdigrcernfd_ttw,m_grdigrcer_grdigrcernfd_cps,m_grdigrcer_grdigrcernfd_ca,m_grdigrcer_grdigrcernfd_sal,m_grdigrcer_grdigrcernfd_mod,m_grdigrcer_grdigrcernfd_lab,m_grdigrcer_grdigrcernfd_idns,m_grdigrcer_grdigrcernfd_tot,m_grdi_grcer_grdi_mng,m_grdi_grcer_grdi_pro,m_grdi_grcer_grdi_ttw,m_grdi_grcer_grdi_cps,m_grdi_grcer_grdi_ca,m_grdi_grcer_grdi_sal,m_grdi_grcer_grdi_mod,m_grdi_grcer_grdi_lab,m_grdi_grcer_grdi_idns,m_grdi_grcer_grdi_tot,m_grdi_grcer_gradcer_mng,m_grdi_grcer_gradcer_pro,m_grdi_grcer_gradcer_ttw,m_grdi_grcer_gradcer_cps,m_grdi_grcer_gradcer_ca,m_grdi_grcer_gradcer_sal,m_grdi_grcer_gradcer_mod,m_grdi_grcer_gradcer_lab,m_grdi_grcer_gradcer_idns,m_grdi_grcer_gradcer_tot,m_bade_bade_mng,m_bade_bade_pro,m_bade_bade_ttw,m_bade_bade_cps,m_bade_bade_ca,m_bade_bade_sal,m_bade_bade_mod,m_bade_bade_lab,m_bade_bade_idns,m_bade_bade_tot,m_advdi_di_advdi_di_nfd_mng,m_advdi_di_advdi_di_nfd_pro,m_advdi_di_advdi_di_nfd_ttw,m_advdi_di_advdi_di_nfd_cps,m_advdi_di_advdi_di_nfd_ca,m_advdi_di_advdi_di_nfd_sal,m_advdi_di_advdi_di_nfd_mod,m_advdi_di_advdi_di_nfd_lab,m_advdi_di_advdi_di_nfd_idns,m_advdi_di_advdi_di_nfd_tot,m_advdi_di_advdi_asde_mng,m_advdi_di_advdi_asde_pro,m_advdi_di_advdi_asde_ttw,m_advdi_di_advdi_asde_cps,m_advdi_di_advdi_asde_ca,m_advdi_di_advdi_asde_sal,m_advdi_di_advdi_asde_mod,m_advdi_di_advdi_asde_lab,m_advdi_di_advdi_asde_idns,m_advdi_di_advdi_asde_tot,m_advdi_di_dip_mng,m_advdi_di_dip_pro,m_advdi_di_dip_ttw,m_advdi_di_dip_cps,m_advdi_di_dip_ca,m_advdi_di_dip_sal,m_advdi_di_dip_mod,m_advdi_di_dip_lab,m_advdi_di_dip_idns,m_advdi_di_dip_tot,m_cert_certiii_iv_mng,m_cert_certiii_iv_pro,m_cert_certiii_iv_ttw,m_cert_certiii_iv_cps,m_cert_certiii_iv_ca,m_cert_certiii_iv_sal,m_cert_certiii_iv_mod,m_cert_certiii_iv_lab,m_cert_certiii_iv_idns,m_cert_certiii_iv_tot,m_cert_certi_ii_mng,m_cert_certi_ii_pro,m_cert_certi_ii_ttw,m_cert_certi_ii_cps,m_cert_certi_ii_ca,m_cert_certi_ii_sal,m_cert_certi_ii_mod,m_cert_certi_ii_lab,m_cert_certi_ii_idns,m_cert_certi_ii_tot,m_cert_cert_nfd_mng,m_cert_cert_nfd_pro,m_cert_cert_nfd_ttw,m_cert_cert_nfd_cps,m_cert_cert_nfd_ca,m_cert_cert_nfd_sal,m_cert_cert_nfd_mod,m_cert_cert_nfd_lab,m_cert_cert_nfd_idns,m_cert_cert_nfd_tot,m_le_id_mng,m_le_id_pro,m_le_id_ttw,m_le_id_cps,m_le_id_ca,m_le_id_sal,m_le_id_mod,m_le_id_lab,m_le_id_idns,m_le_id_tot,m_le_ns_mng,m_le_ns_pro,m_le_ns_ttw,m_le_ns_cps,m_le_ns_ca,m_le_ns_sal,m_le_ns_mod,m_le_ns_lab,m_le_ns_idns,m_le_ns_tot,m_tot_mng,m_tot_pro,m_tot_ttw,m_tot_cps,m_tot_ca,m_tot_sal,m_tot_mod,m_tot_lab,m_tot_idns,m_tot_tot,f_pode_pode_nfd_mng,f_pode_pode_nfd_pro,f_pode_pode_nfd_ttw,f_pode_pode_nfd_cps,f_pode_pode_nfd_ca,f_pode_pode_nfd_sal,f_pode_pode_nfd_mod,f_pode_pode_nfd_lab,f_pode_pode_nfd_idns,f_pode_pode_nfd_tot,f_pode_doctde_mng,f_pode_doctde_pro,f_pode_doctde_ttw,f_pode_doctde_cps,f_pode_doctde_ca,f_pode_doctde_sal,f_pode_doctde_mod,f_pode_doctde_lab,f_pode_doctde_idns,f_pode_doctde_tot,f_pode_masde_mng,f_pode_masde_pro,f_pode_masde_ttw,f_pode_masde_cps,f_pode_masde_ca,f_pode_masde_sal,f_pode_masde_mod,f_pode_masde_lab,f_pode_masde_idns,f_pode_masde_tot,f_grdigrcer_grdigrcernfd_mng,f_grdigrcer_grdigrcernfd_pro,f_grdigrcer_grdigrcernfd_ttw,f_grdigrcer_grdigrcernfd_cps,f_grdigrcer_grdigrcernfd_ca,f_grdigrcer_grdigrcernfd_sal,f_grdigrcer_grdigrcernfd_mod,f_grdigrcer_grdigrcernfd_lab,f_grdigrcer_grdigrcernfd_idns,f_grdigrcer_grdigrcernfd_tot
Albury (C),10050,3,3,0,0,0,0,0,0,0,9,5,62,0,0,5,0,0,0,0,80,72,165,3,10,20,8,6,11,0,294,6,15,0,0,0,0,0,0,0,21,26,114,7,9,8,3,0,0,0,173,13,19,0,3,4,0,0,0,0,39,294,754,87,90,90,46,46,37,22,1452,0,0,0,0,0,0,0,0,0,7,91,95,63,52,22,34,26,22,7,402,118,122,110,80,37,38,49,36,13,607,477,179,1922,199,155,181,436,372,60,3976,10,10,22,14,12,18,27,29,4,139,29,15,28,16,17,29,38,38,0,201,16,22,4,8,0,10,11,3,4,75,17,25,38,14,3,17,34,38,15,196,1177,1594,2289,489,364,373,677,585,123,7674,0,14,0,0,0,0,0,0,0,21,10,65,0,0,3,0,0,0,0,74,66,240,3,23,23,8,3,5,5,378,3,19,0,0,3,0,0,0,0,27
Armidale Regional (A),10130,0,0,0,0,0,0,0,0,0,0,40,300,4,0,4,0,0,3,0,347,65,134,9,15,9,12,0,29,0,277,0,8,0,3,3,0,0,0,0,16,20,54,0,3,5,0,0,0,0,92,3,14,4,0,0,0,0,0,0,24,172,426,56,91,50,30,14,57,9,902,0,0,0,3,0,0,0,0,0,3,65,50,23,28,13,9,6,9,3,211,53,38,33,35,13,12,12,25,3,227,299,51,681,96,53,91,122,193,33,1621,10,8,14,8,3,14,9,20,0,80,22,5,14,9,5,17,16,21,0,114,7,10,3,8,4,3,7,3,0,45,30,15,15,9,8,10,15,16,10,127,790,1105,860,310,177,185,195,388,56,4076,0,3,0,0,0,0,0,0,0,8,21,201,3,4,7,0,0,0,0,237,36,223,4,16,28,5,0,10,7,338,7,12,0,0,0,0,0,0,0,19
Ballina (A),10250,3,5,0,0,0,0,0,0,0,10,11,75,0,0,0,0,0,0,0,93,82,147,7,10,7,3,0,6,0,270,0,12,3,0,0,0,0,0,0,21,17,97,5,5,5,3,0,3,0,145,0,15,0,0,3,0,0,0,0,27,268,760,65,79,63,52,21,43,11,1367,0,0,0,3,0,0,0,0,0,4,75,103,42,43,21,20,6,24,7,346,98,93,66,59,29,17,19,27,9,419,419,101,1343,163,86,127,220,315,40,2816,14,0,7,4,9,6,3,25,3,75,24,12,31,14,8,22,20,42,4,175,3,21,10,4,3,3,5,7,0,63,25,21,26,19,7,21,27,36,20,189,1052,1470,1607,409,249,273,321,531,97,6012,3,12,0,0,0,0,0,0,0,19,9,57,0,3,3,0,0,0,0,69,47,235,3,13,22,5,0,3,3,331,3,7,0,0,0,0,0,0,0,13
Balranald (A),10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,4,3,5,0,0,0,0,0,14,21,3,52,0,3,0,13,30,0,134,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,0,20,47,23,67,12,5,6,23,41,3,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Bathurst Regional (A),10470,0,4,0,0,0,0,0,0,0,5,5,72,0,0,7,0,0,0,0,89,59,137,3,9,17,0,0,6,0,229,0,6,0,0,0,0,0,0,0,9,21,69,4,8,3,0,4,0,0,116,17,18,3,7,0,0,0,0,0,48,224,535,75,93,37,38,20,47,9,1080,0,0,0,0,0,0,0,0,0,0,69,63,41,64,14,21,8,16,3,300,96,70,89,77,33,27,31,29,3,447,415,116,1479,258,130,134,375,380,48,3331,15,6,22,10,6,15,19,21,0,121,32,7,13,13,12,20,26,26,4,157,7,12,10,9,0,6,6,12,0,58,28,3,40,10,3,7,26,41,20,186,994,1116,1778,561,262,270,512,577,96,6171,0,12,0,0,0,0,0,0,0,13,11,62,0,0,5,0,0,0,3,84,44,189,7,21,26,0,0,0,3,285,0,19,0,3,0,0,0,0,0,21
Bega Valley (A),10550,0,3,0,0,0,0,0,0,0,7,5,23,0,0,0,0,0,0,0,32,26,80,3,4,4,0,0,3,0,128,0,3,0,0,0,0,0,0,0,9,22,54,0,4,3,3,0,7,0,89,0,9,0,3,3,0,0,0,0,15,117,346,49,44,31,19,8,25,3,643,0,0,0,0,0,0,0,0,0,0,56,50,31,32,10,6,7,20,7,217,62,45,47,52,16,16,8,21,3,272,349,59,1123,110,71,111,232,371,39,2460,8,6,7,3,8,8,10,21,0,82,24,13,22,15,3,9,10,31,0,126,9,3,7,3,0,0,4,6,0,36,36,9,38,12,4,15,22,44,9,195,705,708,1334,289,156,196,294,551,66,4309,0,8,0,0,0,0,0,0,0,11,3,20,0,0,0,0,0,0,3,26,27,130,0,17,12,3,0,0,0,185,4,6,0,0,0,0,0,0,0,8
Bellingen (A),10600,0,3,0,0,0,0,0,0,0,3,3,16,0,0,0,0,0,0,0,20,13,33,0,6,0,0,0,3,0,50,0,6,0,0,0,0,0,0,0,6,0,26,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,3,75,179,34,18,14,11,0,12,0,347,0,0,0,0,0,0,0,0,0,0,22,30,19,11,0,9,3,4,3,104,22,31,23,11,8,5,5,7,0,109,121,23,357,57,24,33,84,86,16,801,3,0,3,3,0,3,3,12,0,29,15,0,7,9,3,6,10,8,0,48,0,3,0,0,0,0,0,3,0,14,9,6,19,5,0,5,10,13,7,76,271,352,452,117,58,72,129,162,32,1634,0,0,0,0,0,0,0,0,0,6,0,15,0,0,3,0,0,0,0,20,22,64,0,3,3,0,0,0,0,98,0,10,0,3,0,0,0,0,0,11
Berrigan (A),10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,44,66,3,3,0,0,0,4,0,133,0,0,0,0,0,0,0,0,0,0,33,12,3,6,4,0,0,9,0,63,24,3,11,10,6,0,0,7,0,67,144,10,226,9,9,18,80,73,10,587,3,0,0,0,0,0,0,4,0,13,9,0,0,0,0,5,6,3,0,29,0,0,0,0,0,0,0,0,0,3,14,0,12,10,0,3,15,7,3,72,289,112,260,45,26,28,108,109,19,989,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,3
Blacktown (C),10750,14,27,3,0,4,0,4,0,0,53,58,267,19,15,24,3,5,4,0,404,1164,2704,361,212,678,236,354,168,88,5968,41,97,8,8,33,8,12,4,5,226,126,310,37,29,70,21,36,14,4,645,56,74,16,8,21,8,0,3,3,191,2016,5966,1422,803,1583,711,1253,761,201,14720,18,12,20,15,6,5,13,7,0,91,617,651,741,316,346,213,494,255,46,3678,798,779,911,476,481,379,615,340,70,4847,1692,728,8329,810,1006,789,2481,1694,332,17864,68,42,77,66,86,47,188,127,14,704,173,137,200,154,146,121,368,236,35,1565,113,175,133,57,68,50,162,95,16,878,123,134,264,107,113,76,351,289,216,1673,7062,12109,12536,3082,4659,2676,6344,4003,1038,53500,4,56,0,4,11,3,0,0,0,79,15,228,10,8,17,4,0,0,3,288,456,2423,99,358,865,229,62,126,80,4706,24,110,10,16,33,11,0,3,3,203
Bland (A),10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,29,50,0,3,3,0,3,3,0,95,0,0,0,0,0,0,0,0,0,0,11,4,3,6,4,0,0,0,0,33,19,3,3,6,0,7,3,0,0,39,118,4,187,4,13,15,83,40,4,479,4,0,0,0,0,0,0,3,0,17,16,0,3,0,0,0,6,3,0,30,4,3,0,0,0,0,0,0,0,4,21,0,5,0,0,3,10,12,5,58,226,78,208,24,18,21,110,63,20,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
