lga_code_2016,m_0_299_ds_ds_sept_house,m_0_299_ds_ds_sd_row_tce_hs_t,m_0_299_ds_ds_flat_apart,m_0_299_ds_ds_other_dwg,m_0_299_ds_ns,m_0_299_tot,m_300_449_ds_separate_hse,m_300_449_ds_sd_row_tc_hse_th,m_300_449_ds_flat_apart,m_300_449_ds_other_dwg,m_300_449_ds_ns,m_300_449_tot,m_450_599_ds_separate_hse,m_450_599_ds_sd_row_tce_hs_th,m_450_599_ds_flat_apart,m_450_599_ds_other_dwg,m_450_599_ds_ns,m_450_599_tot,m_600_799_ds_separate_hse,m_600_799_ds_sd_row_tc_hs_th,m_600_799_ds_flat_apart,m_600_799_ds_other_dwg,m_600_799_ds_ns,m_600_799_tot,m_800_999_ds_separate_hse,m_800_999_ds_sd_row_tc_hs_th,m_800_999_ds_flat_apart,m_800_999_ds_other_dwg,m_800_999_ds_ns,m_800_999_tot,m_1000_1399_ds_separate_hse,m_1000_1399_ds_sd_rw_tc_h_th,m_1000_1399_ds_flat_apart,m_1000_1399_ds_other_dwg,m_1000_1399_ds_ns,m_1000_1399_tot,m_1400_1799_ds_separate_hse,m_1400_1799_ds_sd_rw_tc_h_th,m_1400_1799_ds_flat_apart,m_1400_1799_ds_other_dwg,m_1400_1799_ds_ns,m_1400_1799_tot,m_1800_2399_ds_separate_hse,m_1800_2399_ds_sd_rw_tc_h_th,m_1800_2399_ds_flat_apart,m_1800_2399_ds_other_dwg,m_1800_2399_ds_ns,m_1800_2399_tot,m_2400_2999_ds_separate_hse,m_2400_2999_ds_sd_rw_tc_h_th,m_2400_2999_ds_flat_apart,m_2400_2999_ds_other_dwg,m_2400_2999_ds_ns,m_2400_2999_tot,m_3000_3999_ds_separate_hse,m_3000_3999_ds_sd_rw_tc_h_th,m_3000_3999_ds_flt_apart,m_3000_3999_ds_other_dwg,m_3000_3999_ds_ns,m_3000_3999_tot,m_4000_over_ds_separate_hse,m_4000_ov_ds_sd_rw_tce_hs_th,m_4000_over_ds_flat_apart,m_4000_over_ds_other_dwg,m_4000_ds_over_ns,m_4000_over_tot,mort_rpmnt_ns_ds_separat_hs,mrt_rpmt_ns_ds_sd_rw_tc_hs_th,mrt_rpmt_ns_ds_flat_apart,mort_rpmnt_ns_ds_other_dwg,mort_rpmnt_ns_ds_ns,mort_rpmnt_ns_total,tot_ds_separate_hse,tot_ds_sd_row_tce_hse_thse,tot_ds_flat_apartment,tot_ds_other_dwg,tot_ds_ns,tot_tot,lga_name16
10050,252,19,0,0,0,269,141,23,4,0,0,170,121,17,0,0,0,142,289,43,0,0,0,335,467,59,3,0,3,533,1404,85,3,0,0,1491,1319,44,3,3,3,1375,1111,16,0,0,0,1134,304,8,0,0,0,315,218,6,0,3,0,222,100,0,0,0,0,107,237,16,0,0,0,252,5962,335,20,7,12,6339,Albury (C)
10130,168,3,0,0,0,175,78,0,0,0,0,77,75,0,0,0,0,74,132,7,0,3,0,142,200,6,3,0,0,215,583,12,4,0,3,606,523,14,0,0,0,533,397,4,0,0,4,401,135,0,0,0,0,136,124,3,0,0,0,126,85,0,0,0,0,83,113,0,0,0,0,112,2606,51,16,8,13,2693,Armidale Regional (A)
10250,214,49,8,0,0,267,96,20,4,0,0,124,69,19,0,0,0,90,117,24,7,3,0,150,186,37,11,0,3,232,494,121,29,5,0,645,589,115,22,0,4,734,856,103,7,0,4,971,382,44,10,0,3,436,272,26,4,0,0,302,158,15,3,0,0,173,155,21,4,0,3,178,3577,597,111,12,28,4321,Ballina (A)
10300,18,0,0,0,0,13,14,0,0,0,0,14,15,0,0,0,0,19,28,0,0,0,0,28,29,0,0,0,0,29,47,0,0,0,0,50,17,0,0,0,0,17,9,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,14,0,0,0,0,14,194,0,0,0,0,193,Balranald (A)
10470,188,13,0,0,0,204,85,6,0,0,0,90,81,3,3,0,0,88,173,14,4,0,0,187,253,19,5,3,0,279,811,40,11,3,0,866,966,47,7,0,0,1017,1084,22,4,0,0,1117,456,5,3,0,0,469,260,0,0,0,0,264,125,3,0,0,0,129,176,5,7,0,0,184,4654,173,42,4,5,4880,Bathurst Regional (A)
10550,229,17,0,0,8,255,115,19,0,0,0,138,92,9,4,0,0,111,206,12,6,0,0,230,293,24,3,3,9,321,686,36,17,9,8,759,661,19,8,6,5,697,569,9,3,3,9,590,191,0,0,0,0,191,132,4,0,0,0,141,67,0,0,0,3,70,169,3,3,0,0,182,3407,151,55,31,37,3677,Bega Valley (A)
10600,89,0,0,0,0,91,56,3,3,0,0,61,33,0,0,0,0,39,76,0,0,0,0,76,86,0,0,0,0,93,245,3,3,0,0,257,255,5,0,3,0,258,207,4,0,0,8,223,64,3,0,0,0,68,61,0,0,0,0,59,21,0,0,0,0,21,68,0,0,0,0,70,1263,29,5,9,9,1322,Bellingen (A)
10650,76,0,0,0,0,76,42,0,0,4,0,46,38,0,0,0,0,42,81,0,3,0,0,82,86,3,0,0,0,94,181,0,0,0,0,184,120,0,0,0,0,124,95,0,0,0,0,100,16,0,0,0,0,15,21,0,0,0,0,25,28,0,0,0,0,29,54,0,0,0,0,58,843,9,3,8,4,866,Berrigan (A)
10750,1331,245,39,0,5,1620,487,83,14,0,0,585,407,67,11,0,0,483,723,119,23,0,0,870,1034,186,34,3,5,1255,3371,625,164,4,10,4173,4619,1034,236,15,8,5908,8541,1878,222,17,19,10677,5599,1162,74,4,23,6861,5086,880,30,9,10,6015,1986,363,24,3,3,2376,1411,250,31,3,3,1694,34585,6887,903,64,83,42515,Blacktown (C)
10800,52,0,0,0,0,57,36,0,0,0,0,36,39,0,0,0,0,39,50,0,0,0,0,50,80,0,0,0,0,83,113,0,0,3,0,115,52,0,0,0,0,53,51,0,0,0,0,55,16,0,0,0,0,16,10,0,0,0,0,10,16,0,0,0,3,14,41,0,0,0,0,39,559,0,0,3,10,566,Bland (A)
