lga_name_2016,lga_code_2016,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Albury (C),10050,20,39,39,440,647,642,924,1193,1185,1400,1430,1421,230,231,231,0.9,0.8,0.8,3.0,2.3,2.3,7.2,1.7,1.9
Armidale Regional (A),10130,21,38,36,398,576,561,952,1194,1173,1300,1400,1393,230,250,250,1.0,0.8,0.8,3.1,2.3,2.4,7.8,2.0,2.5
Ballina (A),10250,25,48,48,475,605,601,1184,1155,1156,1733,1733,1733,300,340,340,0.9,0.8,0.8,3.0,2.3,2.3,9.1,1.6,1.9
Balranald (A),10300,23,43,41,365,647,624,933,1191,1174,910,950,950,150,150,150,1.0,0.8,0.8,3.0,2.5,2.5,8.0,3.2,3.6
Bathurst Regional (A),10470,21,38,37,499,653,646,1112,1324,1310,1733,1668,1670,280,280,280,1.0,0.7,0.8,3.1,2.5,2.5,7.1,1.8,2.2
Bega Valley (A),10550,21,52,51,427,542,538,944,987,986,1404,1343,1343,240,250,250,1.0,0.7,0.8,3.1,2.2,2.2,7.7,2.0,2.2
Bellingen (A),10600,22,50,49,439,518,515,1136,991,997,1430,1400,1400,295,280,280,1.0,0.8,0.8,3.2,2.3,2.3,8.6,2.6,2.8
Berrigan (A),10650,21,50,49,575,523,524,1107,964,967,1040,1083,1083,190,175,180,0.9,0.7,0.7,2.8,2.2,2.2,0.0,1.9,2.0
Blacktown (C),10750,21,34,33,470,677,672,1241,1731,1711,1950,2167,2150,300,380,380,1.0,0.9,0.9,3.4,3.1,3.2,11.8,6.8,7.0
Bland (A),10800,20,44,43,491,584,580,1092,1101,1100,872,1000,1000,160,150,150,0.9,0.7,0.7,3.0,2.3,2.4,4.5,1.6,1.8
Blayney (A),10850,19,43,42,504,625,620,1269,1226,1227,1350,1517,1500,230,220,220,1.1,0.7,0.8,3.2,2.4,2.5,7.0,1.5,1.7
Blue Mountains (C),10900,21,44,44,546,692,688,1637,1463,1468,1907,1842,1842,360,350,350,1.0,0.8,0.8,3.3,2.5,2.5,5.5,1.6,1.7
Bogan (A),10950,19,44,40,507,667,634,929,1232,1155,1127,1083,1083,180,150,160,0.9,0.7,0.8,3.0,2.2,2.4,8.7,1.0,2.5
Botany Bay (C),11100,26,35,35,672,720,720,1610,1626,1626,2400,2400,2400,400,470,460,1.1,1.1,1.1,2.8,2.7,2.7,11.0,10.8,10.8
Bourke (A),11150,26,42,36,471,833,719,1157,1303,1243,1083,945,991,170,78,140,0.9,0.7,0.8,3.0,2.2,2.5,9.3,1.6,4.3
Brewarrina (A),11200,28,45,34,366,725,439,743,1302,864,447,433,433,90,25,90,0.9,0.8,0.9,2.8,2.1,2.6,15.3,2.0,10.3
Broken Hill (C),11250,22,47,45,433,537,527,1029,958,965,986,950,953,200,180,190,1.0,0.7,0.7,2.9,2.1,2.2,8.5,1.7,2.3
Hilltops (A),13910,20,45,44,425,543,538,911,980,976,1082,1200,1200,210,200,200,0.9,0.7,0.7,3.1,2.3,2.4,7.0,1.5,1.8
Hornsby (A),14000,24,40,40,631,793,793,2088,2121,2121,2500,2400,2400,520,500,500,1.0,0.9,0.9,3.3,2.9,2.9,8.0,3.6,3.6
Hunters Hill (A),14100,17,43,43,374,980,977,2125,2469,2467,5000,3033,3033,392,490,490,1.0,0.9,0.9,3.1,2.7,2.7,0.0,2.1,2.1
Inner West (A),14170,29,36,36,621,960,957,1625,2054,2048,2700,2600,2600,400,480,480,1.1,1.0,1.0,2.6,2.4,2.4,9.4,6.3,6.3
Inverell (A),14200,21,44,42,388,528,509,864,960,950,1073,1213,1200,220,210,210,1.0,0.8,0.8,3.1,2.3,2.4,11.3,1.8,2.7
Junee (A),14300,29,41,40,445,606,600,1163,1137,1139,1042,1200,1200,250,200,200,1.0,0.8,0.8,3.2,2.5,2.5,0.0,2.5,2.6
Kempsey (A),14350,23,50,47,405,481,474,904,892,894,1300,1300,1300,230,250,240,1.0,0.8,0.8,3.2,2.2,2.4,12.5,2.7,3.8
Kiama (A),14400,25,47,47,631,684,683,1882,1495,1509,2167,2000,2000,395,395,395,1.0,0.8,0.8,3.3,2.5,2.5,7.2,1.3,1.5
Ku-ring-gai (A),14500,24,41,41,774,942,942,3096,2638,2640,3419,3000,3000,665,650,650,1.0,0.9,0.9,3.4,2.9,2.9,0.0,2.4,2.4
Kyogle (A),14550,28,51,50,416,462,460,842,831,832,1042,1101,1100,200,200,200,1.0,0.8,0.8,2.9,2.2,2.2,10.5,3.1,3.5
Lachlan (A),14600,22,44,40,410,593,556,916,1063,1034,867,953,900,160,130,150,1.0,0.7,0.8,3.1,2.3,2.4,10.6,2.0,3.6
Lake Macquarie (C),14650,21,43,42,480,613,609,1296,1314,1313,1733,1733,1733,320,322,320,1.0,0.8,0.8,3.2,2.5,2.5,6.9,2.1,2.3
Lane Cove (A),14700,22,36,36,724,1150,1149,2899,2374,2376,2200,2600,2600,518,520,520,1.1,1.0,1.0,2.8,2.5,2.5,9.3,4.0,4.0
Leeton (A),14750,18,41,40,411,618,607,1101,1197,1190,1070,1300,1300,180,196,195,0.9,0.7,0.8,3.1,2.4,2.5,6.8,2.0,2.4
Lismore (C),14850,21,44,43,451,555,550,1005,1070,1067,1387,1441,1430,270,260,260,1.0,0.8,0.8,3.1,2.3,2.4,9.1,2.6,2.9
Lithgow (C),14870,25,46,45,443,517,510,1031,980,984,1300,1400,1387,220,230,230,0.9,0.7,0.8,2.9,2.3,2.3,7.4,2.1,2.5
Liverpool (C),14900,21,34,33,486,586,584,1276,1557,1550,2090,2123,2123,334,370,370,1.0,1.0,1.0,3.3,3.2,3.2,11.1,7.7,7.8
Liverpool Plains (A),14920,27,47,45,435,552,533,986,1042,1032,1289,1143,1153,180,180,180,0.9,0.7,0.7,2.8,2.2,2.3,7.2,1.6,2.4
Lockhart (A),14950,25,46,46,390,592,585,814,1140,1114,856,1000,1000,164,150,150,0.9,0.7,0.7,2.7,2.5,2.5,9.8,1.4,1.8
Maitland (C),15050,20,37,36,478,652,644,1388,1417,1415,1733,1733,1733,310,320,320,1.0,0.8,0.8,3.2,2.6,2.7,5.8,1.8,2.1
Mid-Coast (A),15240,21,53,52,408,479,476,929,884,887,1335,1324,1324,255,250,250,1.0,0.7,0.7,3.1,2.2,2.2,9.2,1.8,2.3
Mid-Western Regional (A),15270,21,43,42,439,555,547,1232,1122,1131,1733,1680,1690,285,260,270,0.9,0.8,0.8,3.1,2.4,2.4,5.1,1.9,2.2
Moree Plains (A),15300,25,41,38,377,756,669,854,1355,1240,1083,1300,1300,170,165,170,1.0,0.8,0.8,3.0,2.3,2.5,10.4,1.5,3.5
Mosman (A),15350,30,42,42,1024,1296,1295,2562,2522,2522,2614,3000,3000,485,561,560,1.2,0.9,0.9,2.1,2.4,2.4,0.0,2.6,2.6
Murray River (A),15520,27,49,49,433,562,558,1018,1063,1061,1229,1300,1300,145,200,200,0.9,0.7,0.7,2.7,2.3,2.3,5.8,1.4,1.6
Murrumbidgee (A),15560,27,42,41,525,667,659,1292,1191,1197,889,900,900,160,145,150,1.0,0.7,0.8,2.7,2.4,2.5,6.3,1.7,2.1
Muswellbrook (A),15650,20,37,35,480,657,640,1120,1373,1346,1733,1733,1733,249,250,250,0.9,0.7,0.8,3.0,2.4,2.5,5.5,1.4,1.8
Nambucca (A),15700,21,53,51,383,472,467,893,830,835,1343,1300,1300,220,250,250,1.0,0.8,0.8,3.2,2.2,2.3,12.6,2.2,3.0
Narrabri (A),15750,22,43,40,456,660,632,1035,1289,1242,1300,1408,1395,200,200,200,1.0,0.8,0.8,3.0,2.4,2.5,7.4,1.8,2.6
Narrandera (A),15800,23,46,44,453,590,575,916,1048,1030,1083,1000,1007,186,167,170,0.9,0.7,0.7,2.8,2.3,2.3,4.6,1.5,1.9
Narromine (A),15850,20,47,42,478,612,586,1042,1090,1078,1139,1092,1100,210,156,185,0.9,0.7,0.8,3.1,2.3,2.5,8.0,1.3,2.8
Newcastle (C),15900,24,38,37,507,666,660,1267,1374,1368,1733,1773,1768,320,340,340,1.0,0.8,0.8,2.8,2.4,2.4,7.6,2.7,2.9
North Sydney (A),15950,34,37,37,1213,1387,1386,2390,2360,2360,2600,2600,2600,551,575,575,1.1,1.0,1.0,2.1,2.0,2.0,7.6,4.2,4.2
Northern Beaches (A),15990,26,40,40,753,917,916,2330,2177,2178,2800,2800,2800,545,570,565,1.1,0.9,0.9,3.2,2.7,2.7,6.8,3.6,3.7
