lga_code16,maopd_400_499_h_0,maopd_400_499_h_1_15,maopd_400_499_h_16_24,maopd_400_499_h_25_34,maopd_400_499_h_35_39,maopd_400_499_h_40,maopd_400_499_h_41_48,maopd_400_499_h_49mo,maopd_400_499_h_ns,maopd_400_499_h_tot,maopd_500_649_h_0,maopd_500_649_h_1_15,maopd_500_649_h_16_24,maopd_500_649_h_25_34,maopd_500_649_h_35_39,maopd_500_649_h_40,maopd_500_649_h_41_48,maopd_500_649_h_49mo,maopd_500_649_h_ns,maopd_500_649_h_tot,maopd_650_799_h_0,maopd_650_799_h_1_15,maopd_650_799_h_16_24,maopd_650_799_h_25_34,maopd_650_799_h_35_39,maopd_650_799_h_40,maopd_650_799_h_41_48,maopd_650_799_h_49mo,maopd_650_799_h_ns,maopd_650_799_h_tot,maopd_800_999_h_0,maopd_800_999_h_1_15,maopd_800_999_h_16_24,maopd_800_999_h_25_34,maopd_800_999_h_35_39,maopd_800_999_h_40,maopd_800_999_h_41_48,maopd_800_999_h_49mo,maopd_800_999_h_ns,maopd_800_999_h_tot,maopd_1000_1249_h_0,maopd_1000_1249_h_1_15,maopd_1000_1249_h_16_24,maopd_1000_1249_h_25_34,maopd_1000_1249_h_35_39,maopd_1000_1249_h_40,maopd_1000_1249_h_41_48,maopd_1000_1249_h_49mo,maopd_1000_1249_h_ns,maopd_1000_1249_h_tot,maopd_1250_1499_h_0,maopd_1250_1499_h_1_15,maopd_1250_1499_h_16_24,maopd_1250_1499_h_25_34,maopd_1250_1499_h_35_39,maopd_1250_1499_h_40,maopd_1250_1499_h_41_48,maopd_1250_1499_h_49mo,maopd_1250_1499_h_ns,maopd_1250_1499_h_tot,maopd_1500_1749_h_0,maopd_1500_1749_h_1_15,maopd_1500_1749_h_16_24,maopd_1500_1749_h_25_34,maopd_1500_1749_h_35_39,maopd_1500_1749_h_40,maopd_1500_1749_h_41_48,maopd_1500_1749_h_49mo,maopd_1500_1749_h_ns,maopd_1500_1749_h_tot,maopd_1750_1999_h_0,maopd_1750_1999_h_1_15,maopd_1750_1999_h_16_24,maopd_1750_1999_h_25_34,maopd_1750_1999_h_35_39,maopd_1750_1999_h_40,maopd_1750_1999_h_41_48,maopd_1750_1999_h_49mo,maopd_1750_1999_h_ns,maopd_1750_1999_h_tot,maopd_2000_2999_h_0,maopd_2000_2999_h_1_15,maopd_2000_2999_h_16_24,maopd_2000_2999_h_25_34,maopd_2000_2999_h_35_39,maopd_2000_2999_h_40,maopd_2000_2999_h_41_48,maopd_2000_2999_h_49mo,maopd_2000_2999_h_ns,maopd_2000_2999_h_tot,maopd_3000mo_h_0,maopd_3000mo_h_1_15,maopd_3000mo_h_16_24,maopd_3000mo_h_25_34,maopd_3000mo_h_35_39,maopd_3000mo_h_40,maopd_3000mo_h_41_48,maopd_3000mo_h_49mo,maopd_3000mo_h_ns,maopd_3000mo_h_tot,maopd_pins_h_0,maopd_pins_h_1_15,maopd_pins_h_16_24,maopd_pins_h_25_34,maopd_pins_h_35_39,maopd_pins_h_40,maopd_pins_h_41_48,maopd_pins_h_49mo,maopd_pins_h_ns,maopd_pins_h_tot,maopd_tot_h_0,maopd_tot_h_1_15,maopd_tot_h_16_24,maopd_tot_h_25_34,maopd_tot_h_35_39,maopd_tot_h_40,maopd_tot_h_41_48,maopd_tot_h_49mo,maopd_tot_h_ns,maopd_tot_h_tot,lab_nni_h_0,lab_nni_h_1_15,lab_nni_h_16_24,lab_nni_h_25_34,lab_nni_h_35_39,lab_nni_h_40,lab_nni_h_41_48,lab_nni_h_49mo,lab_nni_h_ns,lab_nni_h_tot,lab_1_149_h_0,lab_1_149_h_1_15,lab_1_149_h_16_24,lab_1_149_h_25_34,lab_1_149_h_35_39,lab_1_149_h_40,lab_1_149_h_41_48,lab_1_149_h_49mo,lab_1_149_h_ns,lab_1_149_h_tot,lab_150_299_h_0,lab_150_299_h_1_15,lab_150_299_h_16_24,lab_150_299_h_25_34,lab_150_299_h_35_39,lab_150_299_h_40,lab_150_299_h_41_48,lab_150_299_h_49mo,lab_150_299_h_ns,lab_150_299_h_tot,lab_300_399_h_0,lab_300_399_h_1_15,lab_300_399_h_16_24,lab_300_399_h_25_34,lab_300_399_h_35_39,lab_300_399_h_40,lab_300_399_h_41_48,lab_300_399_h_49mo,lab_300_399_h_ns,lab_300_399_h_tot,lab_400_499_h_0,lab_400_499_h_1_15,lab_400_499_h_16_24,lab_400_499_h_25_34,lab_400_499_h_35_39,lab_400_499_h_40,lab_400_499_h_41_48,lab_400_499_h_49mo,lab_400_499_h_ns,lab_400_499_h_tot,lab_500_649_h_0,lab_500_649_h_1_15,lab_500_649_h_16_24,lab_500_649_h_25_34,lab_500_649_h_35_39,lab_500_649_h_40,lab_500_649_h_41_48,lab_500_649_h_49mo,lab_500_649_h_ns,lab_500_649_h_tot,lab_650_799_h_0,lab_650_799_h_1_15,lab_650_799_h_16_24,lab_650_799_h_25_34,lab_650_799_h_35_39,lab_650_799_h_40,lab_650_799_h_41_48,lab_650_799_h_49mo,lab_650_799_h_ns,lab_650_799_h_tot,lab_800_999_h_0,lab_800_999_h_1_15,lab_800_999_h_16_24,lab_800_999_h_25_34,lab_800_999_h_35_39,lab_800_999_h_40,lab_800_999_h_41_48,lab_800_999_h_49mo,lab_800_999_h_ns,lab_800_999_h_tot,lga_name16
32810,0,3,5,0,3,0,0,0,0,16,3,3,6,9,3,3,3,3,0,28,0,0,4,6,14,6,3,6,0,48,0,0,0,8,15,11,8,17,0,59,0,0,0,0,9,10,8,27,0,54,0,0,0,0,3,8,6,10,0,36,0,0,0,0,3,0,5,9,0,12,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,24,13,25,48,45,46,80,6,284,0,0,0,0,0,0,0,3,0,10,3,29,3,0,0,0,0,0,3,40,0,18,15,4,0,4,0,0,4,38,0,15,13,5,3,3,0,5,0,52,3,17,25,27,12,4,0,3,0,89,0,8,22,51,22,5,7,3,6,130,7,7,10,32,53,16,11,9,0,148,3,3,10,16,28,36,26,14,3,138,Douglas (S)
33100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,23,0,32,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,9,0,3,0,0,0,0,0,3,0,8,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,0,15,Etheridge (S)
33200,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,6,0,0,3,0,11,0,0,0,0,0,0,3,5,0,7,0,0,0,0,3,0,0,4,0,8,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,5,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,7,0,4,0,13,19,8,31,0,83,0,0,0,0,0,0,0,3,0,7,0,6,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,3,0,5,0,3,0,3,0,0,0,0,0,6,0,0,6,0,0,3,0,0,0,14,0,0,0,6,3,0,0,11,0,27,0,0,5,0,3,7,0,3,0,19,0,0,0,4,0,3,0,13,0,24,Flinders (S) (Qld)
33220,0,15,35,12,8,4,0,10,0,90,3,22,45,51,20,24,9,14,7,198,8,8,15,44,106,44,19,23,7,276,6,9,9,29,123,69,48,50,8,353,13,7,8,19,77,46,51,88,3,299,9,0,0,4,32,18,25,74,0,161,0,0,3,3,12,13,12,43,0,81,0,0,0,5,0,10,4,27,0,51,0,0,0,0,0,5,5,16,0,25,0,0,0,3,0,3,0,6,0,13,0,0,3,4,3,4,3,6,3,31,54,139,145,185,385,260,181,359,39,1743,4,16,4,9,0,5,0,3,3,46,6,228,17,5,4,0,0,4,8,274,14,188,50,18,5,0,0,3,10,293,12,146,96,43,10,7,4,9,8,335,8,110,129,63,26,11,3,16,11,386,16,75,105,144,82,47,11,16,12,501,18,40,41,145,197,83,29,27,7,585,16,20,13,53,168,106,36,36,9,460,Fraser Coast (R)
33360,7,15,20,10,0,3,0,0,0,56,6,5,16,17,14,11,7,10,0,82,7,6,15,18,35,24,12,10,0,128,3,9,6,20,74,36,23,37,0,212,15,7,8,7,67,60,92,92,9,357,11,9,7,8,50,62,142,120,4,412,21,6,4,7,27,49,187,127,9,424,25,3,5,4,20,43,198,126,4,431,53,7,10,3,42,123,244,299,13,783,7,0,0,0,7,16,18,143,0,199,0,8,8,0,8,11,16,18,6,63,146,114,119,104,349,433,940,1002,50,3256,4,10,3,4,0,3,0,6,3,28,16,242,13,4,0,0,3,3,3,285,16,129,47,9,3,5,3,7,8,221,8,111,66,29,3,7,4,5,6,238,5,52,99,57,14,3,0,6,0,242,4,41,75,105,47,18,9,8,5,310,10,16,23,75,78,41,12,21,3,278,3,13,10,34,89,76,40,26,7,294,Gladstone (R)
33430,18,113,215,149,62,36,22,28,22,666,25,99,226,350,231,128,43,98,26,1223,54,65,119,371,845,381,135,158,24,2154,56,42,81,257,876,662,375,350,26,2723,43,30,36,86,402,489,415,592,32,2126,27,12,13,23,128,175,187,501,10,1076,24,7,6,24,59,84,99,366,3,674,15,7,4,13,26,29,43,257,7,385,4,0,7,3,20,29,39,197,3,308,4,0,3,5,8,5,6,45,4,87,0,8,11,15,27,35,18,37,42,184,304,794,978,1403,2729,2096,1399,2662,230,12591,17,108,30,18,5,7,0,17,8,212,70,1452,90,21,6,7,0,11,27,1684,52,970,356,106,25,19,3,13,35,1589,49,688,646,205,51,32,10,38,39,1763,61,504,874,525,124,56,24,31,44,2256,87,373,710,1131,590,251,77,107,56,3378,83,216,317,956,1360,552,192,158,53,3891,54,106,180,432,1172,741,342,294,39,3361,Gold Coast (C)
33610,0,3,0,0,3,0,0,0,0,8,3,4,5,4,0,6,0,7,4,37,3,3,0,0,9,10,4,15,0,41,3,4,3,3,18,15,13,30,0,95,3,0,0,0,7,16,21,50,0,105,3,0,0,0,4,7,8,31,3,60,0,0,0,0,0,8,3,19,0,38,0,0,0,0,6,4,4,11,0,25,0,0,0,0,0,3,5,8,0,10,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,0,14,20,27,21,25,42,69,58,175,7,450,0,0,0,0,0,0,0,3,3,9,4,27,3,0,0,0,0,6,0,42,0,26,4,3,3,3,0,6,3,45,3,18,5,10,0,3,0,5,0,50,3,7,21,4,4,0,0,0,0,46,3,9,13,23,26,9,9,7,3,95,0,3,6,25,32,29,13,21,5,131,3,3,8,10,20,31,7,32,0,114,Goondiwindi (R)
33620,0,11,21,17,3,8,0,8,0,63,0,3,15,22,15,14,4,8,0,84,3,12,6,27,54,40,15,15,4,175,9,3,5,17,46,33,28,40,5,188,13,0,6,9,55,37,37,66,3,230,4,0,0,4,12,14,23,81,4,139,3,3,0,0,13,6,17,55,3,101,4,0,0,0,3,3,17,34,0,57,0,0,0,0,0,4,10,25,0,34,3,0,0,0,0,0,0,7,0,9,4,0,0,0,4,4,0,0,3,22,57,81,77,98,215,162,140,349,23,1212,3,10,0,0,3,3,0,6,0,27,9,118,10,11,3,0,0,4,5,170,5,95,35,13,12,5,3,0,4,171,8,79,58,23,7,8,0,9,0,199,9,74,66,50,20,10,4,5,5,253,6,59,67,99,46,33,11,26,0,356,5,21,33,74,114,49,15,22,7,344,9,14,6,46,101,61,42,34,7,314,Gympie (R)
33800,0,0,0,0,0,0,0,6,0,10,0,3,0,3,0,5,5,5,3,33,0,0,0,4,17,19,8,14,3,69,3,0,3,3,22,19,8,25,0,87,0,0,0,3,13,23,20,26,3,89,3,3,0,4,7,12,18,22,0,63,0,0,0,0,6,0,3,12,3,27,0,0,0,0,0,0,3,8,0,9,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,6,13,13,23,71,88,65,131,15,431,0,3,0,0,0,0,0,0,0,8,0,29,3,0,0,0,0,0,6,36,0,28,16,3,5,0,0,3,6,58,0,16,9,11,4,0,0,0,3,45,3,3,17,8,0,0,0,6,0,45,0,18,8,19,9,3,0,7,3,71,0,7,0,16,26,19,8,8,3,88,3,0,4,3,25,12,7,5,3,70,Hinchinbrook (S)
33830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,3,3,22,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,5,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,Hope Vale (S)
