lga_code16,cl_nfd_400_499_mng,cl_nfd_400_499_pro,cl_nfd_400_499_tectw,cl_nfd_400_499_copsw,cl_nfd_400_499_claw,cl_nfd_400_499_swks,cl_nfd_400_499_maopdv,cl_nfd_400_499_lab,cl_nfd_400_499_idns,cl_nfd_400_499_tot,cl_nfd_500_649_mng,cl_nfd_500_649_pro,cl_nfd_500_649_tectw,cl_nfd_500_649_copsw,cl_nfd_500_649_claw,cl_nfd_500_649_swks,cl_nfd_500_649_maopdv,cl_nfd_500_649_lab,cl_nfd_500_649_idns,cl_nfd_500_649_tot,cl_nfd_650_799_mng,cl_nfd_650_799_pro,cl_nfd_650_799_tectw,cl_nfd_650_799_copsw,cl_nfd_650_799_claw,cl_nfd_650_799_swks,cl_nfd_650_799_maopdv,cl_nfd_650_799_lab,cl_nfd_650_799_idns,cl_nfd_650_799_tot,cl_nfd_800_999_mng,cl_nfd_800_999_pro,cl_nfd_800_999_tectw,cl_nfd_800_999_copsw,cl_nfd_800_999_claw,cl_nfd_800_999_swks,cl_nfd_800_999_maopdv,cl_nfd_800_999_lab,cl_nfd_800_999_idns,cl_nfd_800_999_tot,cl_nfd_1000_1249_mng,cl_nfd_1000_1249_pro,cl_nfd_1000_1249_tectw,cl_nfd_1000_1249_copsw,cl_nfd_1000_1249_claw,cl_nfd_1000_1249_swks,cl_nfd_1000_1249_maopdv,cl_nfd_1000_1249_lab,cl_nfd_1000_1249_idns,cl_nfd_1000_1249_tot,cl_nfd_1250_1499_mng,cl_nfd_1250_1499_pro,cl_nfd_1250_1499_tectw,cl_nfd_1250_1499_copsw,cl_nfd_1250_1499_claw,cl_nfd_1250_1499_swks,cl_nfd_1250_1499_maopdv,cl_nfd_1250_1499_lab,cl_nfd_1250_1499_idns,cl_nfd_1250_1499_tot,cl_nfd_1500_1749_mng,cl_nfd_1500_1749_pro,cl_nfd_1500_1749_tectw,cl_nfd_1500_1749_copsw,cl_nfd_1500_1749_claw,cl_nfd_1500_1749_swks,cl_nfd_1500_1749_maopdv,cl_nfd_1500_1749_lab,cl_nfd_1500_1749_idns,cl_nfd_1500_1749_tot,cl_nfd_1750_1999_mng,cl_nfd_1750_1999_pro,cl_nfd_1750_1999_tectw,cl_nfd_1750_1999_copsw,cl_nfd_1750_1999_claw,cl_nfd_1750_1999_swks,cl_nfd_1750_1999_maopdv,cl_nfd_1750_1999_lab,cl_nfd_1750_1999_idns,cl_nfd_1750_1999_tot,cl_nfd_2000_2999_mng,cl_nfd_2000_2999_pro,cl_nfd_2000_2999_tectw,cl_nfd_2000_2999_copsw,cl_nfd_2000_2999_claw,cl_nfd_2000_2999_swks,cl_nfd_2000_2999_maopdv,cl_nfd_2000_2999_lab,cl_nfd_2000_2999_idns,cl_nfd_2000_2999_tot,cl_nfd_3000mo_mng,cl_nfd_3000mo_pro,cl_nfd_3000mo_tectw,cl_nfd_3000mo_copsw,cl_nfd_3000mo_claw,cl_nfd_3000mo_swks,cl_nfd_3000mo_maopdv,cl_nfd_3000mo_lab,cl_nfd_3000mo_idns,cl_nfd_3000mo_tot,cl_nfd_pins_mng,cl_nfd_pins_pro,cl_nfd_pins_tectw,cl_nfd_pins_copsw,cl_nfd_pins_claw,cl_nfd_pins_swks,cl_nfd_pins_maopdv,cl_nfd_pins_lab,cl_nfd_pins_idns,cl_nfd_pins_tot,cl_nfd_tot_mng,cl_nfd_tot_pro,cl_nfd_tot_tectw,cl_nfd_tot_copsw,cl_nfd_tot_claw,cl_nfd_tot_swks,cl_nfd_tot_maopdv,cl_nfd_tot_lab,cl_nfd_tot_idns,cl_nfd_tot_tot,ciii_iv_nni_mng,ciii_iv_nni_pro,ciii_iv_nni_tectw,ciii_iv_nni_copsw,ciii_iv_nni_claw,ciii_iv_nni_swks,ciii_iv_nni_maopdv,ciii_iv_nni_lab,ciii_iv_nni_idns,ciii_iv_nni_tot,ciii_iv_1_149_mng,ciii_iv_1_149_pro,ciii_iv_1_149_tectw,ciii_iv_1_149_copsw,ciii_iv_1_149_claw,ciii_iv_1_149_swks,ciii_iv_1_149_maopdv,ciii_iv_1_149_lab,ciii_iv_1_149_idns,ciii_iv_1_149_tot,ciii_iv_150_299_mng,ciii_iv_150_299_pro,ciii_iv_150_299_tectw,ciii_iv_150_299_copsw,ciii_iv_150_299_claw,ciii_iv_150_299_swks,ciii_iv_150_299_maopdv,ciii_iv_150_299_lab,ciii_iv_150_299_idns,ciii_iv_150_299_tot,ciii_iv_300_399_mng,ciii_iv_300_399_pro,ciii_iv_300_399_tectw,ciii_iv_300_399_copsw,ciii_iv_300_399_claw,ciii_iv_300_399_swks,ciii_iv_300_399_maopdv,ciii_iv_300_399_lab,ciii_iv_300_399_idns,ciii_iv_300_399_tot,ciii_iv_400_499_mng,ciii_iv_400_499_pro,ciii_iv_400_499_tectw,ciii_iv_400_499_copsw,ciii_iv_400_499_claw,ciii_iv_400_499_swks,ciii_iv_400_499_maopdv,ciii_iv_400_499_lab,ciii_iv_400_499_idns,ciii_iv_400_499_tot,ciii_iv_500_649_mng,ciii_iv_500_649_pro,ciii_iv_500_649_tectw,ciii_iv_500_649_copsw,ciii_iv_500_649_claw,ciii_iv_500_649_swks,ciii_iv_500_649_maopdv,ciii_iv_500_649_lab,ciii_iv_500_649_idns,ciii_iv_500_649_tot,ciii_iv_650_799_mng,ciii_iv_650_799_pro,ciii_iv_650_799_tectw,ciii_iv_650_799_copsw,ciii_iv_650_799_claw,ciii_iv_650_799_swks,ciii_iv_650_799_maopdv,ciii_iv_650_799_lab,ciii_iv_650_799_idns,ciii_iv_650_799_tot,ciii_iv_800_999_mng,ciii_iv_800_999_pro,ciii_iv_800_999_tectw,ciii_iv_800_999_copsw,ciii_iv_800_999_claw,ciii_iv_800_999_swks,ciii_iv_800_999_maopdv,ciii_iv_800_999_lab,ciii_iv_800_999_idns,ciii_iv_800_999_tot,lga_name16
10050,3,0,0,14,11,7,3,10,0,42,8,5,4,20,18,14,3,10,3,76,4,5,10,18,25,8,3,5,0,81,7,3,9,18,40,10,5,6,0,109,4,6,3,14,23,8,12,9,0,79,8,0,9,4,19,3,3,0,0,47,6,3,0,3,4,3,4,0,0,32,3,6,0,3,3,4,3,0,0,23,4,0,0,0,3,0,0,0,0,15,4,0,0,0,0,3,0,0,0,8,0,0,0,0,6,4,0,0,0,12,59,37,31,117,164,77,50,49,3,598,4,0,3,4,8,3,0,0,3,28,8,7,8,13,10,13,3,8,0,63,5,4,17,42,21,25,3,35,0,157,9,7,46,59,44,50,11,31,0,253,9,14,80,99,66,56,15,33,11,384,31,34,154,163,113,68,22,44,10,632,58,39,274,173,166,99,72,87,8,970,81,52,422,137,190,81,85,81,11,1144,Albury (C)
10130,4,0,5,7,5,0,0,3,0,24,6,4,0,9,13,9,0,11,0,45,3,3,3,11,17,3,10,4,0,51,5,3,13,4,13,9,7,4,0,58,11,0,3,4,16,3,7,3,0,40,5,3,0,3,10,0,0,0,0,18,0,3,0,0,4,3,0,0,0,17,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,41,20,31,46,89,40,17,32,3,315,10,0,7,3,0,0,0,3,0,24,0,0,11,12,4,3,0,11,3,41,3,4,12,26,6,17,3,17,3,92,11,9,23,24,6,12,5,24,0,119,22,4,35,33,15,24,0,25,3,163,28,15,61,64,44,29,9,44,4,287,31,23,152,54,53,41,14,45,6,425,63,15,159,49,76,32,36,48,7,483,Armidale Regional (A)
10250,3,3,3,12,10,7,0,10,0,47,4,6,0,22,15,5,0,3,0,61,6,6,9,15,15,9,3,13,3,76,7,0,3,15,16,8,4,4,0,64,12,0,3,6,11,0,0,7,0,50,5,4,3,3,7,4,5,0,0,30,0,3,0,0,4,3,3,0,0,12,3,4,0,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,4,50,31,27,92,95,51,20,46,11,414,4,0,4,0,3,0,3,0,0,16,6,0,11,7,3,6,0,6,0,37,8,3,19,24,16,13,0,23,3,106,7,8,46,41,13,17,9,22,4,163,20,20,41,65,26,24,14,42,3,245,24,25,118,101,51,50,16,54,8,444,63,40,178,141,84,40,33,80,3,655,77,38,285,86,73,30,43,69,10,710,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,10,3,0,0,0,0,3,0,0,0,9,6,0,10,0,6,0,0,4,0,23,0,0,3,5,3,0,4,4,0,22,7,0,14,0,4,0,5,3,0,34,Balranald (A)
10470,5,0,0,3,10,3,3,10,0,31,4,3,0,9,12,11,0,8,0,49,13,9,4,14,13,19,3,13,3,86,6,0,6,11,30,9,9,11,0,91,10,4,7,4,22,3,3,4,0,57,3,5,3,3,12,0,3,3,0,27,3,3,3,4,8,3,3,3,0,28,4,3,3,3,4,0,3,0,0,21,3,3,3,3,5,0,3,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,32,36,73,127,69,29,59,8,479,3,3,6,3,9,0,0,4,0,28,3,0,5,16,3,4,0,8,0,34,3,12,20,28,15,25,3,18,3,123,13,6,35,37,14,10,3,18,4,149,14,4,56,58,24,29,13,21,4,223,32,13,111,103,48,54,22,49,7,434,45,23,175,113,66,56,32,52,3,564,68,33,250,105,102,56,67,69,9,750,Bathurst Regional (A)
10550,0,0,0,7,3,5,0,4,0,27,9,4,7,16,14,6,0,6,0,66,10,7,3,16,16,6,3,4,0,63,8,0,4,8,19,0,3,7,0,44,8,0,3,9,11,4,4,3,0,35,3,0,3,0,3,0,0,4,0,16,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6,51,23,27,67,70,41,10,46,4,333,7,0,7,0,3,0,0,3,0,23,5,0,9,11,0,4,0,10,0,44,15,3,33,20,11,10,0,13,0,114,18,8,49,31,12,15,5,26,3,166,18,8,59,43,21,20,7,25,3,207,40,18,78,88,39,49,5,39,5,370,50,12,143,82,32,58,29,50,3,466,75,17,193,60,52,31,38,81,6,563,Bega Valley (A)
10600,3,0,0,0,0,3,0,0,0,11,0,0,0,9,3,3,0,0,0,13,3,3,4,5,0,3,0,3,0,21,0,0,0,4,3,0,0,0,0,9,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,8,17,15,7,0,8,0,90,7,0,3,0,0,0,0,0,0,8,3,0,3,3,4,0,0,6,0,18,5,0,9,4,3,5,5,6,0,44,4,0,16,4,0,8,4,9,0,46,12,0,16,16,5,7,3,8,4,64,23,7,30,29,19,7,7,15,0,130,13,8,50,28,10,16,9,9,0,142,17,8,47,12,12,4,11,17,3,144,Bellingen (A)
10650,0,0,0,4,3,0,0,0,0,6,4,0,0,3,9,3,0,0,0,20,0,0,0,0,0,0,3,0,0,4,3,0,0,4,0,0,0,0,0,14,3,0,0,0,3,0,0,3,0,10,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,13,21,9,8,5,0,79,5,0,0,0,0,0,0,0,0,8,3,0,3,3,0,0,0,0,0,7,7,3,7,3,3,3,0,3,0,30,6,4,5,8,0,3,3,7,0,38,16,0,9,17,6,8,0,6,0,57,14,3,16,22,7,10,6,6,0,86,20,6,19,27,13,10,10,22,0,129,12,3,40,14,15,8,17,13,0,123,Berrigan (A)
10750,3,9,11,40,30,25,7,22,3,149,14,9,18,39,55,34,14,33,3,223,21,14,17,68,73,34,49,46,3,325,25,12,37,43,96,35,100,45,7,405,34,16,38,44,110,28,80,38,10,394,29,19,29,16,71,11,40,20,3,245,37,18,15,12,30,11,42,21,6,181,28,11,14,3,12,5,14,11,0,109,52,19,7,4,21,4,13,3,0,134,16,7,0,3,6,4,3,0,0,40,3,4,3,0,4,3,4,10,5,35,280,152,198,341,549,235,385,284,36,2459,13,11,29,6,9,3,12,6,6,93,8,11,28,38,20,33,10,28,3,170,15,20,71,88,43,73,26,51,10,398,19,25,123,124,71,77,31,59,7,530,27,25,196,190,89,83,54,104,14,777,87,58,388,290,161,129,126,148,14,1402,114,70,592,370,287,164,354,226,27,2199,186,118,1017,354,472,200,594,305,55,3291,Blacktown (C)
10800,3,0,0,0,0,0,0,0,0,9,4,0,0,3,0,0,0,0,0,11,0,3,0,0,0,4,0,0,0,14,3,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,3,0,0,17,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,3,6,11,7,3,12,3,0,77,10,0,0,0,0,0,0,0,0,14,3,0,3,0,4,0,0,0,0,13,4,0,4,6,0,3,0,8,0,22,7,0,5,4,3,0,0,6,0,29,12,0,12,6,7,0,0,4,0,44,18,6,21,6,5,10,3,4,0,72,9,3,19,7,7,3,8,8,0,66,21,3,29,3,5,3,7,7,0,85,Bland (A)
