lga_name_2016,lga_code_2016,d_5_9_fpet_mptlf,d_5_9_fpet_mpnlf,d_5_9_fpet_mplfsns,d_5_9_fpet_t,d_5_9_fpulftw_mpeft,d_5_9_fpulftw_mpept,d_5_9_fpulftw_mp_eaw,d_5_9_fpulftw_mp_e_hns,d_5_9_fpulftw_mpet,d_5_9_fpulftw_mpulftw,d_5_9_fpulftw_mpulptw,d_5_9_fpulftw_mput,d_5_9_fpulftw_mptlf,d_5_9_fpulftw_mpnlf,d_5_9_fpulftw_mplfsns,d_5_9_fpulftw_t,d_5_9_fpulptw_mpeft,d_5_9_fpulptw_mpept,d_5_9_fpulptw_mpeaw,d_5_9_fpulptw_mp_e_hns,d_5_9_fpulptw_mpet,d_5_9_fpulptw_mpulftw,d_5_9_fpulptw_mpulptw,d_5_9_fpulptw_mput,d_5_9_fpulptw_mptlf,d_5_9_fpulptw_mpnlf,d_5_9_fpulptw_mplfsns,d_5_9_fpulptw_t,d_5_9_fput_mpeft,d_5_9_fput_mpept,d_5_9_fput_mpeaw,d_5_9_fput_mpehns,d_5_9_fput_mpet,d_5_9_fput_mpulftw,d_5_9_fput_mpulptw,d_5_9_fput_mput,d_5_9_fput_mptlf,d_5_9_fput_mpnlf,d_5_9_fput_mplfsns,d_5_9_fput_t,d_5_9_fptlf_mpeft,d_5_9_fptlf_mpept,d_5_9_fptlf_mpeaw,d_5_9_fptlf_mpehns,d_5_9_fptlf_mpet,d_5_9_fptlf_mpulftw,d_5_9_fptlf_mpulptw,d_5_9_fptlf_mput,d_5_9_fptlf_mptlf,d_5_9_fptlf_mpnlf,d_5_9_fptlf_mplfsns,d_5_9_fptlf_t,d_5_9_fpnlf_mpeft,d_5_9_fpnlf_mpept,d_5_9_fpnlf_mpeaw,d_5_9_fpnlf_mpehns,d_5_9_fpnlf_mpet,d_5_9_fpnlf_mpulftw,d_5_9_fpnlf_mpulptw,d_5_9_fpnlf_mput,d_5_9_fpnlf_mptlf,d_5_9_fpnlf_mpnlf,d_5_9_fpnlf_mplfsns,d_5_9_fpnlf_t,d_5_9_fplfsns_mpeft,d_5_9_fplfsns_mpept,d_5_9_fplfsns_mpeaw,d_5_9_fplfsns_mpehns,d_5_9_fplfsns_mpet,d_5_9_fplfsns_mpulftw,d_5_9_fplfsns_mpulptw,d_5_9_fplfsns_mput,d_5_9_fplfsns_mptlf,d_5_9_fplfsns_mpnlf,d_5_9_fplfsns_mplfsns,d_5_9_fplfsns_t,d_5_9_fpt_mpeft,d_5_9_fpt_mpept,d_5_9_fpt_mpeaw,d_5_9_fpt_mpehns,d_5_9_fpt_mpet,d_5_9_fpt_mpulftw,d_5_9_fpt_mpulptw,d_5_9_fpt_mput,d_5_9_fpt_mptlf,d_5_9_fpt_mpnlf,d_5_9_fpt_mplfsns,d_5_9_fpt_t,d_10_12_fpeft_mpeft,d_10_12_fpeft_mpept,d_10_12_fpeft_mpeaw,d_10_12_fpeft_mpehns,d_10_12_fpeft_mpet,d_10_12_fpeft_mpulftw,d_10_12_fpeft_mpulptw,d_10_12_fpeft_mput,d_10_12_fpeft_mptlf,d_10_12_fpeft_mpnlf,d_10_12_fpeft_mplfsns,d_10_12_fpeft_t,d_10_12_fpept_mpeft,d_10_12_fpept_mpept,d_10_12_fpept_mpeaw,d_10_12_fpept_mpehns,d_10_12_fpept_mpet,d_10_12_fpept_mpulftw,d_10_12_fpept_mpulptw,d_10_12_fpept_mput,d_10_12_fpept_mptlf,d_10_12_fpept_mpnlf,d_10_12_fpept_mplfsns,d_10_12_fpept_t,d_10_12_fpeaw_mpeft,d_10_12_fpeaw_mpept,d_10_12_fpeaw_mpeaw,d_10_12_fpeaw_mpehns,d_10_12_fpeaw_mpet,d_10_12_fpeaw_mpulftw,d_10_12_fpeaw_mpulptw,d_10_12_fpeaw_mput,d_10_12_fpeaw_mptlf,d_10_12_fpeaw_mpnlf,d_10_12_fpeaw_mplfsns,d_10_12_fpeaw_t,d_10_12_fphns_mpeft,d_10_12_fphns_mpept,d_10_12_fphns_mpeaw,d_10_12_fphns_mpehns,d_10_12_fphns_mpet,d_10_12_fphns_mpulftw,d_10_12_fphns_mpulptw,d_10_12_fphns_mput,d_10_12_fphns_mptlf,d_10_12_fphns_mpnlf,d_10_12_fphns_mplfsns,d_10_12_fphns_t,d_10_12_fpet_mpeft,d_10_12_fpet_mpept,d_10_12_fpet_mpeaw,d_10_12_fpet_mpehns,d_10_12_fpet_mpet,d_10_12_fpet_mpulftw,d_10_12_fpet_mpulptw,d_10_12_fpet_mput,d_10_12_fpet_mptlf,d_10_12_fpet_mpnlf,d_10_12_fpet_mplfsns,d_10_12_fpet_t,d_10_12_fpulftw_mpeft,d_10_12_fpulftw_mpept,d_10_12_fpulftw_mpeaw,d_10_12_fpulftw_mpehns,d_10_12_fpulftw_mpet,d_10_12_fpulftw_mpulftw,d_10_12_fpulftw_mpulptw,d_10_12_fpulftw_mput,d_10_12_fpulftw_mptlf,d_10_12_fpulftw_mpnlf,d_10_12_fpulftw_mplfsns,d_10_12_fpulftw_t,d_10_12_fpulptw_mpeft,d_10_12_fpulptw_mpept,d_10_12_fpulptw_mpeaw,d_10_12_fpulptw_mpehns,d_10_12_fpulptw_mpet,d_10_12_fpulptw_mpulftw,d_10_12_fpulptw_mpulptw,d_10_12_fpulptw_mput,d_10_12_fpulptw_mptlf,d_10_12_fpulptw_mpnlf,d_10_12_fpulptw_mplfsns,d_10_12_fpulptw_t,d_10_12_fput_mpeft,d_10_12_fput_mpept,d_10_12_fput_mpeaw,d_10_12_fput_mpehns,d_10_12_fput_mpet,d_10_12_fput_mpulftw,d_10_12_fput_mpulptw,d_10_12_fput_mput,d_10_12_fput_mptlf,d_10_12_fput_mpnlf,d_10_12_fput_mplfsns,d_10_12_fput_t,d_10_12_fptlf_mpeft,d_10_12_fptlf_mpept,d_10_12_fptlf_mpeaw,d_10_12_fptlf_mpehns,d_10_12_fptlf_mpet,d_10_12_fptlf_mpulftw,d_10_12_fptlf_mpulptw,d_10_12_fptlf_mput,d_10_12_fptlf_mptlf,d_10_12_fptlf_mpnlf,d_10_12_fptlf_mplfsns,d_10_12_fptlf_t,d_10_12_fpnlf_mpeft,d_10_12_fpnlf_mpept,d_10_12_fpnlf_mpeaw,d_10_12_fpnlf_mpehns
Darebin (C),21890,4073,169,4,4242,40,10,0,3,55,8,0,11,69,0,0,69,119,19,0,3,140,8,3,18,159,3,0,161,162,26,0,3,193,21,9,29,224,3,0,229,3496,571,49,60,4176,86,32,121,4296,172,4,4467,958,162,20,34,1171,59,26,86,1260,323,0,1583,7,0,0,0,12,0,0,0,12,0,15,26,4454,737,72,90,5356,147,60,207,5566,500,20,6077,673,127,14,6,817,6,5,11,829,56,0,886,1142,169,11,8,1331,21,9,31,1357,38,0,1402,21,8,6,0,40,0,0,0,39,0,0,39,11,3,0,14,25,0,0,0,26,0,0,26,1848,300,25,33,2210,28,11,45,2256,97,3,2349,18,9,0,0,32,10,0,10,36,0,0,36,63,9,0,0,76,7,3,9,82,0,0,80,85,16,0,0,102,13,3,17,120,3,0,120,1937,322,25,30,2314,40,16,57,2374,102,3,2471,406,77,4,16
East Gippsland (S),22110,1099,72,0,1172,5,3,0,0,6,0,0,0,10,0,0,9,17,0,0,3,16,0,0,3,18,0,0,18,15,3,0,3,27,0,0,3,29,0,0,26,910,141,30,24,1109,13,7,19,1127,75,0,1203,280,48,3,9,342,19,0,14,354,71,0,424,0,0,0,3,4,0,0,0,4,0,6,8,1194,187,40,33,1454,31,8,38,1490,144,3,1638,188,23,6,0,215,3,4,5,219,13,0,228,359,60,15,4,444,4,0,6,444,30,0,475,11,4,9,4,24,0,0,0,24,5,0,28,3,0,0,4,10,0,0,0,10,0,0,10,560,89,27,11,688,7,5,8,703,43,0,742,5,3,0,0,6,0,0,0,6,3,0,9,0,3,0,0,3,0,0,0,3,0,0,3,5,3,0,0,9,0,0,0,9,3,0,16,566,95,27,18,699,7,5,8,709,47,0,757,86,20,0,3
Frankston (C),22170,3856,181,5,4048,41,8,0,3,55,0,0,0,56,0,0,54,121,9,0,4,135,8,3,6,146,10,0,148,162,20,0,13,186,10,3,13,199,11,0,209,3483,396,52,58,3985,63,9,68,4053,190,5,4258,1182,140,21,28,1370,41,6,44,1413,166,4,1588,9,0,0,5,17,0,0,0,17,0,10,31,4670,538,74,86,5369,104,15,120,5483,364,24,5869,671,81,3,0,763,24,3,24,790,33,0,821,1165,120,8,8,1296,13,3,18,1316,42,0,1358,31,7,21,0,60,0,0,0,60,0,0,63,7,4,0,4,17,3,0,3,18,0,0,15,1873,213,35,17,2136,43,4,45,2176,77,3,2261,24,6,0,0,32,10,0,10,43,0,0,41,72,3,0,4,80,3,0,3,80,0,0,82,94,12,3,3,107,12,0,11,121,6,0,123,1967,217,37,19,2245,51,9,57,2302,81,3,2383,488,85,16,18
Gannawarra (S),22250,292,10,0,309,3,0,0,0,3,0,0,0,9,0,0,4,3,3,0,0,9,0,0,0,8,0,0,8,9,3,0,0,16,0,0,3,17,0,0,19,271,24,7,3,305,0,0,0,304,14,0,321,76,13,0,3,94,0,0,0,93,21,0,113,0,0,0,0,0,0,0,0,0,0,3,3,354,34,7,5,399,4,0,5,404,34,4,440,54,3,3,0,56,0,0,0,60,0,0,62,103,9,0,4,117,0,0,0,117,8,0,126,0,3,3,0,4,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,3,0,3,4,156,10,9,6,182,0,0,0,184,13,3,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,161,10,9,6,182,4,0,4,185,16,3,198,31,5,0,3
Greater Shepparton (C),22830,1855,82,0,1941,15,3,0,3,28,10,0,15,35,4,0,38,50,3,0,3,58,3,3,4,64,0,0,64,69,9,0,5,84,20,3,20,104,4,0,106,1661,197,30,30,1914,42,9,48,1955,88,0,2048,489,121,15,22,646,27,15,45,690,267,3,964,8,0,0,0,4,0,0,0,4,0,13,19,2149,314,42,56,2568,71,22,88,2653,355,18,3026,350,40,4,0,393,9,0,9,401,27,0,424,584,55,11,9,655,10,3,6,666,21,0,687,20,0,5,0,32,0,0,0,32,3,0,29,3,3,0,4,6,0,0,0,6,0,0,9,953,101,20,11,1086,12,3,14,1103,49,0,1150,16,3,3,0,20,10,0,10,29,3,0,28,19,3,0,0,17,3,3,8,26,0,0,26,31,7,4,0,40,14,3,13,53,3,0,57,985,105,28,11,1123,24,4,34,1157,49,0,1206,216,50,12,15
Hepburn (S),22910,417,21,0,438,0,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,15,0,0,0,15,0,0,15,11,0,0,0,12,0,0,0,12,0,0,12,341,78,4,3,424,7,9,9,436,21,0,456,110,29,3,0,143,0,0,0,143,16,0,164,0,0,0,0,0,0,0,0,0,0,0,0,447,105,11,8,566,8,9,11,582,38,0,619,51,12,7,4,66,0,0,0,72,8,0,79,116,30,3,0,143,0,3,3,148,6,0,157,4,0,0,0,4,0,0,0,4,3,0,9,3,0,0,3,5,0,0,0,5,0,0,5,166,46,5,6,223,0,3,3,233,12,0,245,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,171,49,5,6,229,0,3,3,233,12,0,250,50,14,0,5
Hindmarsh (S),22980,134,3,0,142,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,6,0,0,6,131,9,0,0,137,0,0,3,140,3,0,145,51,5,0,0,58,3,0,3,56,14,0,73,0,0,0,0,0,0,0,0,0,0,0,0,176,16,3,0,198,6,0,8,198,19,0,219,32,0,0,0,39,0,0,0,40,0,0,36,45,4,0,3,49,0,0,0,50,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,6,0,3,90,3,0,3,88,5,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,6,0,3,90,3,0,3,88,5,0,95,25,0,0,0
Hobsons Bay (C),23110,2809,98,9,2917,34,3,0,0,40,3,0,3,43,0,0,43,91,8,0,3,107,8,0,8,110,6,0,118,125,14,0,3,142,13,0,13,153,3,0,160,2537,293,37,37,2911,49,11,57,2967,105,9,3079,822,167,21,25,1039,46,5,53,1089,165,5,1266,3,3,0,7,12,0,0,0,12,0,11,20,3366,461,58,69,3961,91,13,106,4065,272,17,4358,462,60,0,13,539,10,0,15,552,41,0,586,734,65,7,5,816,12,3,15,832,25,0,857,19,3,6,0,27,0,0,0,27,4,0,29,10,4,0,0,10,0,0,0,14,0,0,13,1227,131,13,21,1391,25,3,29,1420,65,0,1491,17,3,0,0,19,3,0,3,27,0,0,28,29,7,0,0,34,5,3,5,40,5,0,51,51,8,0,0,54,8,3,12,70,6,0,75,1277,137,13,21,1451,37,3,44,1488,74,0,1563,324,65,8,5
Horsham (RC),23190,624,16,0,639,3,0,0,0,8,0,0,0,8,0,0,8,15,0,0,0,15,0,0,3,13,0,0,18,15,0,0,0,18,0,0,3,19,0,0,21,557,50,14,11,635,10,0,11,644,18,0,667,170,25,3,6,209,4,0,3,215,25,0,234,0,0,0,0,0,0,0,0,0,0,0,0,731,74,15,17,840,12,4,17,852,46,0,903,109,9,0,0,122,3,0,3,120,3,0,126,237,19,3,0,261,3,0,3,267,3,0,274,8,0,3,0,7,0,0,0,7,0,0,10,0,0,0,3,3,0,0,0,3,0,0,3,353,27,6,6,397,9,0,9,403,11,0,411,0,0,3,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,5,6,0,3,0,9,0,0,0,7,0,0,14,359,27,6,6,402,9,0,10,412,9,0,421,51,8,0,0
Hume (C),23270,5151,311,13,5477,98,38,0,5,138,33,0,32,171,23,4,199,194,44,3,5,251,39,8,49,298,26,3,324,290,83,3,7,393,68,12,78,468,45,7,521,4522,708,53,92,5375,200,45,238,5622,358,21,5995,2495,776,72,103,3442,206,64,275,3718,1429,37,5183,25,5,0,15,45,3,0,3,42,16,61,113,7037,1485,126,216,8861,409,106,518,9381,1801,112,11291,1003,115,13,5,1136,33,9,39,1179,96,0,1274,1344,192,13,14,1563,26,5,34,1601,88,3,1691,41,3,4,0,56,0,0,0,56,0,0,57,22,8,0,31,54,3,0,3,63,20,4,83,2406,322,34,50,2813,72,12,82,2892,206,15,3111,58,23,0,0,81,17,0,17,99,15,0,114,77,23,0,9,109,18,3,21,129,21,0,149,137,46,0,9,189,37,3,41,230,34,0,267,2543,368,29,58,3002,102,15,123,3124,240,12,3373,1097,394,19,68
Indigo (S),23350,576,19,3,604,0,0,0,0,3,3,0,3,4,0,0,7,9,0,0,0,17,0,0,0,17,0,0,17,10,4,0,0,16,3,0,3,18,0,0,22,476,76,15,11,583,11,4,15,600,23,3,624,90,22,4,3,120,0,0,0,118,14,0,137,0,0,0,0,0,0,0,0,0,0,0,3,576,96,23,14,702,13,4,13,719,38,4,759,116,18,0,0,139,0,0,0,139,8,0,144,158,25,9,0,194,3,0,3,197,13,3,205,5,3,0,0,9,0,0,0,9,0,0,9,0,0,0,0,3,0,0,0,5,0,0,5,286,48,9,4,342,4,0,4,350,20,3,364,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,288,48,9,4,347,6,0,6,355,20,3,374,38,6,3,0
Kingston (C) (Vic.),23430,5485,143,11,5633,57,7,0,3,69,11,0,11,75,5,0,80,146,4,0,4,154,12,5,17,164,9,0,171,198,16,0,3,217,21,5,22,246,8,0,256,4991,482,73,56,5600,101,26,129,5722,160,11,5893,1214,117,25,25,1380,31,3,35,1414,164,3,1580,7,0,0,13,23,0,0,0,23,0,10,32,6213,601,94,95,7001,128,25,162,7161,322,22,7503,943,127,11,6,1084,26,6,28,1111,49,0,1162,1599,133,11,17,1754,20,3,25,1780,39,0,1821,27,3,14,3,49,0,0,0,49,4,0,53,20,0,0,17,36,0,0,0,39,0,0,40,2587,266,35,36,2922,46,9,51,2975,94,0,3066,24,6,0,0,32,9,0,9,34,0,0,37,60,3,0,0,61,4,5,5,72,0,0,74,85,9,0,0,92,10,5,12,105,3,0,113,2673,279,35,36,3017,55,10,64,3077,93,0,3177,482,47,6,8
Knox (C),23670,4821,190,12,5017,35,7,0,0,52,8,0,8,59,4,0,58,172,20,0,6,202,8,3,7,207,8,0,216,204,29,3,6,245,15,3,17,262,8,0,276,4388,468,67,61,4981,86,23,104,5089,197,12,5291,1479,188,24,31,1724,46,9,54,1780,149,0,1930,3,4,0,5,12,0,0,0,12,0,10,20,5863,658,88,94,6710,127,37,164,6872,348,28,7246,875,86,14,16,994,20,10,31,1023,45,0,1069,1540,165,25,13,1736,24,6,24,1760,46,0,1807,35,0,10,0,50,0,0,0,50,7,0,55,17,4,0,7,25,0,0,0,29,0,0,32,2464,260,41,41,2803,44,11,56,2861,94,7,2960,22,12,0,0,29,8,0,6,40,4,0,44,85,11,0,0,90,3,0,3,100,8,0,102,105,15,3,0,122,9,3,7,135,9,0,146,2568,277,44,42,2931,49,15,63,2993,105,7,3106,662,91,16,20
Latrobe (C) (Vic.),23810,1836,86,0,1928,18,13,0,0,28,10,0,10,40,4,0,44,60,14,0,0,75,10,5,13,90,4,0,95,80,21,0,0,105,23,3,26,133,7,0,137,1625,204,30,25,1889,59,15,80,1965,98,0,2066,534,66,17,24,634,52,5,60,689,130,0,820,0,0,0,3,3,0,0,0,3,0,3,9,2158,271,49,49,2526,110,23,136,2665,223,8,2896,287,34,0,3,319,16,4,23,345,21,0,361,617,44,10,6,687,22,0,23,702,41,0,746,25,4,0,0,31,0,0,0,34,0,0,32,7,0,0,13,17,0,0,0,17,0,0,23,936,87,19,23,1054,39,3,44,1100,60,0,1157,18,7,0,0,20,6,0,6,25,3,0,30,24,9,0,0,38,3,0,4,42,0,0,43,44,16,0,0,59,7,7,17,71,4,0,78,975,101,14,23,1115,50,7,56,1167,64,5,1233,222,28,8,14
Loddon (S),23940,208,10,0,223,0,3,0,0,4,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,4,0,5,186,19,3,0,212,0,0,0,215,11,0,223,46,8,0,3,55,3,4,4,63,14,0,72,0,0,0,0,0,0,0,0,0,0,0,4,235,30,8,5,273,3,4,6,279,23,3,300,47,0,0,0,50,0,0,0,50,0,0,47,76,8,0,0,88,0,0,0,88,3,0,97,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,127,12,3,0,141,0,0,0,141,3,0,144,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,129,12,3,0,144,0,0,0,144,5,0,148,24,4,0,0
Macedon Ranges (S),24130,1866,43,0,1912,19,0,0,0,19,0,0,0,19,0,0,19,45,0,0,0,44,0,0,3,48,0,0,52,63,0,0,0,65,0,0,3,65,0,0,66,1662,174,28,32,1900,21,9,32,1930,45,0,1980,479,44,21,5,550,3,0,6,559,40,0,600,3,0,0,3,9,0,0,0,9,0,10,17,2149,222,47,44,2461,25,12,35,2490,85,11,2590,361,35,4,3,404,3,5,8,416,14,0,427,666,83,7,6,762,3,0,5,771,14,0,780,21,4,9,0,30,0,0,0,30,0,0,32,6,0,0,4,12,0,0,0,14,0,0,15,1052,123,20,13,1211,9,8,18,1233,31,0,1260,4,0,0,0,3,0,0,0,3,0,0,3,25,0,0,0,25,0,0,0,24,0,0,24,29,0,0,0,31,0,0,0,29,0,0,29,1085,123,20,17,1243,10,8,20,1265,31,0,1289,231,19,10,7
Manningham (C),24210,3466,138,5,3606,49,3,0,3,50,3,0,3,60,0,0,57,123,12,4,3,141,19,0,20,158,3,0,164,169,13,4,7,195,26,0,28,219,3,0,222,3129,355,28,60,3573,88,21,107,3688,139,5,3835,1165,134,3,21,1324,52,6,55,1383,124,0,1507,11,0,0,7,18,0,0,0,18,0,6,30,4305,496,40,92,4922,138,23,163,5085,272,17,5368,632,107,7,5,748,21,0,20,766,47,0,819,1218,129,6,10,1370,23,9,27,1396,46,0,1441,22,6,0,0,30,0,0,0,28,4,0,37,16,3,0,13,36,0,0,0,36,0,0,32,1890,241,15,25,2173,42,12,49,2224,103,0,2331,29,0,0,0,28,5,0,5,33,0,0,37,50,3,0,0,62,11,0,9,72,3,0,70,79,7,0,0,85,15,0,12,98,4,0,108,1964,248,15,27,2260,52,10,67,2330,111,3,2439,553,68,8,16
Mansfield (S),24250,295,13,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,0,0,9,0,3,0,0,9,0,0,0,9,0,0,9,241,54,3,0,296,3,0,5,302,13,0,318,52,12,3,0,60,4,0,4,65,15,0,79,3,0,0,0,4,0,0,0,4,0,0,4,290,60,7,3,362,6,0,10,373,26,0,396,62,9,0,0,64,3,0,5,73,7,0,79,59,14,0,0,70,0,0,0,72,3,3,74,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,122,17,5,3,142,3,0,3,148,10,3,157,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,121,19,5,3,147,3,0,3,151,10,3,166,19,6,0,0
Maribyrnong (C),24330,2200,92,4,2296,30,4,0,0,34,8,3,11,45,0,0,48,69,9,0,0,77,4,9,11,92,0,0,95,95,15,0,0,116,15,9,23,141,3,0,143,1948,256,24,19,2245,75,24,97,2342,96,4,2442,494,98,9,16,620,36,8,40,660,101,3,764,3,0,0,0,6,0,0,0,6,0,4,7,2449,355,32,37,2869,109,27,141,3006,202,6,3213,381,45,4,3,431,7,3,14,439,33,3,475,439,67,0,6,512,10,0,11,527,23,0,551,4,0,4,0,9,0,0,0,9,0,0,12,3,0,0,3,10,0,0,0,10,0,0,6,826,113,10,12,958,22,8,29,983,56,3,1045,12,3,0,0,17,5,3,7,18,0,0,22,27,7,0,0,33,7,0,7,34,0,0,37,35,9,0,0,44,11,3,7,58,4,0,59,863,120,12,12,1006,26,7,36,1042,60,3,1104,168,41,3,7
Maroondah (C),24410,3779,86,3,3863,32,15,0,0,52,8,0,7,59,0,0,59,112,16,3,0,133,3,3,6,134,0,0,136,143,30,0,0,176,12,3,15,193,0,0,193,3467,343,57,42,3898,60,6,68,3967,85,3,4061,1065,120,16,10,1219,36,4,37,1260,110,0,1372,3,0,0,5,8,0,0,0,8,0,10,22,4538,469,70,59,5130,96,14,107,5240,200,15,5451,580,73,3,14,663,17,0,17,685,40,0,725,1305,103,15,12,1427,14,3,14,1445,21,0,1470,26,0,4,0,32,0,0,0,32,0,0,33,5,4,0,8,20,0,0,3,17,0,0,20,1914,179,26,30,2146,33,3,36,2182,58,3,2246,14,3,0,0,17,3,0,3,22,0,0,19,51,3,0,0,56,5,0,6,63,0,0,63,61,5,0,0,69,8,0,10,80,0,0,79,1973,184,30,32,2214,43,7,48,2262,62,3,2327,419,47,6,7
Melbourne (C),24600,937,39,3,976,19,3,0,0,26,5,0,5,27,3,0,27,29,6,0,0,33,3,0,3,40,5,0,41,46,9,0,0,59,11,0,6,65,7,0,74,825,115,14,19,967,26,7,35,1003,46,3,1052,340,82,7,11,436,20,8,28,467,90,0,551,6,0,0,0,6,0,0,0,6,4,9,12,1163,198,19,25,1410,47,16,59,1472,136,6,1622,189,19,0,0,212,16,0,19,228,18,0,253,154,28,3,0,179,3,0,3,187,12,0,196,3,0,3,0,8,0,0,0,8,0,0,10,0,0,0,4,4,0,0,0,4,0,0,4,347,44,7,4,406,20,0,17,425,30,5,462,6,0,0,0,6,3,0,3,8,0,0,8,10,0,0,4,11,0,0,0,9,0,0,10,13,0,0,4,17,6,0,6,22,0,0,24,364,50,7,7,426,26,0,25,452,30,3,484,107,33,3,3
Melton (C),24650,5178,235,10,5419,97,13,0,5,114,24,0,30,138,4,0,147,217,28,0,8,252,14,4,21,277,5,0,282,308,42,0,15,372,43,5,48,420,14,0,434,4782,492,59,100,5429,142,27,162,5598,243,10,5854,1904,309,42,82,2337,97,13,108,2445,405,11,2863,14,5,0,8,26,0,0,0,22,0,27,53,6698,801,100,187,7789,241,35,274,8062,651,51,8761,1058,99,16,6,1177,24,10,29,1206,55,0,1263,1329,154,16,13,1518,24,3,27,1543,67,4,1612,38,7,13,0,61,0,0,3,57,0,0,57,10,10,0,19,39,5,0,8,46,4,0,55,2435,270,44,45,2792,53,13,63,2861,125,3,2992,47,4,0,0,51,22,0,22,71,3,0,78,77,21,0,6,111,12,3,16,126,4,0,133,124,30,0,6,164,29,3,32,199,4,0,209,2563,301,44,54,2954,82,17,98,3056,130,6,3196,807,134,26,20
Mildura (RC),24780,1511,56,0,1562,9,0,0,0,13,7,3,8,23,0,0,27,25,3,0,0,23,15,3,14,40,3,0,44,33,4,0,0,36,19,5,27,66,8,0,67,1297,152,38,23,1516,43,15,57,1569,61,0,1632,397,56,10,18,480,38,11,46,525,115,0,642,4,0,0,0,7,0,0,0,5,0,5,13,1701,213,44,42,1995,87,24,109,2107,178,5,2289,313,34,0,3,354,0,0,3,360,13,0,371,464,41,11,3,513,8,3,12,525,26,0,555,7,0,3,0,15,0,0,0,17,3,0,21,8,0,0,10,12,0,0,0,12,0,0,14,794,71,15,13,901,10,7,20,915,42,0,961,6,0,0,0,6,4,0,4,14,3,0,17,19,3,0,0,21,7,0,7,28,4,0,28,31,3,0,0,34,8,0,8,42,3,0,45,828,76,15,13,933,24,7,23,956,52,0,1005,172,16,6,6
Mitchell (S),24850,1301,40,3,1344,15,0,0,0,15,3,0,3,21,3,0,21,44,7,0,0,50,0,0,0,50,0,0,50,62,7,0,0,67,5,0,5,67,3,0,74,1178,127,26,17,1342,23,4,27,1371,46,3,1414,481,67,12,20,576,15,3,17,588,68,0,656,5,0,0,3,14,0,0,0,14,3,4,21,1658,189,34,33,1928,38,10,45,1974,116,6,2093,267,28,3,0,301,3,0,4,304,17,0,322,388,42,17,4,454,4,0,4,456,15,0,471,10,0,3,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,670,74,21,5,767,12,0,8,779,27,0,813,15,0,0,0,19,0,0,0,18,0,0,19,17,0,0,0,19,0,0,0,19,3,0,18,30,0,0,0,32,0,0,0,40,4,0,41,708,75,21,6,804,9,0,12,820,30,0,851,203,24,7,9
Moira (S),24900,864,31,0,896,4,3,0,0,8,0,0,0,8,3,0,11,13,0,0,0,15,0,0,0,15,4,0,15,18,0,0,0,19,0,0,0,19,6,0,24,774,55,25,11,869,14,5,13,882,33,0,918,164,22,3,11,201,9,5,9,215,42,4,257,3,0,0,0,3,0,0,0,3,0,0,3,941,79,33,21,1075,15,6,24,1096,72,5,1178,235,11,3,0,248,0,0,3,244,6,0,253,265,24,3,3,293,6,0,3,300,9,0,308,19,0,3,0,22,0,3,5,28,0,0,28,4,0,0,14,18,0,0,0,18,0,0,18,518,30,8,17,575,9,3,11,590,14,0,606,4,0,0,0,8,0,0,0,8,0,0,10,5,0,0,0,9,3,0,3,7,0,0,10,8,0,0,0,12,3,0,3,16,3,0,19,530,32,12,20,592,12,3,12,606,19,0,622,79,10,0,6
