lga_name_2016,lga_code_2016,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Albury (C),10050,5003,10048,50,42,93,5236,5180,10414,66,80,145,1566,1540,3109,16,21,41,1649,1639,3287,33,45,76,994,967,1970,14,25,35,1040,1036,2076,6,7,12,127,148,273,4,5,5,134,154,287,545,574,1119,17767,19194,36958,1022,1046,2070,19329,20816,40142,0,0,0,0,0,0,0,0,0,0,0,0,82,93,175,2743,2876,5617,341,326,670,3172,3296,6468,631,663,1295,20513,22065,42574,1362,1374,2736,22504,24110,46611,7,3,17,331,548,879,98,102,197,439,652,1097
Armidale Regional (A),10130,2360,4703,33,25,56,2579,2585,5166,103,109,209,715,710,1427,10,7,15,828,828,1651,90,65,148,518,477,995,16,10,23,614,553,1169,6,4,14,33,32,63,0,0,0,37,40,77,823,880,1702,9317,10032,19345,657,681,1341,10795,11593,22388,0,0,0,5,6,11,0,0,0,5,6,11,106,110,213,1117,1143,2267,99,113,218,1326,1368,2691,921,991,1908,10438,11183,21620,758,794,1553,12124,12967,25089,38,33,71,796,926,1722,123,136,257,952,1087,2043
Ballina (A),10250,5075,9575,47,42,89,4690,5276,9963,47,59,105,1262,1453,2715,14,17,24,1324,1526,2851,40,30,76,772,803,1574,10,9,20,824,853,1672,5,7,7,33,46,74,3,0,3,43,48,92,471,499,969,13214,13668,26886,789,811,1605,14481,14981,29462,0,0,0,3,0,3,5,3,6,9,3,10,141,169,310,3674,4472,8138,310,403,709,4118,5034,9158,616,666,1281,16892,18143,35032,1102,1211,2319,18609,20016,38630,3,4,10,251,395,641,20,17,31,265,413,681
Balranald (A),10300,179,400,4,0,3,251,190,439,12,6,20,105,59,167,0,0,0,111,75,186,22,8,27,78,73,152,0,0,3,103,79,183,0,0,0,7,6,15,0,0,0,7,6,15,86,75,169,847,814,1659,95,85,176,1027,981,2006,0,0,0,0,0,0,0,0,0,0,0,0,8,9,16,46,41,85,17,15,32,71,61,132,97,86,182,888,852,1745,111,101,213,1097,1042,2138,0,0,0,9,6,18,8,4,14,10,15,26
Bathurst Regional (A),10470,4148,8587,46,48,97,4664,4391,9053,78,92,161,1160,1129,2293,10,8,24,1253,1223,2475,50,39,92,711,649,1356,10,8,13,771,689,1466,3,3,11,41,47,86,3,0,4,45,51,98,810,863,1679,14524,14973,29499,825,852,1679,16160,16688,32852,0,0,0,5,0,5,0,0,0,6,0,9,108,138,240,1509,1622,3133,181,209,387,1797,1967,3766,916,1002,1918,16045,16598,32639,1007,1057,2067,17961,18657,36621,210,17,221,1053,504,1560,165,236,401,1429,756,2184
Bega Valley (A),10550,3763,7622,54,57,107,3999,3922,7926,43,43,86,1096,1036,2132,16,16,37,1157,1097,2252,42,32,75,761,673,1430,13,15,27,815,714,1525,3,3,4,30,24,56,0,0,0,29,24,56,404,430,832,11681,12136,23813,814,833,1645,12894,13400,26293,3,0,3,34,22,59,14,12,24,48,36,87,55,59,113,1438,1615,3053,147,143,290,1638,1819,3455,455,490,946,13150,13771,26922,972,992,1963,14577,15255,29831,4,3,3,121,257,373,54,73,127,179,333,512
Bellingen (A),10600,1422,2851,18,17,37,1503,1492,2991,22,17,36,492,420,912,7,10,14,516,446,961,12,13,25,247,240,489,5,7,12,270,256,528,0,0,0,11,13,18,4,0,4,10,13,25,188,203,388,4709,5054,9762,350,370,718,5243,5627,10866,0,0,0,0,0,3,0,0,0,0,0,3,10,17,28,351,360,713,31,32,69,395,409,806,198,220,411,5060,5417,10474,381,407,788,5640,6038,11676,0,0,3,75,89,159,0,4,4,76,91,166
Berrigan (A),10650,834,1757,9,13,21,951,858,1809,17,14,28,406,287,694,8,9,14,429,305,736,7,6,13,280,229,510,9,9,19,300,243,539,0,0,0,14,9,24,0,0,0,12,9,25,86,87,178,3123,3164,6285,305,315,619,3512,3563,7076,0,0,0,4,0,4,3,0,3,3,0,3,5,3,9,254,227,482,36,30,62,294,260,559,96,89,184,3376,3390,6769,342,343,686,3812,3826,7641,0,0,0,57,64,120,14,17,31,72,85,154
Blacktown (C),10750,24637,49790,171,173,340,26249,25798,52041,394,446,837,6984,7210,14186,64,75,138,7441,7726,15160,242,247,486,5498,6498,11996,55,84,132,5794,6819,12616,26,22,50,1141,1781,2925,4,18,28,1174,1823,3004,3678,3963,7642,119766,121326,241099,5227,5442,10669,128678,130734,259406,10,9,20,76,61,134,6,5,11,89,78,165,607,610,1210,29699,30623,60318,1600,1677,3282,31899,32904,64808,4290,4573,8870,149539,152010,301552,6842,7125,13962,160667,163711,324383,192,6,201,1479,1095,2573,147,99,241,1817,1201,3017
Bland (A),10800,695,1520,10,9,21,858,733,1596,14,13,23,241,197,443,0,3,7,259,209,469,8,8,11,168,127,294,4,4,8,180,135,319,0,0,0,6,0,7,0,0,0,6,0,7,107,128,237,2286,2239,4523,272,264,535,2669,2634,5300,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,49,45,93,11,12,21,61,56,116,110,134,242,2333,2289,4625,281,277,552,2724,2692,5417,0,0,0,17,29,38,13,26,41,30,49,78
Blayney (A),10850,865,1796,19,13,37,982,905,1885,10,5,21,246,218,466,4,3,5,263,232,497,10,0,10,187,144,330,4,0,6,199,146,341,0,0,0,7,3,8,0,0,0,5,3,8,116,107,227,2874,2987,5857,227,212,436,3222,3302,6522,0,0,0,13,5,20,0,0,0,13,5,20,3,4,11,96,68,161,22,14,32,116,88,203,124,109,236,2981,3061,6037,245,226,474,3350,3399,6747,0,0,0,22,42,67,0,0,0,26,42,68
Blue Mountains (C),10900,7544,14693,58,64,122,7416,7774,15192,60,51,114,1641,1819,3458,16,9,24,1720,1882,3601,30,27,57,731,770,1502,11,9,23,772,807,1582,0,5,8,73,58,131,3,0,3,72,64,138,800,839,1634,31088,33112,64200,1166,1263,2428,33054,35209,68267,0,0,0,14,12,23,3,4,9,14,14,29,41,42,82,1306,1686,2992,121,148,269,1464,1877,3347,835,883,1719,32407,34807,67216,1297,1410,2706,34535,37105,71640,9,6,21,493,670,1165,67,50,114,574,726,1298
Bogan (A),10950,267,576,4,3,7,354,320,673,18,17,31,95,78,176,3,0,3,118,97,215,14,11,28,62,52,110,5,0,3,83,61,146,0,0,0,0,3,6,0,0,0,4,3,3,178,214,395,835,814,1651,115,108,221,1137,1133,2268,0,0,0,0,0,0,0,0,0,0,0,0,4,12,13,50,43,93,14,12,21,67,66,128,182,220,409,885,856,1740,129,115,246,1201,1191,2393,0,0,0,18,17,31,3,9,10,23,20,43
