objectid,lga_code17,lga_name17,ste_code17,ste_name17,areasqkm17,q1_hh,q2_hh,q3_hh,q4_hh,occ_dwell,urp_2016,tot_dwell,q1_perc,q2_perc,q3_perc,q4_perc,shape_length,shape_area
1,10050,Albury (C),1,New South Wales,305.9459,6642.0,5109.0,4105.0,3572.0,19427.0,51076.0,23454.0,34.1895300355176,26.298450609975802,21.1303855458897,18.3867812837803,1.3081341590341202,0.0305911232416143
2,10130,Armidale Regional (A),1,New South Wales,8620.699,3145.0,2523.0,2534.0,2164.0,10352.0,28904.0,13013.0,30.3806027820711,24.3721020092736,24.4783616692427,20.904173106646102,7.1019048647080805,0.8087010130688951
3,10250,Ballina (A),1,New South Wales,484.9389,4980.0,4433.0,3619.0,3104.0,16134.0,41658.0,19101.0,30.866493120119,27.4761373496963,22.4308912854841,19.238874426676603,1.51250205672367,0.0448406454594002
4,10300,Balranald (A),1,New South Wales,21690.6753,346.0,225.0,185.0,77.0,832.0,2382.0,1274.0,41.5865384615385,27.0432692307692,22.235576923076895,9.25480769230769,11.497415801745401,2.11552114761984
5,10470,Bathurst Regional (A),1,New South Wales,3817.8646,4182.0,3676.0,3374.0,3034.0,14284.0,39912.0,17317.0,29.277513301596198,25.7350882105853,23.62083450014,21.240548865863897,5.39511451838937,0.37014882829255497
6,10500,Bayside (A),1,New South Wales,49.8904,13510.0,13102.0,13632.0,13716.0,53962.0,155859.0,61981.0,25.0361365405285,24.280048923316397,25.2622215633223,25.4178866609837,0.558215977843572,0.004865929672627571
7,10550,Bega Valley (A),1,New South Wales,6278.8811,4523.0,4143.0,2897.0,1633.0,13193.0,33337.0,17634.0,34.283332070037105,31.4030167513075,21.9586144167361,12.3777760933829,6.140963667692651,0.634209321105833
8,10600,Bellingen (A),1,New South Wales,1600.4337,1640.0,1441.0,1155.0,718.0,4947.0,12674.0,6077.0,33.1514048918536,29.128764908025104,23.3474833232262,14.513846775823698,2.31147805135108,0.150235020136051
9,10650,Berrigan (A),1,New South Wales,2065.7759,1329.0,930.0,596.0,385.0,3235.0,8456.0,4344.0,41.0819165378671,28.7480680061824,18.4234930448223,11.9010819165379,2.90769871129606,0.205806779597625
10,10750,Blacktown (C),1,New South Wales,240.0487,24101.0,22853.0,22670.0,31021.0,100670.0,335722.0,110796.0,23.940597993443898,22.700903943578002,22.5191218833813,30.8145425648157,0.751453379813702,0.0233553774253966
11,10800,Bland (A),1,New South Wales,8557.6535,793.0,610.0,474.0,290.0,2167.0,5935.0,2926.0,36.5943700969082,28.149515459160103,21.873557914167105,13.3825565297647,5.65858832448118,0.834082087956136
12,10850,Blayney (A),1,New South Wales,1524.6470000000002,795.0,671.0,620.0,483.0,2568.0,7040.0,3086.0,30.957943925233604,26.129283489096604,24.143302180685396,18.808411214953303,2.2860664229188,0.148091439124659
13,10900,Blue Mountains (C),1,New South Wales,1431.1442,5421.0,6902.0,7366.0,8755.0,28450.0,76578.0,34104.0,19.054481546572898,24.260105448154697,25.8910369068541,30.773286467486802,3.09787963550529,0.139172990791708
14,10950,Bogan (A),1,New South Wales,14599.8996,385.0,222.0,224.0,123.0,955.0,2682.0,1314.0,40.3141361256544,23.246073298429298,23.455497382199002,12.8795811518325,7.4106778648935,1.3866147925223002
15,11150,Bourke (A),1,New South Wales,41599.5072,323.0,209.0,170.0,112.0,814.0,2643.0,1362.0,39.680589680589705,25.6756756756757,20.8845208845209,13.7592137592138,10.619332088413,3.88610807615621
16,11200,Brewarrina (A),1,New South Wales,19163.4798,327.0,95.0,87.0,29.0,539.0,1635.0,743.0,60.6679035250464,17.6252319109462,16.1410018552876,5.38033395176252,9.890321424507881,1.78813858616798
17,11250,Broken Hill (C),1,New South Wales,170.1153,3281.0,1929.0,1216.0,728.0,7157.0,17714.0,9652.0,45.8432304038005,26.9526337851055,16.9903590890038,10.171859717758801,0.6102082087951851,0.0162258210789508
35,12380,Cumberland (A),1,New South Wales,71.5511,18595.0,15746.0,14804.0,14809.0,63952.0,215709.0,72058.0,29.076494871153397,24.621591193395,23.148611458593898,23.1564298223668,0.507604934868182,0.00696980522473657
36,12700,Dungog (A),1,New South Wales,2249.9983,953.0,915.0,848.0,545.0,3259.0,8976.0,4037.0,29.242098803313898,28.076096962258397,26.0202516109236,16.7229211414544,2.6278298179574997,0.215545177525726
37,12730,Edward River (A),1,New South Wales,8883.4464,1303.0,909.0,683.0,465.0,3364.0,8838.0,4292.0,38.7336504161712,27.021403091557698,20.3032104637337,13.822829964328198,5.92887470466619,0.8789866686542059
38,12750,Eurobodalla (A),1,New South Wales,3428.1695,5436.0,4828.0,3165.0,1521.0,14959.0,37285.0,23505.0,36.3393274951534,32.2748846848051,21.157831405842604,10.1677919647035,4.59512225131361,0.342431279883921
39,12850,Fairfield (C),1,New South Wales,101.507,20467.0,15581.0,11493.0,9312.0,56852.0,198828.0,62851.0,36.0004925068599,27.406247801308698,20.2156476465208,16.379370998381802,0.652562046671187,0.00989007410310493
40,12870,Federation (A),1,New South Wales,5685.0486,1880.0,1444.0,965.0,522.0,4808.0,12272.0,6370.0,39.1014975041597,30.033277870216303,20.070715474209603,10.856905158069901,6.2762025492438696,0.564744181605751
41,12900,Forbes (A),1,New South Wales,4710.128,1395.0,898.0,773.0,484.0,3550.0,9783.0,4492.0,39.2957746478873,25.295774647887303,21.774647887323898,13.633802816901401,5.12684142470058,0.4566086639057171
42,12930,Georges River (A),1,New South Wales,38.3189,10218.0,10883.0,12206.0,15096.0,48398.0,146784.0,53991.0,21.11244266292,22.486466382908397,25.220050415306396,31.1913715442787,0.5708249767632161,0.0037381053981979297
43,12950,Gilgandra (A),1,New South Wales,4831.5057,658.0,387.0,299.0,192.0,1541.0,4141.0,1934.0,42.6995457495133,25.1135626216742,19.402985074626898,12.459441920830601,3.8780523306613,0.459248622564718
44,13010,Glen Innes Severn (A),1,New South Wales,5479.977,1544.0,934.0,625.0,314.0,3412.0,8837.0,4392.0,45.2520515826495,27.3739742086753,18.3177022274326,9.20281359906213,4.838654663155269,0.51057489555711
167,23670,Knox (C),2,Victoria,113.9115,9415.0,14025.0,13511.0,16068.0,53009.0,153304.0,58497.0,17.7611349016205,26.457771321851002,25.488124658076895,30.3118338395367,0.7570432660434091,0.0116670149610839
