LGA_MAIN11,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_estat_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_estat_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_estat_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_over_LT_Real_eSte_agent,R_650_over_LT_Ste_ter_hsg_aut,R_650_over_LT_Psn_not_Sme_hhd,R_650_ovr_LT_hs_coop_com_ch_g,R_650_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_650_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot,LGA_NAME11
11050,3,0,17,0,26,14,60,0,3,6,5,0,0,14,9,0,18,0,0,3,30,29,5,16,0,4,0,54,14,0,3,0,0,0,17,4,0,0,0,0,0,4,3,0,3,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,4,3,0,10,62,8,69,9,36,17,201,Boorowa (A)
11100,13,171,57,6,6,47,300,3,520,3,9,3,3,541,19,250,20,25,3,0,317,40,149,29,10,13,3,244,19,31,27,12,13,3,105,150,66,55,3,17,0,291,698,46,116,3,11,3,877,897,37,172,5,19,3,1133,393,21,76,5,4,4,503,461,9,58,3,3,3,537,219,9,32,0,3,0,263,40,84,45,13,10,13,205,2952,1393,690,94,105,82,5316,Botany Bay (C)
11150,0,10,16,21,82,24,153,0,14,3,0,9,4,30,3,20,21,16,3,0,63,11,17,29,4,13,0,74,0,3,11,0,3,0,17,0,0,4,0,0,0,4,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,11,0,23,14,68,98,41,121,28,370,Bourke (A)
11200,5,29,20,35,45,23,157,0,3,0,30,12,0,45,0,16,11,39,4,4,74,0,3,7,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,3,7,29,5,58,41,121,64,34,323,Brewarrina (A)
11400,0,5,79,18,53,82,237,5,7,20,8,0,0,40,42,5,86,3,25,0,161,104,7,90,3,13,0,217,42,0,35,0,0,0,77,39,0,22,0,3,0,64,23,0,19,0,0,0,42,13,0,4,0,4,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6,4,18,8,17,0,53,277,28,373,40,115,82,915,Cabonne (A)
10550,3,26,85,11,37,91,253,6,87,25,24,12,0,154,68,90,118,30,21,0,327,339,57,211,13,25,5,650,247,19,125,3,8,3,405,357,36,145,9,6,3,556,316,10,83,4,10,3,426,82,0,16,0,7,3,108,9,0,3,0,3,0,15,0,0,0,0,0,0,0,11,0,5,0,0,0,16,24,21,34,9,19,6,113,1462,346,850,103,148,114,3023,Bega Valley (A)
10600,0,7,45,5,12,40,109,0,37,8,0,9,0,54,31,20,54,8,17,6,136,64,7,74,10,14,3,172,85,8,61,0,6,0,160,119,6,86,4,7,0,222,169,7,80,0,5,0,261,82,0,40,0,0,0,122,10,0,3,0,0,0,13,0,0,0,0,0,0,0,3,0,4,0,0,0,7,9,7,6,4,0,5,31,572,99,461,31,70,54,1287,Bellingen (A)
10650,4,0,40,9,32,36,121,24,4,24,7,3,0,62,71,15,70,8,17,3,184,118,7,71,0,5,8,209,36,0,17,0,7,0,60,39,0,16,0,0,0,55,12,0,4,0,0,0,16,0,0,4,0,0,0,4,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,10,0,13,0,8,0,31,314,26,263,24,77,47,751,Berrigan (A)
10750,33,772,265,64,38,174,1346,8,1758,13,39,7,4,1829,38,1853,138,70,41,19,2159,193,1572,262,85,74,14,2200,320,787,306,43,93,13,1562,1360,573,572,51,97,18,2671,4808,265,1256,41,137,41,6548,5180,50,858,17,129,24,6258,1291,12,255,4,10,4,1576,550,8,69,9,10,5,651,196,31,64,9,7,0,307,217,467,218,49,55,57,1063,14194,8148,4276,481,698,373,28170,Blacktown (C)
10800,3,3,45,6,29,41,127,6,9,15,0,0,0,30,33,12,33,4,9,0,91,29,9,33,0,16,0,87,16,5,13,0,7,0,41,19,5,8,0,18,0,50,10,0,5,0,3,0,18,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,15,6,15,0,36,119,46,173,16,97,41,492,Bland (A)
