lga_code_2016,p55_64_c_own_chld_childr,p55_64_c_oth_ch_chiln,p55_64_ca_ow_ch_ch_oth_ch_ch,p55_64_yr_c_for_t,p55_64_d_not_prov_ch_care,p55_64_u_ch_care_ns,p55_64_os_v,p55_64_yr_t,p65_74_c_own_chld_childr,p65_74_c_oth_ch_chiln,p65_74_ca_ow_ch_ch_oth_ch_ch,p65_74_yr_c_for_t,p65_74_d_not_prov_ch_care,p65_74_u_ch_care_ns,p65_74_os_v,p65_74_yr_t,p75_84_c_own_chld_childr,p75_84_c_oth_ch_chiln,p75_84_ca_ow_ch_ch_oth_ch_ch,p75_84_yr_c_for_t,p75_84_d_not_prov_ch_care,p75_84_u_ch_care_ns,p75_84_os_v,p75_84_yr_t,p85ovr_c_own_chld_childr,p85ovr_c_oth_ch_chiln,p85ov_ca_ow_ch_ch_oth_ch_ch,p85ovr_c_for_t,p85ovr_d_not_prov_ch_care,p85ovr_u_ch_care_ns,p85ovr_os_v,p85ovr_t,pt_c_own_chld_childrn,pt_c_oth_ch_chiln,pt_ca_ow_ch_ch_oth_ch_ch,pt_c_for_t,pt_d_not_prov_ch_care,pt_u_ch_care_ns,pt_os_v,pt_t,lga_name16
10050,224,942,11,1187,4649,508,53,6390,43,719,4,768,3434,496,22,4712,5,99,3,108,2169,493,6,2769,3,7,0,13,1046,262,0,1320,8002,3131,373,11504,25872,3822,210,41411,Albury (C)
10130,153,432,7,587,2581,304,23,3494,25,290,0,317,2115,265,14,2707,8,61,3,77,1238,212,0,1526,4,3,0,11,527,97,0,637,4080,1479,152,5713,16280,2363,292,24653,Armidale Regional (A)
10250,275,856,11,1145,4804,518,21,6484,42,774,3,818,4293,501,18,5628,8,103,3,116,2606,482,6,3209,3,15,0,14,1311,435,0,1767,6108,2543,250,8899,22825,3248,172,35149,Ballina (A)
10300,16,52,0,69,300,59,4,425,0,26,0,23,174,47,0,243,0,8,0,6,89,39,0,132,0,0,0,0,28,7,0,34,351,148,19,512,1176,314,17,2023,Balranald (A)
10470,193,868,4,1067,3362,415,12,4859,35,581,3,629,2709,379,12,3721,12,113,0,124,1550,300,3,1972,14,10,0,22,676,200,0,896,6534,2765,286,9579,19711,3832,89,33205,Bathurst Regional (A)
10550,197,698,11,898,4712,446,27,6079,23,523,0,551,3981,466,7,5011,8,81,0,87,2110,412,5,2610,7,8,0,12,810,199,3,1021,4289,1993,195,6482,18631,2637,108,27864,Bega Valley (A)
10600,89,274,3,369,1715,152,7,2240,9,181,0,194,1441,160,5,1796,5,38,0,42,772,149,0,964,0,0,0,0,314,58,0,375,1856,815,120,2783,6824,914,31,10547,Bellingen (A)
10650,26,168,3,198,961,130,3,1298,0,104,3,110,1020,158,4,1290,3,24,0,30,541,115,3,685,0,0,0,0,238,63,0,297,1079,466,50,1590,4420,874,26,6917,Berrigan (A)
10750,1574,5016,101,6691,24715,2073,1170,34654,342,3680,47,4072,15487,1802,791,22150,64,602,15,688,7804,1104,178,9772,20,25,0,49,3050,434,22,3551,61816,17085,1832,80737,160715,17698,3574,262724,Blacktown (C)
10800,34,131,0,162,587,125,0,874,3,85,0,87,465,95,3,651,0,17,0,14,335,95,0,441,0,0,0,3,127,70,0,203,864,382,38,1285,2794,715,11,4810,Bland (A)
10850,26,150,0,186,713,74,0,971,10,114,0,120,534,70,0,722,0,14,0,14,337,61,0,415,3,3,0,3,133,28,0,160,1202,466,53,1724,3332,512,9,5579,Blayney (A)
10900,525,1859,33,2416,8595,523,110,11647,72,1776,3,1848,6602,577,54,9084,9,256,0,273,3391,380,15,4057,6,5,0,14,1411,177,8,1613,12570,5652,671,18895,39789,3399,810,62887,Blue Mountains (C)
