lga_code16,mng_nni_h_0,mng_nni_h_1_15,mng_nni_h_16_24,mng_nni_h_25_34,mng_nni_h_35_39,mng_nni_h_40,mng_nni_h_41_48,mng_nni_h_49mo,mng_nni_h_ns,mng_nni_h_tot,mng_1_149_h_0,mng_1_149_h_1_15,mng_1_149_h_16_24,mng_1_149_h_25_34,mng_1_149_h_35_39,mng_1_149_h_40,mng_1_149_h_41_48,mng_1_149_h_49mo,mng_1_149_h_ns,mng_1_149_h_tot,mng_150_299_h_0,mng_150_299_h_1_15,mng_150_299_h_16_24,mng_150_299_h_25_34,mng_150_299_h_35_39,mng_150_299_h_40,mng_150_299_h_41_48,mng_150_299_h_49mo,mng_150_299_h_ns,mng_150_299_h_tot,mng_300_399_h_0,mng_300_399_h_1_15,mng_300_399_h_16_24,mng_300_399_h_25_34,mng_300_399_h_35_39,mng_300_399_h_40,mng_300_399_h_41_48,mng_300_399_h_49mo,mng_300_399_h_ns,mng_300_399_h_tot,mng_400_499_h_0,mng_400_499_h_1_15,mng_400_499_h_16_24,mng_400_499_h_25_34,mng_400_499_h_35_39,mng_400_499_h_40,mng_400_499_h_41_48,mng_400_499_h_49mo,mng_400_499_h_ns,mng_400_499_h_tot,mng_500_649_h_0,mng_500_649_h_1_15,mng_500_649_h_16_24,mng_500_649_h_25_34,mng_500_649_h_35_39,mng_500_649_h_40,mng_500_649_h_41_48,mng_500_649_h_49mo,mng_500_649_h_ns,mng_500_649_h_tot,mng_650_799_h_0,mng_650_799_h_1_15,mng_650_799_h_16_24,mng_650_799_h_25_34,mng_650_799_h_35_39,mng_650_799_h_40,mng_650_799_h_41_48,mng_650_799_h_49mo,mng_650_799_h_ns,mng_650_799_h_tot,mng_800_999_h_0,mng_800_999_h_1_15,mng_800_999_h_16_24,mng_800_999_h_25_34,mng_800_999_h_35_39,mng_800_999_h_40,mng_800_999_h_41_48,mng_800_999_h_49mo,mng_800_999_h_ns,mng_800_999_h_tot,mng_1000_1249_h_0,mng_1000_1249_h_1_15,mng_1000_1249_h_16_24,mng_1000_1249_h_25_34,mng_1000_1249_h_35_39,mng_1000_1249_h_40,mng_1000_1249_h_41_48,mng_1000_1249_h_49mo,mng_1000_1249_h_ns,mng_1000_1249_h_tot,mng_1250_1499_h_0,mng_1250_1499_h_1_15,mng_1250_1499_h_16_24,mng_1250_1499_h_25_34,mng_1250_1499_h_35_39,mng_1250_1499_h_40,mng_1250_1499_h_41_48,mng_1250_1499_h_49mo,mng_1250_1499_h_ns,mng_1250_1499_h_tot,mng_1500_1749_h_0,mng_1500_1749_h_1_15,mng_1500_1749_h_16_24,mng_1500_1749_h_25_34,mng_1500_1749_h_35_39,mng_1500_1749_h_40,mng_1500_1749_h_41_48,mng_1500_1749_h_49mo,mng_1500_1749_h_ns,mng_1500_1749_h_tot,mng_1750_1999_h_0,mng_1750_1999_h_1_15,mng_1750_1999_h_16_24,mng_1750_1999_h_25_34,mng_1750_1999_h_35_39,mng_1750_1999_h_40,mng_1750_1999_h_41_48,mng_1750_1999_h_49mo,mng_1750_1999_h_ns,mng_1750_1999_h_tot,mng_2000_2999_h_0,mng_2000_2999_h_1_15,mng_2000_2999_h_16_24,mng_2000_2999_h_25_34,mng_2000_2999_h_35_39,mng_2000_2999_h_40,mng_2000_2999_h_41_48,mng_2000_2999_h_49mo,mng_2000_2999_h_ns,mng_2000_2999_h_tot,mng_3000mo_h_0,mng_3000mo_h_1_15,mng_3000mo_h_16_24,mng_3000mo_h_25_34,mng_3000mo_h_35_39,mng_3000mo_h_40,mng_3000mo_h_41_48,mng_3000mo_h_49mo,mng_3000mo_h_ns,mng_3000mo_h_tot,mng_pins_h_0,mng_pins_h_1_15,mng_pins_h_16_24,mng_pins_h_25_34,mng_pins_h_35_39,mng_pins_h_40,mng_pins_h_41_48,mng_pins_h_49mo,mng_pins_h_ns,mng_pins_h_tot,mng_tot_h_0,mng_tot_h_1_15,mng_tot_h_16_24,mng_tot_h_25_34,mng_tot_h_35_39,mng_tot_h_40,mng_tot_h_41_48,mng_tot_h_49mo,mng_tot_h_ns,mng_tot_h_tot,pro_nni_h_0,pro_nni_h_1_15,pro_nni_h_16_24,pro_nni_h_25_34,pro_nni_h_35_39,pro_nni_h_40,pro_nni_h_41_48,pro_nni_h_49mo,pro_nni_h_ns,pro_nni_h_tot,pro_1_149_h_0,pro_1_149_h_1_15,pro_1_149_h_16_24,pro_1_149_h_25_34,pro_1_149_h_35_39,pro_1_149_h_40,pro_1_149_h_41_48,pro_1_149_h_49mo,pro_1_149_h_ns,pro_1_149_h_tot,pro_150_299_h_0,pro_150_299_h_1_15,pro_150_299_h_16_24,pro_150_299_h_25_34,pro_150_299_h_35_39,pro_150_299_h_40,pro_150_299_h_41_48,pro_150_299_h_49mo,pro_150_299_h_ns,pro_150_299_h_tot,pro_300_399_h_0,pro_300_399_h_1_15,pro_300_399_h_16_24,pro_300_399_h_25_34,pro_300_399_h_35_39,pro_300_399_h_40,pro_300_399_h_41_48,pro_300_399_h_49mo,pro_300_399_h_ns,pro_300_399_h_tot,lga_name16
15240,0,12,6,7,8,4,3,39,3,78,7,12,10,11,0,4,0,19,0,66,7,30,19,9,13,13,11,49,3,156,5,28,33,23,17,23,11,63,3,204,7,20,19,20,17,29,10,71,3,198,10,21,34,32,31,29,16,83,3,267,7,15,25,47,71,68,31,103,5,367,10,18,23,29,91,85,52,129,7,451,20,17,11,25,79,105,63,130,3,454,11,9,6,14,52,53,41,100,3,277,9,5,3,7,28,44,31,84,0,211,3,5,3,9,16,36,13,62,0,153,11,5,5,6,41,55,42,107,0,276,0,4,5,4,7,15,12,73,0,125,0,0,0,9,0,12,3,33,5,66,109,200,208,247,473,590,341,1141,51,3353,3,3,0,0,0,3,0,0,3,12,3,32,0,0,3,0,0,0,0,39,4,33,16,5,5,3,0,3,0,73,11,41,37,10,4,6,0,5,0,124,Mid-Coast (A)
15270,0,3,9,4,4,7,4,28,0,59,0,6,3,3,0,3,0,7,0,21,0,8,8,9,4,8,6,27,3,70,0,8,10,10,3,10,6,25,0,74,3,5,12,3,6,12,6,23,3,74,4,8,10,12,6,18,9,45,0,114,3,7,10,15,19,23,12,56,3,150,4,4,7,10,24,31,16,62,0,156,8,6,7,7,14,39,20,66,3,172,0,6,6,3,9,18,16,44,0,110,7,3,4,3,9,16,10,29,3,80,0,0,4,3,6,9,11,18,0,55,3,0,0,0,8,17,20,70,0,122,0,0,0,4,3,13,5,75,0,105,0,0,4,0,0,10,0,16,4,30,33,75,86,88,138,235,135,589,22,1402,0,0,0,0,0,0,0,0,0,3,0,10,0,0,5,0,0,0,0,23,3,4,0,0,0,0,0,3,0,18,0,14,11,8,0,3,0,0,0,30,Mid-Western Regional (A)
15300,3,6,3,3,4,3,0,37,3,62,0,0,0,0,0,0,0,11,0,21,0,0,0,3,0,0,0,9,0,21,0,0,4,4,4,0,0,12,0,30,0,0,4,0,3,8,3,21,0,40,0,0,6,10,3,10,3,26,0,59,4,8,0,9,12,7,3,32,0,83,10,9,3,8,11,22,12,43,0,123,3,0,3,7,15,29,21,59,9,143,3,4,4,3,11,22,13,54,0,119,6,3,4,0,11,16,9,91,0,140,0,0,0,3,3,13,6,38,3,68,10,3,3,4,13,16,8,67,0,122,3,5,3,5,3,19,5,62,4,109,0,3,0,0,0,5,0,18,8,34,46,39,52,63,94,178,95,582,32,1175,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,3,0,15,Moree Plains (A)
15350,0,4,0,3,0,6,0,3,0,15,0,4,0,0,0,0,0,0,0,10,0,11,0,5,3,0,0,0,0,19,0,5,5,3,3,0,0,3,0,21,0,3,8,12,3,3,0,5,0,38,0,3,11,12,9,9,0,12,0,57,0,4,5,18,11,11,6,14,0,76,6,3,9,8,23,38,10,21,0,127,3,5,8,14,40,39,28,32,0,174,3,4,9,10,10,31,17,30,0,118,0,3,4,8,15,38,22,24,0,105,0,8,3,3,7,19,20,35,0,101,0,12,14,12,12,56,36,62,3,198,0,29,16,22,15,32,16,95,3,226,0,3,0,0,0,3,0,4,0,22,17,105,98,134,159,284,151,354,9,1306,4,6,4,3,0,3,0,3,3,25,0,35,0,0,0,0,0,0,0,42,3,43,9,3,0,0,4,3,0,65,0,28,6,9,0,3,3,0,0,50,Mosman (A)
15520,0,4,3,10,0,5,3,32,3,60,3,0,0,3,4,3,0,16,3,37,0,3,3,4,7,9,3,34,3,63,3,10,6,3,0,6,0,36,0,59,0,4,3,7,8,9,4,36,0,80,3,3,10,13,3,20,7,54,0,114,3,9,3,6,3,21,5,61,0,106,4,0,4,12,16,27,10,61,0,137,3,3,3,8,18,41,19,71,0,165,0,3,3,3,6,12,12,41,0,74,0,0,0,3,3,13,7,28,0,65,0,3,0,3,7,3,3,25,0,55,0,0,3,0,5,14,3,29,3,56,0,3,3,0,0,10,3,22,0,43,3,0,0,0,0,8,3,16,0,32,31,49,47,69,83,187,94,566,18,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,9,5,0,0,0,0,0,0,19,Murray River (A)
15560,0,3,0,0,0,0,3,15,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,15,0,4,5,0,0,0,3,14,0,25,3,3,0,0,0,0,0,10,3,28,0,0,0,0,5,0,3,17,0,33,7,0,3,4,6,14,3,13,3,61,0,0,0,5,10,14,10,24,3,73,3,0,5,3,12,20,11,38,0,88,5,0,0,3,0,7,4,24,0,46,0,0,0,0,3,10,0,32,0,47,0,0,0,0,3,0,0,9,0,22,3,0,0,7,3,6,3,18,0,34,3,3,0,4,0,0,4,19,0,29,4,0,0,0,0,0,0,3,0,14,35,17,23,38,47,79,53,243,12,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,9,Murrumbidgee (A)
15650,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,0,10,0,4,5,0,4,3,0,5,0,23,0,4,3,3,0,0,3,6,0,24,3,3,4,3,0,3,4,12,0,27,0,3,4,10,7,0,0,21,0,54,0,3,0,9,13,5,4,28,0,68,3,0,4,4,15,13,11,18,3,82,0,3,4,9,22,33,16,31,0,103,0,0,0,5,8,10,10,33,0,68,3,0,0,0,11,14,6,16,0,54,3,0,0,0,7,14,3,10,0,34,3,0,0,0,17,22,16,66,0,123,9,0,0,3,5,5,24,93,0,147,0,3,0,0,0,4,0,4,0,15,25,30,27,50,112,137,102,353,11,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,18,0,5,7,0,0,0,0,3,0,18,Muswellbrook (A)
15700,0,0,0,0,0,4,0,12,0,23,0,3,0,3,0,0,0,8,0,18,0,10,9,0,0,3,0,18,0,38,0,4,14,3,4,10,5,14,0,54,0,5,7,11,3,7,3,23,0,48,0,7,10,22,12,11,4,17,4,85,4,4,3,21,24,10,8,18,0,90,4,4,0,9,22,14,5,25,3,76,5,0,0,9,20,12,7,22,0,76,3,0,0,0,5,4,5,12,0,42,0,0,0,0,9,17,11,16,0,53,0,0,0,0,4,6,3,11,0,28,3,0,0,0,4,3,6,35,0,55,0,0,0,0,0,0,10,23,0,34,3,0,3,3,0,0,0,5,0,17,21,43,49,89,104,109,61,247,13,744,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,23,3,9,0,0,0,3,3,0,0,18,Nambucca (A)
15750,6,6,0,3,0,7,3,25,3,49,0,0,0,3,0,0,0,11,0,17,0,3,3,3,0,3,0,23,3,36,4,4,3,3,0,3,3,17,0,37,4,0,0,3,3,0,3,22,0,44,0,3,3,11,5,11,8,34,3,77,0,0,0,10,9,12,6,25,3,73,6,5,12,7,13,24,9,40,3,111,4,4,3,5,14,24,11,54,0,120,8,3,0,7,14,18,13,45,0,105,3,6,0,11,4,14,7,36,0,82,3,4,4,5,7,11,4,18,0,56,11,0,3,3,11,14,9,54,0,105,6,0,4,3,3,20,8,61,0,105,0,0,3,0,3,9,0,18,0,30,45,45,42,68,90,173,81,477,19,1038,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,12,3,5,0,0,0,0,0,0,0,9,0,3,4,0,0,0,0,0,0,13,Narrabri (A)
15800,3,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,8,3,4,0,0,3,0,0,10,0,19,0,5,0,0,0,0,0,9,0,20,0,0,0,0,4,4,0,9,3,19,0,3,0,7,6,3,3,27,0,53,3,4,3,4,4,6,5,26,0,57,0,5,3,3,3,8,8,27,0,55,3,4,3,0,6,16,8,30,0,70,3,0,0,3,3,9,4,24,0,44,0,0,0,7,3,15,6,17,0,48,0,0,0,0,5,4,3,11,0,22,0,0,0,3,3,10,8,11,0,35,0,0,0,0,3,3,6,16,0,29,0,0,0,0,0,3,0,4,0,11,23,32,20,31,46,79,55,227,5,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Narrandera (A)
