LGA_MAIN11,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot,LGA_NAME11
19499,337,741,542,465,394,238,350,490,93,3650,
29499,244,506,368,295,260,190,206,322,89,2480,
14300,463,235,271,279,252,140,183,297,36,2156,Junee (A)
14350,1170,1342,1295,1270,1122,1001,673,1300,184,9357,Kempsey (A)
14400,1266,2348,1389,1066,1150,758,453,620,138,9188,Kiama (A)
14450,3526,7139,3204,2241,4724,2613,1219,1816,589,27071,Kogarah (C)
14500,10469,19575,2645,3482,7302,4095,505,1347,886,50306,Ku-ring-gai (A)
14550,727,499,413,376,336,271,262,495,47,3426,Kyogle (A)
14600,910,357,303,254,244,183,237,305,59,2852,Lachlan (A)
31820,4154,4869,5013,3442,4181,3602,2952,5223,575,34011,Bundaberg (R)
13050,393,233,269,218,182,173,233,237,25,1963,Gloucester (A)
13100,8492,14921,10623,7879,10862,7582,3328,6197,1166,71050,Gosford (C)
41560,639,614,775,568,523,568,371,702,77,4837,Copper Coast (DC)
41750,222,58,50,33,38,26,21,74,6,528,Elliston (DC)
12850,5209,8907,10852,5939,10427,6392,8575,10156,2152,68609,Fairfield (C)
12900,868,548,519,336,442,348,295,462,67,3885,Forbes (A)
12950,551,234,207,223,136,121,109,234,16,1831,Gilgandra (A)
14650,8128,15919,13940,8319,12735,8816,6189,8305,1241,83592,Lake Macquarie (C)
14700,3107,6904,1062,1128,2477,1209,228,447,273,16835,Lane Cove (A)
14750,749,623,676,360,569,393,357,859,71,4657,Leeton (A)
14800,6272,12333,1995,1970,3799,1992,454,766,422,30003,Leichhardt (A)
14850,2287,3666,2478,2093,2442,2068,983,2243,235,18495,Lismore (C)
14870,759,984,1422,957,1065,670,1147,924,132,8060,Lithgow (C)
14900,7316,11479,11717,6834,13084,6712,7809,7828,1789,74568,Liverpool (C)
14920,691,337,347,276,296,218,383,476,57,3081,Liverpool Plains (A)
14950,454,148,151,113,141,72,117,120,16,1332,Lockhart (A)
15050,3059,5175,5637,2848,4389,3134,3235,3249,461,31187,Maitland (C)
15150,4229,7721,1500,1615,2665,1624,311,623,376,20664,Manly (A)
15200,5789,15031,4121,3420,6212,2900,1391,2364,648,41876,Marrickville (A)
15270,1481,1269,1559,811,926,847,1185,1139,147,9364,Mid-Western Regional (A)
15300,1291,778,672,482,725,462,576,703,127,5816,Moree Plains (A)
15350,3012,5370,675,946,1799,1014,118,255,298,13487,Mosman (A)
15500,728,405,425,292,312,297,214,335,45,3053,Murray (A)
15550,297,89,102,88,90,37,114,216,32,1065,Murrumbidgee (A)
15650,752,797,1495,584,796,586,1306,963,125,7404,Muswellbrook (A)
15700,790,905,910,844,691,586,415,794,89,6024,Nambucca (A)
15750,1151,700,837,455,668,490,709,710,115,5835,Narrabri (A)
15800,510,272,332,237,238,167,195,427,62,2440,Narrandera (A)
15850,680,366,344,263,290,198,293,355,37,2826,Narromine (A)
15900,6937,18065,9647,7379,9916,6908,4090,6313,1002,70257,Newcastle (C)
15950,7623,16469,2010,2236,5341,2429,299,693,693,37793,North Sydney (A)
16100,418,242,388,194,254,130,317,321,53,2317,Oberon (A)
16150,1802,3347,2648,1716,2400,1648,1489,1941,256,17247,Orange (C)
16180,1511,1673,1039,653,1326,441,389,459,135,7626,Palerang (A)
16200,1067,819,885,580,744,567,682,597,89,6030,Parkes (A)
16250,7828,19193,9290,6150,12851,6454,4623,6117,1646,74152,Parramatta (C)
16350,8771,12132,13298,8428,16648,8627,9319,8360,1643,87226,Penrith (C)
16370,5053,7563,3748,2593,4285,2730,760,1454,501,28687,Pittwater (A)
16380,3306,5087,4100,3245,4028,3204,1482,2781,388,27621,Port Macquarie-Hastings (A)
16400,2958,3761,4969,2997,3591,2827,2220,2859,427,26609,Port Stephens (A)
16470,2920,4045,2929,1992,4263,1666,1110,1593,568,21086,Queanbeyan (C)
16550,8821,21507,6018,5996,9599,5148,1892,2911,1127,63019,Randwick (C)
16610,1009,961,1119,931,926,807,676,1529,134,8092,Richmond Valley (A)
16650,5007,9659,5725,4162,7705,4390,3036,4253,1016,44953,Rockdale (C)
16700,6913,16021,5307,3943,8570,4252,1558,2765,972,50301,Ryde (C)
16900,2433,3741,4821,3167,3943,3090,2762,3017,435,27409,Shellharbour (C)
16950,4020,5658,5818,4400,4162,3655,1932,3684,518,33847,Shoalhaven (C)
