lga_code_2016,ireland_2011,ireland_2012,ireland_2013,ireland_2014,ireland_2015,ireland_2016,ireland_yr_arrival_notstated,ireland_tot,italy_before_1946,italy_1946_1955,italy_1956_1965,italy_1966_1975,italy_1976_1985,italy_1986_1995,italy_1996_2005,italy_2006_2010,italy_2011,italy_2012,italy_2013,italy_2014,italy_2015,italy_2016,italy_yr_arrival_notstated,italy_tot,japan_before_1946,japan_1946_1955,japan_1956_1965,japan_1966_1975,japan_1976_1985,japan_1986_1995,japan_1996_2005,japan_2006_2010,japan_2011,japan_2012,japan_2013,japan_2014,japan_2015,japan_2016,japan_yr_arrival_notstated,japan_tot,korea_rep_sth_before_1946,korea_rep_sth_1946_1955,korea_rep_sth_1956_1965,korea_rep_sth_1966_1975,korea_rep_sth_1976_1985,korea_rep_sth_1986_1995,korea_rep_sth_1996_2005,korea_rep_sth_2006_2010,korea_republic_south_2011,korea_republic_south_2012,korea_republic_south_2013,korea_republic_south_2014,korea_republic_south_2015,korea_republic_south_2016,korea_repub_sth_arrival_notstated,korea_republic_south_tot,lebanon_before_1946,lebanon_1946_1955,lebanon_1956_1965,lebanon_1966_1975,lebanon_1976_1985,lebanon_1986_1995,lebanon_1996_2005,lebanon_2006_2010,lebanon_2011,lebanon_2012,lebanon_2013,lebanon_2014,lebanon_2015,lebanon_2016,lebanon_yr_arrival_notstated,lebanon_tot,malaysia_before_1946,malaysia_1946_1955,malaysia_1956_1965,malaysia_1966_1975,malaysia_1976_1985,malaysia_1986_1995,malaysia_1996_2005,malaysia_2006_2010,malaysia_2011,malaysia_2012,malaysia_2013,malaysia_2014,malaysia_2015,malaysia_2016,malaysia_yr_arrival_notstated,malaysia_tot,malta_before_1946,malta_1946_1955,malta_1956_1965,malta_1966_1975,malta_1976_1985,malta_1986_1995,malta_1996_2005,malta_2006_2010,malta_2011,malta_2012,malta_2013,malta_2014,malta_2015,malta_2016,malta_yr_arrival_notstated,malta_tot,netherlands_before_1946,netherlands_1946_1955,netherlands_1956_1965,netherlands_1966_1975,netherlands_1976_1985,netherlands_1986_1995,netherlands_1996_2005,netherlands_2006_2010,netherlands_2011,netherlands_2012,netherlands_2013,netherlands_2014,netherlands_2015,netherlands_2016,netherlands_yr_arrival_notstated,netherlands_tot,new_zealand_before_1946,new_zealand_1946_1955,new_zealand_1956_1965,new_zealand_1966_1975,new_zealand_1976_1985,new_zealand_1986_1995,new_zealand_1996_2005,new_zealand_2006_2010,new_zealand_2011,new_zealand_2012,new_zealand_2013,new_zealand_2014,new_zealand_2015,new_zealand_2016,new_zealand_yr_arrival_notstated,new_zealand_tot,pakistan_before_1946,pakistan_1946_1955,pakistan_1956_1965,pakistan_1966_1975,pakistan_1976_1985,pakistan_1986_1995,pakistan_1996_2005,pakistan_2006_2010,pakistan_2011,pakistan_2012,pakistan_2013,pakistan_2014,pakistan_2015,pakistan_2016,pakistan_yr_arrival_notstated,pakistan_tot,philippines_before_1946,philippines_1946_1955,philippines_1956_1965,philippines_1966_1975,philippines_1976_1985,philippines_1986_1995,philippines_1996_2005,philippines_2006_2010,philippines_2011,philippines_2012,philippines_2013,philippines_2014,philippines_2015,philippines_2016,philippines_yr_arrival_notstated,philippines_tot,poland_before_1946,poland_1946_1955,poland_1956_1965,poland_1966_1975,poland_1976_1985,poland_1986_1995,poland_1996_2005,poland_2006_2010,poland_2011,poland_2012,poland_2013,poland_2014,poland_2015,poland_2016,poland_yr_arrival_notstated,poland_tot,singapore_before_1946,singapore_1946_1955,singapore_1956_1965,singapore_1966_1975,singapore_1976_1985,singapore_1986_1995,singapore_1996_2005,singapore_2006_2010,singapore_2011,singapore_2012,singapore_2013,singapore_2014,singapore_2015,singapore_2016,singapore_yr_arrival_notstated,singapore_tot,lga_name16
10050,4,4,0,0,0,3,0,68,4,16,32,14,3,0,0,0,0,0,0,0,0,0,3,71,0,0,0,0,0,3,3,4,0,0,0,0,0,3,0,18,0,0,0,0,0,3,7,10,0,0,0,0,7,0,0,29,0,0,0,8,0,0,6,3,0,0,0,0,0,0,0,14,0,0,0,8,3,7,4,11,3,0,0,0,3,5,0,48,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,78,61,17,9,3,6,4,0,0,0,4,0,3,8,193,0,7,18,56,109,94,87,60,17,25,4,18,8,6,25,543,0,0,0,0,0,0,3,11,0,3,0,6,3,0,4,32,0,0,0,0,34,44,40,67,18,17,15,9,12,10,15,282,0,10,8,0,6,0,3,0,0,0,0,0,0,0,4,36,0,0,0,7,0,8,3,0,0,3,0,0,3,3,0,26,Albury (C)
10130,0,3,0,0,0,0,0,29,0,5,3,4,0,3,0,3,0,0,0,0,0,3,3,24,0,0,0,0,0,3,13,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,7,0,0,0,0,4,3,0,0,13,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,3,3,3,6,4,0,0,3,0,3,10,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,22,6,3,0,5,3,0,3,0,0,0,0,3,60,0,7,12,37,57,42,60,44,14,8,12,6,6,6,15,314,0,0,0,0,0,0,8,9,0,0,0,0,10,3,0,29,0,0,0,0,6,20,13,24,0,6,15,16,31,16,6,156,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,3,4,4,4,0,0,0,0,0,3,23,Armidale Regional (A)
10250,0,0,0,0,0,3,3,75,0,38,19,3,15,0,4,4,0,0,0,0,0,0,9,94,0,0,0,3,7,3,15,17,3,4,0,0,0,0,3,61,0,0,0,0,4,3,0,4,0,0,0,0,3,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,17,5,8,4,3,0,0,0,0,0,0,3,50,0,17,4,4,0,4,0,0,0,0,0,0,0,0,0,27,0,50,40,8,15,4,15,7,3,3,3,0,0,0,7,159,9,3,32,96,157,99,100,71,12,17,7,11,9,9,32,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,15,23,18,15,10,10,0,0,4,0,5,108,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,22,0,0,3,7,0,3,3,3,0,0,0,0,3,0,0,30,Ballina (A)
10300,0,0,0,0,0,0,0,7,0,9,10,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,9,0,4,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,0,5,3,3,0,0,3,64,5,11,19,9,0,0,0,0,0,0,0,0,0,0,3,50,0,0,3,3,0,7,13,0,0,0,0,4,0,0,0,29,0,0,0,0,0,4,3,5,0,0,0,0,0,3,9,29,0,0,0,13,0,8,0,0,0,0,0,0,0,0,11,33,0,0,3,5,5,4,10,3,3,0,0,0,0,0,3,44,0,6,8,3,0,0,3,0,0,0,0,0,0,0,0,23,0,37,28,10,13,6,0,0,0,0,0,0,0,0,0,102,3,0,10,51,75,86,77,50,4,6,10,7,5,5,43,435,0,0,0,0,0,5,0,14,3,0,0,0,0,0,0,23,0,0,0,0,14,20,30,19,14,11,14,5,17,7,15,153,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,5,3,0,0,0,0,0,0,3,22,Bathurst Regional (A)
10550,0,0,0,0,0,0,6,66,0,10,20,7,3,3,3,0,0,0,0,0,0,0,0,52,0,3,0,0,0,0,3,4,0,0,0,0,0,0,3,25,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,11,4,0,3,0,0,0,0,0,0,0,31,0,11,10,0,3,0,0,0,0,0,0,0,0,0,0,24,0,85,62,16,16,7,12,3,0,0,3,0,0,0,9,203,3,5,14,76,116,53,40,27,7,3,3,0,3,5,22,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,28,20,7,4,6,14,3,4,7,8,125,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,24,0,0,0,5,3,3,0,0,0,3,0,0,3,0,0,19,Bega Valley (A)
10600,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,13,13,11,0,8,10,0,0,0,0,0,0,0,69,0,3,16,25,48,41,20,3,4,0,0,0,0,0,7,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,7,0,0,3,0,0,0,3,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,Bellingen (A)
10650,0,0,0,0,0,0,0,8,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,21,0,0,0,5,0,0,0,0,0,0,0,3,41,0,0,0,15,15,19,27,13,0,7,0,4,0,0,7,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,3,0,4,0,0,12,5,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berrigan (A)
10750,23,46,13,6,9,7,9,612,5,202,471,382,66,23,39,23,8,0,9,14,9,0,58,1299,0,3,3,4,5,28,53,30,10,3,3,3,6,3,4,147,0,0,0,17,158,381,479,252,29,39,25,22,27,12,44,1481,0,14,62,438,332,426,279,108,31,14,17,16,14,8,89,1847,0,3,24,78,184,394,264,206,26,29,26,32,21,13,30,1329,0,550,807,523,206,75,20,12,4,0,0,3,0,0,74,2271,0,149,180,53,38,12,23,12,3,0,0,3,4,3,16,491,4,7,42,213,779,1350,2489,1267,236,336,335,233,221,110,386,8010,0,0,0,22,115,519,1043,844,234,278,241,296,254,168,104,4111,0,0,19,254,1735,7980,4891,3315,628,641,564,552,521,336,407,21847,0,151,66,46,263,222,102,22,13,11,3,3,3,5,28,929,0,4,9,38,49,106,153,70,14,12,15,12,27,12,10,532,Blacktown (C)
10800,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,4,0,8,8,4,6,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bland (A)
10850,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,3,0,0,0,0,0,0,0,0,0,19,0,3,0,17,22,4,7,4,0,8,0,0,0,0,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blayney (A)
