lga_code_2016,opds_separate_house_dwellings,opds_separate_house_persons,opds_sd_r_t_h_th_1_sty_dwgs,opds_sd_r_t_h_th_1_sty_psns,opds_sd_r_t_h_th_2_m_sty_dwgs,opds_sd_r_t_h_th_2_m_sty_psns,opds_sd_r_t_h_th_tot_dwgs,opds_sd_r_t_h_th_tot_psns,opds_f_ap_i_1or2_sty_blk_ds,opds_f_ap_i_1or2_sty_blk_ps,opds_f_ap_i_3_sty_blk_dwgs,opds_f_ap_i_3_sty_blk_psns,opds_f_ap_i_4_m_sty_blk_ds,opds_f_ap_i_4_m_sty_blk_ps,opds_flt_apt_att_house_ds,opds_flt_apt_att_house_ps,opds_flt_apart_tot_dwgs,opds_flt_apart_tot_psns,opds_oth_dwg_cvn_ds,opds_oth_dw_cvn_ps,opds_oth_dwg_cab_hboat_ds,opds_oth_dwg_cab_hboat_ps,opds_ot_dwg_im_hm_tnt_so_ds,opds_ot_dwg_im_hm_tnt_so_ps,opds_ot_dwg_hs_f_att_sh_of_ds,opds_ot_dwg_hs_f_att_sh_of_ps,opds_other_dwelling_tot_dwgs,opds_other_dwelling_tot_psns,opds_dwlling_structur_ns_dwgs,opds_dwlling_structur_ns_psns,opds_tot_opds_dwellings,opds_tot_opds_persons,unoccupied_pds_dwgs,total_pds_dwellings,total_pds_persons,lga_name16
12950,1611,3850,6,10,0,0,6,10,50,63,0,0,0,0,0,0,50,63,23,42,3,0,0,0,0,0,30,47,16,29,1704,4007,252,1952,4007,Gilgandra (A)
11300,4874,15518,724,1946,1311,4217,2037,6162,942,2133,1916,5187,2648,6922,30,86,5534,14328,0,3,0,3,12,12,59,141,68,160,90,234,12614,36408,883,13494,36408,Burwood (A)
11350,10509,26377,516,1014,438,992,956,2006,743,1221,101,203,3,0,27,44,872,1471,382,685,241,407,214,280,71,140,912,1509,235,447,13482,31818,2057,15540,31818,Byron (A)
11400,4797,12571,31,43,0,3,32,44,76,105,0,0,0,0,0,0,76,105,19,31,7,17,4,7,26,57,58,113,27,85,4997,12911,698,5697,12911,Cabonne (A)
11450,23117,73267,898,1656,630,1450,1521,3105,167,239,30,40,0,6,7,12,206,299,30,46,55,76,13,29,12,31,103,177,70,171,25027,77022,1160,26185,77022,Camden (A)
11500,40786,128391,4174,9392,4838,12652,9017,22046,1115,2056,436,833,871,1761,24,49,2437,4710,0,4,5,7,19,32,85,235,108,277,131,257,52481,155675,2800,55279,155675,Campbelltown (C) (NSW)
11520,12756,38733,1124,2817,2042,5292,3162,8109,3690,7347,3698,7952,10275,23909,27,57,17685,39263,0,0,6,12,0,0,334,764,335,770,166,363,34105,87239,2659,36767,87239,Canada Bay (A)
11570,64047,209809,4362,10855,13825,44206,18190,55056,13771,33649,10861,27834,5446,13950,142,350,30218,75786,0,9,11,24,3,14,674,1939,690,1979,434,1191,113582,343824,7736,121319,343824,Canterbury-Bankstown (A)
11600,991,2437,0,0,0,0,0,0,34,60,0,0,0,0,0,0,34,60,20,30,38,93,3,8,6,10,67,135,11,25,1111,2655,208,1318,2655,Carrathool (A)
11650,98876,267841,9959,16909,6017,12264,15980,29173,6559,10996,1685,2983,1786,3280,71,126,10101,17388,470,730,687,1148,205,258,267,633,1623,2773,613,1131,127190,318303,17224,144409,318303,Central Coast (C) (NSW)
11700,669,1692,29,47,0,0,29,47,13,30,0,0,0,0,0,0,13,30,11,17,8,5,0,3,5,10,20,33,16,29,747,1833,289,1037,1833,Central Darling (A)
11720,18467,49466,1362,2365,238,386,1602,2755,329,489,0,0,3,3,0,3,330,498,22,46,19,39,10,22,38,64,80,166,143,294,20623,53182,2047,22675,53182,Cessnock (C)
11730,17992,43880,761,1168,430,810,1195,1980,983,1515,125,229,8,17,3,5,1126,1765,806,1476,262,418,141,264,74,147,1282,2307,186,381,21776,50308,3076,24848,50308,Clarence Valley (A)
11750,1656,4160,32,46,0,0,32,46,146,189,0,0,0,0,3,3,145,189,63,117,14,27,13,21,16,40,109,215,7,14,1950,4621,501,2451,4621,Cobar (A)
11800,21187,56651,2131,3925,1481,3014,3611,6940,2303,4095,354,686,353,576,9,20,3023,5371,649,1197,497,855,88,130,41,99,1268,2277,362,742,29459,71979,2931,32392,71979,Coffs Harbour (C)
12000,1575,4010,3,4,0,3,5,8,31,36,0,0,0,0,0,0,34,36,12,18,0,0,3,3,0,4,11,27,17,40,1636,4119,173,1811,4119,Coolamon (A)
12150,1505,3594,17,20,0,0,17,20,72,95,0,0,0,0,0,0,73,95,49,95,0,0,0,0,12,21,61,116,12,28,1669,3851,358,2028,3851,Coonamble (A)
12350,4662,11157,182,334,10,13,190,345,257,346,14,9,0,0,0,3,271,361,53,80,3,14,7,13,11,31,74,135,60,115,5251,12112,715,5968,12112,Cowra (A)
13010,3447,7769,38,46,3,4,39,46,142,194,0,0,0,0,0,0,142,194,30,46,18,20,5,15,7,17,53,101,66,139,3744,8256,604,4348,8256,Glen Innes Severn (A)
13310,10066,25292,785,1280,128,247,911,1531,328,518,80,106,0,0,3,3,416,630,47,65,36,70,22,56,41,79,155,262,85,177,11630,27889,1928,13559,27889,Goulburn Mulwaree (A)
13340,3754,9626,49,82,0,0,49,82,44,46,0,0,0,0,0,0,44,46,15,47,3,11,4,11,17,48,43,109,31,81,3920,9938,616,4534,9938,Greater Hume Shire (A)
13450,7674,21518,431,776,14,46,451,819,984,2046,27,38,0,0,6,17,1018,2103,62,106,16,33,22,38,30,79,128,253,76,196,9338,24889,935,10274,24889,Griffith (C)
13510,4267,9975,140,187,26,38,166,224,95,129,0,0,0,0,0,0,95,129,47,95,6,11,4,13,44,81,100,195,26,66,4656,10586,679,5340,10586,Gundagai (A)
13550,4331,11015,139,233,34,47,173,278,216,303,18,31,40,56,0,0,276,388,38,78,15,27,0,3,17,36,75,140,37,81,4894,11905,596,5490,11905,Gunnedah (A)
13660,2080,4877,23,35,0,0,23,35,26,36,0,0,0,0,0,0,26,36,69,138,9,24,9,9,4,13,90,183,11,15,2226,5147,361,2589,5147,Gwydir (A)
13800,19199,56604,1781,3400,585,1284,2364,4684,437,706,89,161,3,7,10,14,535,888,101,165,68,92,33,63,44,92,241,409,193,409,22541,62995,1516,24064,62995,Hawkesbury (C)
13850,1102,2521,23,37,0,3,27,39,75,127,0,0,0,0,0,0,75,127,32,59,10,22,0,0,5,9,41,89,21,49,1265,2823,294,1560,2823,Hay (A)
16380,23715,60693,3231,5489,1048,2045,4281,7535,1928,2906,649,1011,1112,1867,4,7,3692,5797,558,936,439,716,55,81,64,139,1114,1869,212,416,33014,76315,3568,36583,76315,Port Macquarie-Hastings (A)
16400,21493,56373,2240,3791,1691,3726,3927,7518,432,669,209,346,359,603,27,50,1023,1672,394,646,383,585,19,57,48,111,842,1396,163,289,27448,67246,5638,33082,67246,Port Stephens (A)
16490,15609,43741,1692,3145,1314,2658,3005,5805,1058,1718,547,931,1045,1815,17,36,2665,4500,30,46,79,118,36,81,29,77,182,330,80,184,21534,54564,2447,23983,54564,Queanbeyan-Palerang Regional (A)
16550,13785,43381,3588,9344,5188,15168,8776,24507,6170,13052,15031,30696,9598,20493,77,169,30878,64415,3,8,3,7,3,3,494,1182,504,1200,216,481,54163,133985,4403,58566,133985,Randwick (C)
16610,7693,19751,357,602,175,355,535,954,714,1147,0,0,0,0,0,4,716,1157,365,650,59,95,14,34,37,88,475,871,38,77,9455,22813,843,10296,22813,Richmond Valley (A)
16650,16630,51913,3570,8330,2147,6024,5711,14353,1417,2937,4116,9312,11629,28284,97,226,17255,40758,85,119,0,0,15,15,316,795,417,928,167,360,40185,108314,3079,43264,108314,Rockdale (C)
16700,20102,62999,2710,6667,4312,10814,7020,17479,1439,2731,7016,14608,7012,15764,29,61,15498,33160,38,82,16,34,3,16,114,254,174,380,221,495,43011,114519,3136,46156,114519,Ryde (C)
16900,19666,57246,1756,3230,1730,3690,3486,6915,1002,1757,11,21,4,7,4,8,1025,1789,75,107,274,411,15,14,57,115,415,638,129,242,24727,66838,1698,26424,66838,Shellharbour (C)
16950,35435,86096,2165,3413,672,1112,2841,4529,1034,1624,28,45,4,5,13,17,1079,1686,346,557,835,1304,37,59,57,112,1272,2027,308,642,40930,94978,13455,54388,94978,Shoalhaven (C)
17000,7281,20137,408,804,193,328,610,1133,314,498,0,3,4,3,0,0,315,508,57,94,14,27,15,18,13,28,95,169,57,118,8359,22061,972,9329,22061,Singleton (A)
17040,7047,17330,214,421,286,760,501,1185,804,1956,110,301,75,211,4,3,994,2470,77,138,154,404,25,45,33,68,283,649,404,740,9222,22375,2393,11618,22375,Snowy Monaro Regional (A)
17080,5459,12981,124,148,31,44,150,195,184,265,0,4,0,0,0,0,185,264,24,53,22,35,3,0,12,16,53,105,41,94,5888,13633,1037,6928,13633,Snowy Valleys (A)
17420,40297,133911,1014,1882,4737,13838,5752,15722,654,1367,933,2095,1168,2607,20,49,2784,6113,22,39,32,54,11,29,25,65,88,196,133,367,49056,156309,2723,51780,156309,The Hills Shire (A)
17550,24287,64703,4478,8396,2444,5124,6918,13518,2242,3711,1586,2860,919,1634,5,14,4752,8218,1224,2075,615,994,264,344,53,132,2153,3545,385,829,38497,90820,4208,42704,90820,Tweed (A)
17620,5097,12716,109,174,0,0,109,174,269,399,0,0,0,0,0,0,266,397,41,70,49,72,6,10,8,17,116,173,54,125,5640,13594,862,6500,13594,Upper Hunter Shire (A)
17640,3013,7137,66,92,12,14,74,108,3,9,0,0,0,0,0,0,3,9,15,27,3,11,21,39,14,30,50,110,34,79,3180,7447,1125,4301,7447,Upper Lachlan Shire (A)
17650,2321,5664,13,20,0,3,16,26,38,51,0,3,0,0,0,0,38,54,19,27,18,21,4,11,11,25,44,81,17,34,2434,5852,297,2734,5852,Uralla (A)
17750,19819,52562,801,1264,187,335,993,1601,2257,3588,90,123,38,57,7,23,2396,3790,46,63,53,93,14,17,166,448,270,623,80,205,23564,58778,2537,26096,58778,Wagga Wagga (C)
17850,1254,2842,3,12,0,0,3,12,24,36,0,0,0,0,3,4,28,38,3,0,9,18,11,18,4,5,26,51,21,45,1339,2987,257,1593,2987,Walcha (A)
17900,2145,5019,3,5,0,3,9,9,127,183,0,0,17,20,3,8,147,207,181,325,9,18,253,458,9,18,450,818,141,294,2888,6343,803,3693,6343,Walgett (A)
17950,1039,2462,14,18,0,0,14,18,39,61,0,0,0,0,0,0,39,61,9,15,0,4,0,3,0,0,13,18,15,34,1118,2592,203,1329,2592,Warren (A)
18020,3684,8534,49,55,6,13,55,67,79,117,4,3,13,14,0,0,89,135,50,100,21,43,8,19,17,32,102,192,68,134,3990,9060,761,4747,9060,Warrumbungle Shire (A)
18050,4392,13761,2307,6118,2783,8329,5088,14445,3906,8305,8892,17452,5436,10216,21,56,18252,36031,3,3,0,0,15,16,367,760,385,782,139,319,28256,65338,3237,31496,65338,Waverley (A)
18100,1479,3317,57,89,0,0,64,93,5,10,0,0,0,0,0,0,9,16,3,5,0,0,0,0,7,17,16,26,11,27,1568,3476,293,1864,3476,Weddin (A)
18200,2403,6047,41,75,0,0,41,75,129,185,0,0,0,0,0,0,129,185,127,256,36,82,8,20,10,28,187,393,32,66,2793,6757,485,3276,6757,Wentworth (A)
18230,15711,41820,1097,1891,81,132,1178,2024,1333,2113,24,29,0,0,0,0,1359,2141,197,396,86,221,9,22,309,802,601,1442,95,208,18949,47636,2114,21066,47636,Western Plains Regional (A)
18250,12462,38566,903,2340,1282,3441,2186,5788,1672,3550,3463,7892,7713,17538,11,22,12861,29001,3,5,0,0,7,5,77,171,86,181,67,138,27665,73668,2326,29984,73668,Willoughby (C)
18350,17012,42676,821,1275,320,580,1145,1853,344,534,0,0,3,3,8,12,352,549,106,153,13,21,27,42,38,77,187,303,134,281,18829,45660,2788,21615,45660,Wingecarribee (A)
18400,14813,45604,615,1056,66,124,686,1187,101,174,5,9,0,0,3,16,118,202,52,65,34,50,15,39,40,107,134,264,58,159,15809,47421,949,16764,47421,Wollondilly (A)
18450,52958,149998,4202,7657,5405,11842,9605,19500,5936,10779,3395,6005,4280,8270,50,109,13671,25167,338,534,112,188,138,145,269,654,859,1516,496,938,77588,197121,6330,83916,197121,Wollongong (C)
18500,4757,14724,749,1713,4345,10848,5092,12561,2037,4327,4869,9383,6261,10968,80,192,13243,24872,0,3,0,0,0,3,172,337,181,345,118,277,23392,52775,2857,26248,52775,Woollahra (A)
18710,5486,15017,226,349,9,14,239,367,36,62,0,0,0,0,0,3,38,59,23,31,18,30,19,33,8,11,65,108,53,130,5887,15679,627,6511,15679,Yass Valley (A)
19399,402,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,3,9,0,0,16,21,19,19,438,1028,151,587,1028,Unincorporated NSW
20110,5017,11767,159,231,79,234,235,467,139,257,4,10,6,8,0,0,143,279,17,24,36,97,6,9,23,41,83,173,86,174,5558,12855,1633,7188,12855,Alpine (S)
20260,4262,9870,133,183,0,0,133,183,125,210,4,9,0,0,0,0,133,220,25,37,22,22,5,7,19,32,73,104,27,40,4627,10421,753,5382,10421,Ararat (RC)
20570,33111,83525,5188,9378,550,1225,5737,10606,1253,1887,83,132,0,3,0,3,1341,2020,40,60,78,132,8,8,87,201,213,404,222,376,40616,96928,4506,45115,96928,Ballarat (C)
20660,35568,97350,4703,8686,2687,6395,7390,15078,2331,4512,265,470,438,737,7,16,3044,5733,4,7,4,3,0,4,52,128,65,141,140,292,46205,118600,3946,50153,118600,Banyule (C)
20740,12982,29056,632,884,167,326,797,1212,191,274,18,23,9,17,0,0,218,318,116,164,130,225,3,3,18,40,274,436,77,191,14351,31208,11423,25775,31208,Bass Coast (S)
20830,16911,43783,670,1029,56,80,725,1109,829,1232,0,0,0,0,0,0,829,1232,72,114,92,137,3,10,18,28,186,292,99,190,18747,46606,2135,20880,46606,Baw Baw (S)
20910,22837,65779,4759,9025,3965,9704,8727,18732,2323,4065,1184,2031,1312,2216,9,10,4833,8325,0,3,0,4,5,6,212,441,219,456,164,408,36776,93692,4253,41032,93692,Bayside (C)
21010,5438,12332,70,109,4,6,71,116,334,470,42,58,42,63,0,0,421,591,9,12,24,28,8,10,14,28,43,73,44,84,6016,13189,776,6790,13189,Benalla (RC)
21110,34673,105095,8064,17164,4812,12559,12874,29725,6098,11449,4851,8953,3869,6635,0,7,14821,27049,6,11,3,5,4,3,193,435,204,459,220,498,62794,162820,6488,69287,162820,Boroondara (C)
21180,52908,162790,5386,13463,3192,9297,8573,22757,2722,6041,164,303,134,309,36,77,3055,6731,5,13,25,27,3,3,151,428,178,473,130,298,64847,193057,4376,69223,193057,Brimbank (C)
