lga_code_2016,opds_separate_house_dwellings,opds_separate_house_persons,opds_sd_r_t_h_th_1_sty_dwgs,opds_sd_r_t_h_th_1_sty_psns,opds_sd_r_t_h_th_2_m_sty_dwgs,opds_sd_r_t_h_th_2_m_sty_psns,opds_sd_r_t_h_th_tot_dwgs,opds_sd_r_t_h_th_tot_psns,opds_f_ap_i_1or2_sty_blk_ds,opds_f_ap_i_1or2_sty_blk_ps,opds_f_ap_i_3_sty_blk_dwgs,opds_f_ap_i_3_sty_blk_psns,opds_f_ap_i_4_m_sty_blk_ds,opds_f_ap_i_4_m_sty_blk_ps,opds_flt_apt_att_house_ds,opds_flt_apt_att_house_ps,opds_flt_apart_tot_dwgs,opds_flt_apart_tot_psns,opds_oth_dwg_cvn_ds,opds_oth_dw_cvn_ps,opds_oth_dwg_cab_hboat_ds,opds_oth_dwg_cab_hboat_ps,opds_ot_dwg_im_hm_tnt_so_ds,opds_ot_dwg_im_hm_tnt_so_ps,opds_ot_dwg_hs_f_att_sh_of_ds,opds_ot_dwg_hs_f_att_sh_of_ps,opds_other_dwelling_tot_dwgs,opds_other_dwelling_tot_psns,opds_dwlling_structur_ns_dwgs,opds_dwlling_structur_ns_psns,opds_tot_opds_dwellings,opds_tot_opds_persons,unoccupied_pds_dwgs,total_pds_dwellings,total_pds_persons,lga_name16
10050,16497,41577,3183,5094,494,791,3683,5888,388,574,79,114,36,51,6,7,499,746,32,46,52,81,4,4,36,74,125,210,80,151,20877,48577,2489,23369,48577,Albury (C)
10130,9265,23357,832,1508,158,271,993,1779,565,905,48,103,0,3,0,3,616,1009,49,79,32,67,3,8,22,30,110,195,100,203,11079,26538,1588,12671,26538,Armidale Regional (A)
10250,11875,30649,2285,4232,1602,3057,3885,7287,630,1126,170,296,63,103,7,16,882,1537,409,684,325,485,13,17,28,62,777,1249,135,262,17555,40988,1549,19107,40988,Ballina (A)
10300,819,2118,18,21,3,3,24,27,41,69,0,0,0,0,0,0,41,69,55,90,0,0,3,10,7,10,61,115,4,12,951,2334,248,1203,2334,Balranald (A)
10470,12813,33918,1239,2163,357,644,1595,2807,674,1038,12,15,3,13,0,3,686,1072,39,69,4,14,6,7,25,47,67,140,172,242,15333,38178,2029,17364,38178,Bathurst Regional (A)
10550,11747,27513,889,1380,547,932,1440,2318,591,901,29,44,3,4,0,6,621,954,129,211,165,262,92,150,50,95,435,715,164,323,14407,31824,3048,17449,31824,Bega Valley (A)
10600,4754,11308,190,354,56,117,246,473,143,210,14,16,0,0,0,0,152,224,130,253,31,53,3,3,6,13,180,325,54,129,5387,12455,669,6060,12455,Bellingen (A)
10650,3197,7370,115,154,0,0,115,154,149,202,3,4,0,0,0,0,151,204,62,91,67,113,8,5,42,93,172,303,12,32,3649,8060,643,4292,8060,Berrigan (A)
10750,82065,267356,6494,19021,10537,33533,17028,52558,1725,3525,809,1728,3116,8147,51,110,5708,13514,27,63,242,369,83,184,198,588,554,1204,358,938,105709,335567,5099,110800,335567,Blacktown (C)
10800,2289,5483,17,15,0,0,17,15,68,81,0,0,0,0,0,0,68,81,12,27,0,0,0,3,16,27,28,53,57,118,2461,5757,453,2914,5757,Bland (A)
10850,2658,6741,31,52,4,13,38,63,71,79,0,0,0,0,0,0,73,79,3,4,11,8,4,20,24,51,44,78,29,36,2836,7002,350,3184,7002,Blayney (A)
10900,27618,70331,878,1409,627,1056,1506,2463,468,700,147,203,11,14,9,16,639,932,38,70,7,3,28,46,42,78,112,206,119,221,29996,74149,4196,34188,74149,Blue Mountains (C)
10950,968,2361,31,50,4,11,40,58,34,56,0,0,0,0,0,0,34,56,47,66,0,0,3,0,8,16,57,83,17,36,1112,2593,194,1305,2593,Bogan (A)
11100,5683,17649,1118,2905,1155,3288,2277,6189,1652,3891,3186,7467,4446,10742,8,10,9289,22118,0,0,0,11,5,16,129,330,137,353,79,185,17464,46496,1230,18689,46496,Botany Bay (C)
11150,925,2412,23,29,0,0,23,29,37,48,0,0,0,0,0,0,37,48,82,167,20,38,13,16,7,23,127,246,22,41,1135,2776,214,1347,2776,Bourke (A)
11200,559,1486,0,0,5,4,3,6,10,28,25,39,0,0,0,0,41,61,6,8,0,8,3,6,3,10,13,30,4,3,617,1594,106,725,1594,Brewarrina (A)
11250,7163,15952,172,262,23,40,193,303,222,281,0,0,0,0,0,3,219,286,79,151,23,49,13,30,5,10,123,237,46,75,7738,16858,1870,9605,16858,Broken Hill (C)
13910,6743,16508,345,569,3,7,345,579,328,488,0,0,0,0,0,0,328,488,31,48,16,26,10,19,30,65,80,153,60,110,7562,17837,1343,8900,17837,Hilltops (A)
14000,35240,110121,1153,2235,3135,8237,4293,10478,1485,2597,3568,7622,3442,8496,48,86,8548,18807,34,57,70,132,19,39,71,181,193,412,169,357,48443,140174,2973,51420,140174,Hornsby (A)
14100,2925,9090,91,212,665,1533,757,1747,392,669,302,539,396,630,0,4,1099,1835,0,3,0,0,0,0,8,16,7,21,24,67,4809,12761,434,5246,12761,Hunters Hill (A)
14170,18040,52538,13042,32468,10875,28485,23916,60951,10311,19943,12127,23836,7565,14485,446,911,30447,59178,5,13,9,12,35,43,1211,2755,1264,2822,617,1122,74288,176618,6080,80368,176618,Inner West (A)
14200,5796,14517,154,274,24,37,184,312,396,579,0,0,0,0,0,0,397,579,71,115,29,38,5,11,19,40,121,201,119,319,6618,15931,651,7268,15931,Inverell (A)
14300,1980,5037,41,67,4,19,46,82,41,59,9,7,0,0,0,0,46,69,3,4,3,7,0,0,0,5,11,20,15,29,2096,5231,235,2329,5231,Junee (A)
14350,10321,25474,413,618,65,112,484,727,441,717,58,103,16,18,4,7,522,846,243,431,22,51,25,43,33,64,326,595,193,392,11837,28041,1768,13607,28041,Kempsey (A)
14400,6393,17262,250,494,689,1395,936,1890,441,702,104,161,215,298,0,0,753,1157,77,150,18,39,10,7,28,64,123,261,83,125,8293,20700,1650,9940,20700,Kiama (A)
14500,28912,92433,310,572,1309,2938,1619,3512,1570,2850,1676,3360,5770,13501,0,9,9015,19719,0,6,4,4,0,0,26,62,30,69,83,194,39667,115927,2799,42464,115927,Ku-ring-gai (A)
14550,3673,8462,21,27,4,3,23,32,70,103,0,0,0,0,0,0,74,103,34,51,23,42,11,28,24,43,94,158,30,60,3899,8819,606,4499,8819,Kyogle (A)
14600,2280,5587,19,24,0,0,19,21,73,110,0,0,0,0,0,0,75,115,31,41,0,0,3,3,17,30,41,74,73,189,2487,5983,409,2902,5983,Lachlan (A)
14650,64071,171317,5183,8385,2220,4385,7406,12768,2183,3418,277,430,465,797,47,98,2976,4743,144,250,475,691,85,115,107,234,815,1297,176,366,75444,190489,7031,82469,190489,Lake Macquarie (C)
14700,5881,18202,209,568,566,1315,777,1880,1044,2025,2816,5785,3550,7140,44,99,7453,15043,0,0,0,0,0,0,21,43,23,47,70,151,14199,35326,1352,15547,35326,Lane Cove (A)
14750,3670,9487,185,304,20,29,206,330,241,382,10,17,0,0,0,0,249,407,23,34,17,17,9,24,15,28,64,99,44,92,4232,10417,510,4747,10417,Leeton (A)
14850,14302,36489,1194,1887,499,845,1688,2735,774,1280,102,150,0,0,3,6,879,1437,210,290,71,131,91,165,151,422,527,1001,110,222,17508,41885,1516,19022,41885,Lismore (C)
14870,7393,17604,492,757,94,158,589,911,131,199,29,32,0,0,0,3,160,235,37,60,13,32,13,24,353,871,421,983,74,156,8627,19893,1051,9684,19893,Lithgow (C)
14900,46492,161797,1293,3007,5388,15330,6676,18333,1779,3298,4501,10313,2860,7548,77,187,9219,21345,45,55,3,12,15,40,93,269,163,383,376,763,62933,202619,2959,65888,202619,Liverpool (C)
14920,3014,7127,18,31,0,3,19,27,91,139,0,0,0,0,0,0,91,139,11,16,0,0,4,10,24,37,42,74,7,19,3174,7385,527,3703,7385,Liverpool Plains (A)
14950,1175,2865,3,7,0,0,3,7,25,26,0,0,0,0,0,0,25,26,6,5,0,0,3,8,14,31,19,43,10,24,1226,2960,188,1412,2960,Lockhart (A)
15050,24664,68843,2045,3638,567,931,2611,4569,650,929,0,0,39,59,6,3,690,995,84,129,5,6,15,29,55,116,149,284,389,546,28503,75242,2078,30583,75242,Maitland (C)
15240,31122,74400,3107,5051,567,1107,3682,6157,1775,2748,454,712,478,830,5,9,2719,4297,396,678,540,941,53,88,153,310,1143,2017,326,636,38993,87507,8415,47404,87507,Mid-Coast (A)
15270,8863,21848,372,580,23,36,390,621,261,398,10,9,0,0,0,0,264,407,96,129,56,81,15,33,32,60,196,299,108,214,9825,23389,1660,11481,23389,Mid-Western Regional (A)
15300,4238,11067,261,586,17,37,277,620,526,797,0,0,0,0,3,4,530,805,162,302,23,47,3,7,43,93,231,449,71,160,5351,13101,808,6163,13101,Moree Plains (A)
15350,4087,12592,751,1946,662,1618,1406,3558,1591,3152,2878,5178,1737,2914,47,102,6259,11350,0,0,11,18,0,0,58,122,63,139,35,75,11849,27724,1372,13226,27724,Mosman (A)
15520,4208,10099,186,287,13,22,195,306,269,411,0,0,0,0,0,0,269,411,57,94,123,231,4,18,35,101,223,436,39,80,4941,11333,932,5869,11333,Murray River (A)
15560,1393,3459,3,10,0,3,3,9,73,106,0,0,0,0,0,0,73,106,14,31,3,8,18,30,11,19,46,92,8,21,1524,3686,361,1888,3686,Murrumbidgee (A)
15650,5359,14085,478,802,178,296,654,1094,64,90,4,14,0,0,0,0,69,104,58,65,3,4,3,3,9,17,66,93,52,115,6199,15486,1065,7267,15486,Muswellbrook (A)
15700,6950,16575,257,401,58,109,315,515,444,695,54,95,24,34,0,5,522,823,242,441,281,394,18,37,43,86,580,960,42,91,8410,18961,1089,9499,18961,Nambucca (A)
15750,4530,11707,176,265,21,39,199,308,322,464,0,0,0,0,0,0,322,464,106,179,26,48,6,15,15,50,157,286,28,74,5232,12834,736,5970,12834,Narrabri (A)
15800,2200,5278,62,110,0,0,62,110,69,94,7,5,0,0,0,0,77,99,38,61,5,5,3,7,3,13,47,85,16,38,2405,5610,382,2786,5610,Narrandera (A)
15850,2356,5882,37,56,3,3,36,58,96,134,0,0,5,10,0,0,105,138,14,20,0,3,0,0,6,16,21,35,23,46,2549,6163,319,2862,6163,Narromine (A)
15900,43697,114578,4247,7643,5378,11290,9625,18936,3752,5782,2349,3804,2105,3523,165,275,8362,13383,33,74,49,101,88,95,192,358,361,632,288,550,62332,148072,6499,68827,148072,Newcastle (C)
15950,3464,9675,1372,3282,3120,7342,4488,10629,3815,7859,7749,14412,13124,23354,27,63,24712,45686,3,3,7,10,3,3,69,154,86,171,97,184,32857,66346,3940,36794,66346,North Sydney (A)
15990,52279,163910,2370,4867,6000,14211,8371,19075,7169,14304,14078,28261,9268,18123,115,229,30628,60914,52,111,290,509,90,113,291,668,716,1406,400,893,92390,246190,9083,101475,246190,Northern Beaches (A)
16100,1945,4726,15,22,0,0,15,22,33,45,12,12,0,0,0,0,49,61,3,15,8,13,5,3,0,0,13,26,71,158,2096,4997,506,2599,4997,Oberon (A)
16150,13262,34672,1336,2109,230,388,1559,2498,572,841,56,65,17,24,6,12,647,939,38,57,29,51,0,0,13,33,86,142,136,235,15697,38489,1688,17386,38489,Orange (C)
16200,5128,12892,166,280,21,24,191,306,351,480,8,11,0,0,3,6,365,499,54,91,12,24,8,15,17,32,86,160,75,161,5845,14017,895,6737,14017,Parkes (A)
16260,35613,110945,2730,6126,9382,27664,12107,33790,4999,10716,9967,24703,16812,40896,52,108,31829,76422,6,13,12,32,26,27,250,715,291,784,326,751,80162,222686,5453,85616,222686,Parramatta (C)
16350,54018,165075,2932,5777,5142,12515,8072,18295,1841,3236,1716,3146,791,1484,51,121,4402,7988,71,97,133,195,51,89,60,145,314,519,255,638,67066,192522,3972,71036,192522,Penrith (C)
12380,37568,128706,3551,8772,7420,24504,10966,33281,5590,14796,7439,20427,5299,15828,149,392,18469,51437,6,21,5,18,57,102,375,1276,442,1419,364,952,67815,215789,4263,72076,215789,Cumberland (A)
12700,3338,8425,21,36,0,0,21,36,39,57,0,0,0,0,0,0,39,57,19,40,23,53,9,32,3,11,59,139,25,69,3485,8721,527,4010,8721,Dungog (A)
12730,3341,7799,76,115,4,17,76,135,278,383,0,0,0,0,0,0,281,382,38,56,12,23,4,3,18,31,78,119,42,88,3808,8517,472,4284,8517,Edward River (A)
12750,13330,30681,817,1285,502,866,1318,2149,1005,1587,70,113,29,41,7,14,1112,1755,291,478,241,360,21,41,25,62,574,946,114,232,16450,35764,6930,23376,35764,Eurobodalla (A)
12850,42652,150390,1774,4655,5918,19502,7700,24158,2961,6893,3148,7735,2168,5529,110,271,8389,20425,100,128,3,10,41,94,410,1297,546,1530,289,737,59574,197233,3163,62737,197233,Fairfield (C)
12870,4589,10708,204,299,12,30,218,327,323,488,0,0,0,0,0,0,324,491,25,51,74,118,0,0,12,37,117,200,35,58,5274,11786,1062,6342,11786,Federation (A)
12900,3418,8519,125,181,6,10,131,190,148,191,5,6,0,0,0,0,151,195,50,85,26,43,20,38,25,58,121,225,20,46,3835,9167,532,4370,9167,Forbes (A)
12930,26984,85371,2384,5420,3552,10508,5932,15926,2216,4977,5661,14342,9313,24704,70,155,17260,44182,5,17,6,12,5,4,301,771,314,806,180,402,50664,146682,3306,53972,146682,Georges River (A)
