lga_code16,tot_1750_1999_a_55_64,tot_1750_1999_a_65_74,tot_1750_1999_a_75ov,tot_1750_1999_tot,tot_2000_2999_a_15_19,tot_2000_2999_a_20_24,tot_2000_2999_a_25_34,tot_2000_2999_a_35_44,tot_2000_2999_a_45_54,tot_2000_2999_a_55_64,tot_2000_2999_a_65_74,tot_2000_2999_a_75ov,tot_2000_2999_tot,tot_3000mo_a_15_19,tot_3000mo_a_20_24,tot_3000mo_a_25_34,tot_3000mo_a_35_44,tot_3000mo_a_45_54,tot_3000mo_a_55_64,tot_3000mo_a_65_74,tot_3000mo_a_75ov,tot_3000mo_tot,tot_pins_a_15_19,tot_pins_a_20_24,tot_pins_a_25_34,tot_pins_a_35_44,tot_pins_a_45_54,tot_pins_a_55_64,tot_pins_a_65_74,tot_pins_a_75ov,tot_pins_tot,tot_tot_a_15_19,tot_tot_a_20_24,tot_tot_a_25_34,tot_tot_a_35_44,tot_tot_a_45_54,tot_tot_a_55_64,tot_tot_a_65_74,tot_tot_a_75ov,tot_tot_tot,lga_name16
10050,239,38,0,1165,0,9,174,387,453,288,35,4,1345,0,4,38,125,179,153,43,3,540,37,49,68,77,98,70,24,3,431,1724,2408,4997,5002,5459,4194,921,104,24820,Albury (C)
10130,133,24,5,626,0,3,71,215,313,231,49,3,884,0,0,20,76,106,107,34,3,341,23,30,38,37,44,37,24,7,240,893,1344,2387,2402,2898,2334,695,144,13097,Armidale Regional (A)
10250,185,30,6,654,0,9,63,204,204,165,44,8,693,0,3,24,81,124,84,41,10,366,25,17,38,49,50,35,25,3,238,985,1073,2182,2990,3573,3119,833,146,14913,Ballina (A)
10300,8,0,0,21,0,0,5,9,11,11,0,0,36,0,0,0,3,4,9,0,0,14,0,0,4,7,3,3,0,0,26,26,69,116,168,180,191,42,9,795,Balranald (A)
10470,216,28,5,1031,0,4,160,316,373,241,32,3,1127,0,0,46,77,114,114,32,4,395,30,31,40,48,63,48,18,7,279,1154,1840,3425,3439,3758,2927,774,146,17455,Bathurst Regional (A)
10550,116,22,3,474,0,4,42,109,151,106,29,9,445,0,3,12,38,57,66,19,0,191,24,14,16,26,50,51,15,5,202,738,701,1584,2107,3055,2884,762,118,11940,Bega Valley (A)
10600,37,11,0,134,0,0,22,51,40,30,6,0,154,0,3,9,18,20,14,4,0,68,6,0,7,12,11,18,8,4,69,187,146,480,671,912,907,256,65,3609,Bellingen (A)
10650,23,3,0,80,0,0,13,26,17,25,3,0,100,0,0,3,13,8,15,10,4,47,4,6,7,5,17,16,4,4,61,143,180,400,467,574,653,237,55,2709,Berrigan (A)
10750,1112,152,5,5978,5,46,1213,2300,2133,1270,198,12,7181,15,21,279,901,1008,636,160,11,3032,137,193,354,366,344,258,58,8,1724,5986,9926,23441,24399,22963,15282,3117,238,105352,Blacktown (C)
10800,23,9,0,112,0,0,47,53,41,43,0,4,194,0,0,14,32,26,24,11,5,100,8,3,8,15,9,10,4,5,67,120,195,439,520,536,535,183,69,2599,Bland (A)
10850,31,4,3,253,0,3,114,111,100,34,3,0,369,0,0,16,49,47,15,0,3,129,6,0,5,10,9,10,6,5,51,152,179,560,627,659,498,184,65,2922,Blayney (A)
10900,228,43,0,842,0,6,87,239,306,247,48,8,929,0,0,29,91,126,89,30,3,361,32,24,34,54,54,59,20,5,289,1418,1637,2756,3451,4264,3645,1138,150,18452,Blue Mountains (C)
10950,24,4,0,86,0,0,40,30,31,7,5,3,116,0,0,7,18,14,8,0,0,58,0,5,8,8,11,5,5,3,44,52,107,264,235,318,194,77,42,1298,Bogan (A)
11100,477,69,3,3162,0,27,1053,1831,1479,787,114,8,5299,3,5,366,1367,1423,752,82,12,4006,17,76,174,154,171,97,27,4,735,1264,4006,11770,11787,10897,6393,1251,130,47503,Botany Bay (C)
11150,12,0,0,73,0,4,17,18,22,9,4,0,77,0,0,5,3,5,3,8,0,26,0,5,0,3,8,14,3,8,39,27,80,240,195,238,182,68,19,1047,Bourke (A)
