lga_name_2016,lga_code_2016,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Murrindindi (S),25620,1477,1202,429,134,6949
Nillumbik (S),25710,6140,3471,1123,312,32028
Northern Grampians (S),25810,965,761,350,126,4963
Port Phillip (C),25900,7609,4712,1766,712,67794
Pyrenees (S),25990,763,599,196,85,3436
Queenscliffe (B),26080,390,453,239,85,1759
South Gippsland (S),26170,2693,2101,865,296,13415
Southern Grampians (S),26260,1411,960,453,242,7296
Stonnington (C),26350,7665,5702,3030,1274,67371
Strathbogie (S),26430,1079,854,410,169,4952
Surf Coast (S),26490,2873,2066,808,268,15810
Swan Hill (RC),26610,1444,937,470,217,8690
Towong (S),26670,622,475,190,63,2920
Wangaratta (RC),26700,2469,1693,850,475,13482
Warrnambool (C),26730,2474,1670,884,402,15618
Wellington (S),26810,3740,2492,1165,412,20366
Strathfield (A),17100,2428,1334,713,312,22019
Sutherland Shire (A),17150,18983,11816,5862,2935,115033
Sydney (C),17200,11826,6999,2807,988,145559
Tamworth Regional (A),17310,4674,3185,1596,563,27080
Temora (A),17350,463,335,176,45,2447
Tenterfield (A),17400,728,568,231,90,3039
Glen Eira (C),22310,10926,6500,3144,1770,79099
Glenelg (S),22410,1682,1146,515,206,8605
Golden Plains (S),22490,1744,1054,323,81,10027
Greater Bendigo (C),22620,8453,5746,2860,1301,51904
Greater Dandenong (C),22670,6604,4531,2462,1001,60571
Greater Geelong (C),22750,17689,12520,6333,2861,114020
West Wimmera (S),26890,298,217,101,55,1593
Whitehorse (C),26980,11531,7815,4890,2326,86615
Whittlesea (C),27070,9135,4987,2101,625,83939
Wodonga (C),27170,2771,1710,712,283,18217
Wyndham (C),27260,9530,4788,1731,577,99216
Yarra (C),27350,5554,3608,1256,426,57818
Yarra Ranges (S),27450,12338,8121,3121,1127,73041
Yarriambiack (S),27630,568,399,207,150,2854
Unincorporated Vic,29399,59,43,15,0,545
No usual address (Vic.),29499,526,263,61,19,4580
Migratory - Offshore - Shipping (Vic.),29799,10,0,0,0,25
Aurukun (S),30250,40,12,0,0,255
Balonne (S),30300,262,146,59,21,1698
Banana (S),30370,816,391,209,48,5503
Barcaldine (R),30410,170,109,56,8,1102
Barcoo (S),30450,17,11,0,0,95
Blackall-Tambo (R),30760,133,78,40,8,685
Longreach (R),34710,302,142,74,36,1665
Mackay (R),34770,7897,4034,1856,627,50912
McKinlay (S),34800,54,21,10,3,350
Mapoon (S),34830,21,4,3,0,104
Maranoa (R),34860,737,365,180,66,5365
Mareeba (S),34880,1777,1278,508,125,10117
Moreton Bay (R),35010,28434,20010,8624,3558,192629
Mornington (S),35250,50,23,3,0,382
Mount Isa (C),35300,944,393,125,28,8343
Murweh (S),35600,279,108,74,30,1606
Napranum (S),35670,15,5,0,0,165
Noosa (S),35740,5556,4566,1981,749,27364
North Burnett (R),35760,728,556,310,96,4201
Northern Peninsula Area (R),35780,115,28,9,0,919
Palm Island (S),35790,64,11,5,0,496
Paroo (S),35800,134,65,31,10,601
Pormpuraaw (S),36070,13,10,0,0,180
Quilpie (S),36150,41,26,10,3,288
Redland (C),36250,12104,8159,3744,1688,69937
Richmond (S),36300,44,24,10,3,309
Rockhampton (R),36370,4961,2717,1532,703,33184
Scenic Rim (R),36510,3408,2528,1079,287,18293
Somerset (R),36580,1967,1376,515,110,10210
South Burnett (R),36630,2511,1961,903,267,13309
Southern Downs (R),36660,2679,2184,1014,362,14389
Sunshine Coast (R),36720,24662,18607,9116,3671,146541
Tablelands (R),36820,2356,1843,852,255,11433
Toowoomba (R),36910,11327,7401,3811,1722,72904
Torres (S),36950,224,69,10,3,1703
Torres Strait Island (R),36960,178,61,11,0,1642
Townsville (C),37010,12222,6899,2858,919,86453
Adelaide (C),40070,1511,1300,494,243,14023
Adelaide Hills (DC),40120,4388,2925,930,274,20810
Alexandrina (DC),40220,2529,2418,1073,407,12612
Boulia (S),30900,36,4,5,0,167
Brisbane (C),31000,75346,44024,20792,9839,610388
Bulloo (S),31750,35,10,3,0,164
Bundaberg (R),31820,7268,5615,2872,946,39307
Burdekin (S),31900,1135,806,395,147,6658
Burke (S),31950,37,14,0,0,164
Cairns (R),32080,12046,6783,2599,815,76829
Carpentaria (S),32250,126,82,26,3,748
Cassowary Coast (R),32260,2472,1529,717,191,12362
Central Highlands (R) (Qld),32270,1540,583,211,48,12060
Charters Towers (R),32310,741,544,260,66,4469
Cherbourg (S),32330,26,3,0,0,229
Cloncurry (S),32450,193,87,29,12,1350
Cook (S),32500,437,286,79,20,2209
Croydon (S),32600,32,9,0,0,130
Weipa (T),37300,193,46,4,0,1914
Western Downs (R),37310,1941,1205,569,202,13872
Whitsunday (R),37340,2562,1624,592,185,16453
Diamantina (S),32750,22,5,0,0,138
Clare and Gilbert Valleys (DC),41140,852,599,222,82,4096
Doomadgee (S),32770,26,3,3,0,213
Douglas (S),32810,1206,720,317,94,6277
Etheridge (S),33100,55,47,9,0,290
Flinders (S) (Qld),33200,82,61,21,10,542
Fraser Coast (R),33220,8803,7702,3636,1050,45433
Gladstone (R),33360,4011,1893,714,194,27378
Gold Coast (C),33430,39409,28086,13185,5597,276431
Goondiwindi (R),33610,664,420,211,64,4262
Gympie (R),33620,4331,3343,1392,440,21579
Hinchinbrook (S),33800,909,615,358,117,4486
Hope Vale (S),33830,34,20,8,0,330
Ipswich (C),33960,10348,5788,2655,799,81434
Isaac (R),33980,1021,348,83,24,9523
Kowanyama (S),34420,33,6,0,0,226
Livingstone (S),34530,3119,1938,843,335,16916
Lockhart River (S),34570,21,11,0,0,225
Lockyer Valley (R),34580,2506,1741,691,219,16094
Logan (C),34590,17574,10813,4009,1207,125686
Winton (S),37400,69,75,32,9,458
Woorabinda (S),37550,38,9,0,0,246
Anangu Pitjantjatjara (AC),40250,98,29,11,7,721
Barossa (DC),40310,2033,1298,538,246,10801
Wujal Wujal (S),37570,12,0,0,0,86
Yarrabah (S),37600,60,18,3,0,605
No usual address (Qld),39499,1426,1050,215,24,7409
Migratory - Offshore - Shipping (Qld),39799,15,15,6,3,71
Barunga West (DC),40430,194,183,94,37,992
Berri and Barmera (DC),40520,782,520,245,109,4196
Burnside (C),40700,4437,3500,1719,904,24783
Campbelltown (C) (SA),40910,3266,2346,1486,541,23970
Ceduna (DC),41010,235,134,43,34,1388
Charles Sturt (C),41060,7750,4978,2585,1155,52665
Cleve (DC),41190,121,76,27,24,691
Coober Pedy (DC),41330,156,132,61,6,872
Copper Coast (DC),41560,1123,984,487,206,5831
Elliston (DC),41750,99,41,21,13,407
Flinders Ranges (DC),41830,154,97,44,14,719
Franklin Harbour (DC),41960,104,82,19,18,509
Gawler (T),42030,1645,1094,611,273,9995
Goyder (DC),42110,375,255,113,20,1668
Grant (DC),42250,620,398,133,40,3670
Holdfast Bay (C),42600,3613,2632,1331,787,19684
Kangaroo Island (DC),42750,482,338,142,53,2197
Karoonda East Murray (DC),43080,71,61,23,9,384
Kimba (DC),43220,57,33,26,11,380
Kingston (DC) (SA),43360,175,151,74,30,948
Light (RegC),43650,1127,587,202,58,6323
Lower Eyre Peninsula (DC),43710,447,272,94,44,2501
Loxton Waikerie (DC),43790,808,570,270,132,4506
