lga_code16,sws_nni_h_0,sws_nni_h_1_15,sws_nni_h_16_24,sws_nni_h_25_34,sws_nni_h_35_39,sws_nni_h_40,sws_nni_h_41_48,sws_nni_h_49mo,sws_nni_h_ns,sws_nni_h_tot,sws_1_149_h_0,sws_1_149_h_1_15,sws_1_149_h_16_24,sws_1_149_h_25_34,sws_1_149_h_35_39,sws_1_149_h_40,sws_1_149_h_41_48,sws_1_149_h_49mo,sws_1_149_h_ns,sws_1_149_h_tot,sws_150_299_h_0,sws_150_299_h_1_15,sws_150_299_h_16_24,sws_150_299_h_25_34,sws_150_299_h_35_39,sws_150_299_h_40,sws_150_299_h_41_48,sws_150_299_h_49mo,sws_150_299_h_ns,sws_150_299_h_tot,sws_300_399_h_0,sws_300_399_h_1_15,sws_300_399_h_16_24,sws_300_399_h_25_34,sws_300_399_h_35_39,sws_300_399_h_40,sws_300_399_h_41_48,sws_300_399_h_49mo,sws_300_399_h_ns,sws_300_399_h_tot,sws_400_499_h_0,sws_400_499_h_1_15,sws_400_499_h_16_24,sws_400_499_h_25_34,sws_400_499_h_35_39,sws_400_499_h_40,sws_400_499_h_41_48,sws_400_499_h_49mo,sws_400_499_h_ns,sws_400_499_h_tot,sws_500_649_h_0,sws_500_649_h_1_15,sws_500_649_h_16_24,sws_500_649_h_25_34,sws_500_649_h_35_39,sws_500_649_h_40,sws_500_649_h_41_48,sws_500_649_h_49mo,sws_500_649_h_ns,sws_500_649_h_tot,sws_650_799_h_0,sws_650_799_h_1_15,sws_650_799_h_16_24,sws_650_799_h_25_34,sws_650_799_h_35_39,sws_650_799_h_40,sws_650_799_h_41_48,sws_650_799_h_49mo,sws_650_799_h_ns,sws_650_799_h_tot,sws_800_999_h_0,sws_800_999_h_1_15,sws_800_999_h_16_24,sws_800_999_h_25_34,sws_800_999_h_35_39,sws_800_999_h_40,sws_800_999_h_41_48,sws_800_999_h_49mo,sws_800_999_h_ns,sws_800_999_h_tot,sws_1000_1249_h_0,sws_1000_1249_h_1_15,sws_1000_1249_h_16_24,sws_1000_1249_h_25_34,sws_1000_1249_h_35_39,sws_1000_1249_h_40,sws_1000_1249_h_41_48,sws_1000_1249_h_49mo,sws_1000_1249_h_ns,sws_1000_1249_h_tot,sws_1250_1499_h_0,sws_1250_1499_h_1_15,sws_1250_1499_h_16_24,sws_1250_1499_h_25_34,sws_1250_1499_h_35_39,sws_1250_1499_h_40,sws_1250_1499_h_41_48,sws_1250_1499_h_49mo,sws_1250_1499_h_ns,sws_1250_1499_h_tot,sws_1500_1749_h_0,sws_1500_1749_h_1_15,sws_1500_1749_h_16_24,sws_1500_1749_h_25_34,sws_1500_1749_h_35_39,sws_1500_1749_h_40,sws_1500_1749_h_41_48,sws_1500_1749_h_49mo,sws_1500_1749_h_ns,sws_1500_1749_h_tot,sws_1750_1999_h_0,sws_1750_1999_h_1_15,sws_1750_1999_h_16_24,sws_1750_1999_h_25_34,sws_1750_1999_h_35_39,sws_1750_1999_h_40,sws_1750_1999_h_41_48,sws_1750_1999_h_49mo,sws_1750_1999_h_ns,sws_1750_1999_h_tot,sws_2000_2999_h_0,sws_2000_2999_h_1_15,sws_2000_2999_h_16_24,sws_2000_2999_h_25_34,sws_2000_2999_h_35_39,sws_2000_2999_h_40,sws_2000_2999_h_41_48,sws_2000_2999_h_49mo,sws_2000_2999_h_ns,sws_2000_2999_h_tot,sws_3000mo_h_0,sws_3000mo_h_1_15,sws_3000mo_h_16_24,sws_3000mo_h_25_34,sws_3000mo_h_35_39,sws_3000mo_h_40,sws_3000mo_h_41_48,sws_3000mo_h_49mo,sws_3000mo_h_ns,sws_3000mo_h_tot,sws_pins_h_0,sws_pins_h_1_15,sws_pins_h_16_24,sws_pins_h_25_34,sws_pins_h_35_39,sws_pins_h_40,sws_pins_h_41_48,sws_pins_h_49mo,sws_pins_h_ns,sws_pins_h_tot,sws_tot_h_0,sws_tot_h_1_15,sws_tot_h_16_24,sws_tot_h_25_34,sws_tot_h_35_39,sws_tot_h_40,sws_tot_h_41_48,sws_tot_h_49mo,sws_tot_h_ns,sws_tot_h_tot,maopd_nni_h_0,maopd_nni_h_1_15,maopd_nni_h_16_24,maopd_nni_h_25_34,maopd_nni_h_35_39,maopd_nni_h_40,maopd_nni_h_41_48,maopd_nni_h_49mo,maopd_nni_h_ns,maopd_nni_h_tot,maopd_1_149_h_0,maopd_1_149_h_1_15,maopd_1_149_h_16_24,maopd_1_149_h_25_34,maopd_1_149_h_35_39,maopd_1_149_h_40,maopd_1_149_h_41_48,maopd_1_149_h_49mo,maopd_1_149_h_ns,maopd_1_149_h_tot,maopd_150_299_h_0,maopd_150_299_h_1_15,maopd_150_299_h_16_24,maopd_150_299_h_25_34,maopd_150_299_h_35_39,maopd_150_299_h_40,maopd_150_299_h_41_48,maopd_150_299_h_49mo,maopd_150_299_h_ns,maopd_150_299_h_tot,maopd_300_399_h_0,maopd_300_399_h_1_15,maopd_300_399_h_16_24,maopd_300_399_h_25_34,maopd_300_399_h_35_39,maopd_300_399_h_40,maopd_300_399_h_41_48,maopd_300_399_h_49mo,maopd_300_399_h_ns,maopd_300_399_h_tot,lga_name16
10050,3,9,3,0,3,0,0,0,0,27,30,410,22,4,0,3,0,0,10,472,16,199,60,21,3,0,0,0,11,301,9,105,81,26,10,3,3,0,3,246,17,56,123,78,16,5,5,0,3,305,16,41,79,161,62,22,3,9,3,393,14,17,33,117,154,51,24,17,0,434,12,14,18,33,117,66,53,27,0,330,8,4,6,17,38,53,44,48,4,214,6,0,8,5,23,37,23,29,0,126,3,0,0,3,10,16,13,21,0,72,0,0,0,0,8,18,3,18,0,43,0,0,0,0,3,12,14,21,0,50,0,0,3,0,0,3,0,11,0,26,3,21,4,5,8,5,0,3,6,57,137,871,435,472,446,293,185,215,39,3095,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,21,0,14,6,3,3,0,0,0,0,22,0,25,8,4,0,6,0,0,0,45,Albury (C)
10130,7,7,0,0,0,0,0,0,0,21,13,167,13,4,0,0,0,0,4,204,13,87,31,6,3,3,0,0,6,151,7,43,38,5,7,0,0,3,0,107,0,37,64,36,11,0,0,0,0,154,8,23,45,69,32,14,3,3,0,189,6,5,21,59,68,19,4,14,5,195,0,3,9,13,60,23,22,5,0,133,4,0,0,4,13,5,12,15,0,56,0,0,0,3,4,7,7,9,0,29,0,0,0,0,6,3,3,8,0,28,0,0,0,0,3,5,4,4,0,13,0,0,0,0,0,3,0,5,0,19,0,0,0,4,0,0,0,8,0,15,0,4,3,0,0,3,0,0,0,20,57,394,224,199,209,81,59,87,19,1331,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,7,0,11,3,0,0,0,0,0,0,11,3,20,4,3,0,0,0,0,0,34,Armidale Regional (A)
10250,3,6,4,0,0,3,0,0,0,14,18,234,8,3,0,0,0,0,3,268,9,83,30,10,0,0,3,0,0,133,9,52,36,25,7,3,0,8,0,138,3,45,69,41,4,6,0,6,0,183,5,29,47,89,29,10,4,3,3,228,16,12,29,68,76,31,18,14,0,260,10,4,8,27,72,34,15,27,3,188,0,3,4,7,30,20,15,13,0,99,0,0,3,3,4,10,8,16,0,47,0,0,3,0,4,6,8,18,0,41,0,0,0,0,0,0,5,9,0,20,0,0,3,0,4,0,6,14,0,25,0,0,0,0,3,6,0,14,0,26,3,7,7,4,0,3,3,0,4,28,73,473,251,287,239,139,69,139,20,1693,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,12,0,8,4,3,0,0,0,0,0,19,0,13,3,8,4,0,0,0,0,25,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,9,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,Balranald (A)
10470,0,5,0,0,0,0,0,3,0,13,20,226,8,0,3,0,3,3,4,266,14,118,25,14,0,0,0,4,7,186,5,67,53,20,8,0,0,3,3,164,4,49,70,41,12,3,0,5,3,194,7,32,67,84,36,15,7,3,3,268,7,10,13,52,127,30,17,10,3,273,11,0,16,22,79,34,28,22,7,219,11,0,5,9,31,30,15,15,4,110,0,0,3,0,10,18,3,15,0,54,0,0,3,0,0,3,4,12,3,34,0,0,0,0,3,7,8,12,0,20,0,0,0,0,3,4,5,13,0,25,0,3,0,0,3,0,0,10,0,16,0,8,5,3,6,0,0,0,3,28,91,534,258,250,324,138,104,124,40,1866,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,4,0,10,0,0,3,0,0,0,0,14,0,6,7,7,0,0,0,3,0,29,Bathurst Regional (A)
10550,0,13,0,0,0,0,0,3,0,15,13,161,3,3,0,0,4,0,4,190,4,73,27,9,3,3,0,0,4,123,9,33,32,19,3,9,0,3,0,112,5,35,60,38,11,4,7,4,0,175,10,22,41,81,34,18,0,9,3,214,8,9,18,58,78,24,23,8,0,231,3,3,7,13,41,13,19,21,0,123,0,0,3,10,14,16,19,11,0,74,0,5,0,3,9,10,7,11,0,47,0,0,0,3,0,3,0,11,0,22,0,0,0,0,0,3,0,8,0,11,0,5,0,0,0,3,0,5,0,15,0,0,0,0,0,0,0,3,0,8,4,10,3,0,0,0,3,4,3,24,62,365,201,246,196,107,82,97,16,1371,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,5,0,3,8,0,3,0,0,0,0,22,Bega Valley (A)
10600,0,3,0,0,0,0,0,0,0,4,0,36,0,0,0,0,0,0,3,37,0,19,6,0,0,0,0,0,0,25,0,13,3,8,0,0,0,0,0,32,0,8,7,9,4,0,0,5,3,40,3,4,6,15,5,3,0,3,0,49,0,0,4,15,13,3,3,3,0,41,0,0,0,9,6,5,0,3,0,23,0,0,0,0,6,3,3,0,0,16,0,0,0,0,3,0,0,0,0,11,0,0,0,0,4,3,0,3,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,9,86,31,64,47,22,12,19,10,304,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,4,3,0,0,0,0,0,12,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,25,0,5,8,0,0,0,0,0,0,10,3,4,5,3,0,0,0,0,0,19,3,5,9,3,0,0,0,0,0,17,0,9,11,11,4,3,0,3,0,34,0,0,0,8,8,3,0,0,0,22,0,0,5,0,10,7,3,0,0,23,0,0,0,0,0,3,0,3,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,3,6,7,54,38,26,21,19,9,21,7,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4,Berrigan (A)
10750,17,63,9,5,6,4,0,4,9,127,95,1263,104,16,3,3,3,3,25,1525,53,743,286,62,7,4,0,3,20,1192,20,326,381,114,22,12,5,6,17,906,20,142,337,208,62,27,9,17,14,827,27,101,282,387,170,71,21,33,15,1097,33,60,101,260,413,161,51,45,24,1146,26,30,47,123,399,254,94,94,15,1088,17,13,29,48,235,274,118,115,4,846,8,8,15,18,132,169,74,117,5,544,5,7,10,12,77,157,69,103,8,442,0,3,5,6,45,76,37,68,3,244,5,12,3,3,36,79,59,131,3,330,0,3,0,3,10,34,10,76,0,150,6,36,22,15,13,16,13,13,25,153,331,2805,1631,1276,1631,1350,560,831,189,10620,8,10,9,5,9,4,0,6,3,55,7,58,12,3,5,7,0,3,0,98,6,93,51,20,15,11,0,3,8,212,11,79,115,47,45,20,3,6,9,331,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,18,0,6,3,0,0,5,0,3,0,14,0,5,4,3,0,0,0,0,0,11,0,0,6,5,0,0,0,0,0,15,0,3,7,8,5,0,0,0,0,25,0,0,3,3,5,4,0,0,0,24,0,0,0,0,0,3,0,3,0,15,3,0,0,0,4,7,0,0,0,11,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,9,32,30,19,22,25,9,15,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,13,Bland (A)
