lga_code16,ci_ii_2000_2999_mng,ci_ii_2000_2999_pro,ci_ii_2000_2999_tectw,ci_ii_2000_2999_copsw,ci_ii_2000_2999_claw,ci_ii_2000_2999_swks,ci_ii_2000_2999_maopdv,ci_ii_2000_2999_lab,ci_ii_2000_2999_idns,ci_ii_2000_2999_tot,ci_ii_3000mo_mng,ci_ii_3000mo_pro,ci_ii_3000mo_tectw,ci_ii_3000mo_copsw,ci_ii_3000mo_claw,ci_ii_3000mo_swks,ci_ii_3000mo_maopdv,ci_ii_3000mo_lab,ci_ii_3000mo_idns,ci_ii_3000mo_tot,ci_ii_pins_mng,ci_ii_pins_pro,ci_ii_pins_tectw,ci_ii_pins_copsw,ci_ii_pins_claw,ci_ii_pins_swks,ci_ii_pins_maopdv,ci_ii_pins_lab,ci_ii_pins_idns,ci_ii_pins_tot,ci_ii_tot_mng,ci_ii_tot_pro,ci_ii_tot_tectw,ci_ii_tot_copsw,ci_ii_tot_claw,ci_ii_tot_swks,ci_ii_tot_maopdv,ci_ii_tot_lab,ci_ii_tot_idns,ci_ii_tot_tot,le_idns_nni_mng,le_idns_nni_pro,le_idns_nni_tectw,le_idns_nni_copsw,le_idns_nni_claw,le_idns_nni_swks,le_idns_nni_maopdv,le_idns_nni_lab,le_idns_nni_idns,le_idns_nni_tot,le_idns_1_149_mng,le_idns_1_149_pro,le_idns_1_149_tectw,le_idns_1_149_copsw,le_idns_1_149_claw,le_idns_1_149_swks,le_idns_1_149_maopdv,le_idns_1_149_lab,le_idns_1_149_idns,le_idns_1_149_tot,le_idns_150_299_mng,le_idns_150_299_pro,le_idns_150_299_tectw,le_idns_150_299_copsw,le_idns_150_299_claw,le_idns_150_299_swks,le_idns_150_299_maopdv,le_idns_150_299_lab,le_idns_150_299_idns,le_idns_150_299_tot,le_idns_300_399_mng,le_idns_300_399_pro,le_idns_300_399_tectw,le_idns_300_399_copsw,le_idns_300_399_claw,le_idns_300_399_swks,le_idns_300_399_maopdv,le_idns_300_399_lab,le_idns_300_399_idns,le_idns_300_399_tot,le_idns_400_499_mng,le_idns_400_499_pro,le_idns_400_499_tectw,le_idns_400_499_copsw,le_idns_400_499_claw,le_idns_400_499_swks,le_idns_400_499_maopdv,le_idns_400_499_lab,le_idns_400_499_idns,le_idns_400_499_tot,le_idns_500_649_mng,le_idns_500_649_pro,le_idns_500_649_tectw,le_idns_500_649_copsw,le_idns_500_649_claw,le_idns_500_649_swks,le_idns_500_649_maopdv,le_idns_500_649_lab,le_idns_500_649_idns,le_idns_500_649_tot,le_idns_650_799_mng,le_idns_650_799_pro,le_idns_650_799_tectw,le_idns_650_799_copsw,le_idns_650_799_claw,le_idns_650_799_swks,le_idns_650_799_maopdv,le_idns_650_799_lab,le_idns_650_799_idns,le_idns_650_799_tot,le_idns_800_999_mng,le_idns_800_999_pro,le_idns_800_999_tectw,le_idns_800_999_copsw,le_idns_800_999_claw,le_idns_800_999_swks,le_idns_800_999_maopdv,le_idns_800_999_lab,le_idns_800_999_idns,le_idns_800_999_tot,le_idns_1000_1249_mng,le_idns_1000_1249_pro,le_idns_1000_1249_tectw,le_idns_1000_1249_copsw,le_idns_1000_1249_claw,le_idns_1000_1249_swks,le_idns_1000_1249_maopdv,le_idns_1000_1249_lab,le_idns_1000_1249_idns,le_idns_1000_1249_tot,le_idns_1250_1499_mng,le_idns_1250_1499_pro,le_idns_1250_1499_tectw,le_idns_1250_1499_copsw,le_idns_1250_1499_claw,le_idns_1250_1499_swks,le_idns_1250_1499_maopdv,le_idns_1250_1499_lab,le_idns_1250_1499_idns,le_idns_1250_1499_tot,le_idns_1500_1749_mng,le_idns_1500_1749_pro,le_idns_1500_1749_tectw,le_idns_1500_1749_copsw,le_idns_1500_1749_claw,le_idns_1500_1749_swks,le_idns_1500_1749_maopdv,le_idns_1500_1749_lab,le_idns_1500_1749_idns,le_idns_1500_1749_tot,le_idns_1750_1999_mng,le_idns_1750_1999_pro,le_idns_1750_1999_tectw,le_idns_1750_1999_copsw,le_idns_1750_1999_claw,le_idns_1750_1999_swks,le_idns_1750_1999_maopdv,le_idns_1750_1999_lab,le_idns_1750_1999_idns,le_idns_1750_1999_tot,le_idns_2000_2999_mng,le_idns_2000_2999_pro,le_idns_2000_2999_tectw,le_idns_2000_2999_copsw,le_idns_2000_2999_claw,le_idns_2000_2999_swks,le_idns_2000_2999_maopdv,le_idns_2000_2999_lab,le_idns_2000_2999_idns,le_idns_2000_2999_tot,le_idns_3000mo_mng,le_idns_3000mo_pro,le_idns_3000mo_tectw,le_idns_3000mo_copsw,le_idns_3000mo_claw,le_idns_3000mo_swks,le_idns_3000mo_maopdv,le_idns_3000mo_lab,le_idns_3000mo_idns,le_idns_3000mo_tot,le_idns_pins_mng,le_idns_pins_pro,le_idns_pins_tectw,le_idns_pins_copsw,le_idns_pins_claw,le_idns_pins_swks,le_idns_pins_maopdv,le_idns_pins_lab,le_idns_pins_idns,le_idns_pins_tot,le_idns_tot_mng,le_idns_tot_pro,le_idns_tot_tectw,le_idns_tot_copsw,le_idns_tot_claw,le_idns_tot_swks,le_idns_tot_maopdv,le_idns_tot_lab,le_idns_tot_idns,le_idns_tot_tot,lga_name16
10050,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,29,25,31,71,123,75,38,59,8,453,0,0,0,0,0,3,0,0,0,3,3,3,0,0,3,8,3,12,0,27,0,0,0,3,8,5,3,6,0,35,5,0,5,6,0,8,0,11,0,38,0,4,4,4,9,4,0,14,0,51,3,6,10,9,15,11,4,13,4,81,7,12,14,7,17,15,9,13,0,93,9,10,11,18,14,10,7,10,7,96,10,14,10,9,13,5,3,5,6,78,5,9,5,0,11,3,4,0,0,36,4,12,3,0,4,0,4,0,0,27,5,8,0,4,3,0,3,0,3,32,6,7,0,0,0,0,0,0,0,19,3,6,0,0,0,0,0,0,0,15,0,3,0,3,0,8,0,8,22,53,70,98,64,70,101,84,50,92,48,680,Albury (C)
10130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,8,27,17,19,29,44,35,8,32,0,208,3,0,0,0,0,0,0,0,0,10,0,3,0,0,3,4,0,3,0,11,0,3,0,0,5,0,0,4,3,17,6,0,0,3,0,6,3,3,0,20,8,0,3,0,6,4,0,10,0,37,7,4,10,5,6,3,0,13,3,50,10,3,7,9,3,3,3,10,3,54,3,5,5,3,15,7,3,8,0,43,8,14,5,7,7,0,4,0,0,43,0,7,3,3,6,0,0,3,0,23,7,7,0,0,3,0,0,0,0,20,0,6,0,0,0,0,0,0,0,5,6,3,0,0,5,0,0,0,0,8,3,6,0,0,0,0,0,0,0,10,4,3,3,4,0,0,0,10,4,31,68,64,31,46,56,27,15,58,23,391,Armidale Regional (A)
10250,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,9,13,36,56,37,14,39,7,234,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,5,0,14,0,0,0,4,0,3,0,3,0,17,3,0,4,3,3,10,0,3,3,31,3,5,6,11,9,4,0,4,3,36,0,10,7,15,11,7,5,7,3,59,6,4,10,13,10,3,6,16,3,70,3,4,3,7,5,5,5,7,3,40,6,8,7,8,8,0,5,0,5,42,5,7,3,0,3,0,3,0,0,25,0,3,0,0,6,0,0,0,0,12,3,4,0,0,0,3,0,0,0,11,3,11,0,0,0,0,0,0,0,18,0,4,0,0,3,0,0,0,0,11,0,5,8,6,6,3,3,5,6,39,43,64,40,64,62,48,34,48,32,436,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,4,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,5,4,0,4,7,0,33,Balranald (A)
10470,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,23,24,45,90,57,20,51,0,342,3,0,0,0,0,0,0,0,0,4,3,0,4,3,3,3,0,7,0,22,4,0,5,8,0,5,0,5,0,27,6,5,3,7,3,3,3,7,0,40,0,0,3,8,3,12,0,12,0,38,4,10,7,7,9,11,3,6,3,51,6,4,6,12,5,10,8,20,3,70,9,6,6,11,15,7,9,7,3,76,9,6,3,0,5,3,3,6,0,38,9,6,4,3,3,3,0,3,0,32,0,17,6,3,3,0,0,4,0,31,4,5,0,6,3,0,0,3,0,17,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,15,10,3,8,3,5,3,0,3,8,42,73,61,55,66,62,59,30,85,31,522,Bathurst Regional (A)
10550,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,14,33,50,39,10,42,0,229,8,0,0,0,0,0,0,3,0,11,0,0,0,0,3,10,0,8,0,23,3,3,0,0,0,3,0,10,0,22,5,0,6,3,0,5,0,4,0,30,3,3,3,8,0,11,4,4,0,34,3,7,3,10,7,8,3,7,0,55,9,10,13,5,5,11,5,6,0,73,11,8,3,7,9,6,4,16,0,66,6,6,4,0,13,0,3,3,0,46,4,3,4,0,0,3,3,0,3,23,4,3,3,0,3,0,0,0,0,17,3,3,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,3,4,0,3,3,0,3,7,21,67,50,47,56,48,58,22,64,19,437,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,16,18,10,3,16,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3,10,0,0,0,0,5,0,0,0,0,8,0,0,3,3,3,3,0,5,0,16,10,0,3,3,3,0,0,0,0,21,0,0,3,0,0,0,3,3,0,10,3,3,3,0,0,0,4,3,0,19,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,8,22,15,15,12,18,11,7,20,8,122,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,5,12,0,0,3,0,39,3,0,0,0,0,0,0,0,0,5,0,0,0,7,0,3,0,0,0,6,3,0,0,0,0,0,0,0,3,10,0,0,0,6,0,3,0,3,0,12,0,3,0,0,0,0,0,3,0,12,3,3,4,3,0,0,0,0,0,22,0,3,3,3,0,3,0,0,0,12,3,0,3,3,7,0,0,5,0,19,0,0,0,0,0,0,0,5,0,9,3,0,0,3,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,10,19,17,23,23,12,12,13,20,5,147,Berrigan (A)
10750,10,3,0,0,3,0,9,3,0,28,0,3,0,0,3,0,3,0,0,12,0,0,0,0,9,0,0,3,0,15,101,63,74,159,317,166,220,154,18,1277,3,0,0,3,3,7,0,0,19,34,0,5,3,12,6,12,0,13,4,62,7,10,11,10,13,24,12,21,12,114,7,10,13,22,8,32,14,27,16,139,8,9,18,22,16,28,19,31,10,159,18,22,27,55,43,29,31,56,14,286,29,23,46,50,64,33,98,78,22,439,26,36,51,32,80,35,142,69,32,496,48,50,57,43,78,23,96,40,16,454,26,39,20,14,51,18,57,15,9,238,25,31,21,15,19,13,28,6,10,165,29,40,16,4,17,4,19,7,7,132,37,39,13,10,19,5,14,7,11,145,21,20,3,0,4,7,10,0,8,66,14,23,14,13,14,12,31,27,93,235,290,352,301,291,430,278,555,400,280,3177,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,7,16,6,4,15,0,56,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,6,0,10,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,7,5,3,0,0,3,0,3,8,0,24,7,0,3,0,0,3,0,0,0,10,3,0,0,0,0,0,0,4,3,14,10,0,0,0,3,0,0,0,0,11,3,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,5,10,44,5,9,10,11,7,8,22,10,124,Bland (A)
