lga_code16,ng_nni_mng,ng_nni_pro,ng_nni_tectw,ng_nni_copsw,ng_nni_claw,ng_nni_swks,ng_nni_maopdv,ng_nni_lab,ng_nni_idns,ng_nni_tot,ng_1_149_mng,ng_1_149_pro,ng_1_149_tectw,ng_1_149_copsw,ng_1_149_claw,ng_1_149_swks,ng_1_149_maopdv,ng_1_149_lab,ng_1_149_idns,ng_1_149_tot,ng_150_299_mng,ng_150_299_pro,ng_150_299_tectw,ng_150_299_copsw,ng_150_299_claw,ng_150_299_swks,ng_150_299_maopdv,ng_150_299_lab,ng_150_299_idns,ng_150_299_tot,ng_300_399_mng,ng_300_399_pro,ng_300_399_tectw,ng_300_399_copsw,ng_300_399_claw,ng_300_399_swks,ng_300_399_maopdv,ng_300_399_lab,ng_300_399_idns,ng_300_399_tot,ng_400_499_mng,ng_400_499_pro,ng_400_499_tectw,ng_400_499_copsw,ng_400_499_claw,ng_400_499_swks,ng_400_499_maopdv,ng_400_499_lab,ng_400_499_idns,ng_400_499_tot,ng_500_649_mng,ng_500_649_pro,ng_500_649_tectw,ng_500_649_copsw,ng_500_649_claw,ng_500_649_swks,ng_500_649_maopdv,ng_500_649_lab,ng_500_649_idns,ng_500_649_tot,ng_650_799_mng,ng_650_799_pro,ng_650_799_tectw,ng_650_799_copsw,ng_650_799_claw,ng_650_799_swks,ng_650_799_maopdv,ng_650_799_lab,ng_650_799_idns,ng_650_799_tot,ng_800_999_mng,ng_800_999_pro,ng_800_999_tectw,ng_800_999_copsw,ng_800_999_claw,ng_800_999_swks,ng_800_999_maopdv,ng_800_999_lab,ng_800_999_idns,ng_800_999_tot,ng_1000_1249_mng,ng_1000_1249_pro,ng_1000_1249_tectw,ng_1000_1249_copsw,ng_1000_1249_claw,ng_1000_1249_swks,ng_1000_1249_maopdv,ng_1000_1249_lab,ng_1000_1249_idns,ng_1000_1249_tot,ng_1250_1499_mng,ng_1250_1499_pro,ng_1250_1499_tectw,ng_1250_1499_copsw,ng_1250_1499_claw,ng_1250_1499_swks,ng_1250_1499_maopdv,ng_1250_1499_lab,ng_1250_1499_idns,ng_1250_1499_tot,ng_1500_1749_mng,ng_1500_1749_pro,ng_1500_1749_tectw,ng_1500_1749_copsw,ng_1500_1749_claw,ng_1500_1749_swks,ng_1500_1749_maopdv,ng_1500_1749_lab,ng_1500_1749_idns,ng_1500_1749_tot,ng_1750_1999_mng,ng_1750_1999_pro,ng_1750_1999_tectw,ng_1750_1999_copsw,ng_1750_1999_claw,ng_1750_1999_swks,ng_1750_1999_maopdv,ng_1750_1999_lab,ng_1750_1999_idns,ng_1750_1999_tot,ng_2000_2999_mng,ng_2000_2999_pro,ng_2000_2999_tectw,ng_2000_2999_copsw,ng_2000_2999_claw,ng_2000_2999_swks,ng_2000_2999_maopdv,ng_2000_2999_lab,ng_2000_2999_idns,ng_2000_2999_tot,ng_3000mo_mng,ng_3000mo_pro,ng_3000mo_tectw,ng_3000mo_copsw,ng_3000mo_claw,ng_3000mo_swks,ng_3000mo_maopdv,ng_3000mo_lab,ng_3000mo_idns,ng_3000mo_tot,ng_pins_mng,ng_pins_pro,ng_pins_tectw,ng_pins_copsw,ng_pins_claw,ng_pins_swks,ng_pins_maopdv,ng_pins_lab,ng_pins_idns,ng_pins_tot,ng_tot_mng,ng_tot_pro,ng_tot_tectw,ng_tot_copsw,ng_tot_claw,ng_tot_swks,ng_tot_maopdv,ng_tot_lab,ng_tot_idns,ng_tot_tot,sg_nni_mng,sg_nni_pro,sg_nni_tectw,sg_nni_copsw,sg_nni_claw,sg_nni_swks,sg_nni_maopdv,sg_nni_lab,sg_nni_idns,sg_nni_tot,sg_1_149_mng,sg_1_149_pro,sg_1_149_tectw,sg_1_149_copsw,sg_1_149_claw,sg_1_149_swks,sg_1_149_maopdv,sg_1_149_lab,sg_1_149_idns,sg_1_149_tot,sg_150_299_mng,sg_150_299_pro,sg_150_299_tectw,sg_150_299_copsw,sg_150_299_claw,sg_150_299_swks,sg_150_299_maopdv,sg_150_299_lab,sg_150_299_idns,sg_150_299_tot,sg_300_399_mng,sg_300_399_pro,sg_300_399_tectw,sg_300_399_copsw,sg_300_399_claw,sg_300_399_swks,sg_300_399_maopdv,sg_300_399_lab,sg_300_399_idns,sg_300_399_tot,lga_name16
10050,0,0,0,0,3,0,0,0,0,6,0,0,0,4,4,0,0,0,0,10,0,8,0,0,15,0,0,3,0,26,0,0,0,4,27,0,0,0,0,28,0,6,0,4,57,3,0,3,0,79,0,15,0,0,84,0,0,3,5,108,0,18,0,3,77,5,0,3,0,113,3,23,6,5,111,6,3,5,8,170,9,41,7,13,165,0,3,0,10,252,9,84,4,3,153,0,0,0,10,261,22,69,3,6,59,0,0,0,8,167,20,64,4,3,16,0,0,0,4,108,43,70,3,0,18,0,0,0,3,133,4,12,0,0,0,0,0,0,0,19,0,3,0,0,8,0,0,0,0,10,106,423,37,55,794,18,8,16,45,1488,0,0,0,0,0,0,0,0,0,7,0,6,0,6,0,0,0,4,0,11,0,9,0,7,3,0,0,3,0,22,0,9,0,12,10,0,0,9,0,29,Albury (C)
10130,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,24,0,30,0,0,11,0,0,4,0,46,0,23,3,3,6,0,0,0,0,35,0,27,3,0,7,0,0,0,0,45,0,38,0,0,23,0,0,0,0,69,5,23,3,3,19,3,0,4,0,57,8,36,11,5,35,3,0,0,0,95,4,58,27,12,87,0,0,0,0,193,16,68,35,10,79,0,0,0,0,205,26,132,15,4,41,0,0,0,7,231,21,122,5,4,16,0,0,0,0,163,34,231,5,3,5,0,0,0,0,277,29,53,0,0,3,0,0,0,0,86,0,3,0,0,3,0,0,0,0,11,146,854,103,48,342,11,0,13,11,1536,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,6,0,0,0,7,0,0,0,5,0,13,0,10,0,8,10,0,0,3,0,29,Armidale Regional (A)
10250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,5,0,0,6,0,0,0,0,15,0,3,0,0,7,0,0,0,0,16,0,4,0,3,19,0,0,0,0,23,3,3,0,0,12,0,0,0,0,23,3,10,0,4,0,0,0,0,0,13,4,8,0,0,7,0,0,0,0,13,3,4,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,31,0,14,70,6,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,11,0,4,0,5,4,0,0,7,0,16,0,4,0,9,0,0,0,5,0,25,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,0,0,0,0,0,0,0,0,0,5,0,6,0,3,0,0,0,0,0,14,0,10,3,5,7,0,0,0,0,26,0,9,0,3,3,0,0,0,0,12,0,7,0,7,5,0,0,0,0,27,0,17,0,4,14,0,0,4,0,50,0,13,3,3,11,0,0,3,4,41,0,28,9,5,28,0,0,3,0,77,9,40,19,9,56,5,0,0,0,133,15,46,7,5,53,0,0,0,0,122,11,62,7,9,17,0,0,0,0,110,8,61,6,5,7,0,0,0,0,88,25,91,3,0,10,0,0,0,3,131,17,18,0,0,0,0,0,0,0,40,0,8,0,0,7,0,0,0,0,12,83,416,53,62,224,12,7,15,16,887,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,11,0,4,0,12,0,0,0,3,0,19,3,11,0,4,0,0,0,3,0,21,Bathurst Regional (A)
10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0,0,8,0,3,0,0,3,0,0,0,0,10,0,0,0,0,5,3,0,0,0,6,0,0,0,0,11,3,0,0,0,8,0,4,0,0,10,0,0,0,0,17,0,5,0,3,10,0,0,0,0,29,8,10,0,3,11,0,0,0,0,26,0,3,0,0,0,0,0,0,0,10,3,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,43,0,9,58,6,3,0,7,143,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,0,3,0,7,4,0,0,0,0,14,0,8,0,6,6,0,0,0,0,16,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,5,12,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,5,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,10,Berrigan (A)
10750,0,0,0,0,3,0,0,0,0,4,0,5,0,0,3,0,0,0,0,6,0,0,0,0,10,0,0,0,3,14,0,4,0,0,3,0,0,0,0,6,0,5,0,6,14,4,4,0,0,28,0,7,0,3,29,6,0,0,0,53,0,13,4,0,50,4,10,0,0,82,7,14,0,3,92,10,14,3,0,145,3,31,16,8,117,7,15,3,3,197,11,40,7,14,125,0,0,0,3,200,7,50,0,5,40,0,4,0,3,113,7,23,3,3,15,0,0,0,0,48,23,29,6,0,12,3,0,0,0,78,3,11,0,0,0,0,0,0,0,18,0,6,0,0,8,0,3,0,0,19,62,231,43,51,504,45,51,7,17,1018,3,6,0,3,0,0,0,0,0,17,0,5,3,11,12,0,0,3,0,38,0,28,3,44,15,0,0,12,0,101,0,38,0,57,13,0,0,10,0,127,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,Bland (A)
