lga_name_2016,lga_code_2016,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Albury (C),10050,96,7479,46,7614,35,1915,21,1971,125,4816,50,4990,46,1340,13,1401,32,888,9,930,6,127,4,134,27,496,1303,1828,366,17057,1441,18862,110,9182,53,9352,53,1935,16,1999,123,4746,38,4908,63,1305,16,1386,39,894,19,959,7,148,5,154,30,680,1302,2014,428,18889,1457,20776,202,16664,95,16963,86,3849,36,3968,245,9559,89,9899,108,2642,36,2784,72,1786,30,1891,12,273,5,287,61,1172,2613,3840,788,35944,2902,39638
Armidale Regional (A),10130,156,5416,31,5598,52,485,5,538,190,2178,26,2398,92,587,7,686,85,474,12,569,6,32,0,38,42,254,810,1106,622,9425,887,10936,216,6325,37,6584,56,501,3,558,176,2203,25,2410,93,560,7,666,62,442,10,508,4,32,0,40,55,302,841,1200,669,10360,925,11955,367,11747,67,12180,105,978,5,1094,370,4382,55,4806,190,1142,16,1352,143,911,27,1078,14,57,0,72,102,556,1647,2306,1289,19781,1816,22890
Ballina (A),10250,132,6599,33,6769,41,964,8,1012,125,4296,47,4472,45,1071,14,1126,38,710,12,752,5,33,3,43,26,539,990,1549,408,14208,1108,15722,142,7442,38,7622,46,965,12,1024,142,4871,38,5056,54,1257,11,1320,32,750,10,793,7,42,0,45,25,678,1033,1734,446,16005,1141,17596,275,14041,75,14389,92,1933,18,2033,270,9175,90,9527,90,2332,24,2451,68,1456,22,1544,7,75,3,88,53,1217,2023,3287,854,30218,2243,33315
Balranald (A),10300,6,200,3,208,0,89,0,92,16,217,3,236,7,97,0,102,17,83,0,99,0,7,0,7,3,39,88,131,60,724,96,880,17,280,3,297,4,97,0,100,17,169,0,179,10,55,0,68,8,67,0,73,0,6,0,6,3,31,82,119,56,702,88,849,25,474,9,503,4,185,0,192,34,381,3,414,15,153,0,167,25,148,3,180,0,15,0,15,7,72,170,248,119,1419,190,1728
Bathurst Regional (A),10470,159,6044,43,6246,59,871,15,949,156,4216,48,4418,59,965,9,1039,40,614,4,665,3,41,3,45,219,1001,1045,2260,708,13753,1163,15626,226,7378,51,7658,50,789,4,847,183,3956,45,4183,81,928,4,1018,35,594,8,636,3,47,0,51,40,390,1122,1547,623,14074,1243,15936,387,13419,95,13902,117,1662,22,1795,339,8171,95,8606,142,1897,18,2055,82,1208,14,1304,11,86,4,98,254,1383,2165,3806,1335,27825,2406,31563
Bega Valley (A),10550,74,4631,39,4754,25,1126,16,1170,79,3734,53,3858,39,1000,15,1057,46,720,13,771,3,30,0,29,15,470,904,1391,283,11709,1045,13030,97,5537,55,5690,30,1198,6,1235,97,3633,57,3790,35,915,12,966,31,638,15,686,3,24,0,24,25,583,930,1541,310,12533,1076,13927,170,10173,99,10445,52,2323,25,2404,176,7363,105,7647,74,1913,31,2020,70,1359,27,1454,4,56,0,56,40,1057,1835,2931,596,24244,2124,26959
Bellingen (A),10600,34,1777,21,1833,10,321,7,338,53,1381,21,1452,14,434,4,455,12,232,4,245,0,11,4,10,4,176,287,467,135,4326,343,4798,51,2265,30,2341,9,296,3,310,40,1355,12,1415,15,386,10,408,8,218,7,237,0,13,0,13,6,185,296,486,132,4712,361,5208,85,4038,49,4171,20,617,12,643,100,2739,30,2868,30,815,9,859,23,451,10,483,0,18,4,25,10,357,590,957,264,9038,706,10006
Berrigan (A),10650,13,876,3,888,7,404,10,425,16,890,9,916,17,381,8,400,9,276,9,292,0,14,0,12,3,144,291,442,59,2988,330,3375,23,1124,11,1154,3,447,6,453,12,810,13,838,9,260,9,275,6,217,9,233,0,9,0,9,3,144,314,459,56,3001,353,3416,28,2000,12,2047,12,847,18,878,28,1705,21,1748,27,641,14,677,11,492,19,523,0,24,0,25,8,290,603,901,114,5988,682,6787
Blacktown (C),10750,674,68452,306,69430,218,5703,39,5961,838,23313,162,24314,333,5485,49,5868,226,5178,55,5456,26,1138,4,1173,336,3723,5229,9285,2651,112998,5848,121497,856,71797,302,72957,290,5006,36,5324,917,22847,159,23925,394,5870,66,6330,234,6236,77,6550,22,1777,18,1823,168,3278,5312,8758,2882,116816,5977,125670,1531,140250,613,142391,508,10710,68,11285,1756,46158,322,48237,722,11355,118,12201,465,11415,132,12005,50,2918,28,2998,498,6998,10547,18047,5534,229811,11825,247169
Bland (A),10800,14,530,6,551,11,129,5,139,21,808,10,839,13,226,0,237,8,160,4,174,0,6,0,6,8,86,233,333,74,1948,265,2278,18,726,4,752,3,119,4,133,31,676,9,712,6,176,3,189,5,125,4,131,0,0,0,0,3,100,247,353,67,1926,275,2265,30,1256,9,1300,12,248,3,269,48,1488,17,1559,24,401,7,422,14,286,8,301,0,7,0,7,14,190,488,683,138,3874,537,4549
