lga_code16,p_philippines_e,p_philippines_om_ie,p_philippines_om_uie,p_philippines_cfw,p_philippines_es_ns,p_philippines_tot,p_poland_e,p_poland_om_ie,p_poland_om_uie,p_poland_cfw,p_poland_es_ns,p_poland_tot,p_singapore_e,p_singapore_om_ie,p_singapore_om_uie,p_singapore_cfw,p_singapore_es_ns,p_singapore_tot,p_sthafrica_e,p_sthafrica_om_ie,p_sthafrica_om_uie,p_sthafrica_cfw,p_sthafrica_es_ns,p_sthafrica_tot,p_srilanka_e,p_srilanka_om_ie,p_srilanka_om_uie,p_srilanka_cfw,p_srilanka_es_ns,p_srilanka_tot,p_thailand_e,p_thailand_om_ie,p_thailand_om_uie,p_thailand_cfw,p_thailand_es_ns,p_thailand_tot,p_turkey_e,p_turkey_om_ie,p_turkey_om_uie,p_turkey_cfw,p_turkey_es_ns,p_turkey_tot,p_uk_e,p_uk_om_ie,p_uk_om_uie,p_uk_cfw,p_uk_es_ns,p_uk_tot,p_usa_e,p_usa_om_ie,p_usa_om_uie,p_usa_cfw,p_usa_es_ns,p_usa_tot,p_vietnam_e,p_vietnam_om_ie,p_vietnam_om_uie,p_vietnam_cfw,p_vietnam_es_ns,p_vietnam_tot,p_zimbabwe_e,p_zimbabwe_om_ie,p_zimbabwe_om_uie,p_zimbabwe_cfw,p_zimbabwe_es_ns,p_zimbabwe_tot,p_elsewhere_e,p_elsewhere_om_ie,p_elsewhere_om_uie,p_elsewhere_cfw,p_elsewhere_es_ns,p_elsewhere_tot,p_cob_ns_e,p_cob_ns_om_ie,p_cob_ns_om_uie,p_cob_ns_cfw,p_cob_ns_es_ns,p_cob_ns_tot,p_tot_e,p_tot_om_ie,p_tot_om_uie,p_tot_cfw,p_tot_es_ns,p_tot_tot,lga_name16
10050,148,3,3,0,0,158,14,0,3,0,0,16,19,0,0,0,0,19,74,13,10,3,0,94,48,4,3,0,0,58,25,5,8,0,0,33,3,0,0,0,0,3,561,43,37,13,5,654,47,7,3,0,0,60,21,3,4,0,0,31,16,0,0,0,0,15,400,25,37,6,8,474,257,23,32,11,20,334,21280,1419,1605,299,212,24820,Albury (C)
10130,77,0,3,0,0,83,3,0,0,0,0,8,11,0,0,0,0,11,50,6,4,3,0,69,30,5,0,0,0,33,13,0,0,0,0,18,3,0,0,0,0,3,261,28,27,13,5,335,53,3,13,3,0,72,20,7,0,0,0,28,14,0,0,0,0,14,354,8,14,11,3,399,145,6,14,17,16,195,10721,696,1153,401,130,13097,Armidale Regional (A)
10250,53,0,3,0,3,58,7,0,3,0,0,9,6,0,0,0,0,7,59,14,21,4,0,98,7,0,0,0,0,10,24,0,7,0,0,34,3,0,0,0,0,4,372,53,85,18,4,534,38,3,18,0,0,64,7,3,3,0,0,15,14,3,3,0,0,19,157,21,43,9,6,239,174,25,39,8,17,261,11398,1109,1874,353,181,14913,Ballina (A)
10300,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24,15,0,0,5,3,29,545,80,104,61,13,795,Balranald (A)
10470,95,0,0,3,0,100,4,0,0,0,0,6,7,0,3,0,0,10,46,10,3,0,0,56,27,4,3,0,0,33,31,3,5,0,0,39,0,0,0,0,0,0,349,23,44,12,6,431,35,3,3,3,0,46,19,3,6,0,0,33,15,0,0,0,0,12,188,7,23,3,0,225,196,21,33,4,15,272,14588,976,1322,362,201,17455,Bathurst Regional (A)
10550,54,3,4,0,5,64,4,0,0,0,0,7,10,0,0,0,0,8,17,7,4,3,0,33,0,0,0,0,0,0,23,5,3,0,0,30,0,0,0,0,0,0,342,34,90,17,4,486,27,5,5,3,0,43,11,0,3,0,0,10,4,0,4,0,0,7,118,15,36,3,0,171,228,15,42,4,16,304,9000,900,1499,350,194,11940,Bega Valley (A)
10600,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,14,6,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,14,52,13,3,197,6,0,6,0,0,15,0,0,0,0,0,6,0,0,0,0,0,4,48,4,14,4,0,74,49,3,17,0,6,82,2479,222,676,168,70,3609,Bellingen (A)
10650,10,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31,5,7,4,0,53,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,3,0,19,49,3,10,6,0,70,1831,279,360,183,59,2709,Berrigan (A)
10750,4516,163,206,31,34,4944,252,18,25,0,0,299,111,10,8,0,0,134,706,56,38,4,8,804,917,103,102,18,14,1154,271,10,11,9,0,302,241,32,43,13,4,341,2746,212,156,24,22,3157,246,16,8,3,3,281,1241,77,111,31,26,1483,121,0,8,0,0,135,6574,536,654,105,92,7954,1018,91,82,16,80,1283,91085,6561,5723,984,999,105352,Blacktown (C)
10800,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,10,6,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,22,0,8,0,0,30,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,18,3,0,0,0,23,30,10,5,15,4,63,1697,157,481,233,40,2599,Bland (A)
