lga_code16,seo_agff_bf_91,seo_agff_91_95,seo_agff_96_00,seo_agff_01_05,seo_agff_06_10,seo_agff_11_15,seo_agff_2016,seo_agff_ns,seo_agff_tot,seo_min_bf_91,seo_min_91_95,seo_min_96_00,seo_min_01_05,seo_min_06_10,seo_min_11_15,seo_min_2016,seo_min_ns,seo_min_tot,seo_mnf_bf_91,seo_mnf_91_95,seo_mnf_96_00,seo_mnf_01_05,seo_mnf_06_10,seo_mnf_11_15,seo_mnf_2016,seo_mnf_ns,seo_mnf_tot,seo_egwws_bf_91,seo_egwws_91_95,seo_egwws_96_00,seo_egwws_01_05,seo_egwws_06_10,seo_egwws_11_15,seo_egwws_2016,seo_egwws_ns,seo_egwws_tot,seo_const_bf_91,seo_const_91_95,seo_const_96_00,seo_const_01_05,seo_const_06_10,seo_const_11_15,seo_const_2016,seo_const_ns,seo_const_tot,seo_wst_bf_91,seo_wst_91_95,seo_wst_96_00,seo_wst_01_05,seo_wst_06_10,seo_wst_11_15,seo_wst_2016,seo_wst_ns,seo_wst_tot,seo_rett_bf_91,seo_rett_91_95,seo_rett_96_00,seo_rett_01_05,seo_rett_06_10,seo_rett_11_15,seo_rett_2016,seo_rett_ns,seo_rett_tot,seo_acfd_bf_91,seo_acfd_91_95,seo_acfd_96_00,seo_acfd_01_05,seo_acfd_06_10,seo_acfd_11_15,seo_acfd_2016,seo_acfd_ns,seo_acfd_tot,seo_tpw_bf_91,seo_tpw_91_95,seo_tpw_96_00,seo_tpw_01_05,seo_tpw_06_10,seo_tpw_11_15,seo_tpw_2016,seo_tpw_ns,seo_tpw_tot,seo_imt_bf_91,seo_imt_91_95,seo_imt_96_00,seo_imt_01_05,seo_imt_06_10,seo_imt_11_15,seo_imt_2016,seo_imt_ns,seo_imt_tot,seo_finins_bf_91,seo_finins_91_95,seo_finins_96_00,seo_finins_01_05,seo_finins_06_10,seo_finins_11_15,seo_finins_2016,seo_finins_ns,seo_finins_tot,seo_rhre_bf_91,seo_rhre_91_95,seo_rhre_96_00,seo_rhre_01_05,seo_rhre_06_10,seo_rhre_11_15,seo_rhre_2016,seo_rhre_ns,seo_rhre_tot,seo_prosts_bf_91,seo_prosts_91_95,seo_prosts_96_00,seo_prosts_01_05,seo_prosts_06_10,seo_prosts_11_15,seo_prosts_2016,seo_prosts_ns,seo_prosts_tot,seo_adsup_bf_91,seo_adsup_91_95,seo_adsup_96_00,seo_adsup_01_05,seo_adsup_06_10,seo_adsup_11_15,seo_adsup_2016,seo_adsup_ns,seo_adsup_tot,seo_pubas_bf_91,seo_pubas_91_95,seo_pubas_96_00,seo_pubas_01_05,seo_pubas_06_10,seo_pubas_11_15,seo_pubas_2016,seo_pubas_ns,seo_pubas_tot,seo_edtrn_bf_91,seo_edtrn_91_95,seo_edtrn_96_00,seo_edtrn_01_05,seo_edtrn_06_10,seo_edtrn_11_15,seo_edtrn_2016,seo_edtrn_ns,seo_edtrn_tot,seo_hc_sa_bf_91,seo_hc_sa_91_95,seo_hc_sa_96_00,seo_hc_sa_01_05,seo_hc_sa_06_10,seo_hc_sa_11_15,seo_hc_sa_2016,seo_hc_sa_ns,seo_hc_sa_tot,seo_artsr_bf_91,seo_artsr_91_95,seo_artsr_96_00,seo_artsr_01_05,seo_artsr_06_10,seo_artsr_11_15,seo_artsr_2016,seo_artsr_ns,seo_artsr_tot,seo_othsvs_bf_91,seo_othsvs_91_95,seo_othsvs_96_00,seo_othsvs_01_05,seo_othsvs_06_10,seo_othsvs_11_15,seo_othsvs_2016,seo_othsvs_ns,seo_othsvs_tot,seo_idns_bf_91,seo_idns_91_95,seo_idns_96_00,seo_idns_01_05,seo_idns_06_10,seo_idns_11_15,seo_idns_2016,seo_idns_ns,seo_idns_tot,seo_tot_bf_91,seo_tot_91_95,seo_tot_96_00,seo_tot_01_05,seo_tot_06_10,seo_tot_11_15,seo_tot_2016,seo_tot_ns,seo_tot_tot,solsewvw_agff_bf_91,solsewvw_agff_91_95,solsewvw_agff_96_00,solsewvw_agff_01_05,solsewvw_agff_06_10,solsewvw_agff_11_15,solsewvw_agff_2016,solsewvw_agff_ns,solsewvw_agff_tot,solsewvw_min_bf_91,solsewvw_min_91_95,lga_name16
10050,9,0,0,3,0,0,0,3,12,0,0,0,0,0,0,0,0,0,85,9,6,17,11,14,0,5,152,12,0,0,0,0,0,0,0,15,49,3,3,9,12,4,0,0,88,8,3,4,3,6,3,0,0,27,75,3,19,6,10,14,0,0,139,54,4,12,16,15,12,0,7,120,39,3,3,0,4,0,0,3,50,5,0,3,0,3,0,0,0,14,12,0,0,3,0,0,0,0,26,11,3,0,0,3,3,0,4,23,35,6,3,5,8,5,0,0,63,28,0,0,9,3,3,0,0,46,93,3,7,0,8,4,0,10,120,99,11,10,19,14,19,0,3,173,207,13,18,37,31,21,5,4,344,7,3,0,3,3,3,0,0,17,35,7,3,8,5,6,0,0,63,34,4,0,8,3,5,0,7,64,900,80,110,148,148,124,7,41,1560,3,0,0,0,3,5,0,0,5,0,0,Albury (C)
10130,34,0,4,9,9,11,0,3,69,3,0,0,0,0,0,0,0,3,6,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,4,10,4,3,0,0,3,38,8,0,5,0,0,0,0,0,15,28,0,13,9,7,6,3,0,74,15,3,10,8,5,4,0,3,48,6,0,0,3,0,0,0,0,14,3,0,0,0,0,0,0,0,3,8,0,3,3,0,0,0,0,12,4,0,0,0,0,0,0,0,9,40,3,7,4,6,3,0,3,64,18,3,3,0,3,4,0,0,29,41,0,3,3,5,4,0,3,57,144,23,19,20,15,32,7,6,271,101,9,18,15,18,11,0,3,174,4,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,20,6,0,3,4,4,0,0,0,18,495,55,95,86,84,83,13,29,940,7,0,3,6,15,65,20,5,118,0,0,Armidale Regional (A)
10250,54,0,3,7,9,5,7,0,92,0,0,0,0,0,0,0,0,3,31,3,8,10,11,6,0,0,63,10,0,0,0,0,0,0,0,12,59,0,5,9,6,4,0,10,98,19,0,0,0,0,0,0,0,27,70,5,13,14,17,8,0,7,132,44,7,9,18,21,13,0,0,114,34,3,0,3,0,3,0,5,47,3,4,3,3,3,0,0,0,18,14,4,3,0,3,0,0,0,27,18,0,0,0,0,0,0,0,23,53,3,8,10,16,16,0,3,103,22,3,3,11,4,0,0,0,49,37,3,7,3,4,4,0,3,57,85,7,3,10,15,3,0,7,134,180,32,21,31,25,18,0,10,313,7,0,0,6,0,0,0,0,18,21,3,0,3,0,3,0,3,46,28,0,3,4,8,3,0,3,54,802,82,100,145,151,94,13,48,1431,12,3,6,11,5,9,3,4,50,0,0,Ballina (A)
10300,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,6,3,3,0,0,0,30,0,0,0,3,0,0,0,0,7,0,0,Balranald (A)
10470,19,3,0,4,3,0,0,4,34,3,0,0,0,0,0,0,0,3,40,4,12,10,3,13,0,0,78,3,0,0,0,0,0,0,0,7,37,6,7,3,10,5,0,3,65,15,0,3,0,0,0,0,0,20,41,7,10,10,8,14,0,9,96,28,8,8,3,13,14,0,4,76,24,0,5,0,0,0,0,3,31,6,0,5,4,0,0,0,0,21,6,0,0,0,0,3,0,0,15,5,3,0,0,0,4,0,0,7,37,0,4,3,4,8,0,0,56,18,5,3,0,0,0,0,4,27,62,11,7,4,8,0,0,7,95,99,16,12,10,11,19,5,6,180,121,12,8,12,13,18,0,8,189,4,0,0,0,3,0,0,0,6,14,3,0,3,0,0,0,3,26,17,0,0,3,7,0,0,3,26,609,75,86,65,94,97,4,41,1069,7,0,0,3,4,6,0,0,15,0,0,Bathurst Regional (A)
10550,48,0,0,3,3,0,0,5,64,0,0,0,0,0,0,0,0,0,56,0,7,8,4,3,0,6,82,3,0,0,0,0,0,0,0,4,31,0,5,0,0,3,0,3,43,15,0,0,0,0,0,0,0,21,62,3,3,12,0,0,0,7,96,72,6,8,5,7,4,0,7,110,16,3,0,0,0,0,0,0,22,9,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,14,50,6,7,3,4,3,0,4,73,19,3,0,3,4,0,0,0,30,33,3,3,0,3,0,0,0,50,49,4,3,9,4,0,0,0,70,162,11,8,9,14,10,0,14,223,20,0,3,3,0,3,0,3,34,19,0,3,3,4,4,0,5,32,15,3,0,0,0,0,0,3,29,688,51,54,67,52,37,3,52,1010,5,0,0,0,0,0,0,0,9,0,0,Bega Valley (A)
10600,10,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,16,0,4,6,0,3,0,0,28,0,0,0,0,0,0,0,0,3,22,0,6,0,3,3,0,0,40,0,0,0,0,0,0,0,0,3,20,0,0,0,3,3,0,0,34,28,3,0,3,4,0,0,0,39,11,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,7,20,0,4,3,3,0,0,3,36,7,0,0,0,0,3,0,0,15,9,0,0,0,3,0,0,0,14,27,0,3,3,0,0,0,0,39,39,9,3,4,5,3,0,3,71,3,3,0,0,0,0,0,0,6,8,0,0,3,0,0,0,0,14,5,0,0,0,0,0,0,0,11,235,26,27,34,24,17,3,16,386,6,0,0,0,0,3,0,0,15,0,0,Bellingen (A)
10650,19,0,6,6,0,8,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,12,0,0,3,0,0,0,0,22,5,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,0,10,12,0,3,3,3,4,0,0,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,8,84,3,10,17,11,12,0,6,147,0,0,3,0,4,3,0,0,8,0,0,Berrigan (A)
10750,19,0,3,3,3,0,0,0,35,16,0,3,3,3,3,0,0,25,788,91,141,109,115,99,6,25,1369,181,18,30,23,14,11,3,0,279,501,58,117,92,141,113,12,26,1060,486,70,86,84,76,69,6,26,906,586,90,173,155,121,113,14,21,1264,111,29,53,75,66,49,3,9,398,639,111,151,113,122,72,9,37,1247,38,7,12,8,9,8,0,0,78,65,8,13,20,4,10,0,4,127,90,7,13,12,14,8,0,5,150,197,38,39,33,31,22,8,4,374,186,32,49,36,38,32,4,16,393,296,45,48,20,29,16,4,5,469,629,91,96,84,43,38,0,20,997,609,102,113,95,95,63,4,30,1100,43,10,15,5,12,8,0,3,94,220,28,47,30,35,37,0,10,413,355,59,73,67,79,87,10,41,775,6066,880,1270,1058,1041,864,92,283,11551,29,15,8,14,10,11,3,0,84,13,3,Blacktown (C)
10800,10,0,0,0,0,8,0,0,20,10,0,0,0,0,4,0,0,17,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,6,6,16,8,0,0,90,0,0,0,0,6,4,0,0,10,3,0,Bland (A)
