LGA_MAIN11,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot,LGA_NAME11
23940,95,0,0,3,0,98,79,0,0,0,0,79,74,0,0,0,0,74,107,0,0,0,0,107,103,0,0,0,0,103,99,0,0,6,0,105,56,0,0,0,0,56,31,0,0,0,0,31,3,0,0,0,0,3,11,0,0,3,0,14,11,0,0,0,0,11,50,0,0,0,0,50,719,0,0,12,0,731,Loddon (S)
24130,256,3,3,3,0,265,161,3,3,3,0,170,179,3,0,0,0,182,265,3,3,0,0,271,388,3,6,0,0,397,1010,3,10,4,0,1027,1081,11,9,3,3,1107,1402,9,7,0,0,1418,677,0,3,0,0,680,506,0,0,3,3,512,258,0,0,3,0,261,368,3,3,3,0,377,6551,41,47,22,6,6667,Macedon Ranges (S)
24210,631,55,22,0,0,708,232,33,10,0,0,275,230,29,7,0,0,266,306,39,18,0,0,363,432,42,19,0,0,493,1194,130,50,0,0,1374,1095,171,68,0,0,1334,1875,265,115,0,0,2255,1201,174,90,0,3,1468,1563,193,65,0,0,1821,1251,107,30,0,0,1388,777,55,20,0,0,852,10787,1293,514,0,3,12597,Manningham (C)
24250,53,0,3,0,0,56,43,0,0,0,0,43,31,0,0,0,0,31,67,7,0,0,0,74,98,0,0,0,0,98,183,8,3,0,0,194,145,3,3,0,0,151,142,0,0,4,0,146,43,0,0,0,0,43,32,0,0,0,0,32,18,0,0,0,0,18,70,3,0,0,0,73,925,21,9,4,0,959,Mansfield (S)
24330,234,41,27,0,0,302,123,21,19,0,0,163,113,21,6,0,0,140,190,36,40,0,0,266,237,46,71,3,0,357,732,147,192,0,0,1071,735,175,219,0,3,1132,1205,277,267,3,5,1757,807,240,114,0,3,1164,918,217,72,3,0,1210,463,75,30,4,0,572,278,64,44,3,0,389,6035,1360,1101,16,11,8523,Maribyrnong (C)
24410,533,75,17,0,0,625,335,40,19,0,0,394,288,30,11,0,0,329,590,66,23,0,0,679,753,87,33,0,0,873,1928,271,86,4,0,2289,2169,370,116,0,0,2655,3119,410,125,3,3,3660,1678,153,30,0,0,1861,1143,57,9,0,0,1209,403,31,4,0,0,438,771,66,19,0,0,856,13710,1656,492,7,3,15868,Maroondah (C)
22310,536,120,92,0,0,748,191,53,46,0,0,290,206,32,40,3,0,281,307,62,89,6,0,464,385,81,109,0,3,578,1040,246,348,0,0,1634,1008,263,393,4,0,1668,1710,467,574,9,3,2763,1110,353,287,6,0,1756,1606,446,232,3,0,2287,1562,292,103,4,0,1961,667,132,127,0,0,926,10328,2547,2440,35,6,15356,Glen Eira (C)
24600,34,82,260,0,0,376,8,23,49,0,0,80,8,23,59,0,0,90,8,44,94,4,0,150,23,44,149,0,0,216,58,129,542,0,3,732,66,164,707,0,0,937,101,278,1233,0,0,1612,84,196,748,0,0,1028,110,304,678,3,0,1095,121,296,519,4,3,943,30,96,224,0,0,350,651,1679,5262,11,6,7609,Melbourne (C)
24650,482,20,3,0,0,505,282,10,6,3,0,301,324,8,3,0,0,335,608,31,10,0,0,649,907,16,9,3,0,935,2805,123,42,0,0,2970,3537,186,44,0,3,3770,4646,236,26,0,0,4908,2083,88,3,0,3,2177,1078,58,0,0,0,1136,468,25,3,0,0,496,984,49,13,3,0,1049,18204,850,162,9,6,19231,Melton (S)
24780,250,5,3,4,0,262,206,0,6,0,0,212,226,7,6,0,0,239,448,10,9,4,0,471,716,14,31,0,0,761,1623,41,34,3,0,1701,1180,17,8,3,0,1208,738,12,4,0,3,757,203,0,4,0,0,207,126,3,0,0,0,129,65,0,3,0,0,68,358,5,3,3,0,369,6139,114,111,17,3,6384,Mildura (RC)
