lga_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,lga_name16
16400,27494,28923,56419,10485,5316,15800,3109,6914,10026,798,879,1668,1166,1011,2178,15557,14117,29675,9973,12827,22803,7.5,7.2,7.3,56.6,48.8,52.6,52.3,45.3,48.7,532,521,1047,239,409,649,1808,2851,4658,2049,2982,5025,8789,4011,12797,279,595,870,532,973,1510,9602,5571,15177,25856,26579,52438,4765,5029,9791,16928,17377,34302,12557,13057,25615,Port Stephens (A)
16490,22650,22551,45206,11894,8103,19999,2490,5089,7577,720,893,1612,667,564,1233,15776,14654,30427,4757,6236,10992,4.2,3.8,4.1,69.7,65.0,67.3,66.7,62.5,64.6,1479,1190,2667,461,787,1247,2577,3717,6292,1927,2511,4438,5190,2336,7522,168,372,539,289,575,857,5641,3279,8922,21080,20896,41973,3957,4070,8029,13836,13681,27512,10046,10330,20379,Queanbeyan-Palerang Regional (A)
16550,58453,61101,119553,25647,19073,44720,7140,12873,20011,1329,1876,3209,2045,1987,4036,36166,35811,71975,17721,20668,38380,5.7,5.5,5.6,61.9,58.6,60.2,58.4,55.4,56.8,6182,6306,12483,933,1630,2567,13201,16211,29414,4031,5866,9898,7437,2990,10427,250,467,714,781,1247,2026,8472,4700,13168,47559,50684,98246,12743,13511,26259,28456,31113,59574,30032,31179,61206,Randwick (C)
16610,9219,9498,18720,2905,1644,4548,1243,1998,3245,244,295,545,402,303,704,4797,4248,9043,3663,4506,8165,8.4,7.1,7.8,52.0,44.7,48.3,47.6,41.5,44.5,81,93,171,54,94,151,369,715,1081,359,760,1116,2488,1299,3784,103,220,322,152,269,416,2744,1788,4529,8858,8995,17851,1417,1512,2932,6319,6397,12713,3433,3557,6993,Richmond Valley (A)
16650,45130,46907,92034,20208,13422,33630,6732,9833,16562,1335,1409,2742,1881,1623,3504,30152,26288,56439,11953,17421,29376,6.2,6.2,6.2,66.8,56.0,61.3,62.7,52.6,57.5,3310,3323,6636,519,744,1262,8273,9333,17607,4062,4839,8895,6477,3036,9509,247,487,735,725,1161,1884,7447,4687,12130,40392,41805,82196,8626,8570,17197,26045,27459,53499,21086,20975,42060,Rockdale (C)
16700,46907,50733,97645,22526,15379,37897,6096,10756,16851,1126,1497,2624,2034,1870,3908,31778,29495,61277,12956,18919,31871,6.4,6.3,6.4,67.7,58.1,62.8,63.4,54.5,58.8,5784,5795,11582,743,1272,2020,11662,13082,24742,4050,5237,9286,5857,2652,8507,245,445,688,670,1237,1913,6770,4337,11112,42592,45108,87697,9914,10539,20455,26793,28605,55401,23697,25064,48758,Ryde (C)
16900,25955,28013,53964,11612,5818,17435,2882,7378,10269,750,808,1562,1147,1071,2214,16399,15075,31481,8253,11425,19679,7.0,7.1,7.0,63.2,53.8,58.3,58.7,50.0,54.2,414,500,911,185,415,597,1584,2578,4158,1873,2749,4624,8264,4094,12359,246,552,794,466,956,1423,8972,5603,14577,26341,27650,53990,3923,4231,8156,18471,19265,37737,10392,11313,21699,Shellharbour (C)
16950,40049,41623,81673,12697,6797,19491,4833,9375,14205,1038,1190,2222,1466,1137,2604,20038,18495,38531,17074,20108,37179,7.3,6.1,6.8,50.0,44.4,47.2,46.4,41.7,44.0,870,923,1787,416,864,1282,2799,4171,6963,2705,4176,6878,12197,5295,17492,394,837,1233,756,1429,2189,13355,7559,20914,36726,38014,74743,6523,6998,13520,24588,25079,49671,16949,18298,35248,Shoalhaven (C)
17000,9441,8715,18156,5140,1942,7082,930,2409,3332,337,279,608,353,355,711,6757,4980,11733,2013,3145,5159,5.2,7.1,6.1,71.6,57.1,64.6,67.9,53.1,60.7,139,137,278,56,136,193,577,883,1453,562,754,1314,3102,1369,4467,92,210,300,159,265,426,3351,1842,5196,8982,8534,17519,1721,1506,3225,6077,5696,11768,4120,3842,7968,Singleton (A)
17040,14413,12512,26932,6491,3646,10134,1694,3073,4766,639,558,1198,249,193,446,9071,7463,16539,3188,3356,6553,2.7,2.6,2.7,62.9,59.6,61.4,61.2,58.2,59.8,640,534,1170,230,341,572,1911,2204,4119,1040,1337,2376,3530,1381,4913,125,220,344,207,356,559,3859,1958,5816,12241,10896,23136,2145,2063,4212,8656,7638,16292,5204,4819,10027,Snowy Monaro Regional (A)
