lga_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,lga_name16
20660,47331,51384,98715,22590,12688,35278,6401,13992,20392,1140,1612,2752,1785,1643,3424,31916,29932,61846,13223,18953,32175,5.6,5.5,5.5,67.4,58.3,62.7,63.7,55.1,59.2,3715,3673,7389,1304,2419,3731,9089,11175,20269,4241,5281,9522,8985,3709,12688,258,443,703,644,1031,1670,9885,5182,15066,46763,49708,96472,7209,7445,14652,33321,35807,69122,18606,19362,37976,Banyule (C)
20740,12673,13941,26614,4227,2086,6313,1800,3477,5281,402,497,893,481,377,856,6907,6443,13348,4870,6507,11376,7.0,5.9,6.4,54.5,46.2,50.2,50.7,43.5,46.9,245,296,540,189,376,568,965,1557,2526,869,1531,2397,3698,1550,5249,101,221,317,209,357,570,4011,2131,6136,11690,12484,24180,2319,2583,4900,7683,8070,15755,5629,6425,12056,Bass Coast (S)
20830,18163,19720,37884,8258,3920,12179,2177,5307,7486,566,664,1232,615,622,1238,11616,10510,22129,5384,7892,13271,5.3,5.9,5.6,64.0,53.3,58.4,60.6,50.2,55.2,358,431,794,274,586,862,1363,2337,3694,1214,2160,3371,5550,2613,8160,136,337,476,231,457,685,5908,3413,9321,17652,18539,36191,3067,3464,6529,11688,12143,23833,8108,8986,17094,Baw Baw (S)
20910,35713,40929,76649,17316,9810,27132,5132,11230,16358,783,1077,1862,1103,1112,2212,24330,23232,47564,9794,15662,25458,4.5,4.8,4.7,68.1,56.8,62.1,65.0,54.0,59.2,3553,3275,6826,1055,1939,2995,9525,10698,20225,3513,4696,8206,4150,2021,6168,152,297,450,473,866,1337,4779,3186,7959,35386,39185,74571,6197,6781,12977,24049,26979,51029,16305,17946,34249,Bayside (C)
21010,5397,5923,11319,2121,1087,3209,610,1404,2010,155,197,354,181,144,323,3064,2830,5897,1935,2653,4587,5.9,5.1,5.5,56.8,47.8,52.1,53.5,45.4,49.2,67,105,176,62,145,209,336,581,914,394,616,1009,1492,706,2203,50,124,168,98,124,223,1637,955,2594,5103,5389,10497,777,890,1662,3681,3820,7503,1986,2260,4242,Benalla (RC)
21110,64110,71924,136032,30023,19139,49165,9962,18815,28771,1422,1976,3398,2570,2260,4833,43975,42190,86168,17283,26591,43875,5.8,5.4,5.6,68.6,58.7,63.3,64.6,55.5,59.8,8844,7851,16696,2194,3769,5965,19402,21830,41229,5031,6985,12013,5075,2673,7745,224,402,624,587,1180,1766,5882,4248,10135,60380,66140,126522,12598,13761,26354,39983,44214,84205,31339,34131,65472,Boroondara (C)
21180,78448,79181,157627,31353,16953,48302,10805,16041,26838,2405,2240,4639,4789,4431,9219,49345,39664,89006,24111,34594,58698,9.7,11.2,10.4,62.9,50.1,56.5,56.8,44.5,50.6,2252,2156,4408,596,1123,1713,8664,10421,19084,5923,6729,12651,13230,6423,19658,591,876,1469,1063,1482,2543,14886,8779,23667,76656,77699,154353,11373,10747,22123,54529,56244,110774,29244,28074,57314,Brimbank (C)
21270,2545,2492,5035,1056,387,1440,235,632,867,59,70,132,68,40,105,1414,1124,2541,879,1111,1987,4.8,3.6,4.1,55.6,45.1,50.5,53.0,43.7,48.4,19,28,43,25,56,79,112,266,372,115,201,315,615,252,871,23,46,71,21,35,61,666,337,1005,2460,2355,4811,264,293,559,1940,1855,3797,700,693,1391,Buloke (S)
21370,14570,15115,29686,6231,3083,9310,1634,3859,5497,495,518,1014,446,378,822,8807,7842,16647,4709,6123,10828,5.1,4.8,4.9,60.4,51.9,56.1,57.4,49.4,53.3,112,193,299,133,299,436,768,1460,2232,739,1401,2145,4100,1866,5968,115,245,360,216,294,505,4433,2409,6837,14315,14529,28839,1948,2087,4033,10255,10177,20436,5275,5663,10937,Campaspe (S)
21450,34476,36539,71012,18716,9017,27736,3951,10457,14406,1018,1263,2284,1219,1377,2598,24902,22114,47019,7682,12394,20077,4.9,6.2,5.5,72.2,60.5,66.2,68.7,56.8,62.6,748,849,1600,371,857,1229,2625,4381,7003,2714,4388,7102,10598,5251,15843,252,627,875,472,847,1318,11319,6720,18038,34985,35883,70868,6678,7182,13859,21013,21009,42025,18055,19682,37733,Cardinia (S)
21610,112845,116156,229000,57757,29374,87133,14149,28970,43118,3223,3592,6816,5353,5331,10685,80481,67266,147750,26860,43262,70127,6.7,7.9,7.2,71.3,57.9,64.5,66.6,53.3,59.9,3987,3922,7915,1118,2125,3247,11530,15376,26906,10177,13272,23450,26483,13365,39849,913,1593,2504,1635,2546,4183,29033,17504,46540,115769,117095,232865,19989,20362,40351,73937,74862,148802,54327,55299,109633,Casey (C)
21670,5252,5514,10768,1568,762,2326,591,1165,1757,128,142,268,239,166,407,2529,2231,4764,2380,2916,5296,9.5,7.4,8.5,48.2,40.5,44.2,43.5,37.5,40.4,52,47,97,43,73,113,189,398,591,215,424,641,1501,672,2169,53,89,145,79,123,198,1631,882,2513,5024,5167,10194,726,764,1490,3696,3677,7367,1835,2025,3864,Central Goldfields (S)
21750,8277,8456,16730,3538,1707,5247,1194,2408,3600,284,294,580,231,162,396,5252,4578,9825,2424,3294,5721,4.4,3.5,4.0,63.5,54.1,58.7,60.6,52.1,56.3,112,162,276,90,172,262,544,917,1467,498,862,1361,2199,1074,3272,79,124,203,140,183,323,2412,1384,3792,8124,8033,16152,1200,1263,2459,5825,5740,11568,3040,3098,6135,Colac-Otway (S)
21830,6309,6312,12626,2915,1315,4227,690,1668,2356,200,225,423,171,129,302,3973,3335,7304,1838,2511,4346,4.3,3.9,4.1,63.0,52.8,57.8,60.3,50.8,55.5,60,70,133,55,138,190,329,682,1012,329,568,897,1569,698,2269,56,93,148,74,137,208,1696,928,2617,6287,6192,12485,780,783,1565,4745,4646,9391,1974,1997,3970,Corangamite (S)
21890,58302,63776,122077,25020,17035,42057,8806,15551,24365,1516,1877,3388,2899,2579,5485,38245,37048,75290,16108,22419,38529,7.6,7.0,7.3,65.6,58.1,61.7,60.6,54.0,57.2,4552,5489,10044,1428,2873,4300,11483,13989,25478,4771,5555,10325,7943,3984,11924,339,514,847,628,892,1524,8903,5392,14297,52164,55760,107927,11349,12390,23740,34423,37678,72100,26540,28122,54666,Darebin (C)
22110,17749,18824,36572,5777,3112,8886,2197,4546,6745,591,634,1226,642,496,1137,9212,8791,17998,7041,8352,15400,7.0,5.6,6.3,51.9,46.7,49.2,48.3,44.1,46.1,261,299,556,178,470,649,1061,1920,2979,1173,1922,3098,5066,2245,7311,159,354,511,335,436,768,5558,3029,8590,16494,17105,33599,2622,2851,5471,11576,11723,23299,6681,7370,14048,East Gippsland (S)
22170,51668,55980,107650,25206,13662,38872,6170,14609,20781,1382,1816,3192,2177,2164,4346,34937,32254,67188,13477,20264,33739,6.2,6.7,6.5,67.6,57.6,62.4,63.4,53.7,58.4,1089,1307,2401,636,1342,1982,4393,6865,11260,4373,6628,10992,14633,7386,22020,421,847,1267,836,1328,2159,15885,9565,25449,50240,52875,103113,8109,8754,16870,33330,34798,68125,22347,24408,46753,Frankston (C)
22250,4255,4339,8596,1737,760,2500,450,1101,1554,148,122,272,122,95,217,2463,2076,4537,1471,1941,3418,5.0,4.6,4.8,57.9,47.8,52.8,54.9,45.7,50.3,31,32,60,27,64,93,164,379,544,177,354,534,1097,487,1585,36,77,116,49,89,131,1173,658,1834,4167,4190,8357,446,490,933,3152,3069,6217,1292,1394,2684,Gannawarra (S)
22830,24699,25508,50202,10536,5699,16236,2710,6228,8944,783,813,1589,1044,813,1857,15072,13555,28629,7498,9828,17325,6.9,6.0,6.5,61.0,53.1,57.0,56.8,49.9,53.3,446,486,932,301,661,962,1608,2723,4335,1456,2429,3886,5710,2913,8625,191,384,569,294,487,783,6190,3780,9972,23568,23864,47429,3958,4236,8201,16292,16447,32746,9858,10380,20237,Greater Shepparton (C)
22910,6127,6652,12782,2137,1122,3268,881,1708,2589,227,236,464,192,160,350,3434,3232,6670,2132,2794,4926,5.6,5.0,5.2,56.0,48.6,52.2,53.0,46.1,49.5,240,279,521,131,256,392,641,984,1629,488,790,1278,1482,627,2110,53,80,133,117,125,247,1662,831,2490,5784,6082,11866,772,924,1695,4125,4270,8398,2160,2455,4614,Hepburn (S)
22980,2317,2378,4696,956,432,1390,211,515,728,65,70,129,76,57,128,1313,1065,2376,868,1136,2005,5.8,5.4,5.4,56.7,44.8,50.6,53.2,42.8,47.8,18,33,55,19,43,61,111,217,328,101,219,318,538,262,802,21,46,72,36,46,82,601,355,950,2289,2294,4583,253,262,512,1720,1677,3402,711,777,1490,Hindmarsh (S)
23110,34792,36701,71494,16762,10004,26760,4381,8431,12816,947,1138,2083,1552,1375,2924,23639,20948,44587,9319,13763,23080,6.6,6.6,6.6,67.9,57.1,62.4,63.5,53.3,58.3,1968,2182,4151,672,1369,2035,5581,6944,12526,2863,3600,6465,6788,2773,9565,188,338,525,488,655,1145,7467,3771,11236,33557,35001,68558,5750,5933,11683,23008,24227,47231,14551,15074,29630,Hobsons Bay (C)
23190,7409,8071,15481,3503,1756,5261,928,2282,3207,245,277,515,277,204,477,4954,4515,9467,2066,3165,5237,5.6,4.5,5.0,66.9,55.9,61.2,63.1,53.5,58.0,129,162,287,88,224,313,471,996,1466,498,845,1347,2011,1003,3012,80,145,221,102,166,270,2188,1311,3499,7434,7673,15107,1190,1405,2591,5218,5364,10576,2971,3356,6330,Horsham (RC)
23270,75517,77593,153117,32884,16988,49876,9642,16878,26520,2284,2254,4532,4168,3577,7748,48980,39690,88675,21962,33456,55423,8.5,9.0,8.7,64.9,51.2,57.9,59.3,46.6,52.9,2268,2248,4515,665,1392,2057,6973,9038,16016,5886,7869,13756,15543,7755,23295,605,1031,1636,1080,1577,2663,17229,10365,27594,76254,77320,153580,13112,13187,26304,50912,52060,102967,33240,33556,66795,Hume (C)
23350,6190,6443,12639,2670,1542,4212,809,1817,2629,228,250,476,178,164,336,3885,3778,7665,1971,2329,4298,4.6,4.3,4.4,62.8,58.6,60.6,59.9,56.0,57.9,155,223,379,124,265,386,518,975,1492,475,780,1256,1732,792,2520,58,99,154,95,140,239,1883,1029,2909,6062,6389,12446,805,898,1708,4416,4579,8996,2176,2424,4602,Indigo (S)
23430,58746,63658,122404,28769,17020,45789,7676,16570,24245,1494,1860,3356,2316,1936,4253,40263,37377,77641,15604,23026,38634,5.8,5.2,5.5,68.5,58.7,63.4,64.6,55.7,60.0,3075,3358,6442,1119,2047,3171,9319,12149,21467,5734,7226,12959,12125,5185,17312,369,624,994,866,1363,2227,13356,7178,20536,57348,60935,118281,9354,9750,19101,39661,42320,81982,24706,25996,50700,Kingston (C) (Vic.)
23670,60395,64874,125269,30631,16951,47581,7915,17762,25678,1546,1964,3510,2441,2154,4599,42534,38829,81367,15663,23604,39262,5.7,5.5,5.7,70.4,59.9,65.0,66.4,56.5,61.3,2902,2784,5684,969,1753,2721,8775,11027,19799,5510,7423,12933,14374,6500,20877,421,728,1143,837,1469,2304,15630,8691,24318,61270,64197,125475,7994,8609,16600,45039,46963,92000,21908,23481,45387,Knox (C)
23810,28231,30405,58635,11280,5392,16670,2984,7698,10676,833,943,1773,1836,1300,3141,16934,15334,32262,9001,12609,21616,10.8,8.5,9.7,60.0,50.4,55.0,53.5,46.2,49.7,448,479,921,280,589,873,1706,2927,4631,1735,2620,4354,8773,4023,12794,261,556,817,418,617,1031,9451,5195,14643,27073,28220,55292,4117,4613,8728,19378,19954,39337,10409,11582,21993,Latrobe (C) (Vic.)
23940,3198,2965,6159,1129,515,1643,288,630,917,112,100,210,85,61,149,1618,1305,2920,1221,1344,2564,5.3,4.7,5.1,50.6,44.0,47.4,47.8,42.0,45.0,17,29,46,20,66,88,135,277,417,154,249,408,803,306,1110,17,56,68,45,58,101,863,419,1280,3035,2858,5895,290,274,562,2329,2155,4490,864,846,1710,Loddon (S)
24130,17443,18356,35798,8425,4117,12540,2281,5434,7714,515,638,1155,517,484,997,11735,10671,22411,4648,6461,11109,4.4,4.5,4.4,67.3,58.1,62.6,64.3,55.5,59.8,686,726,1405,401,807,1206,2144,3163,5305,1576,2136,3705,4673,1841,6511,107,259,361,277,478,755,5056,2581,7631,17903,18371,36272,2492,2567,5064,12524,12745,25270,6876,7252,14128,Macedon Ranges (S)
24210,45627,50092,95721,20052,11013,31066,6454,12564,19012,975,1277,2259,1828,1639,3466,29309,26494,55800,14743,21707,36452,6.2,6.2,6.2,64.2,52.9,58.3,60.2,49.6,54.7,3840,3333,7166,1012,1656,2665,10054,11210,21258,4169,5152,9318,6600,2788,9393,186,361,547,593,1082,1678,7372,4235,11610,45286,48443,93725,6647,7111,13760,33063,35508,68568,17434,18585,36022,Manningham (C)
24250,3503,3541,7046,1342,753,2101,495,978,1478,119,125,244,91,45,139,2050,1910,3958,1115,1318,2436,4.4,2.4,3.5,58.5,53.9,56.2,55.8,52.4,54.3,86,74,159,44,122,166,313,484,794,216,411,628,1108,380,1486,24,52,71,71,89,158,1203,516,1721,3210,3204,6408,618,680,1300,2201,2155,4355,1456,1560,3019,Mansfield (S)
24330,34483,34282,68764,15672,10509,26186,5457,7802,13256,855,1083,1932,2021,1735,3761,24002,21125,45127,8003,10705,18706,8.4,8.2,8.3,69.6,61.6,65.6,63.8,56.6,60.2,2772,2747,5520,805,1444,2254,7352,8170,15524,3027,3101,6125,4148,2100,6248,214,274,484,387,489,880,4753,2859,7609,29457,29438,58892,7457,7126,14579,17377,18050,35427,17865,17028,34891,Maribyrnong (C)
24410,41868,46312,88181,21580,11797,33375,5491,13044,18536,1064,1427,2492,1572,1438,3017,29710,27704,57409,10580,16616,27197,5.3,5.2,5.3,71.0,59.8,65.1,67.2,56.7,61.7,2081,2108,4189,939,1682,2614,6188,8436,14623,4040,5425,9461,9876,4609,14491,279,493,770,623,1050,1671,10783,6150,16929,42105,45054,87165,6541,7049,13586,28936,31013,59949,17649,19151,36799,Maroondah (C)
24600,71791,75694,147481,26759,20335,47092,9074,12707,21777,1674,2170,3847,3862,4444,8303,41367,39660,81025,17983,23828,41810,9.3,11.2,10.2,57.6,52.4,54.9,52.2,46.5,49.3,7939,8467,16407,1442,2210,3651,19509,20876,40382,5025,5419,10442,3937,2470,6412,239,375,606,542,762,1302,4720,3598,8324,38708,40604,79317,22785,25380,48170,15800,16308,32105,44832,48678,93510,Melbourne (C)
24650,49593,51717,101314,25110,13237,38350,5580,12565,18141,1531,1690,3215,2472,2483,4952,34690,29973,64663,12128,18863,30992,7.1,8.3,7.7,69.9,58.0,63.8,65.0,53.2,58.9,1432,1454,2891,461,960,1427,4835,7041,11882,3865,5362,9229,11530,6115,17644,388,767,1158,813,1235,2050,12732,8114,20852,51446,53012,104457,8368,8931,17298,33244,33911,67153,22863,24316,47177,Melton (C)
24780,21252,22298,43546,8774,4813,13586,2262,5314,7571,643,685,1329,1014,786,1796,12682,11596,24281,6594,8771,15364,8.0,6.8,7.4,59.7,52.0,55.8,55.0,48.5,51.6,225,286,511,187,423,612,1279,2211,3490,1171,1940,3109,4993,2634,7630,217,415,631,312,433,750,5530,3483,9009,19724,20418,40144,3650,3810,7455,13442,13711,27156,8767,9437,18204,Mildura (RC)
24850,16132,15982,32115,7869,3667,11538,1721,4066,5785,552,551,1110,508,580,1084,10657,8863,19515,4185,5830,10018,4.8,6.5,5.6,66.1,55.5,60.8,62.9,51.8,57.4,241,252,491,153,356,515,847,1562,2407,1058,1723,2783,4748,2105,6846,151,292,444,244,398,643,5140,2792,7930,15514,15225,30741,2919,2734,5647,10016,9821,19837,7262,7206,14470,Mitchell (S)
24900,11417,11712,23131,4722,2210,6935,1074,2812,3881,408,427,836,314,295,612,6515,5746,12269,4011,5095,9105,4.8,5.1,5.0,57.1,49.1,53.0,54.3,46.5,50.4,75,133,209,83,225,307,533,995,1525,617,1062,1677,3078,1419,4501,96,193,289,163,249,414,3335,1866,5205,10879,10972,21847,1745,1869,3619,7726,7679,15404,4288,4578,8863,Moira (S)
24970,74443,78485,152933,30553,18028,48579,10490,17683,28176,1697,2007,3706,3557,3463,7024,46295,41187,87483,24743,33727,58468,7.7,8.4,8.0,62.2,52.5,57.2,57.4,48.1,52.6,7834,6792,14625,1539,2383,3917,16596,18022,34622,6497,7837,14333,8984,4080,13062,309,546,854,789,1335,2121,10086,5961,16046,67107,70357,137460,15751,15744,31490,44441,47305,91746,35940,36293,72237,Monash (C)
25060,45646,50039,95687,21960,14030,35992,6081,12514,18594,1187,1571,2762,1829,1605,3439,31061,29728,60787,11988,17373,29360,5.9,5.4,5.7,68.0,59.4,63.5,64.0,56.2,59.9,3131,3283,6420,1087,2036,3127,9071,11184,20254,3924,4777,8700,7656,3069,10727,260,410,667,565,921,1484,8477,4398,12874,42886,46054,88944,7936,8363,16301,29550,32116,61666,19620,20676,40299,Moonee Valley (C)
25150,12192,12783,24971,5901,2962,8867,1383,3402,4790,398,418,816,473,430,899,8161,7214,15372,3295,4780,8073,5.8,6.0,5.8,66.9,56.4,61.6,63.0,53.1,58.0,251,347,593,152,363,516,870,1544,2411,886,1419,2302,3589,1574,5161,87,186,270,176,292,465,3847,2045,5896,12568,12789,25364,1594,1718,3314,8601,8599,17202,4875,5331,10209,Moorabool (S)
25250,65321,69566,134883,29757,19796,49553,9868,16288,26157,1792,2091,3882,3242,2686,5929,44664,40858,85522,16790,24681,41467,7.3,6.6,6.9,68.4,58.7,63.4,63.4,54.9,59.0,5445,6108,11546,1635,2996,4627,13358,15780,29140,5300,6022,11323,9443,4181,13624,361,518,880,699,1011,1711,10504,5707,16216,57518,60777,118299,14041,14238,28280,36467,39693,76162,32171,32589,64760,Moreland (C)
25340,58795,64924,123717,25277,12379,37660,7709,17776,25487,1579,1884,3458,1782,1701,3479,36347,33734,70085,19314,27506,46818,4.9,5.0,5.0,61.8,52.0,56.6,58.8,49.3,53.8,1634,1764,3401,958,1908,2870,6194,8906,15097,5325,7825,13146,16480,7158,23646,410,884,1293,971,1619,2589,17866,9662,27528,56752,60987,117745,9917,10377,20295,38184,40525,78710,26148,28729,54878,Mornington Peninsula (S)
17150,83651,90295,173945,44955,25909,70865,10166,25421,35593,2202,2839,5038,2095,2048,4141,59418,56223,115644,21332,30829,52157,3.5,3.6,3.6,71.0,62.3,66.5,68.5,60.0,64.1,4225,4170,8393,1293,2265,3560,12561,16457,29019,8510,11754,20268,23008,8337,31344,560,1223,1788,1833,3436,5269,25404,13002,38405,86670,91319,177987,11096,11657,22751,61379,64673,126047,32665,34770,67434,Sutherland Shire (A)
17200,111435,99866,211303,50403,35463,85870,13828,17750,31582,2518,2875,5389,3947,3696,7645,70696,59788,130483,20670,25478,46145,5.6,6.2,5.9,63.4,59.9,61.8,59.9,56.2,58.1,12697,12047,24738,2173,2537,4713,29201,29631,58836,8711,8582,17297,7970,3735,11710,477,541,1010,1157,1300,2455,9601,5574,15179,66314,59912,126231,28506,29085,57590,31807,27951,59756,62062,59953,122018,Sydney (C)
17310,22771,24512,47283,10351,6188,16532,2416,5568,7984,657,789,1449,821,821,1636,14242,13364,27608,6741,9279,16026,5.8,6.1,5.9,62.5,54.5,58.4,59.0,51.2,54.9,392,466,857,206,445,650,1603,2822,4426,1360,2357,3718,6134,3254,9384,212,547,757,357,775,1130,6701,4577,11276,21615,22742,44364,4339,4552,8897,14174,14739,28914,10413,11288,21698,Tamworth Regional (A)
17350,2354,2468,4821,996,488,1482,241,601,843,81,75,159,68,56,125,1391,1217,2609,832,1119,1952,4.9,4.6,4.8,59.1,49.3,54.1,56.0,47.2,51.5,14,30,47,17,39,58,124,265,389,101,186,285,635,285,916,30,47,79,29,74,107,692,405,1103,2390,2414,4808,349,360,709,1767,1739,3510,834,913,1753,Temora (A)
17400,2796,2879,5678,851,509,1363,299,542,848,73,88,165,101,97,196,1331,1234,2568,1109,1260,2373,7.6,7.9,7.6,47.6,42.9,45.2,43.7,39.6,41.8,35,33,65,20,48,66,138,255,396,147,241,386,655,337,989,35,66,103,43,90,136,736,495,1228,2552,2560,5112,309,376,687,1859,1844,3704,879,997,1876,Tenterfield (A)
22410,7826,7931,15762,3176,1424,4598,916,2080,2998,295,273,569,306,225,529,4684,4010,8694,2491,3287,5784,6.5,5.6,6.1,59.9,50.6,55.2,56.1,47.6,51.8,63,88,151,63,181,242,376,715,1090,377,732,1109,2157,1019,3179,82,155,238,111,169,286,2353,1345,3703,7568,7560,15122,920,1008,1932,5656,5507,11164,2488,2692,5177,Glenelg (S)
22490,8234,8124,16358,4129,1767,5896,978,2568,3547,291,325,616,260,253,513,5655,4910,10567,2183,2825,5010,4.6,5.2,4.9,68.7,60.4,64.6,65.6,57.4,61.5,128,196,320,134,257,389,577,1058,1635,619,939,1558,2683,1157,3843,66,144,215,118,200,322,2873,1504,4371,8929,8680,17606,1067,1054,2114,6124,5799,11923,3308,3369,6672,Golden Plains (S)
22620,41826,45978,87807,17879,9569,27447,5471,12528,17997,1254,1624,2875,1812,1548,3361,26421,25264,51683,12642,17691,30334,6.9,6.1,6.5,63.2,54.9,58.9,58.8,51.6,55.0,1000,1186,2188,743,1470,2213,3820,6207,10021,2893,4279,7171,11279,5780,17059,399,743,1140,569,990,1563,12244,7511,19758,40497,42695,83196,7280,8154,15431,26452,27601,54058,18904,21065,39972,Greater Bendigo (C)
22670,63195,60847,124042,24505,12808,37314,8769,10850,19620,1752,1523,3273,3746,3133,6883,38769,28316,67091,20469,28945,49413,9.7,11.1,10.3,61.3,46.5,54.1,55.4,41.4,48.5,2319,2177,4491,488,801,1295,7103,7651,14749,5305,5424,10725,9256,4601,13850,468,661,1136,815,1081,1902,10538,6344,16885,58296,57349,115643,12094,10722,22814,37142,37803,74948,29853,26818,56675,Greater Dandenong (C)
17100,16934,16675,33606,7768,4772,12535,2619,3361,5980,462,474,935,762,706,1469,11605,9314,20921,4183,6369,10546,6.6,7.6,7.0,68.5,55.9,62.3,64.1,51.6,57.9,2030,1631,3664,232,321,556,4337,4281,8612,1265,1505,2772,1411,757,2164,59,142,202,177,314,487,1644,1205,2854,14477,14589,29064,3826,3517,7341,8363,8851,17213,9246,8608,17859,Strathfield (A)
22310,53899,59378,113275,26262,16070,42335,7878,15749,23628,1174,1721,2902,2218,2040,4252,37533,35583,73116,13936,21122,35058,5.9,5.7,5.8,69.6,59.9,64.5,65.5,56.5,60.8,5544,5686,11227,1507,2729,4238,14369,16334,30704,4723,6316,11040,6431,3178,9615,202,363,561,674,1041,1720,7311,4586,11894,51257,55246,106503,10729,11356,22085,33386,36270,69661,26375,28089,54468,Glen Eira (C)
22750,89250,97516,186762,38271,20187,58462,11625,26705,38334,2495,3170,5659,3831,3223,7054,56220,53285,109512,28057,38707,66765,6.8,6.0,6.4,63.0,54.6,58.6,58.7,51.3,54.9,3009,3032,6040,1396,2935,4327,10120,14562,24682,7258,10453,17718,22348,11722,34071,713,1274,1991,1242,1975,3223,24301,14975,39278,84135,89914,174050,16106,17678,33781,55366,59243,114611,40536,44550,85084,Greater Geelong (C)
25430,7763,7771,15533,2470,1345,3815,1148,2069,3215,183,234,417,226,192,425,4029,3845,7870,3188,3318,6503,5.6,5.0,5.4,51.9,49.5,50.7,49.0,46.9,47.9,309,416,719,209,402,610,830,1297,2125,557,853,1411,1719,676,2397,46,93,139,107,155,263,1876,928,2805,6786,7171,13960,900,1029,1926,4882,4995,9877,2514,2900,5405,Mount Alexander (S)
25490,6380,6385,12763,3094,1410,4501,758,1804,2569,259,280,539,152,139,291,4263,3640,7903,1619,2267,3887,3.6,3.8,3.7,66.8,57.0,61.9,64.4,54.7,59.6,105,157,258,74,193,264,460,884,1347,443,713,1151,1637,808,2448,52,100,143,109,138,247,1799,1046,2843,6453,6408,12862,867,901,1771,4750,4642,9389,2213,2337,4555,Moyne (S)
25620,5607,5487,11099,2279,1068,3342,673,1444,2118,201,186,382,166,160,323,3319,2854,6168,1814,2192,4005,5.0,5.6,5.2,59.2,52.0,55.6,56.2,49.2,52.6,97,121,218,80,151,236,383,662,1045,428,623,1054,1664,645,2309,40,80,115,86,137,223,1786,865,2652,5361,5165,10532,696,708,1404,3860,3692,7547,1971,1977,3944,Murrindindi (S)
25710,23373,24454,47823,12552,6135,18684,3391,8575,11962,594,821,1418,786,657,1448,17328,16187,33517,5280,7431,12713,4.5,4.1,4.3,74.1,66.2,70.1,70.8,63.5,67.0,1347,1348,2694,652,1208,1861,3913,5197,9108,2311,2951,5260,5855,2075,7934,110,249,361,336,524,859,6306,2850,9157,25198,25747,50948,2416,2657,5082,19209,19568,38782,7591,8046,15637,Nillumbik (S)
25810,4762,4929,9690,1844,958,2799,586,1141,1728,155,177,334,173,93,270,2760,2376,5132,1668,2197,3861,6.3,3.9,5.3,58.0,48.2,53.0,54.3,46.2,50.2,55,53,111,46,78,122,243,493,734,262,437,699,1207,526,1731,51,97,146,71,115,187,1334,736,2069,4558,4533,9086,585,690,1279,3422,3409,6829,1509,1651,3168,Northern Grampians (S)
25900,43218,45403,88621,22552,18017,40573,5307,9111,14415,957,1382,2343,1628,1474,3106,30447,29986,60434,8052,10834,18890,5.3,4.9,5.1,70.4,66.0,68.2,66.7,62.8,64.7,4563,5127,9686,1204,2239,3442,11836,13441,25275,3775,4683,8459,4715,2479,7197,235,291,525,515,734,1244,5458,3508,8965,31866,33237,65106,10487,11100,21589,17054,17886,34942,24425,25770,50197,Port Phillip (C)
