lga_code16,lga_name16,aboriginal_torres_strait_persons,non_indigenous_persons,total_erp,ste_name16
13800,Hawkesbury (C),2933.0,63480.0,66413,New South Wales
13850,Hay (A),226.0,2758.0,2984,New South Wales
16380,Port Macquarie-Hastings (A),3876.0,76196.0,80072,New South Wales
16400,Port Stephens (A),4073.0,67062.0,71135,New South Wales
16610,Richmond Valley (A),2021.0,21233.0,23254,New South Wales
16650,Rockdale (C),936.0,114798.0,115734,New South Wales
16700,Ryde (C),509.0,120729.0,121238,New South Wales
16900,Shellharbour (C),3178.0,67213.0,70391,New South Wales
16950,Shoalhaven (C),6801.0,95142.0,101943,New South Wales
17000,Singleton (A),1596.0,21978.0,23574,New South Wales
17040,Snowy Monaro Regional (A),545.0,20009.0,20554,New South Wales
17080,Snowy Valleys (A),774.0,13842.0,14616,New South Wales
17420,The Hills Shire (A),954.0,161930.0,162884,New South Wales
17550,Tweed (A),4470.0,89272.0,93742,New South Wales
17620,Upper Hunter Shire (A),901.0,13443.0,14344,New South Wales
17640,Upper Lachlan Shire (A),219.0,7592.0,7811,New South Wales
17650,Uralla (A),505.0,5673.0,6178,New South Wales
17750,Wagga Wagga (C),4243.0,59699.0,63942,New South Wales
17850,Walcha (A),225.0,2905.0,3130,New South Wales
17900,Walgett (A),2300.0,3975.0,6275,New South Wales
17950,Warren (A),524.0,2268.0,2792,New South Wales
18020,Warrumbungle Shire (A),1162.0,8317.0,9479,New South Wales
18050,Waverley (A),379.0,71634.0,72013,New South Wales
18100,Weddin (A),136.0,3540.0,3676,New South Wales
18200,Wentworth (A),804.0,6095.0,6899,New South Wales
18230,Western Plains Regional (A),9636.0,41753.0,51389,New South Wales
18250,Willoughby (C),157.0,77899.0,78056,New South Wales
18350,Wingecarribee (A),1147.0,47847.0,48994,New South Wales
18400,Wollondilly (A),1873.0,47997.0,49870,New South Wales
18450,Wollongong (C),6436.0,203961.0,210397,New South Wales
18500,Woollahra (A),209.0,57664.0,57873,New South Wales
18710,Yass Valley (A),477.0,16094.0,16571,New South Wales
19399,Unincorporated NSW,47.0,1046.0,1093,New South Wales
20110,Alpine (S),126.0,12564.0,12690,Victoria
20260,Ararat (RC),205.0,11535.0,11740,Victoria
20570,Ballarat (C),1741.0,101840.0,103581,Victoria
20660,Banyule (C),852.0,126595.0,127447,Victoria
20740,Bass Coast (S),363.0,33104.0,33467,Victoria
20830,Baw Baw (S),565.0,48725.0,49290,Victoria
20910,Bayside (C),241.0,102671.0,102912,Victoria
21010,Benalla (RC),264.0,13722.0,13986,Victoria
21110,Boroondara (C),389.0,176887.0,177276,Victoria
21180,Brimbank (C),994.0,203197.0,204191,Victoria
21270,Buloke (S),77.0,6208.0,6285,Victoria
21370,Campaspe (S),1064.0,36527.0,37591,Victoria
21450,Cardinia (S),930.0,96642.0,97572,Victoria
21610,Casey (C),1941.0,310848.0,312789,Victoria
21670,Central Goldfields (S),232.0,12852.0,13084,Victoria
21750,Colac-Otway (S),295.0,21069.0,21364,Victoria
21830,Corangamite (S),176.0,16064.0,16240,Victoria
21890,Darebin (C),1505.0,153621.0,155126,Victoria
22110,East Gippsland (S),1578.0,44025.0,45603,Victoria
22170,Frankston (C),1640.0,137862.0,139502,Victoria
22250,Gannawarra (S),239.0,10330.0,10569,Victoria
22830,Greater Shepparton (C),2697.0,62377.0,65074,Victoria
22910,Hepburn (S),178.0,15275.0,15453,Victoria
22980,Hindmarsh (S),93.0,5659.0,5752,Victoria
23110,Hobsons Bay (C),591.0,92817.0,93408,Victoria
23190,Horsham (RC),344.0,19540.0,19884,Victoria
23270,Hume (C),1775.0,205316.0,207091,Victoria
23350,Indigo (S),235.0,15926.0,16161,Victoria
23430,Kingston (C) (Vic.),702.0,158239.0,158941,Victoria
23670,Knox (C),889.0,159469.0,160358,Victoria
23810,Latrobe (C) (Vic.),1438.0,73184.0,74622,Victoria
23940,Loddon (S),145.0,7421.0,7566,Victoria
24130,Macedon Ranges (S),362.0,47117.0,47479,Victoria
24210,Manningham (C),252.0,122318.0,122570,Victoria
24250,Mansfield (S),78.0,8650.0,8728,Victoria
24330,Maribyrnong (C),533.0,86409.0,86942,Victoria
24410,Maroondah (C),667.0,114134.0,114801,Victoria
24600,Melbourne (C),656.0,145439.0,146095,Victoria
24650,Melton (C),1560.0,139809.0,141369,Victoria
24780,Mildura (RC),2519.0,52139.0,54658,Victoria
24850,Mitchell (S),794.0,41000.0,41794,Victoria
24900,Moira (S),594.0,28892.0,29486,Victoria
24970,Monash (C),488.0,192137.0,192625,Victoria
25060,Moonee Valley (C),519.0,122350.0,122869,Victoria
25150,Moorabool (S),443.0,32218.0,32661,Victoria
25250,Moreland (C),1025.0,171317.0,172342,Victoria
25340,Mornington Peninsula (S),1618.0,159910.0,161528,Victoria
25430,Mount Alexander (S),258.0,18836.0,19094,Victoria
25490,Moyne (S),230.0,16503.0,16733,Victoria
25620,Murrindindi (S),226.0,13824.0,14050,Victoria
25710,Nillumbik (S),279.0,63895.0,64174,Victoria
25810,Northern Grampians (S),207.0,11364.0,11571,Victoria
25900,Port Phillip (C),562.0,108067.0,108629,Victoria
25990,Pyrenees (S),164.0,7158.0,7322,Victoria
26080,Queenscliffe (B),11.0,2872.0,2883,Victoria
26170,South Gippsland (S),325.0,28808.0,29133,Victoria
17100,Strathfield (A),145.0,42402.0,42547,New South Wales
17150,Sutherland Shire (A),2916.0,223534.0,226450,New South Wales
17200,Sydney (C),3506.0,219079.0,222585,New South Wales
17310,Tamworth Regional (A),7468.0,53522.0,60990,New South Wales
17350,Temora (A),176.0,6090.0,6266,New South Wales
17400,Tenterfield (A),488.0,6209.0,6697,New South Wales
22310,Glen Eira (C),302.0,148281.0,148583,Victoria
22410,Glenelg (S),574.0,19195.0,19769,Victoria
22490,Golden Plains (S),238.0,21778.0,22016,Victoria
22620,Greater Bendigo (C),2212.0,110056.0,112268,Victoria
22670,Greater Dandenong (C),642.0,159580.0,160222,Victoria
22750,Greater Geelong (C),2873.0,236712.0,239585,Victoria
26260,Southern Grampians (S),281.0,15847.0,16128,Victoria
26350,Stonnington (C),395.0,110608.0,111003,Victoria
26430,Strathbogie (S),140.0,10218.0,10358,Victoria
26490,Surf Coast (S),233.0,30220.0,30453,Victoria
26610,Swan Hill (RC),1067.0,19826.0,20893,Victoria
26670,Towong (S),108.0,5940.0,6048,Victoria
26700,Wangaratta (RC),444.0,28148.0,28592,Victoria
26730,Warrnambool (C),664.0,33569.0,34233,Victoria
26810,Wellington (S),773.0,42754.0,43527,Victoria
26890,West Wimmera (S),38.0,3934.0,3972,Victoria
26980,Whitehorse (C),421.0,169209.0,169630,Victoria
27070,Whittlesea (C),1978.0,205080.0,207058,Victoria
27170,Wodonga (C),1165.0,38935.0,40100,Victoria
27260,Wyndham (C),2090.0,224955.0,227045,Victoria
27350,Yarra (C),527.0,92320.0,92847,Victoria
27450,Yarra Ranges (S),1624.0,153609.0,155233,Victoria
27630,Yarriambiack (S),93.0,6646.0,6739,Victoria
29399,Unincorporated Vic,11.0,708.0,719,Victoria
30250,Aurukun (S),1221.0,102.0,1323,Queensland
30300,Balonne (S),838.0,3623.0,4461,Queensland
30370,Banana (S),689.0,13881.0,14570,Queensland
30410,Barcaldine (R),203.0,2673.0,2876,Queensland
30450,Barcoo (S),36.0,256.0,292,Queensland
30760,Blackall-Tambo (R),122.0,1836.0,1958,Queensland
34710,Longreach (R),240.0,3487.0,3727,Queensland
34770,Mackay (R),7050.0,110168.0,117218,Queensland
34800,McKinlay (S),44.0,773.0,817,Queensland
34830,Mapoon (S),319.0,34.0,353,Queensland
34860,Maranoa (R),1099.0,11827.0,12926,Queensland
34880,Mareeba (S),3396.0,18642.0,22038,Queensland
35010,Moreton Bay (R),14999.0,424373.0,439372,Queensland
35250,Mornington (S),1110.0,141.0,1251,Queensland
35300,Mount Isa (C),4117.0,15504.0,19621,Queensland
35600,Murweh (S),635.0,3751.0,4386,Queensland
35670,Napranum (S),1037.0,52.0,1089,Queensland
35740,Noosa (S),941.0,52944.0,53885,Queensland
35760,North Burnett (R),841.0,9805.0,10646,Queensland
35780,Northern Peninsula Area (R),2655.0,290.0,2945,Queensland
35790,Palm Island (S),2470.0,111.0,2581,Queensland
35800,Paroo (S),530.0,1143.0,1673,Queensland
36070,Pormpuraaw (S),677.0,97.0,774,Queensland
36150,Quilpie (S),152.0,677.0,829,Queensland
36250,Redland (C),4063.0,148153.0,152216,Queensland
36300,Richmond (S),62.0,756.0,818,Queensland
36370,Rockhampton (R),6981.0,74341.0,81322,Queensland
36510,Scenic Rim (R),1461.0,39523.0,40984,Queensland
36580,Somerset (R),1091.0,24061.0,25152,Queensland
36630,South Burnett (R),2054.0,30408.0,32462,Queensland
36660,Southern Downs (R),1841.0,33799.0,35640,Queensland
36720,Sunshine Coast (R),6702.0,296176.0,302878,Queensland
36820,Tablelands (R),2220.0,22998.0,25218,Queensland
36910,Toowoomba (R),7579.0,156588.0,164167,Queensland
36950,Torres (S),2900.0,899.0,3799,Queensland
36960,Torres Strait Island (R),4511.0,264.0,4775,Queensland
37010,Townsville (C),15645.0,175704.0,191349,Queensland
40070,Adelaide (C),374.0,23178.0,23552,South Australia
30900,Boulia (S),133.0,274.0,407,Queensland
31000,Brisbane (C),20367.0,1164298.0,1184665,Queensland
40120,Adelaide Hills (DC),270.0,39389.0,39659,South Australia
40220,Alexandrina (DC),491.0,26075.0,26566,South Australia
31750,Bulloo (S),45.0,302.0,347,Queensland
31820,Bundaberg (R),4366.0,89890.0,94256,Queensland
31900,Burdekin (S),1140.0,16185.0,17325,Queensland
31950,Burke (S),150.0,136.0,286,Queensland
32080,Cairns (R),17758.0,143829.0,161587,Queensland
32250,Carpentaria (S),911.0,1058.0,1969,Queensland
32260,Cassowary Coast (R),3465.0,25807.0,29272,Queensland
32270,Central Highlands (R) (Qld),1479.0,27074.0,28553,Queensland
32310,Charters Towers (R),1259.0,10828.0,12087,Queensland
32330,Cherbourg (S),1437.0,17.0,1454,Queensland
32450,Cloncurry (S),881.0,2229.0,3110,Queensland
32500,Cook (S),1073.0,3034.0,4107,Queensland
32600,Croydon (S),67.0,195.0,262,Queensland
37300,Weipa (T),953.0,3086.0,4039,Queensland
37310,Western Downs (R),2306.0,31745.0,34051,Queensland
37340,Whitsunday (R),2027.0,32511.0,34538,Queensland
32750,Diamantina (S),54.0,230.0,284,Queensland
41140,Clare and Gilbert Valleys (DC),138.0,9108.0,9246,South Australia
32770,Doomadgee (S),1481.0,78.0,1559,Queensland
32810,Douglas (S),1124.0,10938.0,12062,Queensland
33100,Etheridge (S),56.0,785.0,841,Queensland
33200,Flinders (S) (Qld),121.0,1448.0,1569,Queensland
33220,Fraser Coast (R),5029.0,97938.0,102967,Queensland
33360,Gladstone (R),2969.0,60048.0,63017,Queensland
33430,Gold Coast (C),11092.0,564211.0,575303,Queensland
33610,Goondiwindi (R),692.0,10118.0,10810,Queensland
33620,Gympie (R),2113.0,48210.0,50323,Queensland
33800,Hinchinbrook (S),778.0,10190.0,10968,Queensland
33830,Hope Vale (S),968.0,52.0,1020,Queensland
33960,Ipswich (C),10118.0,189992.0,200110,Queensland
33980,Isaac (R),973.0,20570.0,21543,Queensland
34420,Kowanyama (S),923.0,71.0,994,Queensland
34530,Livingstone (S),1958.0,34992.0,36950,Queensland
34570,Lockhart River (S),718.0,67.0,785,Queensland
34580,Lockyer Valley (R),1807.0,37693.0,39500,Queensland
34590,Logan (C),11794.0,302717.0,314511,Queensland
37400,Winton (S),123.0,1052.0,1175,Queensland
37550,Woorabinda (S),1086.0,50.0,1136,Queensland
40250,Anangu Pitjantjatjara (AC),2226.0,272.0,2498,South Australia
40310,Barossa (DC),262.0,23930.0,24192,South Australia
37570,Wujal Wujal (S),296.0,21.0,317,Queensland
37600,Yarrabah (S),2655.0,47.0,2702,Queensland
40430,Barunga West (DC),67.0,2524.0,2591,South Australia
40520,Berri and Barmera (DC),611.0,10227.0,10838,South Australia
40700,Burnside (C),165.0,45051.0,45216,South Australia
40910,Campbelltown (C) (SA),338.0,50730.0,51068,South Australia
41010,Ceduna (DC),949.0,2634.0,3583,South Australia
41060,Charles Sturt (C),1973.0,113000.0,114973,South Australia
41190,Cleve (DC),15.0,1815.0,1830,South Australia
41330,Coober Pedy (DC),407.0,1411.0,1818,South Australia
41560,Copper Coast (DC),475.0,13997.0,14472,South Australia
41750,Elliston (DC),42.0,1042.0,1084,South Australia
41830,Flinders Ranges (DC),279.0,1455.0,1734,South Australia
41960,Franklin Harbour (DC),31.0,1268.0,1299,South Australia
42030,Gawler (T),479.0,22871.0,23350,South Australia
42110,Goyder (DC),86.0,4155.0,4241,South Australia
42250,Grant (DC),159.0,8285.0,8444,South Australia
42600,Holdfast Bay (C),315.0,36235.0,36550,South Australia
42750,Kangaroo Island (DC),87.0,4749.0,4836,South Australia
43080,Karoonda East Murray (DC),17.0,1111.0,1128,South Australia
43220,Kimba (DC),18.0,1091.0,1109,South Australia
43360,Kingston (DC) (SA),59.0,2361.0,2420,South Australia
43650,Light (RegC),182.0,14879.0,15061,South Australia
43710,Lower Eyre Peninsula (DC),222.0,5442.0,5664,South Australia
43790,Loxton Waikerie (DC),325.0,11396.0,11721,South Australia
43920,Mallala (DC),286.0,8626.0,8912,South Australia
44000,Maralinga Tjarutja (AC),57.0,9.0,66,South Australia
44060,Marion (C),1247.0,89258.0,90505,South Australia
44210,Mid Murray (DC),259.0,8602.0,8861,South Australia
44340,Mitcham (C),426.0,66055.0,66481,South Australia
44550,Mount Barker (DC),441.0,33440.0,33881,South Australia
44620,Mount Gambier (C),728.0,26302.0,27030,South Australia
44830,Mount Remarkable (DC),113.0,2812.0,2925,South Australia
45040,Murray Bridge (RC),1237.0,20316.0,21553,South Australia
