lga_code16,lga_name16,aboriginal_torres_strait_persons,non_indigenous_persons,total_erp,ste_name16
57280,Port Hedland (T),3490.0,11610.0,15100,Western Australia
57350,Quairading (S),106.0,900.0,1006,Western Australia
57420,Ravensthorpe (S),46.0,1759.0,1805,Western Australia
57490,Rockingham (C),3446.0,125546.0,128992,Western Australia
65010,Southern Midlands (M),405.0,5682.0,6087,Tasmania
65210,Tasman (M),153.0,2236.0,2389,Tasmania
65410,Waratah/Wynyard (M),1244.0,12571.0,13815,Tasmania
65610,West Coast (M),377.0,3833.0,4210,Tasmania
65810,West Tamar (M),650.0,22443.0,23093,Tasmania
58330,Toodyay (S),162.0,4299.0,4461,Western Australia
58400,Trayning (S),26.0,314.0,340,Western Australia
58470,Upper Gascoyne (S),209.0,99.0,308,Western Australia
58510,Victoria Park (T),714.0,35946.0,36660,Western Australia
70200,Alice Springs (T),6543.0,19975.0,26518,Northern Territory
58540,Victoria Plains (S),31.0,890.0,921,Western Australia
58570,Vincent (C),355.0,35641.0,35996,Western Australia
58610,Wagin (S),49.0,1836.0,1885,Western Australia
58680,Wandering (S),4.0,453.0,457,Western Australia
58760,Wanneroo (C),3551.0,191221.0,194772,Western Australia
58820,Waroona (S),135.0,4027.0,4162,Western Australia
58890,West Arthur (S),34.0,815.0,849,Western Australia
59030,Westonia (S),4.0,291.0,295,Western Australia
72800,Palmerston (C),5375.0,30663.0,36038,Northern Territory
73600,Roper Gulf (R),6145.0,1170.0,7315,Northern Territory
74050,Tiwi Islands (R),2541.0,236.0,2777,Northern Territory
74550,Victoria Daly (R),2242.0,855.0,3097,Northern Territory
59100,Wickepin (S),32.0,717.0,749,Western Australia
74560,Wagait (S),57.0,466.0,523,Northern Territory
74660,West Arnhem (R),5739.0,1218.0,6957,Northern Territory
74680,West Daly (R),3420.0,242.0,3662,Northern Territory
79399,Unincorporated NT,1037.0,6136.0,7173,Northern Territory
59170,Williams (S),19.0,1002.0,1021,Western Australia
59250,Wiluna (S),311.0,500.0,811,Western Australia
89399,Unincorporated ACT,7513.0,395591.0,403104,Australian Capital Territory
99399,Unincorp. Other Territories,264.0,4344.0,4608,Other Territories
59310,Wongan-Ballidu (S),107.0,1310.0,1417,Western Australia
59320,Woodanilling (S),11.0,422.0,433,Western Australia
59330,Wyalkatchem (S),11.0,465.0,476,Western Australia
59340,Wyndham-East Kimberley (S),3077.0,4400.0,7477,Western Australia
59350,Yalgoo (S),106.0,250.0,356,Western Australia
59360,Yilgarn (S),54.0,1122.0,1176,Western Australia
59370,York (S),153.0,3466.0,3619,Western Australia
60210,Break O'Day (M),293.0,5905.0,6198,Tasmania
60410,Brighton (M),1902.0,14765.0,16667,Tasmania
60610,Burnie (C),1576.0,17633.0,19209,Tasmania
60810,Central Coast (M) (Tas.),1786.0,19987.0,21773,Tasmania
61010,Central Highlands (M) (Tas.),135.0,2036.0,2171,Tasmania
61210,Circular Head (M),1524.0,6578.0,8102,Tasmania
61410,Clarence (C),2315.0,53140.0,55455,Tasmania
61510,Derwent Valley (M),562.0,9509.0,10071,Tasmania
61610,Devoort (C),1892.0,23234.0,25126,Tasmania
61810,Dorset (M),229.0,6500.0,6729,Tasmania
62010,Flinders (M) (Tas.),187.0,752.0,939,Tasmania
62210,George Town (M),365.0,6509.0,6874,Tasmania
62410,Glamorgan/Spring Bay (M),264.0,4183.0,4447,Tasmania
62610,Glenorchy (C),2735.0,44001.0,46736,Tasmania
62810,Hobart (C),864.0,51152.0,52016,Tasmania
63010,Huon Valley (M),1842.0,14721.0,16563,Tasmania
63210,Kentish (M),375.0,5884.0,6259,Tasmania
63410,King Island (M),45.0,1549.0,1594,Tasmania
63610,Kingborough (M),1556.0,34987.0,36543,Tasmania
63810,Latrobe (M) (Tas.),650.0,10267.0,10917,Tasmania
64010,Launceston (C),2821.0,63688.0,66509,Tasmania
64210,Meander Valley (M),686.0,18870.0,19556,Tasmania
64610,Northern Midlands (M),383.0,12587.0,12970,Tasmania
64810,Sorell (M),721.0,13775.0,14496,Tasmania
70420,Barkly (R),5606.0,1860.0,7466,Northern Territory
70540,Belyuen (S),236.0,5.0,241,Northern Territory
70620,Central Desert (R),3675.0,516.0,4191,Northern Territory
70700,Coomalie (S),467.0,854.0,1321,Northern Territory
71000,Darwin (C),8394.0,76965.0,85359,Northern Territory
71300,East Arnhem (R),9925.0,464.0,10389,Northern Territory
72200,Katherine (T),3466.0,7089.0,10555,Northern Territory
72300,Litchfield (M),3677.0,21595.0,25272,Northern Territory
72330,MacDonnell (R),6001.0,823.0,6824,Northern Territory
