lga_name_2016,lga_code_2016,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Greater Geraldton (C),53800,2583,753,155,6,13,3,17,49,17,3561,55,36,0,0,3,0,0,4,0,91,245,42,6,3,5,0,3,14,11,314,10644,1288,200,67,97,23,60,251,50,12429,3641,294,24,49,75,13,9,144,19,4117,4539,171,14,3,0,9,32,51,7,4773,1375,400,81,0,0,0,4,4,12,1862,442,240,79,0,0,0,17,17,3,772,1034,164,28,0,0,0,11,16,5,1240,43,34,3,0,0,0,0,0,0,82,230,30,11,11,15,3,0,29,3,299,63,10,0,0,0,0,0,3,0,79,3177,877,197,13,15,3,32,69,22,4345,53,35,0,0,3,0,0,4,0,97,284,49,16,3,5,0,6,17,8,373,11690,1422,251,70,98,30,85,284,56,13710
Katanning (S),54340,318,78,14,0,0,0,0,0,3,412,12,0,0,0,0,0,0,0,0,12,35,7,0,0,0,0,0,0,0,40,1163,88,16,0,0,0,0,0,8,1273,436,3,0,0,0,0,0,0,0,439,419,5,3,0,0,0,0,0,0,425,124,27,8,0,0,0,0,0,0,160,59,38,0,0,0,0,0,0,4,92,115,3,0,0,0,0,0,0,0,124,13,3,0,0,0,0,0,0,0,15,44,18,0,0,0,0,0,0,0,64,17,0,4,0,0,0,0,0,0,17,371,85,14,0,0,0,0,0,3,475,12,0,0,0,0,0,0,0,0,12,43,4,0,0,0,0,0,0,3,49,1275,97,16,0,0,0,0,0,13,1399
Kellerberrin (S),54410,68,12,0,0,0,0,0,0,0,89,6,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,4,21,393,14,0,0,0,0,3,5,6,420,203,0,0,0,0,0,0,0,3,202,109,0,0,0,0,0,0,4,0,114,9,0,0,0,0,0,0,0,0,9,15,10,0,0,0,0,0,0,0,26,36,3,0,0,0,0,0,0,0,43,8,7,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,10,87,18,0,0,0,0,0,0,3,104,6,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,4,21,418,20,0,0,0,0,3,5,10,449
Kulin (S),54760,51,10,0,0,0,0,0,0,3,65,11,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,11,267,10,0,0,0,0,0,0,4,289,153,0,0,0,0,0,0,0,0,156,51,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,0,0,0,3,28,7,0,0,0,0,0,0,3,34,4,0,0,0,0,0,0,0,0,4,60,15,0,0,0,0,0,0,3,75,11,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,11,279,19,0,0,0,0,0,0,4,300
Kent (S),54480,42,0,6,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,173,4,6,3,0,0,0,3,0,185,94,0,0,0,0,0,0,0,0,98,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,24,3,3,0,0,0,0,0,0,29,8,0,0,0,0,0,0,0,0,10,48,0,6,0,0,0,0,0,0,55,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,178,4,6,3,0,0,0,3,0,189
Kojonup (S),54550,174,6,18,0,0,0,0,0,0,195,15,0,0,0,0,0,0,0,0,15,22,0,0,0,0,0,0,0,0,23,667,9,21,0,0,3,0,3,3,709,323,0,0,0,0,3,0,3,0,327,158,0,0,0,0,0,0,0,0,163,12,0,3,0,0,0,0,0,0,19,24,0,7,0,0,0,0,0,0,32,95,0,3,0,0,0,0,0,0,99,0,0,7,0,0,0,0,0,0,7,32,3,0,0,0,0,0,0,0,37,16,0,0,0,0,0,0,0,0,19,187,6,22,0,0,0,0,0,0,214,15,0,0,0,0,0,0,0,0,15,27,4,0,0,0,0,0,0,0,29,701,11,27,0,0,3,0,3,3,740
Kwinana (C),54830,2537,347,292,0,0,0,17,16,11,3206,35,22,0,0,0,0,0,0,0,61,239,34,15,0,0,0,4,4,6,296,11246,673,416,3,0,0,60,63,39,12442,1987,73,22,0,0,0,6,8,3,2087,6633,201,89,0,0,0,34,38,24,6982,1593,155,118,0,0,0,8,6,9,1878,231,145,114,0,0,0,0,0,0,491,772,43,55,0,0,0,8,7,3,874,23,15,24,0,0,0,0,0,0,55,83,7,10,0,0,0,0,0,0,95,32,6,0,0,0,0,0,0,0,40,2734,364,318,0,0,0,19,19,11,3444,37,22,0,0,0,0,0,0,0,64,254,34,15,0,0,0,4,4,6,311,11648,691,442,3,0,0,64,72,39,12892
Kondinin (S),54620,76,3,15,0,0,0,0,0,0,99,3,0,0,0,0,0,0,0,0,3,11,0,3,0,0,0,0,0,0,11,266,3,19,3,0,0,0,3,3,294,131,0,0,3,0,0,0,3,0,136,55,0,0,0,0,0,0,0,0,58,3,0,0,0,0,0,0,0,0,3,16,0,6,0,0,0,0,0,0,23,41,0,0,0,0,0,0,0,0,42,0,0,7,0,0,0,0,0,0,12,24,0,0,0,0,0,0,0,0,24,11,0,0,0,0,0,0,0,0,11,88,3,15,0,0,0,0,0,0,107,3,0,0,0,0,0,0,0,0,3,11,0,3,0,0,0,0,0,0,11,284,3,19,3,0,0,0,3,3,315
Koorda (S),54690,46,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,166,0,0,0,0,0,0,0,0,167,85,0,0,0,0,0,0,0,0,85,36,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,5,49,0,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,167,0,0,0,0,0,0,0,0,174
Laverton (S),54970,50,4,0,0,0,0,0,0,4,57,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,82,6,0,7,0,0,0,6,7,108,11,0,0,7,0,0,0,7,0,20,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,80,13,4,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,4,114,4,0,0,0,0,0,3,4,128,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,154,6,0,7,0,0,0,9,7,175
