lga_code,lga_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
11300,Burwood (A),58,700,758,22879.3,210775.0,15630.8,249285.1,40932.6,290217.6
11350,Byron (A),242,49,303,71680.9,12744.8,14983.3,99409.0,73450.1,172859.1
11400,Cabonne (A),33,16,49,11160.0,3059.6,3025.8,17245.4,3183.6,20429.0
11450,Camden (A),2733,244,2980,846283.8,54197.9,12027.0,912508.7,259045.1,1171553.8
11500,Campbelltown (C) (NSW),1052,480,1538,276644.1,105308.2,19566.6,401518.8,110376.2,511895.1
11520,Canada Bay (A),115,421,545,73028.9,154246.8,43941.6,271217.4,57989.7,329207.1
11570,Canterbury-Bankstown (A),719,1956,2729,176194.1,515445.0,43942.1,735581.2,130258.1,865839.3
11600,Carrathool (A),7,0,7,1988.0,0.0,554.9,2542.8,14615.0,17157.8
11650,Central Coast (C) (NSW),922,643,1590,249058.7,144296.0,93775.8,487130.5,327754.4,814884.9
11700,Central Darling (A),3,0,3,602.7,0.0,231.6,834.3,3606.3,4440.6
11720,Cessnock (C),423,44,468,128095.1,7370.9,11096.7,146562.7,200917.1,347479.8
11730,Clarence Valley (A),153,16,178,38697.2,2185.0,8417.5,49299.6,23513.4,72813.1
11750,Cobar (A),1,0,1,214.0,0.0,367.9,581.9,211.0,792.9
11800,Coffs Harbour (C),332,131,468,100854.1,28345.9,14234.4,143434.4,37114.5,180548.9
12000,Coolamon (A),15,0,15,4546.7,0.0,819.8,5366.6,7104.0,12470.6
12150,Coonamble (A),6,6,12,1833.0,2233.0,40.0,4106.0,0.0,4106.0
12350,Cowra (A),41,0,41,12685.5,0.0,1931.6,14617.1,9013.7,23630.8
12380,Cumberland (A),507,1992,2516,114279.5,481463.5,15097.6,610840.6,169050.7,779891.3
12700,Dungog (A),45,2,47,14586.1,300.0,1397.1,16283.2,217.6,16500.8
12730,Edward River (A),14,0,14,4322.3,0.0,1256.1,5578.4,2126.1,7704.5
12750,Eurobodalla (A),209,9,220,69115.8,1965.0,15403.6,86484.4,6311.1,92795.4
12850,Fairfield (C),824,455,1311,174826.5,106580.1,13615.0,295021.6,287573.0,582594.6
12870,Federation (A),70,2,73,21694.2,470.0,3538.0,25702.2,22056.0,47758.2
12900,Forbes (A),17,5,22,5064.7,1333.6,1039.2,7437.5,1224.5,8662.0
12930,Georges River (A),249,536,805,108215.7,157380.2,37110.2,302706.1,40564.3,343270.4
12950,Gilgandra (A),1,0,2,192.1,0.0,540.7,732.7,1081.0,1813.8
13010,Glen Innes Severn (A),14,3,17,3329.7,428.0,800.8,4558.5,0.0,4558.5
13310,Goulburn Mulwaree (A),86,12,99,24214.1,2349.3,3181.2,29744.7,14624.4,44369.0
13340,Greater Hume Shire (A),62,0,62,18707.5,0.0,3120.7,21828.2,15196.0,37024.2
13450,Griffith (C),82,20,102,27780.4,2552.7,4743.6,35076.7,8636.4,43713.0
13510,Gundagai (A),19,0,19,5429.6,0.0,3156.3,8585.9,33038.9,41624.7
13550,Gunnedah (A),46,4,50,14835.5,800.0,2080.6,17716.1,12052.7,29768.7
13660,Gwydir (A),9,0,9,2324.7,0.0,842.4,3167.1,430.0,3597.1
13800,Hawkesbury (C),236,54,293,96717.1,11456.0,15353.4,123526.5,60698.2,184224.7
13850,Hay (A),2,0,2,370.3,0.0,183.9,554.2,360.0,914.2
16380,Port Macquarie-Hastings (A),496,216,713,149229.2,59336.5,21075.9,229641.5,103795.6,333437.1
16400,Port Stephens (A),260,30,291,91965.9,7119.7,11915.7,111001.3,324184.1,435185.4
16490,Queanbeyan-Palerang Regional (A),423,39,467,138322.4,9300.0,11887.6,159510.0,21155.4,180665.4
16550,Randwick (C),88,571,692,64519.4,224757.2,107812.5,397089.2,525346.4,922435.6
16610,Richmond Valley (A),51,12,66,12426.6,2385.0,2909.1,17720.7,3713.8,21434.5
16650,Rockdale (C),190,1573,1775,64074.4,561265.0,23046.2,648385.5,94869.5,743255.0
16700,Ryde (C),108,2179,2293,56868.9,762251.0,14135.2,833255.1,113317.2,946572.2
16900,Shellharbour (C),375,255,633,113719.6,66622.8,10111.4,190453.8,54518.1,244971.9
16950,Shoalhaven (C),677,114,797,198347.7,21342.3,43953.4,263643.5,185814.2,449457.7
17000,Singleton (A),55,21,76,20114.4,3100.0,4505.3,27719.7,24940.9,52660.6
17040,Snowy Monaro Regional (A),75,10,88,22861.9,1796.9,5626.4,30285.2,15180.5,45465.7
17080,Snowy Valleys (A),33,0,34,9857.0,0.0,2912.7,12769.7,1486.0,14255.7
17420,The Hills Shire (A),1593,2070,3673,699035.2,682221.3,40920.5,1422176.9,996036.7,2418213.5
17550,Tweed (A),250,126,381,85602.8,34485.0,18787.5,138875.3,39010.3,177885.7
17620,Upper Hunter Shire (A),25,0,25,8014.8,0.0,2540.2,10554.9,2695.0,13249.9
17640,Upper Lachlan Shire (A),27,0,27,7156.2,0.0,2141.3,9297.4,201.5,9498.9
17650,Uralla (A),20,0,20,4234.9,0.0,842.9,5077.8,400.0,5477.8
17750,Wagga Wagga (C),277,74,353,85822.3,15004.4,13760.3,114587.0,38690.4,153277.4
17850,Walcha (A),2,0,2,540.0,0.0,477.6,1017.6,0.0,1017.6
17900,Walgett (A),2,0,2,300.0,0.0,570.2,870.2,299.3,1169.5
17950,Warren (A),7,0,8,2914.5,0.0,217.4,3131.9,1399.0,4530.9
18020,Warrumbungle Shire (A),4,0,4,1225.4,0.0,1096.2,2321.6,4387.0,6708.6
18050,Waverley (A),46,219,271,39744.9,77812.2,82836.6,200393.7,63103.8,263497.5
18100,Weddin (A),7,0,7,1608.4,0.0,355.2,1963.6,369.4,2333.0
18200,Wentworth (A),37,0,37,15549.7,0.0,4126.9,19676.5,12174.8,31851.3
18230,Western Plains Regional (A),283,86,370,81257.2,17445.8,7595.5,106298.5,191506.1,297804.6
18250,Willoughby (C),62,43,117,49581.3,14110.2,75441.6,139133.1,132036.6,271169.6
18350,Wingecarribee (A),261,79,349,90324.5,17909.7,23961.3,132195.6,89156.8,221352.4
18400,Wollondilly (A),370,23,400,116575.3,4902.7,15126.9,136604.9,16252.8,152857.7
18450,Wollongong (C),494,418,920,155960.1,98137.6,48375.7,302473.5,138735.1,441208.6
18500,Woollahra (A),64,246,338,122693.8,128839.6,120261.3,371794.7,55897.5,427692.2
18710,Yass Valley (A),147,38,185,50367.8,5461.5,1226.6,57055.9,12681.8,69737.7
19399,Unincorporated NSW,0,0,0,0.0,0.0,0.0,0.0,2306.3,2306.3
20110,Alpine (S),65,2,67,22541.7,794.2,6309.6,29645.5,6598.7,36244.2
