lga_code16,tot_2000_2999_mng,tot_2000_2999_pro,tot_2000_2999_tectw,tot_2000_2999_copsw,tot_2000_2999_claw,tot_2000_2999_swks,tot_2000_2999_maopdv,tot_2000_2999_lab,tot_2000_2999_idns,tot_2000_2999_tot,tot_3000mo_mng,tot_3000mo_pro,tot_3000mo_tectw,tot_3000mo_copsw,tot_3000mo_claw,tot_3000mo_swks,tot_3000mo_maopdv,tot_3000mo_lab,tot_3000mo_idns,tot_3000mo_tot,tot_pins_mng,tot_pins_pro,tot_pins_tectw,tot_pins_copsw,tot_pins_claw,tot_pins_swks,tot_pins_maopdv,tot_pins_lab,tot_pins_idns,tot_pins_tot,tot_tot_mng,tot_tot_pro,tot_tot_tectw,tot_tot_copsw,tot_tot_claw,tot_tot_swks,tot_tot_maopdv,tot_tot_lab,tot_tot_idns,tot_tot_tot,lga_name16
23270,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,11,3,4,12,17,3,55,4,8,13,127,127,183,570,817,307,2155,261,1041,105,5571,Hume (C)
23350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,5,3,32,65,9,91,3,60,3,276,Indigo (S)
23430,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,14,4,0,12,15,3,47,0,24,16,124,125,239,534,1085,291,2576,191,949,72,6066,Kingston (C) (Vic.)
23670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,10,19,3,30,0,11,16,98,131,220,527,1022,241,2255,146,934,62,5523,Knox (C)
23810,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,3,3,3,0,12,0,9,6,42,36,70,282,344,114,839,29,323,32,2075,Latrobe (C) (Vic.)
23940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,10,0,34,0,40,3,99,Loddon (S)
24130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,9,0,7,0,6,0,27,19,23,142,270,40,377,27,258,8,1168,Macedon Ranges (S)
24210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,8,7,14,0,32,0,8,5,78,83,164,260,797,183,1828,42,533,31,3919,Manningham (C)
24250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,40,37,8,50,7,35,0,187,Mansfield (S)
24330,0,0,0,4,3,3,0,0,0,15,0,0,0,8,0,0,0,0,0,8,0,0,0,11,5,27,0,8,13,55,71,146,187,643,218,1684,86,407,47,3485,Maribyrnong (C)
24410,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,6,10,9,3,39,4,18,7,93,90,160,416,869,224,1865,57,673,48,4408,Maroondah (C)
24600,0,6,6,15,5,3,0,4,0,47,0,5,3,26,6,4,0,3,4,53,4,40,32,77,41,88,0,30,78,399,570,2853,1314,5027,3271,5280,176,2695,567,21746,Melbourne (C)
24650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,7,4,37,0,12,3,61,42,54,225,424,106,1027,46,440,23,2396,Melton (C)
24780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,5,20,0,7,3,38,19,53,161,189,56,628,15,228,23,1364,Mildura (RC)
24850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,3,4,27,15,20,86,156,36,368,11,197,15,914,Mitchell (S)
24900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,5,3,25,18,10,105,98,33,243,3,160,13,688,Moira (S)
24970,3,0,0,3,3,0,0,0,0,10,0,3,0,10,0,0,0,0,0,12,0,18,11,20,9,32,10,13,17,126,128,774,638,1569,692,2027,191,834,129,6970,Monash (C)
25060,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,9,13,3,33,0,13,7,84,53,186,250,857,264,1612,48,460,52,3789,Moonee Valley (C)
25150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,9,0,3,3,17,22,18,79,140,29,213,10,164,15,698,Moorabool (S)
25250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,3,13,0,3,0,32,59,162,276,646,202,964,73,417,43,2850,Moreland (C)
25340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,11,27,4,45,0,18,13,121,109,91,589,1071,164,1735,58,754,59,4640,Mornington Peninsula (S)
17200,3,28,3,7,13,6,0,4,0,66,3,8,0,17,11,4,0,0,0,41,6,49,38,53,42,69,4,31,93,389,776,4363,2002,4919,4597,5547,356,2291,714,25577,Sydney (C)
17310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,3,0,11,4,6,7,32,27,68,205,245,64,532,33,247,24,1439,Tamworth Regional (A)
17350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,8,23,22,9,38,7,30,0,134,Temora (A)
17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,13,8,6,27,0,21,0,76,Tenterfield (A)
22490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,6,6,23,32,3,58,0,56,3,181,Golden Plains (S)
