lga_code_2016,south_africa_before_1946,south_africa_1946_1955,south_africa_1956_1965,south_africa_1966_1975,south_africa_1976_1985,south_africa_1986_1995,south_africa_1996_2005,south_africa_2006_2010,south_africa_2011,south_africa_2012,south_africa_2013,south_africa_2014,south_africa_2015,south_africa_2016,south_africa_yr_arrival_notstated,south_africa_tot,sri_lanka_before_1946,sri_lanka_1946_1955,sri_lanka_1956_1965,sri_lanka_1966_1975,sri_lanka_1976_1985,sri_lanka_1986_1995,sri_lanka_1996_2005,sri_lanka_2006_2010,sri_lanka_2011,sri_lanka_2012,sri_lanka_2013,sri_lanka_2014,sri_lanka_2015,sri_lanka_2016,sri_lanka_yr_arrival_notstated,sri_lanka_tot,thailand_before_1946,thailand_1946_1955,thailand_1956_1965,thailand_1966_1975,thailand_1976_1985,thailand_1986_1995,thailand_1996_2005,thailand_2006_2010,thailand_2011,thailand_2012,thailand_2013,thailand_2014,thailand_2015,thailand_2016,thailand_yr_arrival_notstated,thailand_tot,fmr_yugoslav_rep_of_macedonia_before_1946,fmr_yugoslav_rep_of_macedonia_1946_1955,fmr_yugoslav_rep_of_macedonia_1956_1965,fmr_yugoslav_rep_of_macedonia_1966_1975,fmr_yugoslav_rep_of_macedonia_1976_1985,fmr_yugoslav_rep_of_macedonia_1986_1995,fmr_yugoslav_rep_of_macedonia_1996_2005,fmr_yugoslav_rep_of_macedonia_2006_2010,fmr_yugoslav_rep_of_macedonia_2011,fmr_yugoslav_rep_of_macedonia_2012,fmr_yugoslav_rep_of_macedonia_2013,fmr_yugoslav_rep_of_macedonia_2014,fmr_yugoslav_rep_of_macedonia_2015,fmr_yugoslav_rep_of_macedonia_2016,fmr_yugoslav_rep_of_macedonia_arrival_notstated,fmr_yugoslav_rep_of_macedonia_tot,turkey_before_1946,turkey_1946_1955,turkey_1956_1965,turkey_1966_1975,turkey_1976_1985,turkey_1986_1995,turkey_1996_2005,turkey_2006_2010,turkey_2011,turkey_2012,turkey_2013,turkey_2014,turkey_2015,turkey_2016,turkey_yr_arrival_notstated,turkey_tot,united_kingdom_before_1946,united_kingdom_1946_1955,united_kingdom_1956_1965,united_kingdom_1966_1975,united_kingdom_1976_1985,united_kingdom_1986_1995,united_kingdom_1996_2005,united_kingdom_2006_2010,united_kingdom_2011,united_kingdom_2012,united_kingdom_2013,united_kingdom_2014,united_kingdom_2015,united_kingdom_2016,united_kingdom_yr_arrival_notstated,united_kingdom_tot,usa_before_1946,usa_1946_1955,usa_1956_1965,usa_1966_1975,usa_1976_1985,usa_1986_1995,usa_1996_2005,usa_2006_2010,united_states_america_2011,united_states_america_2012,united_states_america_2013,united_states_america_2014,united_states_america_2015,united_states_america_2016,usa_year_of_arrival_notstated,usa_total,vietnam_before_1946,vietnam_1946_1955,vietnam_1956_1965,vietnam_1966_1975,vietnam_1976_1985,vietnam_1986_1995,vietnam_1996_2005,vietnam_2006_2010,vietnam_2011,vietnam_2012,vietnam_2013,vietnam_2014,vietnam_2015,vietnam_2016,vietnam_yr_arrival_notstated,vietnam_tot,zimbabwe_before_1946,zimbabwe_1946_1955,zimbabwe_1956_1965,zimbabwe_1966_1975,zimbabwe_1976_1985,zimbabwe_1986_1995,zimbabwe_1996_2005,zimbabwe_2006_2010,zimbabwe_2011,zimbabwe_2012,zimbabwe_2013,zimbabwe_2014,zimbabwe_2015,zimbabwe_2016,zimbabwe_yr_arrival_notstated,zimbabwe_tot,born_elsewhere_before_1946,born_elsewhere_1946_1955,born_elsewhere_1956_1965,born_elsewhere_1966_1975,born_elsewhere_1976_1985,born_elsewhere_1986_1995,born_elsewhere_1996_2005,born_elsewhere_2006_2010,born_elsewhere_2011,born_elsewhere_2012,born_elsewhere_2013,born_elsewhere_2014,born_elsewhere_2015,born_elsewhere_2016,born_elsewhere_yr_arrival_notstated,born_elsewhere_tot,tot_before_1946,tot_1946_1955,tot_1956_1965,tot_1966_1975,tot_1976_1985,tot_1986_1995,tot_1996_2005,tot_2006_2010,tot_2011,tot_2012,tot_2013,tot_2014,tot_2015,tot_2016,tot_yr_arrival_notstated,tot_tot,lga_name16
10050,0,0,5,7,4,3,54,47,3,0,0,0,0,3,3,135,0,0,0,0,6,15,16,18,13,16,3,6,12,3,3,99,0,0,0,0,4,3,20,19,3,3,0,4,6,0,0,63,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,8,94,222,350,158,94,120,86,8,11,14,8,11,0,53,1245,0,4,0,12,3,16,16,17,4,8,3,3,4,8,3,99,0,0,0,0,4,7,7,14,3,0,0,3,3,3,0,39,0,0,0,0,5,3,5,14,3,0,0,3,4,0,0,33,0,69,83,130,85,54,81,278,135,86,78,68,66,14,21,1258,21,410,562,723,491,426,586,1011,259,243,174,199,186,106,178,5562,Albury (C)
10130,0,0,3,3,3,7,32,12,0,8,0,0,0,0,0,81,0,0,0,0,10,4,7,12,6,5,7,6,0,4,0,67,0,0,0,0,0,3,9,8,0,0,0,0,3,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,7,53,124,173,77,51,88,61,13,17,4,13,7,6,23,713,0,0,4,19,23,15,34,17,3,4,11,6,11,3,0,147,0,0,0,0,0,0,3,5,5,6,3,9,3,13,3,49,0,0,0,0,3,0,6,8,0,0,0,0,3,0,0,29,3,18,21,48,37,45,83,181,23,45,43,99,174,92,35,942,10,121,230,349,276,263,496,524,100,140,173,255,371,223,134,3667,Armidale Regional (A)
10250,0,3,16,24,37,25,52,50,3,6,3,7,11,0,3,229,0,0,3,3,0,7,0,3,0,0,0,0,4,0,3,23,0,0,0,0,0,7,20,18,3,3,4,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,21,145,314,418,139,119,198,150,21,22,23,22,14,5,68,1678,0,0,7,31,17,28,13,21,6,5,0,9,0,0,5,145,0,0,0,0,0,8,3,3,0,3,0,0,0,0,4,26,0,0,0,0,7,3,7,8,0,0,4,0,0,0,0,32,7,33,80,101,63,51,73,70,10,17,18,18,13,6,20,572,48,360,598,806,533,454,617,546,86,105,98,85,67,42,185,4624,Ballina (A)
10300,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,0,3,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,7,13,0,0,0,40,0,21,26,20,10,13,24,22,4,12,7,21,4,0,5,190,Balranald (A)
10470,0,0,10,0,8,11,26,32,3,6,0,10,3,0,0,102,0,3,0,0,0,5,12,12,3,0,6,0,0,0,0,49,0,0,0,0,0,8,9,12,3,3,3,3,3,3,0,53,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,104,191,263,127,81,60,51,13,12,21,0,11,13,51,1008,0,0,3,8,6,7,23,8,0,0,3,9,4,3,0,78,0,0,0,0,6,10,3,6,4,3,3,3,0,0,21,61,0,0,3,0,5,0,3,3,0,0,0,0,0,0,0,22,0,23,30,91,35,42,89,76,8,8,8,17,22,19,45,516,16,249,341,534,346,353,487,427,96,97,106,98,96,70,270,3581,Bathurst Regional (A)
10550,0,0,10,13,25,18,11,3,0,0,0,0,0,8,3,92,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,3,5,6,13,3,0,6,0,5,3,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,198,433,509,183,108,90,46,3,10,10,0,4,0,67,1674,3,3,3,28,24,19,20,21,5,0,0,5,0,0,8,128,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,14,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,11,0,50,75,110,58,45,40,18,9,10,0,5,0,5,24,445,33,454,752,866,518,349,315,215,42,44,56,22,34,33,171,3888,Bega Valley (A)
10600,0,0,3,7,11,0,10,3,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,53,132,185,75,69,74,27,12,11,4,5,0,0,33,687,0,0,0,11,12,5,13,3,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,6,13,21,35,22,26,18,14,5,5,8,3,7,0,10,188,15,111,214,324,224,193,178,99,22,26,13,17,13,5,71,1516,Bellingen (A)
10650,0,0,0,3,3,0,3,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,62,70,13,13,4,0,0,6,0,0,0,0,11,212,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,14,17,4,3,6,11,0,6,0,6,0,0,3,74,3,70,111,126,52,44,69,59,12,25,3,22,25,17,40,673,Berrigan (A)
10750,0,0,6,71,168,343,561,332,36,39,47,45,41,37,46,1778,0,0,10,113,133,984,1391,1127,161,327,235,109,100,81,95,4870,0,0,0,5,41,97,182,122,23,28,26,25,19,14,25,613,0,0,5,90,30,28,21,5,0,0,0,0,0,0,13,191,0,0,0,345,203,277,278,95,15,17,17,23,17,3,34,1335,14,392,1122,2046,797,579,503,466,108,88,100,51,53,23,205,6537,0,3,5,59,43,64,177,166,35,47,39,36,49,70,29,816,0,0,0,13,368,290,109,81,12,19,17,17,16,8,54,998,0,0,3,0,10,14,159,72,10,15,10,6,10,11,3,316,10,269,474,2188,2031,4655,7129,4217,614,674,642,742,718,513,734,25615,56,2246,4056,8883,9512,25869,33451,25527,3694,4180,4207,4116,3843,2558,3808,136001,Blacktown (C)
10800,0,0,0,0,0,3,5,3,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,32,8,3,8,7,0,0,0,0,4,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,5,7,3,3,7,6,3,3,4,8,0,0,0,59,0,18,39,47,23,37,30,42,5,18,12,16,7,3,4,311,Bland (A)
