lga_code16,tot_mng,tot_pro,tot_tech_trds_wks,tot_com_persl_svce_wks,tot_cler_admin_wks,tot_sales_wks,tot_mach_ops_dvrs,tot_labourers,tot_idns,tot_tot,lga_name16
10050,2613,4947,3276,3167,3763,3095,1429,2153,379,24820,Albury (C)
10130,1920,3139,1430,1509,1727,1331,483,1393,179,13097,Armidale Regional (A)
10250,1962,2967,1982,1962,1717,1693,717,1695,216,14913,Ballina (A)
10300,187,82,90,83,85,31,81,142,19,795,Balranald (A)
10470,2136,3344,2298,2432,2190,1866,924,1982,272,17455,Bathurst Regional (A)
10550,1686,1958,1622,1468,1360,1371,664,1624,189,11940,Bega Valley (A)
10600,594,668,465,449,359,304,240,472,64,3609,Bellingen (A)
10650,648,299,344,332,265,196,226,356,45,2709,Berrigan (A)
10750,11934,17027,12862,9390,14265,10620,16044,11109,2095,105352,Blacktown (C)
10800,716,269,347,182,234,152,331,317,52,2599,Bland (A)
10850,543,350,489,203,228,159,488,418,53,2922,Blayney (A)
10900,2020,4293,2315,3170,2139,1794,590,1879,247,18452,Blue Mountains (C)
10950,288,143,194,123,106,64,185,160,22,1298,Bogan (A)
11100,6651,7922,6180,5150,6837,4932,4644,4174,1014,47503,Botany Bay (C)
11150,210,170,113,179,111,54,62,113,34,1047,Bourke (A)
11200,144,93,31,95,36,13,22,61,12,499,Brewarrina (A)
11250,676,1170,987,1030,742,697,696,725,135,6845,Broken Hill (C)
13910,1541,868,895,665,759,674,410,1059,91,6958,Hilltops (A)
14000,5117,10540,5211,5485,5312,4510,1908,3576,638,42292,Hornsby (A)
14100,530,1385,431,791,570,263,64,287,69,4397,Hunters Hill (A)
14170,8604,15259,8067,7656,7359,5932,3487,4902,1141,62403,Inner West (A)
14200,996,894,804,756,608,684,365,1064,147,6324,Inverell (A)
14300,396,193,164,301,185,97,175,308,18,1836,Junee (A)
14350,1142,1549,1139,1441,1042,951,604,1272,193,9329,Kempsey (A)
14400,737,906,831,831,658,536,215,577,85,5363,Kiama (A)
14500,3894,10331,2683,4381,3895,2371,426,1703,522,30220,Ku-ring-gai (A)
14550,632,404,326,240,278,224,196,367,61,2725,Kyogle (A)
14600,629,318,270,252,227,169,179,260,40,2347,Lachlan (A)
14650,5589,10293,8483,7876,7831,7530,3460,5927,772,57757,Lake Macquarie (C)
14700,2762,5036,1616,1398,2282,1324,387,856,318,15982,Lane Cove (A)
14750,708,628,610,329,494,327,454,929,98,4576,Leeton (A)
14850,2341,4787,2246,2490,2742,2096,954,2133,303,20090,Lismore (C)
14870,755,1071,1205,966,1026,588,929,763,141,7444,Lithgow (C)
14900,7287,13174,8559,7148,9812,6727,7095,6520,1566,67886,Liverpool (C)
14920,631,297,279,257,238,152,353,395,50,2654,Liverpool Plains (A)
14950,326,104,80,93,86,36,54,93,12,877,Lockhart (A)
15050,2674,5158,3966,3155,3724,3174,1826,2711,375,26754,Maitland (C)
