LGA_MAIN11,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families,LGA_NAME11
13650,396,29,27,10,0,0,7,469,Guyra (A)
13660,459,42,20,6,0,0,6,533,Gwydir (A)
13700,304,22,20,3,0,0,3,352,Harden (A)
13800,7089,596,395,80,4,10,44,8218,Hawkesbury (C)
13850,266,18,21,3,0,3,6,317,Hay (A)
13950,12267,615,302,140,4,8,37,13373,Holroyd (C)
14000,22333,1099,458,185,3,14,52,24144,Hornsby (A)
14100,1582,91,33,4,0,0,3,1713,Hunters Hill (A)
14150,9842,492,218,124,0,12,32,10720,Hurstville (C)
14200,1377,136,113,19,0,0,17,1662,Inverell (A)
14250,147,11,10,0,0,0,0,168,Jerilderie (A)
14300,489,38,45,4,0,0,10,586,Junee (A)
14350,2016,182,143,42,7,8,31,2429,Kempsey (A)
14400,2144,171,89,13,0,3,11,2431,Kiama (A)
14450,7236,349,137,83,0,12,17,7834,Kogarah (C)
14500,16013,645,267,96,0,8,21,17050,Ku-ring-gai (A)
14550,751,71,50,12,0,0,16,900,Kyogle (A)
14600,616,30,26,10,0,0,16,698,Lachlan (A)
14650,18949,1769,1100,217,17,45,161,22258,Lake Macquarie (C)
14700,3866,194,69,18,3,0,8,4158,Lane Cove (A)
14750,1053,66,62,10,0,3,12,1206,Leeton (A)
14800,5209,335,97,22,0,7,11,5681,Leichhardt (A)
14850,3659,344,251,40,0,8,23,4325,Lismore (C)
14870,1709,152,129,25,4,3,19,2041,Lithgow (C)
14900,23795,1286,827,367,20,26,98,26419,Liverpool (C)
14920,622,56,44,13,0,4,8,747,Liverpool Plains (A)
14950,307,24,13,0,0,0,5,349,Lockhart (A)
15050,7332,672,486,64,9,12,46,8621,Maitland (C)
15150,4442,253,92,15,0,4,8,4814,Manly (A)
15200,6648,381,144,73,4,4,33,7287,Marrickville (A)
15270,2010,199,144,21,0,4,29,2407,Mid-Western Regional (A)
15300,1171,78,81,27,0,3,27,1387,Moree Plains (A)
15350,3039,141,47,8,0,0,5,3240,Mosman (A)
15500,569,39,35,9,0,3,7,662,Murray (A)
15550,209,11,17,4,0,0,0,241,Murrumbidgee (A)
15650,1491,130,138,15,0,0,14,1788,Muswellbrook (A)
15700,1283,115,107,9,4,0,20,1538,Nambucca (A)
15750,1237,80,90,12,0,4,11,1434,Narrabri (A)
15800,527,33,37,5,0,0,6,608,Narrandera (A)
15850,582,37,29,4,0,0,13,665,Narromine (A)
15900,13303,1181,673,103,7,20,78,15365,Newcastle (C)
15950,4425,312,54,17,0,3,13,4824,North Sydney (A)
16100,495,42,29,3,0,0,3,572,Oberon (A)
16150,3610,297,222,35,0,12,15,4191,Orange (C)
16180,1636,138,93,12,0,3,12,1894,Palerang (A)
16200,1300,97,86,16,0,4,22,1525,Parkes (A)
16250,19725,894,431,236,8,18,59,21371,Parramatta (C)
16350,20619,1741,1198,280,25,43,132,24038,Penrith (C)
16370,7127,512,247,49,6,0,13,7954,Pittwater (A)
