lga_code_2016,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size,lga_name16
10050,39,1413,647,231,1532,0.8,1182,2.3,Albury (C)
10130,35,1398,551,250,1465,0.8,1170,2.4,Armidale Regional (A)
10250,48,1733,599,340,1426,0.8,1151,2.3,Ballina (A)
10300,42,950,660,150,1438,0.8,1167,2.5,Balranald (A)
10470,36,1668,637,280,1632,0.8,1309,2.5,Bathurst Regional (A)
10550,51,1343,538,250,1242,0.8,988,2.2,Bega Valley (A)
10600,49,1400,513,280,1218,0.8,994,2.3,Bellingen (A)
10650,48,1083,532,180,1251,0.7,963,2.2,Berrigan (A)
10750,33,2150,670,380,1817,0.9,1709,3.2,Blacktown (C)
10800,43,1000,603,150,1360,0.7,1103,2.4,Bland (A)
10850,42,1500,622,220,1581,0.8,1227,2.5,Blayney (A)
10900,44,1842,688,350,1866,0.8,1465,2.5,Blue Mountains (C)
10950,41,1083,678,160,1561,0.8,1152,2.4,Bogan (A)
11100,35,2400,723,460,1921,1.1,1624,2.7,Botany Bay (C)
11150,42,991,719,134,1562,0.8,1202,2.5,Bourke (A)
11200,36,437,442,90,923,0.9,850,2.6,Brewarrina (A)
11250,45,953,529,189,1279,0.7,974,2.2,Broken Hill (C)
13910,44,1200,543,200,1261,0.7,978,2.4,Hilltops (A)
14000,40,2400,789,500,2372,0.9,2116,2.9,Hornsby (A)
14100,43,3033,955,490,3301,0.9,2463,2.7,Hunters Hill (A)
14170,36,2600,950,480,2498,1.0,2042,2.4,Inner West (A)
14200,42,1200,513,210,1181,0.8,948,2.4,Inverell (A)
14300,39,1200,600,200,1410,0.8,1142,2.5,Junee (A)
14350,47,1300,474,245,1107,0.8,896,2.4,Kempsey (A)
14400,46,2000,680,400,1820,0.8,1498,2.5,Kiama (A)
14500,41,3000,933,650,3046,0.9,2633,2.9,Ku-ring-gai (A)
14550,50,1100,460,200,1076,0.8,828,2.2,Kyogle (A)
14600,40,906,568,150,1279,0.8,1034,2.4,Lachlan (A)
14650,42,1733,606,320,1610,0.8,1310,2.5,Lake Macquarie (C)
14700,36,2600,1140,520,2971,1.0,2369,2.5,Lane Cove (A)
14750,39,1300,612,195,1456,0.8,1190,2.5,Leeton (A)
14850,43,1430,549,260,1351,0.8,1064,2.4,Lismore (C)
14870,44,1387,512,230,1328,0.8,987,2.3,Lithgow (C)
14900,33,2123,584,370,1663,1.0,1548,3.2,Liverpool (C)
14920,45,1152,539,180,1287,0.7,1033,2.3,Liverpool Plains (A)
14950,45,1000,591,150,1408,0.7,1109,2.5,Lockhart (A)
15050,36,1733,641,320,1664,0.8,1413,2.7,Maitland (C)
15240,52,1334,477,255,1108,0.7,890,2.2,Mid-Coast (A)
15270,42,1686,560,270,1433,0.8,1137,2.4,Mid-Western Regional (A)
15300,39,1300,664,170,1480,0.8,1220,2.5,Moree Plains (A)
15350,42,3000,1282,560,3671,0.9,2507,2.4,Mosman (A)
15520,48,1300,571,200,1333,0.7,1071,2.3,Murray River (A)
15560,41,900,669,150,1461,0.8,1190,2.5,Murrumbidgee (A)
15650,35,1733,647,250,1665,0.8,1343,2.5,Muswellbrook (A)
15700,51,1300,470,250,1080,0.8,845,2.3,Nambucca (A)
15750,40,1395,655,200,1531,0.8,1247,2.5,Narrabri (A)
15800,44,1007,573,170,1349,0.7,1015,2.3,Narrandera (A)
15850,42,1100,586,185,1358,0.8,1071,2.5,Narromine (A)
15900,37,1767,657,340,1778,0.8,1366,2.4,Newcastle (C)
15950,37,2600,1383,575,3210,1.0,2356,2.0,North Sydney (A)
15990,40,2800,910,565,2528,0.9,2173,2.7,Northern Beaches (A)
16100,44,1434,623,210,1509,0.7,1236,2.4,Oberon (A)
16150,37,1625,663,270,1655,0.8,1296,2.5,Orange (C)
16200,41,1300,564,200,1412,0.8,1092,2.4,Parkes (A)
16260,34,2167,722,440,1933,1.0,1756,2.8,Parramatta (C)
16350,34,2000,725,370,1858,0.8,1655,2.9,Penrith (C)
16650,35,2167,667,460,1746,1.1,1572,2.7,Rockdale (C)
16700,36,2200,737,460,2106,1.0,1781,2.7,Ryde (C)
16900,39,1842,576,340,1562,0.8,1341,2.7,Shellharbour (C)
16950,48,1517,511,280,1226,0.7,994,2.3,Shoalhaven (C)
17000,36,1950,695,280,1981,0.8,1682,2.7,Singleton (A)
17040,41,1300,801,240,1569,0.8,1299,2.3,Snowy Monaro Regional (A)
17080,44,1300,592,180,1418,0.8,1123,2.3,Snowy Valleys (A)
11300,33,2200,551,500,1725,1.1,1566,2.9,Burwood (A)
11350,45,1733,594,400,1389,0.8,1143,2.4,Byron (A)
11400,42,1517,634,180,1618,0.8,1301,2.6,Cabonne (A)
11450,33,2219,819,460,2161,0.8,2043,3.1,Camden (A)
11500,34,1842,630,350,1597,0.9,1458,3.0,Campbelltown (C) (NSW)
11520,36,2500,872,565,2361,1.0,2058,2.6,Canada Bay (A)
11570,35,2000,501,380,1437,1.1,1296,3.0,Canterbury-Bankstown (A)
11600,40,867,690,105,1538,0.8,1228,2.4,Carrathool (A)
11650,42,1750,599,350,1560,0.8,1256,2.5,Central Coast (C) (NSW)
11700,39,575,482,100,1075,0.8,918,2.4,Central Darling (A)
11720,38,1517,542,280,1414,0.8,1177,2.6,Cessnock (C)
11730,49,1300,479,260,1133,0.8,916,2.3,Clarence Valley (A)
11750,37,1300,734,160,1923,0.7,1462,2.4,Cobar (A)
11800,44,1600,565,310,1346,0.8,1104,2.4,Coffs Harbour (C)
12000,44,1083,589,150,1418,0.8,1165,2.5,Coolamon (A)
12150,44,867,526,150,1218,0.7,979,2.4,Coonamble (A)
12350,46,1143,517,185,1225,0.7,963,2.3,Cowra (A)
12380,32,2000,501,400,1436,1.1,1377,3.2,Cumberland (A)
12700,45,1649,574,242,1474,0.8,1225,2.5,Dungog (A)
12730,45,1083,607,185,1399,0.7,1082,2.3,Edward River (A)
12750,54,1400,513,255,1184,0.7,946,2.2,Eurobodalla (A)
12850,36,1800,438,350,1263,1.1,1220,3.3,Fairfield (C)
12870,49,1300,564,200,1299,0.7,1021,2.3,Federation (A)
12900,42,1139,577,180,1326,0.8,1072,2.4,Forbes (A)
12930,37,2167,637,450,1817,1.0,1651,2.9,Georges River (A)
12950,46,1083,540,160,1199,0.8,992,2.4,Gilgandra (A)
13010,47,1083,481,200,1111,0.7,841,2.2,Glen Innes Severn (A)
13310,42,1517,639,260,1505,0.8,1195,2.4,Goulburn Mulwaree (A)
13340,43,1213,597,180,1439,0.8,1166,2.5,Greater Hume Shire (A)
13450,37,1495,684,220,1555,0.8,1330,2.7,Griffith (C)
13510,47,1109,543,180,1280,0.7,967,2.3,Gundagai (A)
13550,40,1452,632,240,1586,0.8,1252,2.5,Gunnedah (A)
13660,48,975,492,120,1178,0.8,908,2.3,Gwydir (A)
13800,38,2080,727,360,1916,0.8,1664,2.8,Hawkesbury (C)
13850,47,979,596,148,1344,0.7,1081,2.3,Hay (A)
16380,48,1668,543,315,1300,0.8,1043,2.3,Port Macquarie-Hastings (A)
16400,44,1733,570,308,1431,0.8,1180,2.5,Port Stephens (A)
16490,38,2094,931,300,2303,0.8,1871,2.6,Queanbeyan-Palerang Regional (A)
16550,34,2600,825,550,2421,1.0,1910,2.5,Randwick (C)
16610,45,1300,492,250,1191,0.8,952,2.4,Richmond Valley (A)
17420,38,2500,823,560,2464,0.8,2359,3.2,The Hills Shire (A)
17550,47,1733,533,340,1332,0.8,1056,2.4,Tweed (A)
17620,41,1677,638,220,1589,0.8,1240,2.4,Upper Hunter Shire (A)
17640,48,1404,611,190,1498,0.7,1165,2.4,Upper Lachlan Shire (A)
17650,45,1343,551,190,1342,0.8,1056,2.4,Uralla (A)
17750,34,1517,690,267,1682,0.8,1353,2.5,Wagga Wagga (C)
17850,47,1083,584,145,1329,0.7,1049,2.3,Walcha (A)
17900,46,758,471,145,1039,0.9,829,2.3,Walgett (A)
17950,43,883,654,140,1468,0.7,1103,2.4,Warren (A)
18020,49,926,484,160,1103,0.7,875,2.3,Warrumbungle Shire (A)
18050,35,3000,1144,620,2917,1.0,2300,2.4,Waverley (A)
18100,50,910,493,135,1193,0.7,904,2.2,Weddin (A)
18200,45,1200,562,160,1308,0.8,1039,2.4,Wentworth (A)
18230,38,1500,659,250,1525,0.8,1268,2.5,Western Plains Regional (A)
18250,37,2885,938,580,2671,1.0,2267,2.7,Willoughby (C)
18350,47,1842,645,350,1639,0.7,1335,2.4,Wingecarribee (A)
18400,37,2167,735,365,2032,0.8,1865,3.0,Wollondilly (A)
18450,39,1950,580,320,1710,0.9,1335,2.6,Wollongong (C)
18500,39,3200,1349,650,3626,0.9,2665,2.3,Woollahra (A)
18710,41,2000,863,300,2214,0.8,1866,2.7,Yass Valley (A)
19399,46,1083,754,100,1427,0.8,1217,2.5,Unincorporated NSW
20110,46,1300,590,216,1322,0.7,1050,2.2,Alpine (S)
20260,45,1018,568,185,1263,0.7,1000,2.3,Ararat (RC)
20570,37,1350,588,250,1489,0.8,1159,2.4,Ballarat (C)
20660,39,1950,725,350,2033,0.8,1651,2.6,Banyule (C)
20740,48,1322,514,250,1192,0.7,930,2.2,Bass Coast (S)
20830,42,1463,584,250,1462,0.8,1194,2.5,Baw Baw (S)
20910,43,2500,888,450,2765,0.8,2139,2.6,Bayside (C)
21010,48,1192,539,200,1232,0.7,947,2.2,Benalla (RC)
21110,38,2500,861,406,2652,0.9,2078,2.6,Boroondara (C)
21180,35,1598,486,300,1358,0.9,1261,3.0,Brimbank (C)
21270,51,693,479,120,1110,0.7,840,2.2,Buloke (S)
