lga_code17,lga_name17,erp_30_jun_2016pr_num,erp_30_jun_2017p_num,components_pop_change_2016_17_natural_increase_num,components_pop_change_2016_17_net_internal_migration_num,components_pop_change_2016_17_net_ovs_migration_num,erp_change_2016pr_2017p_pr100,erp_change_2016pr_2017p_num,area_km2,pop_density_2017_p_km2
10050,Albury (C),52165,52886,227.0,197.0,297.0,1.4,721,305.9,172.9
10130,Armidale Regional (A),30311,30552,124.0,-270.0,387.0,0.8,241,8620.7,3.5
10250,Ballina (A),42626,43064,-96.0,326.0,208.0,1.0,438,484.9,88.8
10300,Balranald (A),2310,2318,19.0,-18.0,7.0,0.3,8,21690.7,0.1
10470,Bathurst Regional (A),42389,42900,124.0,212.0,175.0,1.2,511,3817.9,11.2
10500,Bayside (A),164880,170279,1290.0,-757.0,4866.0,3.3,5399,49.9,3413.1
10550,Bega Valley (A),33946,34095,-82.0,145.0,86.0,0.4,149,6278.9,5.4
10600,Bellingen (A),12893,12888,-27.0,-19.0,41.0,0.0,-5,1600.4,8.1
10650,Berrigan (A),8572,8617,-24.0,29.0,40.0,0.5,45,2065.8,4.2
10750,Blacktown (C),347591,356859,3701.0,648.0,4919.0,2.7,9268,240.0,1486.6
10800,Bland (A),6031,5990,-13.0,-35.0,7.0,-0.7,-41,8557.7,0.7
10850,Blayney (A),7418,7415,26.0,-40.0,11.0,0.0,-3,1524.6,4.9
10900,Blue Mountains (C),78705,78800,68.0,-334.0,361.0,0.1,95,1431.1,55.1
10950,Bogan (A),2768,2664,-5.0,-105.0,6.0,-3.8,-104,14599.9,0.2
11150,Bourke (A),2787,2720,16.0,-86.0,3.0,-2.4,-67,41599.5,0.1
11200,Brewarrina (A),1725,1687,-2.0,-38.0,2.0,-2.2,-38,19163.5,0.1
11250,Broken Hill (C),18027,17780,-43.0,-244.0,40.0,-1.4,-247,170.1,104.5
14100,Hunters Hill (A),14638,14716,-71.0,51.0,98.0,0.5,78,5.7,2574.1
14170,Inner West (A),192030,195113,1461.0,-1918.0,3540.0,1.6,3083,35.4,5516.1
