LGA_MAIN11,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total,LGA_NAME11
11700,233,0,10,15,21,279,66,0,0,3,3,72,0,0,0,0,0,0,78,0,3,0,13,94,36,0,4,6,4,50,31,0,3,0,0,34,81,0,14,11,7,113,22,0,3,0,0,25,248,0,27,17,24,316,24,0,0,3,0,27,35,0,3,3,3,44,606,0,40,41,51,738,Central Darling (A)
11720,6127,127,57,31,3,6345,6522,48,33,9,3,6615,2042,438,236,4,5,2725,413,72,155,0,0,640,813,41,35,6,0,895,22,32,3,0,0,57,105,31,4,13,3,156,94,17,3,3,0,117,3489,631,436,26,8,4590,88,30,3,0,0,121,482,45,24,4,3,558,16708,881,553,70,17,18229,Cessnock (C)
12000,665,0,15,10,0,690,477,0,0,0,0,477,38,0,0,0,0,38,9,3,4,0,0,16,146,0,4,4,0,154,0,0,6,0,0,6,17,0,5,3,0,25,11,0,6,0,0,17,221,3,25,7,0,256,11,0,4,0,0,15,34,0,14,0,0,48,1408,3,58,17,0,1486,Coolamon (A)
11730,7664,251,201,297,4,8417,5194,79,68,47,3,5391,1679,254,468,17,3,2421,288,43,97,3,0,431,1076,101,162,31,0,1370,109,26,23,0,11,169,149,8,30,77,3,267,133,4,8,8,0,153,3434,436,788,136,17,4811,109,3,9,9,5,135,401,25,37,38,3,504,16802,794,1103,527,32,19258,Clarence Valley (A)
11750,527,0,3,17,4,551,434,0,0,0,0,434,149,13,45,3,0,210,78,0,8,0,0,86,75,0,4,13,0,92,37,0,13,0,0,50,163,7,40,3,0,213,22,0,9,0,0,31,524,20,119,19,0,682,10,0,0,0,0,10,39,0,5,0,0,44,1534,20,127,36,4,1721,Cobar (A)
11800,7725,684,402,473,0,9284,6861,399,210,23,0,7493,2502,913,1081,15,3,4514,573,293,285,0,0,1151,1283,255,268,57,3,1866,77,72,71,4,0,224,139,33,38,147,3,360,121,24,32,11,0,188,4695,1590,1775,234,9,8303,151,108,48,18,3,328,432,96,107,32,0,667,19864,2877,2542,780,12,26075,Coffs Harbour (C)
11860,228,0,0,0,0,228,161,0,0,8,0,169,6,0,0,0,0,6,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,43,0,0,0,0,43,29,0,0,0,0,29,126,0,0,0,0,126,14,0,0,0,0,14,10,0,0,0,0,10,539,0,0,8,0,547,Conargo (A)
10050,4830,233,336,39,0,5438,5902,160,339,4,0,6405,1712,429,1625,10,7,3783,584,13,230,0,0,827,685,99,270,8,4,1066,45,41,58,0,0,144,103,14,26,24,3,170,69,0,18,0,0,87,3198,596,2227,42,14,6077,123,22,3,0,0,148,354,45,142,6,0,547,14407,1056,3047,91,14,18615,Albury (C)
10110,2736,75,63,10,5,2889,2230,35,53,3,4,2325,1019,201,574,7,0,1801,282,62,106,0,0,450,399,36,81,4,0,520,40,35,27,0,0,102,83,8,14,19,0,124,64,7,5,0,0,76,1887,349,807,30,0,3073,53,14,4,0,0,71,176,18,32,5,0,231,7082,491,959,48,9,8589,Armidale Dumaresq (A)
10550,4884,306,273,137,10,5610,3321,112,124,29,0,3586,872,190,391,6,4,1463,245,57,43,0,0,345,636,65,123,28,0,852,39,41,22,0,0,102,100,9,15,25,0,149,86,13,8,5,0,112,1978,375,602,64,4,3023,70,31,10,3,0,114,251,41,39,13,0,344,10504,865,1048,246,14,12677,Bega Valley (A)
