lga_code16,m_15_19_e,m_15_19_om_ie,m_15_19_om_uie,m_15_19_cfw,m_15_19_se_ns,m_15_19_total,m_20_24_e,m_20_24_om_ie,m_20_24_om_uie,m_20_24_cfw,m_20_24_es_ns,m_20_24_total,m_25_29_e,m_25_29_om_ie,m_25_29_om_uie,m_25_29_cfw,m_25_29_es_ns,m_25_29_total,m_30_34_e,m_30_34_om_ie,m_30_34_om_uie,m_30_34_cfw,m_30_34_es_ns,m_30_34_total,m_35_39_e,m_35_39_om_ie,m_35_39_om_uie,m_35_39_cfw,m_35_39_es_ns,m_35_39_total,m_40_44_e,m_40_44_om_ie,m_40_44_om_uie,m_40_44_cfw,m_40_44_es_ns,m_40_44_total,m_45_49_e,m_45_49_om_ie,m_45_49_om_uie,m_45_49_cfw,m_45_49_es_ns,m_45_49_total,m_50_54_e,m_50_54_om_ie,m_50_54_om_uie,m_50_54_cfw,m_50_54_es_ns,m_50_54_total,m_55_59_e,m_55_59_om_ie,m_55_59_om_uie,m_55_59_cfw,m_55_59_es_ns,m_55_59_total,m_60_64_e,m_60_64_om_ie,m_60_64_om_uie,m_60_64_cfw,m_60_64_es_ns,m_60_64_total,m_65_69_e,m_65_69_om_ie,m_65_69_om_uie,m_65_69_cfw,m_65_69_es_ns,m_65_69_total,m_70_74_e,m_70_74_om_ie,m_70_74_om_uie,m_70_74_cfw,m_70_74_es_ns,m_70_74_total,m_75ov_e,m_75ov_om_ie,m_75ov_om_uie,m_75ov_cfw,m_75ov_es_ns,m_75ov_total,m_total_e,m_total_om_ie,m_total_om_uie,m_total_cfw,m_total_es_ns,m_total_total,f_15_19_e,f_15_19_om_ie,f_15_19_om_uie,f_15_19_cfw,f_15_19_es_ns,f_15_19_total,f_20_24_e,f_20_24_om_ie,f_20_24_om_uie,f_20_24_cfw,f_20_24_es_ns,f_20_24_total,f_25_29_e,f_25_29_om_ie,f_25_29_om_uie,f_25_29_cfw,f_25_29_es_ns,f_25_29_total,f_30_34_e,f_30_34_om_ie,f_30_34_om_uie,f_30_34_cfw,f_30_34_es_ns,f_30_34_total,f_35_39_e,f_35_39_om_ie,f_35_39_om_uie,f_35_39_cfw,f_35_39_es_ns,f_35_39_total,f_40_44_e,f_40_44_om_ie,f_40_44_om_uie,f_40_44_cfw,f_40_44_es_ns,f_40_44_total,f_45_49_e,f_45_49_om_ie,f_45_49_om_uie,f_45_49_cfw,f_45_49_es_ns,f_45_49_total,f_50_54_e,f_50_54_om_ie,f_50_54_om_uie,f_50_54_cfw,f_50_54_es_ns,f_50_54_total,f_55_59_e,f_55_59_om_ie,f_55_59_om_uie,f_55_59_cfw,f_55_59_es_ns,f_55_59_total,f_60_64_e,f_60_64_om_ie,f_60_64_om_uie,f_60_64_cfw,f_60_64_es_ns,f_60_64_total,f_65_69_e,f_65_69_om_ie,f_65_69_om_uie,f_65_69_cfw,f_65_69_es_ns,f_65_69_total,f_70_74_e,f_70_74_om_ie,f_70_74_om_uie,f_70_74_cfw,f_70_74_es_ns,f_70_74_total,f_75ov_e,f_75ov_om_ie,f_75ov_om_uie,f_75ov_cfw,f_75ov_es_ns,f_75ov_total,f_total_e,f_total_om_ie,f_total_om_uie,f_total_cfw,f_total_es_ns,f_total_total,p_15_19_e,p_15_19_om_ie,p_15_19_om_uie,p_15_19_cfw,p_15_19_es_ns,p_15_19_total,p_20_24_e,p_20_24_om_ie,p_20_24_om_uie,p_20_24_cfw,p_20_24_es_ns,p_20_24_total,p_25_29_e,p_25_29_om_ie,p_25_29_om_uie,p_25_29_cfw,p_25_29_es_ns,p_25_29_total,p_30_34_e,p_30_34_om_ie,p_30_34_om_uie,p_30_34_cfw,p_30_34_es_ns,p_30_34_total,p_35_39_e,p_35_39_om_ie,p_35_39_om_uie,p_35_39_cfw,p_35_39_es_ns,p_35_39_total,p_40_44_e,p_40_44_om_ie,lga_name16
10850,70,0,0,3,0,81,91,3,0,0,3,102,188,4,5,0,0,197,165,3,12,0,3,184,157,8,13,0,0,187,188,13,17,0,0,215,190,12,16,3,0,230,147,12,16,9,4,178,102,8,25,14,8,161,76,14,41,13,0,141,19,12,21,9,3,63,12,8,19,13,0,52,12,4,14,15,3,44,1412,100,207,85,26,1829,67,0,0,0,0,72,74,0,3,0,0,78,83,0,12,0,0,100,74,4,6,3,0,84,76,9,9,3,3,105,93,6,14,4,3,123,105,7,9,7,0,123,85,9,20,6,0,126,84,6,13,9,0,116,48,4,16,11,0,78,6,9,11,9,0,37,3,0,7,8,3,26,4,0,9,4,3,24,810,49,147,70,15,1093,139,0,0,5,3,152,171,3,4,0,3,179,267,9,20,0,0,296,238,7,17,4,3,268,235,20,18,3,3,286,284,15,Blayney (A)
10900,571,0,10,5,4,591,696,6,37,7,10,754,501,29,54,4,3,596,496,50,113,3,4,669,405,80,129,9,7,639,478,142,136,13,14,777,520,127,186,19,8,858,502,135,191,23,3,856,522,116,190,24,8,856,384,123,208,23,8,749,200,79,121,27,11,438,57,40,39,11,7,151,31,21,19,15,8,93,5369,950,1430,179,84,8014,815,3,6,3,0,828,856,3,15,6,4,882,696,10,50,8,7,775,586,26,87,10,8,716,678,45,135,21,10,888,856,76,174,26,5,1142,1005,66,194,15,9,1287,966,104,147,26,11,1262,935,79,163,24,10,1210,615,64,129,16,6,834,278,28,79,17,5,415,66,13,43,16,3,142,27,5,15,9,3,61,8377,536,1240,192,90,10440,1388,3,10,8,5,1418,1551,7,51,11,10,1637,1194,41,104,15,13,1372,1082,75,204,12,8,1382,1090,126,265,34,23,1529,1329,218,Blue Mountains (C)
10950,30,0,0,0,0,26,54,3,3,0,3,61,71,0,3,0,0,82,70,3,4,0,3,83,50,4,4,0,0,61,56,3,4,4,0,75,56,7,15,3,0,83,64,3,13,3,0,95,35,3,15,5,0,68,25,6,12,3,0,51,8,4,14,3,0,31,3,0,7,5,0,19,0,0,10,14,0,27,537,43,116,43,7,749,25,0,0,0,0,25,50,0,0,0,0,54,53,0,3,0,3,62,38,0,3,4,0,42,33,0,3,0,0,38,58,0,8,7,3,66,63,3,8,4,0,79,40,4,11,4,4,66,37,0,7,4,3,43,20,3,5,4,0,31,13,0,3,3,0,17,0,0,4,4,0,8,0,0,4,11,0,15,421,15,57,41,12,547,55,0,0,0,0,52,101,3,4,0,3,107,125,0,11,0,3,143,104,3,8,4,3,126,79,3,7,3,3,98,111,5,Bogan (A)
11100,641,0,5,4,11,661,2076,16,29,14,26,2153,3059,96,74,5,29,3262,3498,186,95,12,35,3834,3365,239,129,15,21,3768,3294,226,108,12,19,3668,3084,292,121,12,32,3538,2876,238,145,11,24,3301,2418,198,117,7,28,2769,1276,122,88,11,22,1525,539,85,50,17,13,709,131,29,32,6,3,194,34,27,11,8,5,90,26302,1755,1016,128,281,29481,594,0,3,3,6,607,1811,8,6,6,24,1847,2264,14,21,10,14,2331,2249,40,32,18,9,2348,1961,57,48,15,11,2085,2081,70,84,14,13,2256,2035,82,62,5,23,2213,1701,64,61,10,9,1848,1225,58,48,10,23,1355,656,40,29,12,15,747,227,20,13,3,6,272,50,14,4,0,3,74,22,5,0,9,3,39,16881,467,415,109,151,18022,1238,0,9,6,17,1264,3882,23,34,12,47,4006,5326,110,99,15,39,5592,5752,231,127,23,46,6182,5328,289,176,31,32,5857,5376,299,Botany Bay (C)
11150,13,0,0,0,0,12,29,0,3,0,0,35,44,0,7,0,3,50,50,4,12,0,3,67,37,4,4,0,0,45,37,6,5,5,0,45,35,8,7,0,0,56,47,3,14,5,0,62,33,3,15,8,3,56,27,3,10,0,0,49,15,0,13,0,0,33,3,0,3,3,0,13,3,0,0,0,3,11,381,28,90,27,14,536,13,0,0,0,0,13,41,0,0,0,0,41,63,0,6,0,0,73,51,0,0,0,0,52,44,0,3,0,0,51,44,5,4,0,3,54,41,3,3,8,0,55,47,7,3,4,0,59,32,3,6,0,0,51,18,0,3,3,0,25,18,0,3,0,0,16,4,0,0,0,0,9,0,0,0,0,0,5,422,16,38,27,12,514,26,0,0,0,0,27,72,0,3,0,3,80,106,0,11,0,3,125,103,4,10,0,3,121,84,5,4,0,0,103,77,9,Bourke (A)
11200,6,0,0,0,0,3,12,0,3,0,0,17,21,0,0,0,0,29,16,0,3,0,0,22,17,0,0,0,0,16,13,0,3,0,0,15,26,0,3,0,3,34,17,5,5,3,0,36,20,4,9,0,0,33,13,3,3,8,0,23,5,0,6,7,0,19,3,3,0,4,0,10,0,0,0,3,0,3,162,16,39,28,5,258,3,0,0,0,0,3,19,0,0,0,0,16,36,0,0,0,0,36,10,0,0,0,0,13,12,0,0,0,0,17,19,0,0,0,0,23,28,0,0,3,0,36,20,4,7,0,0,26,25,0,0,10,0,33,11,0,0,9,0,21,7,0,0,3,0,10,0,0,0,4,0,5,0,0,0,0,0,3,200,8,11,21,3,242,9,0,0,0,0,6,32,0,3,0,0,31,60,0,0,0,0,65,28,0,3,0,0,37,29,0,0,4,0,33,30,0,Brewarrina (A)
14300,51,0,0,0,0,50,70,0,3,3,3,82,98,3,10,3,0,118,90,8,10,0,0,112,63,0,10,3,3,81,67,6,15,3,0,97,77,15,14,7,3,112,62,10,21,4,3,99,79,7,22,7,0,118,43,8,27,5,0,80,19,3,16,8,0,44,3,4,9,9,0,29,0,0,5,5,0,16,727,66,168,55,18,1033,36,0,0,0,3,38,56,0,0,0,3,60,78,3,5,0,0,88,67,0,6,0,0,84,57,0,15,0,0,73,68,9,3,4,0,76,72,3,14,5,0,89,72,3,10,7,0,89,66,7,12,9,0,95,28,5,15,7,0,51,9,4,15,12,0,34,3,0,3,3,0,7,3,0,4,8,0,9,611,34,95,51,13,798,85,0,0,0,3,87,124,3,3,3,5,137,178,5,16,3,3,207,158,7,22,4,0,194,122,3,21,0,3,153,133,11,Junee (A)
14350,275,0,3,3,10,288,321,0,13,3,5,337,318,4,28,3,8,366,315,20,26,4,7,373,315,17,38,9,6,389,377,31,73,4,3,497,378,41,64,14,12,505,397,45,79,9,5,541,391,47,94,25,12,568,256,43,80,21,6,414,110,24,62,30,6,237,19,11,31,16,6,78,15,5,19,18,3,61,3484,292,609,160,92,4635,287,0,0,7,16,308,287,0,7,4,8,305,306,8,13,7,5,337,301,9,17,8,3,340,337,13,38,12,10,410,419,17,40,4,6,492,451,28,42,13,12,551,557,25,60,14,13,661,534,28,60,18,9,647,304,15,42,20,7,390,106,14,22,23,5,173,20,3,13,9,0,50,13,0,4,14,5,36,3930,162,366,149,93,4693,564,0,8,11,20,595,612,0,17,6,9,643,626,12,42,11,14,701,622,22,47,11,8,710,657,35,69,15,14,795,794,53,Kempsey (A)
11250,174,0,0,0,8,183,279,3,12,0,0,295,364,8,11,0,4,385,305,12,18,0,5,342,255,10,15,0,7,286,262,19,25,8,9,319,300,18,19,4,4,345,321,25,25,0,8,381,351,43,32,4,7,436,216,22,31,9,3,291,73,13,18,9,3,121,16,3,12,0,3,37,6,3,9,9,5,33,2939,172,224,43,68,3450,186,0,0,0,3,187,269,0,9,0,5,280,362,8,6,3,3,378,300,3,12,0,3,320,265,7,11,0,3,297,305,12,22,3,0,343,343,14,15,3,3,376,370,17,20,10,3,414,369,18,28,6,5,420,188,9,19,13,10,237,65,8,9,7,0,93,24,0,4,0,4,31,10,0,0,0,3,14,3042,101,154,52,57,3397,358,0,0,3,8,366,549,3,19,0,4,578,719,14,21,3,7,766,602,12,33,6,10,665,525,20,28,3,12,585,564,31,Broken Hill (C)
13910,208,0,0,8,3,224,246,3,16,3,5,267,253,10,18,3,0,284,222,27,31,9,3,281,218,34,40,15,3,305,245,44,61,14,3,369,223,30,64,17,10,341,275,40,78,31,11,439,226,45,70,25,7,376,181,45,84,29,3,340,76,37,58,27,3,200,13,6,37,32,3,97,7,4,41,28,5,88,2388,331,595,233,64,3613,197,0,0,7,3,205,253,0,9,9,0,273,213,8,11,3,0,237,221,13,16,8,3,257,255,23,36,11,3,324,264,18,38,21,4,340,321,28,46,19,7,425,320,19,40,20,5,408,306,24,36,16,8,383,160,18,46,25,3,248,72,6,38,25,3,147,17,0,15,19,0,52,5,3,12,26,6,44,2599,155,333,204,52,3346,410,0,0,13,3,428,494,4,22,11,7,544,463,11,30,6,3,515,441,40,47,10,4,542,471,55,68,27,3,629,512,61,Hilltops (A)
14000,1419,3,20,7,10,1456,2090,31,57,11,19,2205,1781,82,116,6,13,1998,1732,146,132,14,22,2051,1522,223,146,13,19,1919,1483,359,237,24,19,2121,1414,383,282,36,11,2129,1257,423,292,41,16,2026,1228,378,273,52,23,1953,847,334,250,36,12,1476,425,206,167,34,11,836,143,103,78,23,5,348,54,56,63,26,10,213,15383,2726,2111,326,194,20740,1552,4,20,6,11,1591,1959,8,29,3,16,2015,1722,22,59,10,13,1819,1612,61,127,30,11,1836,1596,153,166,30,21,1969,1876,190,256,62,8,2386,2186,204,244,44,15,2695,2008,224,233,39,10,2511,1828,197,191,44,17,2280,1176,114,118,33,9,1453,492,80,57,19,5,651,149,35,35,19,4,240,55,9,21,9,4,91,18194,1300,1555,353,141,21549,2970,8,34,14,23,3049,4044,32,90,18,35,4223,3499,102,177,19,24,3821,3344,209,261,45,30,3881,3116,374,317,50,37,3891,3355,549,Hornsby (A)
14100,59,0,0,0,0,61,157,0,5,0,0,166,160,12,16,0,0,186,153,23,18,0,0,193,131,31,18,3,0,186,105,26,26,3,0,154,105,42,24,3,0,179,103,47,19,3,0,173,113,49,23,12,0,193,68,27,15,4,0,119,42,30,24,0,0,95,17,14,16,3,0,44,9,8,7,3,0,31,1213,312,209,41,14,1784,84,0,0,3,3,89,150,0,4,0,0,156,237,0,12,0,0,248,203,16,11,0,0,229,193,13,21,7,0,232,222,28,25,0,0,277,293,26,28,6,3,358,259,41,20,4,3,325,243,21,24,7,0,292,171,14,15,7,0,205,98,14,8,6,3,127,22,13,4,3,0,43,7,6,0,0,0,19,2199,186,169,47,17,2612,146,0,0,3,3,153,308,0,9,0,0,320,399,9,23,0,3,432,359,37,29,3,0,419,320,49,36,10,3,419,323,51,Hunters Hill (A)
14170,1048,3,20,12,7,1094,2769,33,88,11,25,2921,3615,175,285,24,26,4130,3287,414,359,38,52,4144,2752,493,376,30,30,3678,2404,631,430,36,44,3546,2171,665,423,58,38,3348,2085,609,482,53,33,3255,1852,486,407,39,21,2808,1195,354,342,52,19,1955,540,254,218,27,15,1056,189,114,95,22,15,427,84,59,40,29,7,221,23980,4279,3555,422,346,32583,1062,5,18,4,3,1098,2742,21,49,6,23,2844,3491,70,195,21,15,3790,3132,140,303,39,27,3645,2597,243,355,49,19,3252,2568,300,405,65,22,3361,2425,323,395,50,31,3228,2394,334,349,64,28,3166,1969,237,291,30,17,2541,1295,148,202,37,9,1700,560,97,102,28,14,802,169,48,51,11,8,281,54,8,31,15,3,108,24455,1974,2751,418,226,29823,2109,8,44,16,14,2190,5513,58,137,25,48,5769,7106,245,480,44,42,7916,6417,552,659,73,81,7794,5343,733,730,74,44,6929,4975,936,Inner West (A)
