lga_code16,m_15_19_e,m_15_19_om_ie,m_15_19_om_uie,m_15_19_cfw,m_15_19_se_ns,m_15_19_total,m_20_24_e,m_20_24_om_ie,m_20_24_om_uie,m_20_24_cfw,m_20_24_es_ns,m_20_24_total,m_25_29_e,m_25_29_om_ie,m_25_29_om_uie,m_25_29_cfw,m_25_29_es_ns,m_25_29_total,m_30_34_e,m_30_34_om_ie,m_30_34_om_uie,m_30_34_cfw,m_30_34_es_ns,m_30_34_total,m_35_39_e,m_35_39_om_ie,m_35_39_om_uie,m_35_39_cfw,m_35_39_es_ns,m_35_39_total,m_40_44_e,m_40_44_om_ie,m_40_44_om_uie,m_40_44_cfw,m_40_44_es_ns,m_40_44_total,m_45_49_e,m_45_49_om_ie,m_45_49_om_uie,m_45_49_cfw,m_45_49_es_ns,m_45_49_total,m_50_54_e,m_50_54_om_ie,m_50_54_om_uie,m_50_54_cfw,m_50_54_es_ns,m_50_54_total,m_55_59_e,m_55_59_om_ie,m_55_59_om_uie,m_55_59_cfw,m_55_59_es_ns,m_55_59_total,m_60_64_e,m_60_64_om_ie,m_60_64_om_uie,m_60_64_cfw,m_60_64_es_ns,m_60_64_total,m_65_69_e,m_65_69_om_ie,m_65_69_om_uie,m_65_69_cfw,m_65_69_es_ns,m_65_69_total,m_70_74_e,m_70_74_om_ie,m_70_74_om_uie,m_70_74_cfw,m_70_74_es_ns,m_70_74_total,m_75ov_e,m_75ov_om_ie,m_75ov_om_uie,m_75ov_cfw,m_75ov_es_ns,m_75ov_total,m_total_e,m_total_om_ie,m_total_om_uie,m_total_cfw,m_total_es_ns,m_total_total,f_15_19_e,f_15_19_om_ie,f_15_19_om_uie,f_15_19_cfw,f_15_19_es_ns,f_15_19_total,f_20_24_e,f_20_24_om_ie,f_20_24_om_uie,f_20_24_cfw,f_20_24_es_ns,f_20_24_total,f_25_29_e,f_25_29_om_ie,f_25_29_om_uie,f_25_29_cfw,f_25_29_es_ns,f_25_29_total,f_30_34_e,f_30_34_om_ie,f_30_34_om_uie,f_30_34_cfw,f_30_34_es_ns,f_30_34_total,f_35_39_e,f_35_39_om_ie,f_35_39_om_uie,f_35_39_cfw,f_35_39_es_ns,f_35_39_total,f_40_44_e,f_40_44_om_ie,f_40_44_om_uie,f_40_44_cfw,f_40_44_es_ns,f_40_44_total,f_45_49_e,f_45_49_om_ie,f_45_49_om_uie,f_45_49_cfw,f_45_49_es_ns,f_45_49_total,f_50_54_e,f_50_54_om_ie,f_50_54_om_uie,f_50_54_cfw,f_50_54_es_ns,f_50_54_total,f_55_59_e,f_55_59_om_ie,f_55_59_om_uie,f_55_59_cfw,f_55_59_es_ns,f_55_59_total,f_60_64_e,f_60_64_om_ie,f_60_64_om_uie,f_60_64_cfw,f_60_64_es_ns,f_60_64_total,f_65_69_e,f_65_69_om_ie,f_65_69_om_uie,f_65_69_cfw,f_65_69_es_ns,f_65_69_total,f_70_74_e,f_70_74_om_ie,f_70_74_om_uie,f_70_74_cfw,f_70_74_es_ns,f_70_74_total,f_75ov_e,f_75ov_om_ie,f_75ov_om_uie,f_75ov_cfw,f_75ov_es_ns,f_75ov_total,f_total_e,f_total_om_ie,f_total_om_uie,f_total_cfw,f_total_es_ns,f_total_total,p_15_19_e,p_15_19_om_ie,p_15_19_om_uie,p_15_19_cfw,p_15_19_es_ns,p_15_19_total,p_20_24_e,p_20_24_om_ie,p_20_24_om_uie,p_20_24_cfw,p_20_24_es_ns,p_20_24_total,p_25_29_e,p_25_29_om_ie,p_25_29_om_uie,p_25_29_cfw,p_25_29_es_ns,p_25_29_total,p_30_34_e,p_30_34_om_ie,p_30_34_om_uie,p_30_34_cfw,p_30_34_es_ns,p_30_34_total,p_35_39_e,p_35_39_om_ie,p_35_39_om_uie,p_35_39_cfw,p_35_39_es_ns,p_35_39_total,p_40_44_e,p_40_44_om_ie,lga_name16
10050,733,0,9,3,9,757,1041,7,27,5,0,1084,1011,40,59,0,10,1119,1046,61,76,4,14,1206,962,87,88,4,7,1153,930,104,88,10,9,1143,970,145,106,16,13,1246,898,164,108,5,8,1191,821,147,135,12,7,1121,595,109,108,16,10,839,241,58,73,24,9,399,54,20,26,16,3,123,25,5,17,14,4,66,9322,959,919,137,105,11437,951,0,3,5,9,970,1297,0,15,0,7,1327,1244,14,38,3,4,1311,1227,37,74,11,12,1364,1124,46,76,24,13,1283,1250,59,95,10,5,1426,1310,88,89,21,12,1509,1313,82,91,19,5,1514,1224,48,72,23,15,1376,722,48,66,23,10,862,246,29,44,17,5,339,36,0,14,7,7,66,21,0,3,5,3,40,11965,457,687,163,109,13381,1688,3,12,11,15,1724,2333,14,46,4,12,2408,2253,57,96,7,17,2428,2266,107,151,22,18,2570,2090,132,163,25,24,2437,2181,163,Albury (C)
10130,376,0,0,5,0,388,608,8,11,3,9,648,551,16,35,0,4,608,508,40,37,3,3,591,436,45,54,5,7,550,451,47,84,13,3,594,495,57,73,13,4,642,498,82,112,18,13,711,469,76,97,17,7,663,306,53,96,22,4,487,123,31,70,33,6,263,40,17,45,37,3,137,18,13,33,37,4,102,4891,481,748,208,65,6397,487,0,3,12,4,502,679,0,8,0,5,697,565,3,15,4,7,593,544,11,21,8,0,592,480,18,37,10,3,546,632,26,34,14,4,708,642,43,49,9,3,748,684,35,55,12,7,794,608,35,43,29,8,725,352,23,64,15,7,465,109,12,44,26,7,202,35,9,19,26,3,88,11,0,7,14,4,42,5829,216,403,189,60,6703,866,0,5,20,5,893,1289,13,20,8,16,1344,1120,24,43,9,10,1207,1059,50,65,13,3,1183,922,58,89,21,11,1097,1083,74,Armidale Regional (A)
10250,438,0,7,3,7,456,498,7,15,0,7,533,468,21,44,4,4,532,496,27,59,8,6,599,479,84,98,5,12,675,500,100,116,15,11,751,531,103,135,13,8,780,533,124,160,14,6,837,582,97,164,13,11,864,375,72,153,21,6,630,171,68,101,24,4,368,51,21,42,19,7,137,20,14,33,24,8,100,5143,735,1123,167,91,7260,517,0,0,6,9,530,525,0,12,0,4,539,428,9,23,9,0,472,488,24,51,13,5,582,549,39,81,15,8,700,705,55,89,12,3,872,768,54,107,19,13,959,796,60,98,24,9,991,770,47,108,22,16,968,489,48,94,22,7,660,145,21,52,23,4,243,40,3,28,12,8,94,11,7,11,16,5,49,6247,372,756,191,86,7652,964,0,5,9,10,985,1024,10,22,0,13,1073,898,29,68,13,5,1002,982,54,115,19,14,1181,1031,122,187,16,15,1376,1204,155,Ballina (A)
10300,10,0,0,0,0,10,38,0,0,6,0,42,16,3,5,0,0,25,26,3,3,0,0,28,24,11,3,5,0,41,27,12,11,4,0,54,27,4,9,6,0,43,27,4,8,7,0,47,33,10,13,4,0,59,22,5,8,4,0,42,12,3,10,3,0,21,0,3,0,0,0,7,3,0,0,0,0,4,259,56,71,34,6,430,16,0,0,0,0,14,18,0,0,0,0,22,29,0,0,0,0,30,23,4,3,0,0,25,28,0,0,0,0,30,38,3,3,3,0,44,39,0,3,0,0,45,38,3,0,4,0,40,36,3,6,0,0,45,25,4,9,3,0,35,4,4,3,0,0,14,0,0,0,3,0,4,0,0,0,3,0,5,285,20,27,20,8,367,26,0,0,0,0,26,58,0,0,8,0,69,50,8,5,0,3,62,42,7,7,0,0,55,52,7,5,4,0,69,62,11,Balranald (A)
10470,480,0,5,9,9,507,852,6,25,4,11,889,791,25,52,7,17,888,700,76,56,0,11,839,622,62,74,6,4,766,649,85,80,15,16,834,674,83,103,11,8,878,660,89,86,12,15,859,588,79,93,30,12,795,437,61,91,20,7,614,152,45,68,23,6,299,55,12,45,17,3,139,29,15,34,27,3,106,6681,644,799,190,113,8420,634,0,0,5,9,652,912,7,17,9,11,945,813,10,23,6,7,855,757,32,30,10,5,836,710,38,67,19,6,836,879,36,58,18,11,1000,891,67,54,14,5,1032,841,43,65,32,7,993,776,43,65,24,15,918,493,26,50,18,7,595,158,21,55,23,8,253,41,12,26,13,0,87,13,0,13,9,7,42,7909,334,525,180,93,9035,1109,0,5,20,17,1154,1757,12,36,8,15,1840,1603,38,71,11,19,1745,1459,110,85,7,19,1676,1330,98,143,23,7,1601,1522,120,Bathurst Regional (A)
10550,319,0,3,5,9,335,330,3,23,0,5,358,313,7,25,0,3,347,346,22,35,3,3,411,335,45,64,3,5,453,384,63,77,3,9,543,465,81,98,5,10,660,513,90,129,12,15,761,525,103,149,23,17,813,343,96,135,30,14,617,126,51,101,32,10,317,27,19,41,17,10,115,17,12,39,17,4,93,4044,602,910,158,113,5823,386,0,3,3,7,402,328,0,9,0,6,347,329,5,15,6,8,360,403,16,28,7,3,463,408,24,62,8,3,502,488,48,52,19,11,611,620,34,84,21,13,769,691,52,86,31,6,863,692,52,105,25,8,882,410,29,72,40,9,567,145,26,44,21,3,239,32,14,30,15,0,95,11,0,4,9,0,27,4955,298,593,189,78,6117,709,3,8,8,13,738,650,4,30,0,9,701,649,12,35,3,7,708,755,40,69,8,11,873,749,65,124,10,8,956,874,107,Bega Valley (A)
10600,90,0,0,0,3,98,55,0,3,0,4,67,80,0,15,4,0,99,109,14,26,7,3,150,122,9,22,3,3,160,125,16,31,6,8,184,131,27,33,6,0,201,140,25,59,9,7,233,150,21,68,7,6,243,109,15,59,11,6,197,34,13,46,11,0,100,14,9,24,4,0,47,5,3,18,11,3,41,1162,146,395,80,40,1823,80,0,3,0,4,87,78,0,5,3,0,81,80,4,11,3,0,91,102,6,21,4,0,134,106,5,18,7,0,129,136,11,34,7,4,193,188,10,36,9,0,241,182,12,33,4,0,234,191,13,43,11,8,256,140,13,35,11,9,206,30,3,30,13,3,81,10,3,14,5,0,25,6,0,6,8,3,19,1313,70,286,90,29,1785,179,0,3,0,8,187,132,0,8,4,7,146,160,3,24,5,4,193,210,15,43,12,3,289,227,12,38,4,3,289,260,28,Bellingen (A)
10650,56,0,0,3,0,66,92,0,3,5,3,109,85,5,14,0,0,110,83,8,10,7,0,103,65,10,15,4,0,97,70,22,31,4,0,125,67,25,28,10,3,132,85,26,23,0,0,134,82,29,32,9,10,163,87,32,38,18,3,188,47,14,16,14,3,97,21,4,9,12,0,43,7,9,5,12,0,41,850,187,230,106,30,1414,74,0,0,3,0,76,69,0,4,0,0,72,92,4,3,3,0,98,74,6,0,3,0,91,87,12,13,5,3,118,84,9,20,4,0,117,104,16,23,5,0,146,128,13,13,6,0,158,137,11,11,13,4,177,87,10,19,7,5,129,36,9,7,5,0,62,7,3,10,7,0,28,5,0,3,6,0,20,978,90,128,77,22,1296,132,0,0,3,8,143,161,0,4,6,4,180,177,10,19,3,0,209,157,14,14,11,0,193,144,25,34,12,6,221,154,33,Berrigan (A)
10750,2845,12,16,25,41,2936,5307,82,118,28,56,5591,5907,283,247,23,73,6529,6143,536,384,39,56,7164,5838,635,420,58,61,7007,5607,730,519,56,69,6984,5227,740,490,57,61,6571,5037,689,489,51,74,6344,4223,521,414,54,41,5246,2759,408,328,55,35,3578,1096,223,193,31,24,1560,291,96,78,14,12,491,72,30,35,11,12,157,50356,4992,3719,498,610,60169,2985,6,13,19,22,3052,4208,15,61,19,40,4334,4388,68,145,18,34,4652,4578,170,251,64,32,5094,4467,235,300,81,40,5112,4657,230,306,68,32,5294,4586,253,284,56,51,5233,4231,232,269,52,38,4815,3597,172,178,43,30,4017,2145,103,130,29,33,2437,684,57,53,30,15,836,160,19,27,7,8,217,43,0,9,10,14,79,40730,1566,2004,489,391,45187,5832,25,31,40,63,5986,9509,93,181,51,92,9926,10302,355,389,41,99,11185,10719,708,628,101,93,12253,10306,870,717,134,97,12118,10270,964,Blacktown (C)
10800,52,0,3,9,0,65,92,0,18,0,0,115,94,3,9,3,3,115,98,10,19,6,3,134,101,12,26,9,0,143,91,16,33,12,0,146,78,11,31,8,0,134,91,14,49,8,3,164,94,11,43,25,3,183,60,18,32,13,3,127,28,9,24,14,3,76,7,3,16,12,3,46,5,3,18,16,4,47,898,112,318,136,29,1487,56,0,0,4,3,63,77,0,4,0,0,83,74,0,3,3,0,89,81,5,11,11,0,100,79,9,15,6,0,102,91,3,18,14,0,128,78,9,30,11,0,122,85,3,17,13,0,118,93,4,20,10,0,130,56,9,18,13,0,96,18,3,15,11,0,44,4,0,7,3,0,15,4,0,8,6,0,26,797,48,163,97,12,1114,110,0,3,6,3,120,168,4,23,5,0,195,171,3,13,12,3,204,175,17,31,15,3,233,181,15,32,13,0,248,181,15,Bland (A)
