lga_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,lga_name16
13340,4078.0,4144.0,4213.0,4267.0,4396.0,50.0,51.0,51.0,51.0,51.0,31843076.0,34122148.0,34039600.0,36154824.0,38875738.0,461.0,465.0,487.0,474.0,451.0,7809.0,8234.0,8080.0,8473.0,8843.0,15.1,15.6,15.3,15.4,14.5,Greater Hume Shire (A)
13450,9157.0,9444.0,9518.0,9568.0,9904.0,46.0,45.0,46.0,46.0,46.0,80639004.0,89511083.0,86268975.0,80092300.0,84348868.0,480.0,416.0,438.0,445.0,411.0,8806.0,9478.0,9064.0,8371.0,8517.0,12.9,13.0,11.9,11.9,11.8,Griffith (C)
13510,4078.0,4238.0,4096.0,4073.0,4237.0,50.0,50.0,51.0,50.0,51.0,32210809.0,32942597.0,33825495.0,35208753.0,39162939.0,455.0,410.0,435.0,454.0,423.0,7899.0,7773.0,8258.0,8644.0,9243.0,15.4,15.0,15.1,15.3,14.2,Gundagai (A)
13550,4213.0,4308.0,4224.0,4307.0,4557.0,48.0,48.0,48.0,48.0,47.0,31157605.0,34259143.0,31694095.0,31299453.0,32613528.0,389.0,452.0,376.0,310.0,265.0,7396.0,7952.0,7503.0,7267.0,7157.0,13.7,14.8,14.5,13.2,12.6,Gunnedah (A)
13660,1682.0,1760.0,1746.0,1726.0,1738.0,49.0,50.0,50.0,51.0,51.0,9579197.0,12608066.0,14473431.0,14020190.0,12542359.0,510.0,518.0,508.0,511.0,488.0,5695.0,7164.0,8289.0,8123.0,7217.0,16.3,17.7,19.6,18.7,16.3,Gwydir (A)
13800,22661.0,23214.0,23694.0,24513.0,25884.0,46.0,46.0,46.0,46.0,46.0,125608310.0,146138294.0,164396520.0,176242987.0,183438586.0,273.0,263.0,292.0,292.0,279.0,5543.0,6295.0,6938.0,7190.0,7087.0,10.0,10.4,10.3,10.3,10.8,Hawkesbury (C)
13850,992.0,1113.0,1106.0,1142.0,1214.0,50.0,49.0,50.0,51.0,50.0,6160861.0,7132112.0,6963094.0,7223178.0,8778703.0,638.0,419.0,505.0,464.0,396.0,6211.0,6408.0,6296.0,6325.0,7231.0,13.5,12.3,12.7,12.8,12.6,Hay (A)
16380,27211.0,27934.0,28036.0,28544.0,29761.0,51.0,52.0,52.0,52.0,52.0,162234804.0,171827137.0,176857749.0,180294606.0,191300205.0,453.0,420.0,427.0,466.0,416.0,5962.0,6151.0,6308.0,6316.0,6428.0,19.2,19.0,18.9,18.6,18.6,Port Macquarie-Hastings (A)
16400,23206.0,23886.0,24154.0,24165.0,25046.0,49.0,49.0,50.0,50.0,50.0,144392479.0,148916376.0,161005638.0,171715088.0,159201347.0,337.0,327.0,333.0,368.0,328.0,6222.0,6234.0,6666.0,7106.0,6356.0,15.0,14.5,14.5,14.8,14.9,Port Stephens (A)
16490,21737.0,22431.0,22703.0,22809.0,23610.0,45.0,45.0,46.0,46.0,46.0,129995464.0,133282559.0,130210591.0,136484351.0,140818308.0,248.0,231.0,250.0,243.0,222.0,5980.0,5942.0,5735.0,5984.0,5964.0,8.3,8.4,8.4,8.6,8.7,Queanbeyan-Palerang Regional (A)
