LGA_MAIN11,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings,LGA_NAME11
13650,92,487,598,257,117,1551,62,1613,Guyra (A)
13660,128,685,675,325,142,1955,61,2016,Gwydir (A)
13700,107,463,534,188,103,1395,43,1438,Harden (A)
13800,1009,5893,7886,3214,2275,20277,567,20844,Hawkesbury (C)
13850,99,415,399,117,80,1110,56,1166,Hay (A)
13950,4003,13418,10378,2767,1368,31934,1079,33013,Holroyd (C)
14000,3788,19022,20372,5845,2694,51721,951,52672,Hornsby (A)
14100,419,1510,1729,480,240,4378,109,4487,Hunters Hill (A)
14150,3537,11306,8658,2311,967,26779,769,27548,Hurstville (C)
14200,523,2147,2123,713,347,5853,228,6081,Inverell (A)
14250,36,154,194,80,64,528,17,545,Jerilderie (A)
14300,132,630,664,242,146,1814,73,1887,Junee (A)
14350,902,4224,3603,1099,446,10274,342,10616,Kempsey (A)
14400,341,2574,2998,890,404,7207,208,7415,Kiama (A)
14450,2256,7801,6270,1744,764,18835,513,19348,Kogarah (C)
14500,1478,11294,16024,4574,1796,35166,609,35775,Ku-ring-gai (A)
14550,229,1438,1267,386,171,3491,112,3603,Kyogle (A)
14600,191,777,844,367,181,2360,116,2476,Lachlan (A)
14650,5026,24666,26347,8418,3964,68421,2137,70558,Lake Macquarie (C)
14700,1135,5391,4020,825,272,11643,237,11880,Lane Cove (A)
14750,281,1280,1388,454,257,3660,130,3790,Leeton (A)
14800,3166,10700,5910,823,234,20833,484,21317,Leichhardt (A)
14850,1311,6188,5964,1702,699,15864,480,16344,Lismore (C)
14870,831,2664,2594,872,488,7449,335,7784,Lithgow (C)
14900,5026,16426,19711,6932,3433,51528,2066,53594,Liverpool (C)
14920,215,1038,1015,385,202,2855,96,2951,Liverpool Plains (A)
14950,42,316,438,176,114,1086,40,1126,Lockhart (A)
15050,1635,7679,9571,3030,1543,23458,639,24097,Maitland (C)
15150,1857,6692,4908,1001,312,14770,364,15134,Manly (A)
15200,6251,14938,6409,1077,416,29091,886,29977,Marrickville (A)
15270,527,2877,3097,1045,511,8057,305,8362,Mid-Western Regional (A)
15300,474,1477,1634,529,307,4421,240,4661,Moree Plains (A)
15350,1259,4870,3433,735,244,10541,203,10744,Mosman (A)
15500,140,968,1052,293,146,2599,110,2709,Murray (A)
15550,52,282,292,112,69,807,29,836,Murrumbidgee (A)
15650,386,1802,2124,725,311,5348,186,5534,Muswellbrook (A)
15700,659,3366,2370,645,240,7280,335,7615,Nambucca (A)
15750,341,1465,1724,686,347,4563,220,4783,Narrabri (A)
15800,172,807,764,262,125,2130,115,2245,Narrandera (A)
15850,199,807,837,315,182,2340,111,2451,Narromine (A)
15900,6686,22555,20026,5079,2040,56386,2064,58450,Newcastle (C)
15950,4948,15581,6242,841,244,27856,572,28428,North Sydney (A)
16100,89,584,738,283,122,1816,71,1887,Oberon (A)
16150,1183,5020,4980,1474,668,13325,540,13865,Orange (C)
16180,81,1049,2091,932,581,4734,112,4846,Palerang (A)
16200,494,1952,1859,575,330,5210,194,5404,Parkes (A)
16250,7970,23773,16974,4175,1941,54833,1870,56703,Parramatta (C)
16350,4451,19274,22017,7626,4291,57659,1733,59392,Penrith (C)
16370,808,5887,8918,2510,1171,19294,480,19774,Pittwater (A)
16380,2236,12236,9942,2645,1028,28087,975,29062,Port Macquarie-Hastings (A)
16400,1342,9006,8819,2774,1298,23239,738,23977,Port Stephens (A)
16470,921,4913,5175,1763,952,13724,388,14112,Queanbeyan (C)
16550,8884,20773,12777,2620,934,45988,1574,47562,Randwick (C)
16610,757,3231,2915,854,359,8116,343,8459,Richmond Valley (A)
16650,4688,15193,9879,2519,966,33245,1162,34407,Rockdale (C)
16700,4781,16198,11808,2788,1185,36760,919,37679,Ryde (C)
16900,1584,7594,8403,2819,1315,21715,723,22438,Shellharbour (C)
16950,2366,15020,12461,3468,1428,34743,1189,35932,Shoalhaven (C)
17000,343,2043,3272,1250,642,7550,207,7757,Singleton (A)
17050,86,675,963,332,184,2240,125,2365,Snowy River (A)
18020,253,1330,1238,436,248,3505,159,3664,Warrumbungle Shire (A)
40120,316,3412,6045,2261,1342,13376,235,13611,Adelaide Hills (DC)
40220,357,3419,3597,1230,700,9303,201,9504,Alexandrina (DC)
40310,347,2531,3459,1232,756,8325,184,8509,Barossa (DC)
40430,48,395,371,122,67,1003,28,1031,Barunga West (DC)
40520,327,1505,1420,534,248,4034,141,4175,Berri and Barmera (DC)
17700,17,149,154,51,51,422,23,445,Urana (A)
17750,1561,7491,8235,2543,1117,20947,769,21716,Wagga Wagga (C)
18710,181,1250,2134,945,568,5078,100,5178,Yass Valley (A)
18750,363,1653,1567,537,280,4400,172,4572,Young (A)
19399,39,134,99,60,45,377,13,390,Unincorporated NSW
19499,0,0,0,0,0,0,0,0,
20110,244,1702,1772,594,296,4608,131,4739,Alpine (S)
20260,333,1440,1573,536,302,4184,148,4332,Ararat (RC)
20570,2802,12909,13035,3882,1887,34515,1230,35745,Ballarat (C)
20660,3081,15433,17036,4754,2307,42611,1088,43699,Banyule (C)
20740,741,4579,4308,1254,510,11392,466,11858,Bass Coast (S)
20830,754,4914,6242,2286,1336,15532,449,15981,Baw Baw (S)
20910,2034,11279,14195,3494,1468,32470,801,33271,Bayside (C)
21010,418,1917,1960,688,384,5367,173,5540,Benalla (RC)
21110,4922,20759,22083,5763,2483,56010,1220,57230,Boroondara (C)
21180,4766,19195,21068,7537,3631,56197,2573,58770,Brimbank (C)
21270,176,827,913,322,275,2513,101,2614,Buloke (S)
21370,845,4386,5190,1879,997,13297,500,13797,Campaspe (S)
21450,813,6845,10662,3831,2305,24456,584,25040,Cardinia (S)
21610,3119,22630,35018,11614,5776,78157,2313,80470,Casey (C)
21670,376,1971,1755,586,332,5020,229,5249,Central Goldfields (S)
21750,510,2702,2837,1006,541,7596,259,7855,Colac-Otway (S)
21830,310,1824,2326,918,597,5975,221,6196,Corangamite (S)
21890,7527,21972,15094,3625,1558,49776,1848,51624,Darebin (C)
22110,1007,6067,6281,1924,959,16238,623,16861,East Gippsland (S)
22170,3340,16902,17927,5307,2374,45850,1555,47405,Frankston (C)
22250,244,1328,1595,522,296,3985,177,4162,Gannawarra (S)
22830,1576,7092,8156,2758,1400,20982,828,21810,Greater Shepparton (C)
22910,317,1963,2062,780,450,5572,195,5767,Hepburn (S)
22980,152,720,844,316,228,2260,82,2342,Hindmarsh (S)
23110,2873,12071,11071,2956,1186,30157,983,31140,Hobsons Bay (C)
23190,573,2539,2788,962,533,7395,238,7633,Horsham (RC)
23270,2938,15689,20766,7395,3793,50581,1664,52245,Hume (C)
