LGA_MAIN11,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total,LGA_NAME11
19499,66,48,123,2361,1818,643,574,3419,2924,11739,
29499,27,19,53,1611,1165,390,319,2085,1697,7267,
14300,37,24,96,770,936,541,549,812,1138,4746,Junee (A)
14350,406,120,717,3518,5298,3215,3125,5036,2471,22663,Kempsey (A)
14400,273,103,615,3403,4737,2648,1939,2782,968,16477,Kiama (A)
14450,537,210,1242,10578,10861,5085,3992,12299,3143,45958,Kogarah (C)
14500,1387,634,3481,21680,23321,12365,9577,15007,4831,86781,Ku-ring-gai (A)
14550,90,47,204,1202,1862,1151,1226,1382,646,7469,Kyogle (A)
14600,75,32,160,868,1160,632,754,1154,528,5096,Lachlan (A)
31820,802,486,1871,12304,17477,9978,9941,15819,6866,72385,Bundaberg (R)
13050,83,26,141,669,995,671,577,889,295,4096,Gloucester (A)
13100,2128,1286,5129,28191,35144,17586,14288,25230,11623,132062,Gosford (C)
41560,169,60,339,1797,2661,1588,1511,2401,791,10749,Copper Coast (DC)
41750,8,3,16,157,204,134,130,168,48,841,Elliston (DC)
12850,1443,408,2485,28461,26646,12362,12676,56126,13276,149547,Fairfield (C)
12900,120,45,231,1339,1747,948,917,1672,616,7239,Forbes (A)
12950,48,29,114,580,784,464,521,789,358,3496,Gilgandra (A)
14650,2331,862,4816,31717,40229,21324,17815,31965,10782,153832,Lake Macquarie (C)
14700,352,127,762,7174,7494,3064,2131,4232,1441,25536,Lane Cove (A)
14750,90,44,191,1581,2058,1075,977,1734,1001,8426,Leeton (A)
14800,279,148,630,13167,13429,4466,2752,6296,3300,43410,Leichhardt (A)
14850,450,120,865,6925,9754,5172,4212,5933,2353,34349,Lismore (C)
14870,181,85,386,2806,3910,2109,2201,3552,1810,16388,Lithgow (C)
14900,810,324,1559,27586,28961,13108,12826,41695,13721,137897,Liverpool (C)
14920,85,27,170,1046,1353,802,878,1403,540,6022,Liverpool Plains (A)
14950,53,15,91,430,574,322,360,504,176,2366,Lockhart (A)
15050,515,198,1054,11000,13981,7140,6361,10380,3792,52654,Maitland (C)
15150,274,187,858,9345,8750,3594,2599,5247,2697,32232,Manly (A)
15200,471,166,903,18514,18672,5766,3675,12437,6201,65265,Marrickville (A)
15270,244,98,463,3184,4352,2347,2454,3752,1705,17794,Mid-Western Regional (A)
15300,90,25,166,1897,2344,1178,1135,2413,1317,10284,Moree Plains (A)
15350,348,140,837,6267,6019,2570,1902,3710,1964,22432,Mosman (A)
15500,69,26,148,1041,1437,782,691,1321,498,5770,Murray (A)
15550,12,3,27,304,404,215,221,429,174,1747,Murrumbidgee (A)
15650,82,35,170,2432,2956,1482,1472,2412,1435,12189,Muswellbrook (A)
15700,295,109,627,2426,3800,2247,2185,3297,1375,15330,Nambucca (A)
15750,128,29,229,1822,2438,1284,1299,2229,983,10055,Narrabri (A)
15800,82,26,162,788,1009,578,609,1157,521,4662,Narrandera (A)
15850,39,22,97,869,1208,609,720,1124,482,5012,Narromine (A)
15900,1914,713,3863,29370,33277,14546,11191,25452,9389,123225,Newcastle (C)
15950,409,234,1074,18078,15958,4729,2761,8362,5467,55355,North Sydney (A)
16100,45,9,79,745,1014,538,504,817,404,4022,Oberon (A)
16150,391,133,771,6194,7777,3761,3084,6283,2533,29632,Orange (C)
16180,45,15,107,2294,3555,1852,1329,1394,835,11259,Palerang (A)
16200,196,64,370,2036,2667,1483,1455,2482,1193,11316,Parkes (A)
16250,1388,684,3050,28541,30640,13725,11811,37826,12759,135302,Parramatta (C)
16350,831,451,1895,30609,35720,16457,14632,31001,11339,139758,Penrith (C)
16370,678,289,1517,11145,13149,6536,4400,7479,3017,45726,Pittwater (A)
16380,1090,556,2455,10909,15844,8839,7638,11565,4957,59752,Port Macquarie-Hastings (A)
16400,575,338,1380,9759,13386,7446,6622,10442,4521,52176,Port Stephens (A)
16470,164,112,443,7433,9115,3564,2419,5410,2357,30298,Queanbeyan (C)
16550,1426,466,2775,30018,26447,9699,6732,24693,11898,109487,Randwick (C)
16610,266,133,568,2941,4227,2425,2479,3782,1593,17447,Richmond Valley (A)
16650,1319,392,2476,17416,18084,7677,6238,23303,7693,80411,Rockdale (C)
16700,1160,440,2498,20564,22044,9633,7096,20779,5808,85924,Ryde (C)
16900,463,151,919,9954,12533,6657,6002,11376,3520,50042,Shellharbour (C)
16950,1221,570,2566,12885,18998,11053,10191,15617,7667,76411,Shoalhaven (C)
17000,149,31,267,3694,4607,2298,2346,3412,1310,17667,Singleton (A)
17050,29,5,69,1390,1559,725,557,905,886,6022,Snowy River (A)
17750,539,221,1130,10562,12924,6028,4912,9212,3248,46886,Wagga Wagga (C)
17800,48,19,100,609,724,381,480,714,356,3264,Wakool (A)
17850,42,12,76,486,599,313,325,561,176,2460,Walcha (A)
17900,34,18,74,806,1146,559,570,1265,737,5083,Walgett (A)
