lga_code_2016,canada_before_1946,canada_1946_1955,canada_1956_1965,canada_1966_1975,canada_1976_1985,canada_1986_1995,canada_1996_2005,canada_2006_2010,canada_2011,canada_2012,canada_2013,canada_2014,canada_2015,canada_2016,canada_yr_arrival_notstated,canada_tot,china_exc_sars_taiw_bef_1946,china_exc_sars_taiwan_46_55,china_exc_sars_taiwan_56_65,china_exc_sars_taiwan_66_75,china_exc_sars_taiwan_76_85,china_exc_sars_taiwan_86_95,china_exc_sars_taiwan_96_05,china_exc_sars_taiwan_06_10,china_exc_sars_taiwan_2011,china_exc_sars_taiwan_2012,china_exc_sars_taiwan_2013,china_exc_sars_taiwan_2014,china_exc_sars_taiwan_2015,china_exc_sars_taiwan_2016,china_exc_sars_tawan_arr_notstated,china_exc_sars_taiwan_tot,croatia_before_1946,croatia_1946_1955,croatia_1956_1965,croatia_1966_1975,croatia_1976_1985,croatia_1986_1995,croatia_1996_2005,croatia_2006_2010,croatia_2011,croatia_2012,croatia_2013,croatia_2014,croatia_2015,croatia_2016,croatia_yr_arrival_notstated,croatia_tot,egypt_before_1946,egypt_1946_1955,egypt_1956_1965,egypt_1966_1975,egypt_1976_1985,egypt_1986_1995,egypt_1996_2005,egypt_2006_2010,egypt_2011,egypt_2012,egypt_2013,egypt_2014,egypt_2015,egypt_2016,egypt_yr_arrival_notstated,egypt_tot,fiji_before_1946,fiji_1946_1955,fiji_1956_1965,fiji_1966_1975,fiji_1976_1985,fiji_1986_1995,fiji_1996_2005,fiji_2006_2010,fiji_2011,fiji_2012,fiji_2013,fiji_2014,fiji_2015,fiji_2016,fiji_yr_arrival_notstated,fiji_tot,germany_before_1946,germany_1946_1955,germany_1956_1965,germany_1966_1975,germany_1976_1985,germany_1986_1995,germany_1996_2005,germany_2006_2010,germany_2011,germany_2012,germany_2013,germany_2014,germany_2015,germany_2016,germany_yr_arrival_notstated,germany_tot,greece_before_1946,greece_1946_1955,greece_1956_1965,greece_1966_1975,greece_1976_1985,greece_1986_1995,greece_1996_2005,greece_2006_2010,greece_2011,greece_2012,greece_2013,greece_2014,greece_2015,greece_2016,greece_yr_arrival_notstated,greece_tot,hng_kng_sar_china_bfre_1946,hng_kng_sar_china_1946_1955,hng_kng_sar_china_1956_1965,hng_kng_sar_china_1966_1975,hng_kng_sar_china_1976_1985,hng_kng_sar_china_1986_1995,hng_kng_sar_china_1996_2005,hng_kng_sar_china_2006_2010,hong_kong_sar_china_2011,hong_kong_sar_china_2012,hong_kong_sar_china_2013,hong_kong_sar_china_2014,hong_kong_sar_china_2015,hong_kong_sar_china_2016,hng_kng_sar_chna_arrival_notstated,hong_kong_sar_china_tot,india_before_1946,india_1946_1955,india_1956_1965,india_1966_1975,india_1976_1985,india_1986_1995,india_1996_2005,india_2006_2010,india_2011,india_2012,india_2013,india_2014,india_2015,india_2016,india_yr_arrival_notstated,india_tot,indonesia_before_1946,indonesia_1946_1955,indonesia_1956_1965,indonesia_1966_1975,indonesia_1976_1985,indonesia_1986_1995,indonesia_1996_2005,indonesia_2006_2010,indonesia_2011,indonesia_2012,indonesia_2013,indonesia_2014,indonesia_2015,indonesia_2016,indonesia_yr_arrival_notstated,indonesia_tot,iran_before_1946,iran_1946_1955,iran_1956_1965,iran_1966_1975,iran_1976_1985,iran_1986_1995,iran_1996_2005,iran_2006_2010,iran_2011,iran_2012,iran_2013,iran_2014,iran_2015,iran_2016,iran_yr_arrival_notstated,iran_tot,iraq_before_1946,iraq_1946_1955,iraq_1956_1965,iraq_1966_1975,iraq_1976_1985,iraq_1986_1995,iraq_1996_2005,iraq_2006_2010,iraq_2011,iraq_2012,iraq_2013,iraq_2014,iraq_2015,iraq_2016,iraq_yr_arrival_notstated,iraq_tot,ireland_before_1946,ireland_1946_1955,ireland_1956_1965,ireland_1966_1975,ireland_1976_1985,ireland_1986_1995,ireland_1996_2005,ireland_2006_2010,lga_name16
10050,0,0,3,11,6,4,7,4,6,0,0,0,0,0,3,47,0,3,0,0,3,3,23,35,0,9,9,7,5,11,0,108,0,3,8,32,3,0,0,0,0,0,0,0,0,0,3,49,0,3,0,8,0,0,0,0,0,0,3,0,4,0,0,18,0,0,3,3,9,15,9,4,0,0,0,0,0,0,0,43,0,99,70,28,14,8,6,10,0,0,0,0,3,3,7,252,0,17,18,7,3,3,0,0,0,0,0,0,0,0,3,57,0,0,0,4,9,11,3,0,0,0,3,3,0,0,3,33,0,3,0,5,7,8,44,271,30,36,45,46,34,20,13,569,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,12,0,0,0,0,4,4,3,3,0,5,0,4,3,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,13,10,4,10,4,11,Albury (C)
10130,0,0,3,18,6,6,19,5,0,0,0,0,3,0,0,58,0,0,0,0,3,9,35,38,14,7,17,28,64,39,25,282,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,11,8,0,0,3,0,0,0,3,0,29,0,12,15,8,8,14,18,5,0,0,3,0,0,0,3,98,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,3,3,5,0,4,0,0,0,3,3,0,30,0,0,7,0,3,10,17,50,3,7,12,16,18,11,8,161,0,3,0,0,3,0,8,4,0,0,0,3,6,4,0,33,0,0,0,0,4,7,3,3,10,5,7,3,6,3,3,46,0,0,0,0,0,0,3,7,3,5,22,30,11,0,0,89,0,0,8,0,3,3,7,0,Armidale Regional (A)
10250,0,0,4,15,13,9,19,7,0,3,3,0,3,4,6,92,0,6,3,0,7,5,17,13,0,0,0,4,6,0,3,60,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,11,0,0,5,3,0,3,0,0,3,0,0,5,41,0,41,23,13,12,7,17,8,0,3,3,0,0,0,3,133,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,16,3,5,4,9,0,5,13,39,3,3,12,12,0,0,0,106,0,3,5,0,0,5,4,8,3,3,3,0,0,0,3,33,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,26,7,3,12,17,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Balranald (A)
10470,0,3,3,6,5,3,9,11,4,0,3,0,0,0,0,57,0,4,0,0,4,13,20,23,7,14,7,9,9,3,10,132,0,0,7,8,0,0,3,0,0,0,0,0,0,0,3,22,0,0,3,3,0,3,10,0,0,0,0,0,0,0,3,19,0,0,0,3,4,13,13,3,0,0,0,0,0,0,9,44,3,44,15,7,14,4,3,4,0,3,0,0,0,0,4,102,0,0,3,6,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,5,3,3,0,0,0,3,0,3,4,19,0,0,3,4,3,9,23,63,8,15,15,13,14,4,3,172,0,4,3,0,3,0,4,5,0,0,0,0,0,0,0,20,0,0,0,0,0,0,8,0,3,3,3,0,4,0,4,29,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,19,0,3,5,9,3,12,13,6,Bathurst Regional (A)
10550,0,0,6,11,10,11,15,5,4,0,0,0,3,0,0,60,3,0,5,0,0,3,12,16,0,0,0,0,0,3,0,44,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,16,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,3,0,3,0,0,0,0,0,0,0,3,14,0,59,64,27,26,23,13,11,0,0,3,0,0,0,6,233,0,4,8,6,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,3,4,4,4,3,0,5,12,0,0,0,0,0,0,3,45,0,4,4,4,0,0,0,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,8,11,12,6,Bega Valley (A)
10600,0,0,0,8,0,0,7,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,9,11,22,18,11,3,0,0,0,0,0,0,3,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,6,0,3,0,0,0,3,3,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,6,Bellingen (A)
10650,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,11,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,5,4,0,3,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,8,0,0,0,3,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,Berrigan (A)
10750,0,6,9,29,32,39,62,41,7,6,8,7,15,22,15,296,0,20,58,35,147,941,1278,1137,141,181,141,188,145,91,146,4660,0,17,129,501,59,132,130,0,0,0,3,3,3,0,28,1016,3,32,68,313,105,474,362,221,35,55,92,62,53,16,44,1936,4,0,4,71,466,2202,2423,962,176,154,152,122,91,70,179,7078,0,352,167,124,72,53,82,37,3,8,8,9,4,7,29,961,0,37,232,238,50,34,28,12,4,12,4,5,3,0,23,674,0,0,6,36,170,370,191,52,14,8,23,8,24,12,31,942,4,8,27,261,336,1899,6892,9421,785,891,1129,1361,1211,836,688,25738,0,11,17,56,171,297,594,180,29,18,21,17,26,12,40,1476,0,0,0,35,90,270,447,240,122,113,104,39,39,21,41,1549,0,0,0,28,37,209,580,297,106,74,130,54,109,32,38,1687,0,5,39,156,37,108,60,79,Blacktown (C)
10800,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,6,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Bland (A)
