LGA_MAIN11,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot,LGA_NAME11
15150,67,115,182,54,96,150,38,183,221,57,447,504,269,454,723,341,392,733,386,378,764,431,373,804,483,312,795,923,505,1428,922,125,1047,1699,746,2445,1130,59,1189,713,53,766,1673,119,1792,1076,228,1304,118,168,286,10380,4753,15133,Manly (A)
15200,130,256,386,166,210,376,116,645,761,187,1215,1402,1078,882,1960,974,904,1878,866,957,1823,1102,1080,2182,1060,1031,2091,2082,1575,3657,2181,476,2657,1989,1204,3193,1783,208,1991,942,101,1043,1689,164,1853,1542,622,2164,222,338,560,18109,11868,29977,Marrickville (A)
15270,48,66,114,78,83,161,48,235,283,130,686,816,698,353,1051,558,249,807,538,154,692,431,132,563,437,87,524,673,116,789,487,11,498,428,105,533,300,5,305,97,0,97,124,6,130,644,38,682,157,161,318,5876,2487,8363,Mid-Western Regional (A)
15300,45,35,80,52,51,103,31,131,162,57,252,309,276,162,438,265,166,431,284,131,415,274,136,410,293,92,385,399,78,477,314,9,323,169,48,217,151,5,156,38,3,41,91,0,91,372,16,388,123,112,235,3234,1427,4661,Moree Plains (A)
15350,72,87,159,44,69,113,18,124,142,25,290,315,131,338,469,152,326,478,225,293,518,208,356,564,290,313,603,508,465,973,486,45,531,1259,756,2015,792,27,819,456,16,472,1454,33,1487,813,85,898,60,126,186,6993,3749,10742,Mosman (A)
15500,24,20,44,22,15,37,11,75,86,27,221,248,269,132,401,224,101,325,208,59,267,171,36,207,160,28,188,216,21,237,145,4,149,85,16,101,69,3,72,18,0,18,24,0,24,192,10,202,38,64,102,1903,805,2708,Murray (A)
15550,13,7,20,6,4,10,4,27,31,10,59,69,60,44,104,65,33,98,72,25,97,58,19,77,52,4,56,85,3,88,51,0,51,23,8,31,11,0,11,3,0,3,3,0,3,61,4,65,15,7,22,592,244,836,Murrumbidgee (A)
15650,19,34,53,38,38,76,35,114,149,56,273,329,301,162,463,297,146,443,231,137,368,251,125,376,276,110,386,447,148,595,388,14,402,516,150,666,330,8,338,126,9,135,186,16,202,358,32,390,78,83,161,3933,1599,5532,Muswellbrook (A)
15700,33,46,79,87,69,156,49,326,375,126,821,947,883,466,1349,757,297,1054,639,172,811,494,107,601,382,52,434,462,68,530,246,3,249,110,28,138,79,3,82,14,0,14,53,0,53,467,31,498,119,127,246,5000,2616,7616,Nambucca (A)
15750,46,30,76,38,43,81,34,128,162,67,330,397,349,187,536,296,168,464,291,102,393,279,99,378,304,56,360,426,57,483,320,11,331,201,47,248,117,4,121,44,3,47,62,4,66,379,18,397,141,105,246,3394,1392,4786,Narrabri (A)
15800,13,16,29,35,17,52,18,81,99,36,198,234,192,120,312,164,84,248,159,72,231,116,45,161,134,16,150,169,21,190,137,3,140,47,14,61,33,0,33,11,0,11,17,0,17,169,7,176,38,64,102,1488,758,2246,Narrandera (A)
15850,24,23,47,31,22,53,22,76,98,48,201,249,184,121,305,165,92,257,165,51,216,147,41,188,155,26,181,207,27,234,135,0,135,70,12,82,47,0,47,19,0,19,21,0,21,212,7,219,55,43,98,1707,742,2449,Narromine (A)
15900,205,380,585,302,495,797,241,1831,2072,504,4434,4938,3110,2523,5633,2970,1993,4963,2778,1566,4344,2826,1665,4491,2757,1219,3976,4890,1620,6510,4319,422,4741,3337,943,4280,2480,146,2626,1044,72,1116,1468,75,1543,3488,796,4284,591,960,1551,37310,21140,58450,Newcastle (C)
15950,126,309,435,90,161,251,40,411,451,78,746,824,293,873,1166,357,782,1139,480,866,1346,612,1098,1710,678,1129,1807,1371,1796,3167,1472,314,1786,2302,2968,5270,1954,243,2197,1196,138,1334,2912,274,3186,1446,478,1924,152,284,436,15559,12870,28429,North Sydney (A)
16100,9,19,28,11,19,30,12,56,68,24,116,140,131,78,209,114,73,187,145,43,188,131,36,167,119,19,138,200,24,224,125,0,125,68,17,85,57,0,57,13,0,13,25,0,25,136,6,142,30,32,62,1350,538,1888,Oberon (A)
16150,51,78,129,85,135,220,78,361,439,143,911,1054,802,572,1374,732,482,1214,689,354,1043,784,313,1097,749,247,996,1309,286,1595,1025,52,1077,770,168,938,546,19,565,251,3,254,348,18,366,954,82,1036,214,252,466,9530,4333,13863,Orange (C)
