lga_name_2016,lga_code_2016,negnil_inc_be_wft,negnil_inc_be_wpt,negnil_inc_be_baw,negnil_inc_1eft_othpt,negnil_inc_1eft_othaw,negnil_inc_1eft_othnw,negnil_inc_1ept_othaw,negnil_inc_1ept_othnw,negnil_inc_1aw_othnw,negnil_inc_bnw,negnil_inc_lfsta_ns,negnil_inc_tot,i_1_149_be_wft,i_1_149_be_wpt,i_1_149_be_baw,i_1_149_1eft_othpt,i_1_149_1eft_othaw,i_1_149_1eft_othnw,i_1_149_1ept_othaw,i_1_149_1ept_othnw,i_1_149_1aw_othnw,i_1_149_bnw,i_1_149_lfsta_ns,i_1_149_tot,i_150_299_be_wft,i_150_299_be_wpt,i_150_299_be_baw,i_150_299_1eft_othpt,i_150_299_1eft_othaw,i_150_299_1eft_othnw,i_150_299_1ept_othaw,i_150_299_1ept_othnw,i_150_299_1aw_othnw,i_150_299_bnw,i_150_299_lfsta_ns,i_150_299_tot,i_300_399_be_wft,i_300_399_be_wpt,i_300_399_be_baw,i_300_399_1eft_othpt,i_300_399_1eft_othaw,i_300_399_1eft_othnw,i_300_399_1ept_othaw,i_300_399_1ept_othnw,i_300_399_1aw_othnw,i_300_399_bnw,i_300_399_lfsta_ns,i_300_399_tot,i_400_499_be_wft,i_400_499_be_wpt,i_400_499_be_baw,i_400_499_1eft_othpt,i_400_499_1eft_othaw,i_400_499_1eft_othnw,i_400_499_1ept_othaw,i_400_499_1ept_othnw,i_400_499_1aw_othnw,i_400_499_bnw,i_400_499_lfsta_ns,i_400_499_tot,i_500_649_be_wft,i_500_649_be_wpt,i_500_649_be_baw,i_500_649_1eft_othpt,i_500_649_1eft_othaw,i_500_649_1eft_othnw,i_500_649_1ept_othaw,i_500_649_1ept_othnw,i_500_649_1aw_othnw,i_500_649_bnw,i_500_649_lfsta_ns,i_500_649_tot,i_650_799_be_wft,i_650_799_be_wpt,i_650_799_be_baw,i_650_799_1eft_othpt,i_650_799_1eft_othaw,i_650_799_1eft_othnw,i_650_799_1ept_othaw,i_650_799_1ept_othnw,i_650_799_1aw_othnw,i_650_799_bnw,i_650_799_lfsta_ns,i_650_799_tot,i_800_999_be_wft,i_800_999_be_wpt,i_800_999_be_baw,i_800_999_1eft_othpt,i_800_999_1eft_othaw,i_800_999_1eft_othnw,i_800_999_1ept_othaw,i_800_999_1ept_othnw,i_800_999_1aw_othnw,i_800_999_bnw,i_800_999_lfsta_ns,i_800_999_tot,i_1000_1249_be_wft,i_1000_1249_be_wpt,i_1000_1249_be_baw,i_1000_1249_1eft_othpt,i_1000_1249_1eft_othaw,i_1000_1249_1eft_othnw,i_1000_1249_1ept_othaw,i_1000_1249_1ept_othnw,i_1000_1249_1aw_othnw,i_1000_1249_bnw,i_1000_1249_lfsta_ns,i_1000_1249_tot,i_1250_1499_be_wft,i_1250_1499_be_wpt,i_1250_1499_be_baw,i_1250_1499_1eft_othpt,i_1250_1499_1eft_othaw,i_1250_1499_1eft_othnw,i_1250_1499_1ept_othaw,i_1250_1499_1ept_othnw,i_1250_1499_1aw_othnw,i_1250_1499_bnw,i_1250_1499_lfsta_ns,i_1250_1499_tot,i_1500_1749_be_wft,i_1500_1749_be_wpt,i_1500_1749_be_baw,i_1500_1749_1eft_othpt,i_1500_1749_1eft_othaw,i_1500_1749_1eft_othnw,i_1500_1749_1ept_othaw,i_1500_1749_1ept_othnw,i_1500_1749_1aw_othnw,i_1500_1749_bnw,i_1500_1749_lfsta_ns,i_1500_1749_tot,i_1750_1999_be_wft,i_1750_1999_be_wpt,i_1750_1999_be_baw,i_1750_1999_1eft_othpt,i_1750_1999_1eft_othaw,i_1750_1999_1eft_othnw,i_1750_1999_1ept_othaw,i_1750_1999_1ept_othnw,i_1750_1999_1aw_othnw,i_1750_1999_bnw,i_1750_1999_lfsta_ns,i_1750_1999_tot,i_2000_2499_be_wft,i_2000_2499_be_wpt,i_2000_2499_be_baw,i_2000_2499_1eft_othpt,i_2000_2499_1eft_othaw,i_2000_2499_1eft_othnw,i_2000_2499_1ept_othaw,i_2000_2499_1ept_othnw,i_2000_2499_1aw_othnw,i_2000_2499_bnw,i_2000_2499_lfsta_ns,i_2000_2499_tot,i_2500_2999_be_wft,i_2500_2999_be_wpt,i_2500_2999_be_baw,i_2500_2999_1eft_othpt,i_2500_2999_1eft_othaw,i_2500_2999_1eft_othnw,i_2500_2999_1ept_othaw,i_2500_2999_1ept_othnw,i_2500_2999_1aw_othnw,i_2500_2999_bnw,i_2500_2999_lfsta_ns,i_2500_2999_tot,i_3000_3499_be_wft,i_3000_3499_be_wpt,i_3000_3499_be_baw,i_3000_3499_1eft_othpt,i_3000_3499_1eft_othaw,i_3000_3499_1eft_othnw,i_3000_3499_1ept_othaw,i_3000_3499_1ept_othnw,i_3000_3499_1aw_othnw,i_3000_3499_bnw,i_3000_3499_lfsta_ns,i_3000_3499_tot,i_3500_3999_be_wft,i_3500_3999_be_wpt,i_3500_3999_be_baw,i_3500_3999_1eft_othpt,i_3500_3999_1eft_othaw,i_3500_3999_1eft_othnw,i_3500_3999_1ept_othaw,i_3500_3999_1ept_othnw,i_3500_3999_1aw_othnw,i_3500_3999_bnw,i_3500_3999_lfsta_ns,i_3500_3999_tot,i_4000more_be_wft,i_4000more_be_wpt,i_4000more_be_baw,i_4000more_1eft_othpt,i_4000more_1eft_othaw,i_4000more_1eft_othnw,i_4000more_1ept_othaw,i_4000more_1ept_othnw
Narrabri (A),15750,0,0,0,0,0,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,0,4,0,4,0,6,0,0,0,0,0,4,0,7,0,59,0,72,0,0,0,0,0,3,0,3,0,21,0,28,3,4,0,6,0,11,0,16,0,124,0,169,14,8,0,9,0,13,0,12,3,41,4,102,20,8,0,15,3,15,4,18,0,39,3,133,21,7,0,26,4,8,0,11,3,25,3,113,12,0,3,30,4,21,0,4,0,4,0,77,33,7,0,26,3,13,0,4,0,7,0,88,82,11,3,34,5,17,5,3,0,11,0,169,54,0,3,22,0,6,0,0,0,4,0,89,27,3,0,9,3,4,0,3,0,3,0,58,19,3,0,3,0,8,0,0,0,0,0,32,20,0,4,11,3,10,0,0
Narrandera (A),15800,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,34,0,42,3,0,0,0,0,0,0,0,0,9,0,20,3,0,0,3,0,4,0,0,0,68,0,82,3,0,0,3,3,9,0,4,4,16,0,38,15,6,0,7,0,3,0,0,8,23,0,70,18,3,3,19,0,7,3,7,0,16,0,72,7,0,0,14,0,3,0,0,0,0,0,30,12,0,0,13,4,4,0,5,0,8,0,37,29,0,3,17,0,3,0,0,0,4,0,61,16,0,0,4,0,3,0,0,0,0,0,28,4,0,0,3,0,0,0,0,0,0,4,16,8,0,0,0,0,0,0,0,0,0,0,6,13,0,0,6,0,0,0,0
Narromine (A),15850,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,4,0,18,0,29,0,3,0,0,0,4,0,3,0,12,0,16,0,0,3,3,0,8,0,8,0,83,0,106,10,0,0,8,0,11,0,8,0,12,0,52,14,5,0,5,0,8,0,8,0,27,0,66,11,3,0,9,0,9,0,5,0,13,0,56,11,0,0,15,0,3,0,0,0,0,0,38,10,3,0,12,0,5,0,0,0,3,0,36,34,7,0,18,3,5,0,4,0,6,0,81,25,0,0,6,0,4,0,0,0,0,0,35,12,0,0,4,0,0,0,0,0,0,0,24,6,0,0,3,0,0,0,0,0,0,0,16,10,0,0,7,0,0,0,0
Newcastle (C),15900,0,0,0,3,0,0,0,8,4,141,0,155,0,0,0,0,0,0,0,6,0,61,3,77,0,4,0,0,0,4,0,22,0,53,0,82,0,0,0,0,0,3,0,23,0,29,3,60,3,14,0,0,0,5,0,47,3,441,6,534,0,18,0,4,0,23,3,83,5,189,0,331,10,59,4,9,6,55,4,138,14,1541,22,1857,15,63,0,46,4,143,4,155,17,581,4,1045,44,101,8,122,12,184,17,134,17,692,3,1331,118,98,3,253,11,166,16,120,24,441,4,1249,154,42,3,233,11,138,3,63,11,165,3,825,256,49,5,264,17,120,12,44,11,139,0,918,848,62,14,431,46,244,14,67,18,177,8,1921,733,42,21,262,34,89,4,42,9,64,0,1296,485,31,8,143,26,42,8,18,3,35,3,798,239,3,7,55,17,53,0,18,5,28,0,422,429,33,10,186,20,72,3,32
North Sydney (A),15950,0,0,4,0,0,3,0,0,0,67,0,76,0,0,0,0,0,0,0,0,0,19,0,25,0,0,0,0,0,0,0,6,0,11,0,20,0,0,0,0,0,0,0,7,0,5,0,14,0,5,0,3,0,3,0,5,0,67,0,86,0,6,0,0,0,17,0,21,7,21,0,71,4,17,0,5,0,15,0,16,0,114,0,177,11,13,0,7,0,30,3,25,0,90,3,175,9,37,0,29,6,60,3,43,3,123,3,321,29,49,0,75,3,59,0,44,4,91,0,351,48,26,0,65,3,66,0,38,0,68,0,318,96,25,0,67,6,65,6,19,4,74,0,358,495,51,15,184,14,154,6,63,4,142,0,1133,596,28,8,160,15,62,0,29,11,105,0,1019,625,16,7,111,18,32,3,21,0,52,0,890,541,18,3,47,15,149,0,23,3,39,0,834,1711,79,17,355,39,232,12,105
Northern Beaches (A),15990,3,0,0,4,0,3,0,11,0,287,5,313,0,3,0,0,0,0,0,10,0,127,3,154,0,4,0,4,0,3,0,31,0,76,0,120,0,0,0,0,0,0,0,16,0,35,0,56,7,18,0,3,0,3,0,71,3,498,10,613,3,16,0,4,0,23,0,98,4,191,0,351,3,72,3,20,6,62,5,139,9,1141,22,1490,12,106,3,45,4,115,3,190,10,772,6,1254,54,194,3,148,8,174,4,244,20,1088,9,1956,149,187,11,230,13,160,18,171,23,784,12,1754,169,92,9,282,13,165,14,130,9,353,7,1232,336,83,9,277,22,156,23,124,13,395,10,1436,1143,140,25,555,51,294,22,195,25,541,9,3002,1041,95,21,453,40,146,14,95,12,296,3,2218,860,45,15,262,20,70,8,49,5,151,3,1487,654,26,10,107,25,203,3,42,3,115,0,1196,1808,134,31,571,70,311,17,161
Oberon (A),16100,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,17,0,35,0,0,0,0,0,0,0,0,0,4,0,10,3,0,0,0,0,8,0,3,0,81,0,96,0,10,0,3,0,6,0,7,0,16,0,34,9,4,0,9,0,17,0,8,0,24,0,75,12,3,0,9,0,9,0,10,0,18,0,62,6,3,0,13,0,14,0,0,0,5,0,41,11,3,0,14,5,4,0,0,0,6,0,43,32,4,0,19,0,11,0,6,0,3,0,67,20,0,0,10,3,0,0,0,0,0,0,39,20,0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,12,9,0,0,4,0,3,0,0
Orange (C),16150,0,0,0,3,0,0,0,4,0,32,0,44,0,3,0,4,0,0,0,3,0,28,0,37,0,3,0,0,0,0,0,3,0,13,0,23,0,0,0,0,0,0,0,3,0,4,0,11,0,3,0,0,0,6,0,10,0,152,0,182,0,0,0,0,0,11,0,33,3,48,0,97,8,15,0,4,0,25,0,46,4,382,7,490,0,17,0,13,3,55,4,29,3,152,0,271,13,27,3,55,7,53,3,49,7,177,3,392,69,22,3,87,4,49,0,23,6,106,0,359,54,10,0,61,6,35,3,18,3,31,0,220,93,11,3,65,7,36,3,12,4,30,0,274,202,26,11,90,13,42,4,19,10,47,5,460,155,0,0,75,11,16,3,4,0,17,3,280,88,4,0,33,3,9,3,3,4,13,0,165,49,6,0,10,0,12,0,4,0,9,0,85,102,13,0,49,3,18,0,3
Parkes (A),16200,0,0,0,0,0,0,0,0,0,22,0,23,3,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,3,0,7,0,12,0,0,0,0,0,0,0,0,0,3,0,9,3,3,0,3,0,0,0,8,0,60,7,87,0,0,0,8,0,3,0,11,0,9,0,31,7,3,0,4,0,13,0,17,4,167,3,215,4,3,0,12,0,17,0,19,0,64,0,115,15,11,3,23,3,26,3,19,0,62,0,163,21,13,4,34,5,13,3,10,3,25,0,128,19,4,0,20,0,17,0,8,3,11,0,80,28,0,0,17,4,12,0,0,3,13,0,85,69,8,0,37,10,17,0,5,0,12,0,158,43,3,0,17,7,5,0,6,0,4,0,84,30,0,0,11,0,3,0,0,0,0,0,48,15,0,0,6,0,0,0,0,0,0,0,27,22,0,3,18,0,3,0,0
Parramatta (C),16260,4,0,0,3,0,11,0,3,3,831,8,865,0,3,0,0,0,0,0,19,3,194,3,225,0,4,0,3,0,4,0,40,3,107,3,163,0,0,0,0,0,8,0,46,0,55,0,120,3,21,0,0,0,17,0,88,8,598,5,739,0,20,0,5,3,47,0,121,6,221,0,433,14,65,5,19,0,129,3,120,11,1227,18,1610,13,90,0,63,3,246,7,134,13,523,6,1104,57,161,8,188,13,368,7,133,21,651,12,1616,183,108,12,298,23,363,14,110,10,422,6,1541,217,62,8,244,12,339,4,79,10,167,3,1147,374,59,8,247,21,241,9,62,10,145,4,1176,1229,56,13,425,45,437,12,92,16,197,6,2529,1098,49,14,288,39,129,19,45,5,78,3,1756,848,27,15,139,31,63,3,19,3,38,0,1187,540,4,0,66,13,123,5,15,3,25,0,803,784,23,12,169,33,120,9,28
