LGA_MAIN11,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total,LGA_NAME11
14300,522,37,3,3,6,571,1098,10,3,3,3,1117,64,3,0,0,0,67,65,0,3,0,0,68,1227,13,6,3,3,1252,59,3,0,0,3,65,1808,53,9,6,12,1888,Junee (A)
14350,2994,196,234,86,3,3513,5441,261,149,54,0,5905,388,20,11,0,3,422,312,17,37,8,3,377,6141,298,197,62,6,6704,332,29,19,17,0,397,9467,523,450,165,9,10614,Kempsey (A)
14400,869,149,247,19,0,1284,4624,427,312,39,3,5405,231,23,35,3,0,292,141,40,24,0,0,205,4996,490,371,42,3,5902,165,26,35,3,0,229,6030,665,653,64,3,7415,Kiama (A)
14450,1776,319,1013,15,0,3123,8352,1170,5103,53,11,14689,253,31,171,4,0,459,180,35,221,6,4,446,8785,1236,5495,63,15,15594,339,61,231,0,0,631,10900,1616,6739,78,15,19348,Kogarah (C)
14500,1937,212,904,6,6,3065,24985,1158,4376,13,38,30570,468,43,146,0,3,660,329,36,227,0,0,592,25782,1237,4749,13,41,31822,634,73,178,0,3,888,28353,1522,5831,19,50,35775,Ku-ring-gai (A)
14550,1049,18,33,24,0,1124,2007,12,23,18,0,2060,171,0,0,4,0,175,102,0,7,5,0,114,2280,12,30,27,0,2349,121,3,3,4,0,131,3450,33,66,55,0,3604,Kyogle (A)
14600,875,19,32,6,0,932,1237,11,14,10,0,1272,84,0,0,0,0,84,81,0,0,3,0,84,1402,11,14,13,0,1440,97,4,0,0,0,101,2374,34,46,19,0,2473,Lachlan (A)
14650,12149,1956,1591,346,3,16045,43321,2573,1663,253,27,47837,1863,173,110,17,0,2163,1698,178,164,25,3,2068,46882,2924,1937,295,30,52068,1932,238,215,60,0,2445,60963,5118,3743,701,33,70558,Lake Macquarie (C)
14700,459,70,621,6,3,1159,5146,586,4011,21,33,9797,107,13,124,5,0,249,98,14,296,0,3,411,5351,613,4431,26,36,10457,108,24,129,0,3,264,5918,707,5181,32,42,11880,Lane Cove (A)
14750,959,81,90,13,0,1143,2040,53,93,14,5,2205,123,7,10,0,0,140,135,16,11,3,0,165,2298,76,114,17,5,2510,115,6,11,4,0,136,3372,163,215,34,5,3789,Leeton (A)
14800,902,702,934,32,0,2570,6066,6406,3995,192,18,16677,146,172,146,0,0,464,231,318,486,20,0,1055,6443,6896,4627,212,18,18196,183,164,191,15,0,553,7528,7762,5752,259,18,21319,Leichhardt (A)
14850,2863,343,476,172,4,3858,9609,435,572,115,7,10738,534,30,39,0,0,603,447,46,64,23,0,580,10590,511,675,138,7,11921,422,53,69,19,0,563,13875,907,1220,329,11,16342,Lismore (C)
14870,2013,219,112,21,3,2368,4301,149,75,25,4,4554,262,7,7,0,0,276,222,23,15,4,0,264,4785,179,97,29,4,5094,249,24,20,30,0,323,7047,422,229,80,7,7785,Lithgow (C)
14900,6811,1363,2061,30,12,10277,29348,4134,3679,40,27,37228,1193,185,217,4,3,1602,1384,284,354,5,3,2030,31925,4603,4250,49,33,40860,1608,388,451,10,3,2460,40344,6354,6762,89,48,53597,Liverpool (C)
14920,928,26,38,7,3,1002,1595,10,6,14,4,1629,91,0,4,0,0,95,95,5,3,0,0,103,1781,15,13,14,4,1827,115,0,0,4,0,119,2824,41,51,25,7,2948,Liverpool Plains (A)
14950,312,0,3,5,5,325,669,0,4,5,3,681,41,0,0,0,0,41,29,0,0,0,0,29,739,0,4,5,3,751,48,0,3,0,0,51,1099,0,10,10,8,1127,Lockhart (A)
15050,4051,520,505,67,0,5143,15273,788,504,62,7,16634,653,34,28,4,0,719,646,69,72,6,0,793,16572,891,604,72,7,18146,639,73,78,18,0,808,21262,1484,1187,157,7,24097,Maitland (C)
15150,542,174,962,9,0,1687,5206,1460,5221,32,13,11932,123,41,198,3,0,365,92,77,550,3,4,726,5421,1578,5969,38,17,13023,153,36,230,3,0,422,6116,1788,7161,50,17,15132,Manly (A)
15200,1868,1023,1783,67,4,4745,7368,6493,7918,274,52,22105,220,138,299,12,4,673,285,353,833,26,5,1502,7873,6984,9050,312,61,24280,304,244,389,9,4,950,10045,8251,11222,388,69,29975,Marrickville (A)
15270,1909,108,167,74,0,2258,4962,153,83,44,4,5246,270,5,6,3,0,284,239,22,14,7,0,282,5471,180,103,54,4,5812,236,17,25,15,0,293,7616,305,295,143,4,8363,Mid-Western Regional (A)
15300,1246,66,174,18,0,1504,2341,44,145,33,7,2570,105,4,7,3,0,119,210,10,23,3,0,246,2656,58,175,39,7,2935,172,7,31,12,0,222,4074,131,380,69,7,4661,Moree Plains (A)
15350,241,112,727,0,7,1087,3726,1144,3755,9,37,8671,76,27,174,0,3,280,41,35,354,4,0,434,3843,1206,4283,13,40,9385,91,31,148,0,0,270,4175,1349,5158,13,47,10742,Mosman (A)
15500,647,11,116,25,0,799,1488,6,74,29,10,1607,102,0,6,0,0,108,76,5,16,0,0,97,1666,11,96,29,10,1812,73,3,17,4,0,97,2386,25,229,58,10,2708,Murray (A)
15550,231,0,26,11,0,268,455,0,11,3,0,469,22,0,0,0,0,22,40,0,0,3,0,43,517,0,11,6,0,534,27,0,5,3,0,35,775,0,42,20,0,837,Murrumbidgee (A)
