lga_name_2016,lga_code_2016,iad_hhs_with_ind_p,iad_oth_households,iad_tot_households,inad_hhs_with_ind_p,inad_oth_households,inad_tot_households,ia_ns_indig_per,ia_ns_oth_households,ia_ns_tot_households,tot_hholds_w_indig_per,tot_oth_households,tot_tot_households
Tea Tree Gully (C),47700,414,31105,31520,64,4317,4377,16,640,664,490,36070,36559
The Coorong (DC),47800,86,1470,1555,38,462,502,7,49,54,131,1982,2107
Unley (C),47980,83,12664,12746,13,1709,1724,5,266,265,96,14640,14738
Victor Harbor (C),48050,69,4847,4914,20,1174,1197,9,163,168,98,6192,6283
Wakefield (DC),48130,67,1900,1968,8,556,569,3,49,55,76,2514,2590
Coolgardie (S),51960,88,861,945,46,173,221,3,30,29,140,1058,1199
Coorow (S),52030,13,310,321,4,93,97,0,14,13,19,415,431
Walkerville (M),48260,16,2477,2493,9,363,371,3,72,76,27,2911,2938
Wattle Range (DC),48340,78,3281,3358,30,1021,1053,6,100,106,114,4401,4511
West Torrens (C),48410,230,18363,18594,47,4086,4131,14,543,558,285,22996,23284
Whyalla (C),48540,249,6023,6277,165,2056,2223,22,245,267,442,8332,8774
Wudinna (DC),48640,4,341,349,9,98,105,0,26,26,14,463,477
Yankalilla (DC),48750,22,1650,1674,5,367,375,0,56,56,33,2077,2105
Yorke Peninsula (DC),48830,77,3263,3345,52,1144,1197,12,94,106,138,4502,4647
Unincorporated SA,49399,90,559,654,109,248,357,12,59,68,214,869,1083
No usual address (SA),49499,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0
Albany (C),50080,282,10266,10551,138,2391,2531,14,329,340,439,12986,13425
Armadale (C),50210,615,22899,23508,193,3097,3289,35,625,658,846,26610,27453
Ashburton (S),50250,190,1464,1651,83,120,197,19,43,64,293,1624,1909
Augusta-Margaret River (S),50280,79,4221,4293,11,642,654,6,93,98,89,4957,5049
Bassendean (T),50350,125,4773,4894,50,812,859,12,122,129,183,5705,5883
Bayswater (C),50420,304,20528,20829,92,3447,3533,22,593,617,410,24567,24982
Belmont (C),50490,269,11500,11768,113,2272,2390,24,478,502,411,14252,14660
Beverley (S),50560,15,487,497,12,133,141,4,22,26,27,645,671
Boddington (S),50630,14,491,504,14,95,105,3,19,17,32,601,633
Boyup Brook (S),50770,11,483,490,3,148,149,0,22,22,14,646,655
Bridgetown-Greenbushes (S),50840,24,1466,1485,8,308,312,3,49,53,36,1815,1857
Brookton (S),50910,18,232,252,20,83,100,3,16,20,40,332,375
Broome (S),50980,804,3161,3964,508,411,921,80,145,232,1401,3714,5112
Broomehill-Tambellup (S),51080,16,248,261,23,62,89,5,9,11,38,320,362
Bruce Rock (S),51120,11,270,275,4,77,89,0,11,11,14,360,370
Bunbury (C),51190,288,9373,9662,136,2249,2388,24,325,350,445,11950,12390
Busselton (C),51260,214,10679,10897,34,1711,1749,8,308,323,261,12704,12961
Cambridge (T),51310,29,8355,8388,8,696,702,0,246,243,39,9299,9339
Canning (C),51330,292,26584,26870,88,3109,3198,20,684,706,393,30380,30768
Capel (S),51400,133,4808,4943,30,503,527,6,100,106,171,5409,5578
Carnamah (S),51470,3,170,179,0,36,39,0,6,4,12,216,225
Carnarvon (S),51540,152,1125,1279,165,300,463,27,72,101,340,1501,1846
Chapman Valley (S),51610,20,362,378,8,58,69,0,20,18,30,436,461
Chittering (S),51680,26,1511,1537,7,191,195,0,32,32,31,1736,1768
Claremont (T),51750,11,3435,3446,0,301,308,0,68,68,15,3809,3825
Cockburn (C),51820,531,30878,31412,134,4122,4256,31,789,820,694,35792,36489
Collie (S),51890,86,2319,2406,48,717,771,5,96,98,142,3130,3270
Corrigin (S),52100,7,308,317,12,88,98,0,8,7,15,401,423
Cottesloe (T),52170,16,2563,2575,0,168,172,3,56,59,21,2789,2807
Cranbrook (S),52240,7,277,282,10,83,96,0,11,11,15,372,388
Cuballing (S),52310,8,233,237,0,63,65,0,9,9,10,298,309
Cue (S),52380,3,35,42,9,16,18,0,3,3,9,52,66
Cunderdin (S),52450,6,364,371,6,87,92,0,18,16,15,469,479
Dalwallinu (S),52520,24,378,403,8,79,87,5,10,9,34,467,497
Dandaragan (S),52590,27,938,967,7,216,223,0,39,39,39,1201,1232
Dardanup (S),52660,100,4051,4149,23,566,585,0,87,96,122,4704,4828
Denmark (S),52730,30,1783,1813,13,318,334,0,43,44,41,2150,2192
Derby-West Kimberley (S),52800,529,693,1223,592,117,710,52,55,107,1169,867,2042
Donnybrook-Balingup (S),52870,40,1687,1727,10,344,359,0,48,50,51,2080,2132
Dowerin (S),52940,5,205,216,3,47,48,0,3,3,14,252,268
Dumbleyung (S),53010,7,195,198,3,53,61,0,7,7,9,257,269
Dundas (S),53080,18,154,170,13,82,92,4,37,40,33,265,300
East Fremantle (T),53150,18,2399,2416,3,239,246,4,54,51,24,2688,2712
East Pilbara (S),53220,180,1057,1235,189,109,296,16,36,54,379,1202,1579
Esperance (S),53290,134,3669,3804,58,784,845,14,149,169,211,4608,4816
Exmouth (S),53360,23,746,765,7,108,113,0,64,64,27,921,949
Fremantle (C),53430,155,9443,9599,57,1556,1610,7,292,306,227,11295,11519
Gingin (S),53570,40,1449,1482,7,316,326,3,67,67,47,1833,1880
Gnowangerup (S),53640,18,326,343,15,53,75,4,8,10,33,388,428
Kalgoorlie/Boulder (C),54280,420,7781,8202,252,1232,1487,35,229,257,706,9243,9951
Karratha (C),54310,503,4814,5312,318,400,718,35,113,147,852,5321,6178
Goomalling (S),53710,6,284,282,11,81,96,0,10,15,20,376,389
Gosnells (C),53780,720,32643,33367,216,4489,4709,43,879,926,986,38013,38996
Greater Geraldton (C),53800,767,10101,10868,445,2014,2459,73,315,382,1279,12429,13710
Halls Creek (S),53920,154,174,330,274,32,307,46,12,64,478,221,694
Harvey (S),53990,195,7413,7611,52,1106,1164,9,194,204,252,8720,8975
Irwin (S),54060,32,1061,1098,20,254,270,0,35,39,50,1350,1404
Jerramungup (S),54130,12,301,312,6,65,69,0,11,12,17,379,390
Joondalup (C),54170,438,48655,49093,44,3778,3826,18,868,889,501,53304,53807
Kalamunda (S),54200,340,17272,17617,69,2006,2070,19,377,392,426,19653,20084
Katanning (S),54340,58,943,1010,52,294,347,10,36,42,121,1273,1399
Kellerberrin (S),54410,11,308,315,15,95,111,0,23,23,28,420,449
Kent (S),54480,3,159,163,0,25,25,0,3,3,3,185,189
Kojonup (S),54550,14,530,540,20,156,175,3,19,28,34,709,740
Kondinin (S),54620,5,229,233,11,61,68,0,8,6,19,294,315
Koorda (S),54690,4,126,131,0,40,38,0,4,4,3,167,174
Kulin (S),54760,5,207,221,3,71,73,0,6,6,13,289,300
Kwinana (C),54830,323,10647,10967,114,1502,1616,15,291,304,449,12442,12892
Lake Grace (S),54900,7,367,372,4,86,89,0,13,13,13,462,469
Laverton (S),54970,14,77,92,53,16,70,0,9,9,68,108,175
Leonora (S),55040,18,200,219,36,44,78,0,12,19,52,261,314
Mandurah (C),55110,584,24596,25183,155,4354,4513,27,748,780,766,29705,30475
Manjimup (S),55180,80,2519,2597,33,746,785,3,88,99,124,3353,3479
Meekatharra (S),55250,23,99,121,60,18,83,9,4,15,97,127,219
Melville (C),55320,237,31357,31597,56,3506,3564,16,669,687,310,35535,35846
Mukinbudin (S),55950,6,158,164,3,33,41,0,4,7,10,198,203
Menzies (S),55390,12,24,40,26,6,33,4,6,6,44,37,80
Merredin (S),55460,50,864,916,33,222,252,5,38,47,85,1128,1213
Mingenew (S),55530,5,135,140,6,26,35,0,3,3,12,169,180
Mundaring (S),56090,243,11007,11252,36,1307,1349,11,241,249,291,12556,12849
Morawa (S),55670,16,178,193,21,42,59,3,9,12,37,227,265
Moora (S),55600,38,600,642,45,154,197,4,27,33,89,780,874
Nungarin (S),56860,3,69,71,3,19,20,0,0,0,3,89,97
Peppermint Grove (S),56930,0,465,462,0,32,32,0,16,16,0,511,513
