lga_name_2016,lga_code_2016,h_w_in_ps_oo_ds_sh,h_w_in_ps_oo_ds_sdrtht,h_w_in_ps_oo_ds_fa,h_w_in_ps_oo_ds_od_c,h_w_in_ps_oo_ds_od_ch,h_w_in_ps_oo_ds_od_ih_t_so,h_w_in_ps_oo_od_hf_a_so,h_w_in_ps_oo_ds_od_tot,h_w_in_ps_oo_ds_ns,h_w_in_ps_oo_tot,h_w_in_ps_m_ds_sh,h_w_in_ps_m_ds_sdrtht,h_w_in_ps_m_ds_fa,h_w_in_ps_m_ds_od_c,h_w_in_ps_m_ds_od_ch,h_w_in_ps_m_ds_od_ih_t_so,h_w_in_ps_m_od_hf_a_so,h_w_in_ps_m_ds_od_tot,h_w_in_ps_m_ds_ns,h_w_in_ps_m_tot,h_w_in_ps_rrea_ds_sh,h_w_in_ps_rrea_ds_sdrtht,h_w_in_ps_rrea_ds_fa,h_w_in_ps_rrea_ds_od_c,h_w_in_ps_rrea_ds_od_ch,h_w_in_ps_rrea_ds_od_ih_t_so,h_w_in_ps_rrea_od_hf_a_so,h_w_in_ps_rrea_ds_od_tot,h_w_in_ps_rrea_ds_ns,h_w_in_ps_rrea_tot,h_w_in_ps_rha_ds_sh,h_w_in_ps_rha_ds_sdrtht,h_w_in_ps_rha_ds_fa,h_w_in_ps_rha_ds_od_c,h_w_in_ps_rha_ds_od_ch,h_w_in_ps_rha_ds_od_ih_t_so,h_w_in_ps_rha_od_hf_a_so,h_w_in_ps_rha_ds_od_tot,h_w_in_ps_rha_ds_ns,h_w_in_ps_rha_tot,h_w_in_ps_r_psh_ds_sh,h_w_in_ps_r_psh_ds_sdrtht,h_w_in_ps_r_psh_ds_fa,h_w_in_ps_r_psh_ds_od_c,h_w_in_ps_r_psh_ds_od_ch,h_w_in_ps_r_psh_ds_od_ih_t_so,h_w_in_ps_r_psh_od_hf_a_so,h_w_in_ps_r_psh_ds_od_tot,h_w_in_ps_r_psh_ds_ns,h_w_in_ps_r_psh_tot,h_w_in_ps_r_hcc_ds_sh,h_w_in_ps_r_hcc_ds_sdrtht,h_w_in_ps_r_hcc_ds_fa,h_w_in_ps_r_hcc_ds_od_c,h_w_in_ps_r_hcc_ds_od_ch,h_w_in_ps_r_hcc_ds_od_ih_t_so,h_w_in_ps_r_hcc_od_hf_a_so,h_w_in_ps_r_hcc_ds_od_tot,h_w_in_ps_r_hcc_ds_ns,h_w_in_ps_r_hcc_tot,h_w_in_ps_r_olt_ds_sh,h_w_in_ps_r_olt_ds_sdrtht,h_w_in_ps_r_olt_ds_fa,h_w_in_ps_r_olt_ds_od_c,h_w_in_ps_r_olt_ds_od_ch,h_w_in_ps_r_olt_ds_od_ih_t_so,h_w_in_ps_r_olt_od_hf_a_so,h_w_in_ps_r_olt_ds_od_tot,h_w_in_ps_r_olt_ds_ns,h_w_in_ps_r_olt_tot,h_w_in_ps_r_lns_ds_sh,h_w_in_ps_r_lns_ds_sdrtht,h_w_in_ps_r_lns_ds_fa,h_w_in_ps_r_lns_ds_od_c,h_w_in_ps_r_lns_ds_od_ch,h_w_in_ps_r_lns_ds_od_ih_t_so,h_w_in_ps_r_lns_od_hf_a_so,h_w_in_ps_r_lns_ds_od_tot,h_w_in_ps_r_lns_ds_ns,h_w_in_ps_r_lns_tot,h_w_in_ps_r_tot_ds_sh,h_w_in_ps_r_tot_ds_sdrtht,h_w_in_ps_r_tot_ds_fa,h_w_in_ps_r_tot_ds_od_c,h_w_in_ps_r_tot_ds_od_ch,h_w_in_ps_r_tot_ds_od_ih_t_so,h_w_in_ps_r_tot_od_hf_a_so,h_w_in_ps_r_tot_ds_od_tot,h_w_in_ps_r_tot_ds_ns,h_w_in_ps_r_tot_tot,h_w_in_ps_ott_ds_sh,h_w_in_ps_ott_ds_sdrtht,h_w_in_ps_ott_ds_fa,h_w_in_ps_ott_ds_od_c,h_w_in_ps_ott_ds_od_ch,h_w_in_ps_ott_ds_od_ih_t_so,h_w_in_ps_ott_od_hf_a_so,h_w_in_ps_ott_ds_od_tot,h_w_in_ps_ott_ds_ns,h_w_in_ps_ott_tot,h_w_in_ps_t_ns_ds_sh,h_w_in_ps_t_ns_ds_sdrtht,h_w_in_ps_t_ns_ds_fa,h_w_in_ps_t_ns_ds_od_c,h_w_in_ps_t_ns_ds_od_ch,h_w_in_ps_t_ns_ds_od_ih_t_so,h_w_in_ps_t_ns_od_hf_a_so,h_w_in_ps_t_ns_ds_od_tot,h_w_in_ps_t_ns_ds_ns,h_w_in_ps_t_ns_tot,h_w_in_ps_tot_ds_sh,h_w_in_ps_tot_ds_sdrtht,h_w_in_ps_tot_ds_fa,h_w_in_ps_tot_ds_od_c,h_w_in_ps_tot_ds_od_ch,h_w_in_ps_tot_ds_od_ih_t_so,h_w_in_ps_tot_od_hf_a_so,h_w_in_ps_tot_ds_od_tot,h_w_in_ps_tot_ds_ns,h_w_in_ps_tot_tot,oh_oo_ds_sh,oh_oo_ds_sdrtht,oh_oo_ds_fa,oh_oo_ds_od_c,oh_oo_ds_od_ch,oh_oo_ds_od_ih_t_so,oh_oo_od_hf_a_so,oh_oo_ds_od_tot,oh_oo_ds_ns,oh_oo_ds_tot,oh_m_ds_sh,oh_m_ds_sdrtht,oh_m_ds_fa,oh_m_ds_od_c,oh_m_ds_od_ch,oh_m_ds_od_ih_t_so,oh_m_od_hf_a_so,oh_m_ds_od_tot,oh_m_ds_ns,oh_m_ds_tot,oh_rrea_ds_sh,oh_rrea_ds_sdrtht,oh_rrea_ds_fa,oh_rrea_ds_od_c,oh_rrea_ds_od_ch,oh_rrea_ds_od_ih_t_so,oh_rrea_od_hf_a_so,oh_rrea_ds_od_tot,oh_rrea_ds_ns,oh_rrea_ds_tot,oh_rha_ds_sh,oh_rha_ds_sdrtht,oh_rha_ds_fa,oh_rha_ds_od_c,oh_rha_ds_od_ch,oh_rha_ds_od_ih_t_so,oh_rha_od_hf_a_so,oh_rha_ds_od_tot,oh_rha_ds_ns,oh_rha_ds_tot,oh_r_psh_ds_sh,oh_r_psh_ds_sdrtht,oh_r_psh_ds_fa,oh_r_psh_ds_od_c,oh_r_psh_ds_od_ch,oh_r_psh_ds_od_ih_t_so,oh_r_psh_od_hf_a_so,oh_r_psh_ds_od_tot,oh_r_psh_ds_ns,oh_r_psh_ds_tot,oh_r_hcc_ds_sh,oh_r_hcc_ds_sdrtht,oh_r_hcc_ds_fa,oh_r_hcc_ds_od_c,oh_r_hcc_ds_od_ch,oh_r_hcc_ds_od_ih_t_so,oh_r_hcc_od_hf_a_so,oh_r_hcc_ds_od_tot,oh_r_hcc_ds_ns,oh_r_hcc_ds_tot,oh_r_olt_ds_sh,oh_r_olt_ds_sdrtht,oh_r_olt_ds_fa,oh_r_olt_ds_od_c,oh_r_olt_ds_od_ch,oh_r_olt_ds_od_ih_t_so,oh_r_olt_od_hf_a_so,oh_r_olt_ds_od_tot,oh_r_olt_ds_ns,oh_r_olt_ds_tot,oh_r_lns_ds_sh,oh_r_lns_ds_sdrtht,oh_r_lns_ds_fa,oh_r_lns_ds_od_c,oh_r_lns_ds_od_ch,oh_r_lns_ds_od_ih_t_so,oh_r_lns_od_hf_a_so,oh_r_lns_ds_od_tot,oh_r_lns_ds_ns,oh_r_lns_ds_tot
Albury (C),10050,47,3,3,0,0,0,0,0,0,56,140,0,0,0,0,0,0,0,0,142,145,50,14,0,0,0,3,3,0,215,111,25,3,0,0,0,0,0,4,140,32,8,0,0,0,0,0,0,0,38,14,9,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,310,90,17,0,0,0,3,3,4,424,3,0,0,0,0,0,0,0,0,3,20,5,4,0,0,0,0,0,0,32,532,99,21,0,0,0,3,3,9,662,5317,455,20,13,25,0,3,41,10,5840,5788,321,20,0,0,0,5,7,12,6149,2229,1835,248,0,0,0,8,11,9,4331,393,149,13,0,0,0,0,0,4,558,679,243,23,0,0,0,6,10,10,957,41,62,0,0,0,0,0,0,3,109,79,19,4,8,6,0,0,15,0,126,44,15,3,0,0,0,0,4,0,63
Armidale Regional (A),10130,83,0,0,0,0,0,0,0,0,83,134,0,0,0,0,0,0,0,0,134,160,35,16,0,0,0,0,0,3,216,158,41,32,0,0,0,0,0,0,228,54,4,4,0,0,0,0,0,0,62,31,3,3,0,0,0,0,0,0,42,11,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,7,427,82,54,3,0,0,0,4,3,571,3,0,0,0,0,0,0,0,0,3,35,3,0,0,0,0,0,0,0,35,674,88,61,3,0,0,0,4,3,831,3297,96,20,7,7,0,4,20,23,3453,2454,53,9,0,0,0,0,3,12,2538,1179,514,250,0,0,3,5,6,19,1963,131,51,85,0,0,0,0,0,0,266,501,53,44,0,4,0,0,7,10,610,23,9,31,0,0,0,0,0,0,70,112,3,9,0,6,0,0,6,3,134,75,10,0,0,0,0,0,0,0,87
Ballina (A),10250,59,11,0,0,7,0,0,7,0,77,118,20,9,0,0,0,0,0,0,145,97,42,26,0,0,0,0,0,0,172,59,24,6,0,0,0,0,0,0,95,43,13,4,0,0,0,0,0,0,61,33,10,0,0,0,0,0,0,0,42,7,3,3,3,0,0,0,3,0,10,3,0,0,0,0,0,0,0,0,3,239,91,42,3,0,0,0,3,0,380,8,0,0,0,0,0,0,0,0,5,15,7,0,0,3,0,0,3,0,32,438,131,48,3,7,0,0,12,9,639,5057,1047,137,104,188,0,9,298,25,6565,3436,574,101,5,3,0,4,11,24,4151,1084,958,354,0,0,0,12,9,13,2416,133,283,45,0,0,0,0,0,0,460,560,263,87,3,17,0,4,30,14,947,18,59,5,0,0,0,0,0,0,88,56,21,0,35,52,0,0,89,0,174,48,29,0,0,3,0,0,6,0,82
Balranald (A),10300,14,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,12,7,0,3,0,0,0,0,0,0,10,6,0,3,0,0,0,0,0,0,13,9,0,0,0,0,0,0,0,0,11,8,0,3,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,0,6,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,6,0,0,0,0,0,0,74,313,3,0,3,0,0,0,3,0,316,177,0,0,0,0,0,0,0,0,178,26,4,9,0,0,0,0,0,0,35,11,3,3,0,0,0,0,0,0,14,73,7,0,0,0,0,0,0,0,82,3,0,0,0,0,0,0,0,0,3,33,0,10,6,0,0,0,6,0,47,10,0,0,0,0,0,0,0,0,7
Bathurst Regional (A),10470,84,11,0,0,0,0,0,0,0,93,230,6,0,0,0,0,0,0,0,242,218,50,25,0,0,0,0,0,0,300,102,26,4,0,0,0,0,0,0,135,63,9,3,0,0,0,0,0,0,81,8,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,9,405,92,34,0,0,0,0,4,3,536,3,3,0,0,0,0,0,0,0,6,26,6,3,0,0,0,0,0,0,38,752,118,44,0,0,0,0,4,3,909,4242,275,56,8,0,3,4,14,14,4595,4397,160,40,5,0,0,0,4,7,4612,1506,617,319,0,0,0,8,8,6,2458,253,96,57,0,0,0,0,0,0,398,594,114,40,0,0,0,3,3,7,759,31,14,3,0,0,0,0,0,54,102,60,15,9,0,0,0,0,0,4,85,52,13,10,0,0,0,0,3,0,77
Bega Valley (A),10550,81,3,0,0,0,0,0,0,0,87,98,3,0,0,0,0,0,0,3,104,61,24,15,0,0,3,0,3,0,97,62,10,4,0,0,0,0,0,0,78,28,0,4,0,0,0,0,3,0,35,12,6,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,13,183,42,19,3,0,3,0,5,0,252,4,0,0,0,0,0,0,0,0,8,25,0,0,0,0,0,0,0,0,22,389,53,23,3,0,3,3,9,3,475,5125,486,127,41,67,24,11,142,52,5929,3267,136,55,7,3,5,8,28,32,3523,872,335,175,0,16,0,5,24,4,1416,137,61,29,0,0,0,0,0,3,226,631,111,51,4,0,3,4,14,12,815,13,24,34,0,0,0,0,0,0,65,77,12,5,6,19,0,4,29,3,129,66,7,6,0,0,0,0,3,3,91
Bellingen (A),10600,42,0,0,3,0,0,0,3,0,50,57,0,0,0,0,0,0,0,0,57,43,3,3,0,0,0,0,0,0,44,12,0,3,0,0,0,0,0,0,12,21,3,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,75,3,5,0,0,0,0,4,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,181,4,6,4,0,0,0,3,0,201,2050,70,22,30,16,0,0,49,18,2206,1199,29,5,0,0,0,0,0,9,1250,379,54,58,0,0,0,3,3,4,492,47,23,13,0,0,0,0,0,0,75,370,37,24,3,6,0,0,10,8,435,27,3,0,0,0,0,0,0,0,25,44,4,4,13,4,0,0,17,0,62,29,0,3,0,0,0,0,3,0,36
Berrigan (A),10650,20,0,0,0,0,0,0,0,0,19,28,0,0,0,0,0,0,0,0,28,22,3,4,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,39,0,3,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,94,0,3,0,0,0,0,0,0,106,1312,23,25,15,27,0,12,61,0,1423,805,9,3,0,5,0,7,8,4,822,224,27,50,0,0,0,9,5,0,309,13,3,3,0,0,0,0,0,0,21,219,20,15,0,0,0,4,6,0,265,3,11,7,0,0,0,0,0,0,25,69,9,3,5,10,0,0,17,0,95,32,0,0,0,0,0,0,0,0,31
Blacktown (C),10750,412,19,3,0,3,0,0,3,4,445,770,67,7,0,0,0,0,3,0,850,785,84,42,0,0,3,3,6,0,929,959,255,72,0,0,0,0,0,0,1284,152,21,3,0,0,0,0,0,0,174,38,3,11,0,0,0,0,0,0,53,15,4,0,0,3,0,0,3,0,17,16,0,0,0,0,0,0,0,0,24,1969,367,128,0,3,8,4,14,4,2486,35,3,0,0,0,0,0,0,0,43,123,13,14,0,0,0,0,0,0,153,3317,480,154,0,8,9,4,24,7,3978,19828,2034,243,19,91,0,19,129,22,22257,33728,6804,893,0,3,5,57,59,83,41561,11859,3768,2469,0,4,34,47,83,96,18266,3747,1733,869,0,0,0,3,5,7,6365,3084,658,248,0,4,19,24,39,48,4079,173,172,67,0,0,0,0,0,4,408,402,106,34,7,33,0,0,48,9,597,261,52,37,0,3,0,0,3,3,358
Bland (A),10800,17,0,0,0,0,0,0,0,0,17,34,0,0,0,0,0,0,0,0,36,9,0,5,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,51,0,5,0,0,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,112,0,3,0,0,0,0,0,3,117,973,3,4,0,0,0,4,4,12,999,521,0,0,0,0,0,3,3,10,529,79,0,21,0,0,0,0,0,3,107,18,0,3,0,0,0,0,0,0,17,156,0,3,0,0,0,0,0,0,167,0,0,8,0,0,0,0,0,0,9,78,0,6,0,0,0,3,3,3,87,35,0,3,0,0,0,0,0,0,39
