LGA_MAIN11,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total,LGA_NAME11
10050,9062,6461,5625,5900,6109,5263,3353,2292,986,45051,15,28,16,8,9,8,3,0,7,94,149,358,225,159,159,159,79,62,55,1405,39,231,122,100,130,107,58,41,15,843,4,12,18,14,14,14,9,3,0,88,3,3,3,3,7,6,0,3,0,28,3,3,7,6,7,6,3,0,0,35,4,0,0,4,5,11,6,4,0,34,4,9,5,0,0,0,0,0,0,18,3,15,4,6,9,5,3,0,0,45,0,0,0,0,0,0,0,0,0,0,209,631,384,292,331,308,158,113,70,2496,224,659,400,300,340,316,161,113,77,2590,9286,7120,6025,6200,6449,5579,3514,2405,1063,47641,Albury (C)
10110,4461,4411,2427,2557,3039,2465,1664,1038,449,22511,8,33,5,3,5,5,4,0,0,63,129,809,160,131,161,113,74,42,13,1632,3,11,4,6,8,10,12,6,0,60,3,54,10,12,10,36,9,0,0,134,0,4,0,0,6,7,15,0,0,32,4,3,4,0,0,4,0,0,0,15,0,8,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,3,7,0,3,5,0,4,0,3,25,0,0,0,0,0,0,0,0,0,0,145,896,178,152,190,170,114,48,16,1909,153,929,183,155,195,175,118,48,16,1972,4614,5340,2610,2712,3234,2640,1782,1086,465,24483,Armidale Dumaresq (A)
10300,445,226,202,285,344,302,180,112,35,2131,8,0,7,4,0,3,0,0,0,22,3,12,8,4,17,20,21,0,0,85,3,13,12,15,15,25,16,6,0,105,3,0,3,0,0,3,3,0,0,12,0,0,0,3,3,3,12,4,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,9,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,25,23,22,39,57,55,10,0,243,20,25,30,26,39,60,55,10,0,265,465,251,232,311,383,362,235,122,35,2396,Balranald (A)
10350,39051,24846,23893,23827,23728,18620,11748,8695,3768,178176,49,37,41,39,30,20,19,16,11,262,426,542,665,467,380,313,214,160,100,3267,11,11,7,19,39,16,6,3,4,116,8,23,14,21,15,38,19,3,0,141,0,0,0,4,7,7,0,0,0,18,3,4,7,3,7,3,3,0,0,30,0,3,0,3,3,3,3,3,0,18,0,0,0,0,3,0,0,3,0,6,3,5,10,3,5,3,0,3,0,32,0,0,0,0,0,0,0,0,0,0,451,588,703,520,459,383,245,175,104,3628,500,625,744,559,489,403,264,191,115,3890,39551,25471,24637,24386,24217,19023,12012,8886,3883,182066,Bankstown (C)
10470,7821,5793,4242,4721,4810,4154,2735,1670,628,36574,9,18,12,0,6,8,8,0,0,61,176,827,216,142,181,173,86,68,23,1892,3,5,7,3,4,8,4,0,0,34,7,8,11,8,16,9,3,0,0,62,0,3,4,0,0,3,5,0,0,15,0,3,3,3,4,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,192,853,248,159,205,196,101,68,23,2045,201,871,260,159,211,204,109,68,23,2106,8022,6664,4502,4880,5021,4358,2844,1738,651,38680,Bathurst Regional (A)
10550,5353,2871,2116,3301,4661,4977,3496,1978,763,29516,12,13,17,8,19,15,12,7,8,111,123,159,132,130,195,198,128,61,21,1147,39,20,41,44,83,185,270,243,33,958,0,3,11,6,12,21,14,0,0,67,3,0,0,5,3,7,4,0,0,22,5,0,3,5,4,5,4,0,0,26,0,0,0,4,5,10,8,3,0,30,0,0,0,0,0,0,0,0,0,0,8,22,13,10,24,41,23,5,0,146,0,0,0,0,0,0,0,0,0,0,178,204,200,204,326,467,451,312,54,2396,190,217,217,212,345,482,463,319,62,2507,5543,3088,2333,3513,5006,5459,3959,2297,825,32023,Bega Valley (A)
10600,2308,1116,779,1391,1910,1847,1270,759,300,11680,5,3,4,0,4,3,3,3,3,28,49,75,37,39,80,121,90,38,18,547,3,0,3,3,4,22,20,3,0,58,5,3,8,3,13,12,12,3,0,59,3,3,0,3,3,3,6,3,0,24,3,0,3,0,0,3,0,0,0,9,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,66,81,51,51,100,167,134,50,18,718,71,84,55,51,104,170,137,53,21,746,2379,1200,834,1442,2014,2017,1407,812,321,12426,Bellingen (A)
10650,1341,700,607,798,973,1164,981,592,247,7403,6,3,7,3,0,0,0,4,3,26,16,37,19,19,21,28,6,7,5,158,5,15,13,15,26,43,33,20,3,173,3,3,3,0,8,3,6,0,3,29,0,0,0,0,0,3,4,0,0,7,5,0,0,4,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,58,35,38,55,80,49,27,11,382,35,61,42,41,55,80,49,31,14,408,1376,761,649,839,1028,1244,1030,623,261,7811,Berrigan (A)
10750,70379,41005,45152,44090,37936,28901,15545,7978,2645,293631,99,57,83,58,52,47,26,14,5,441,809,1072,1037,656,530,438,351,237,123,5253,3,8,26,19,20,31,10,6,0,123,20,31,36,27,42,46,19,13,0,234,4,0,9,9,9,6,5,3,0,45,6,6,18,3,3,11,10,4,0,61,7,3,0,7,4,10,4,3,5,43,3,3,3,0,5,0,0,3,0,17,6,7,10,8,9,5,0,3,0,48,0,0,0,0,0,0,0,0,0,0,858,1130,1139,729,622,547,399,272,128,5824,957,1187,1222,787,674,594,425,286,133,6265,71336,42192,46374,44877,38610,29495,15970,8264,2778,299896,Blacktown (C)
10800,1241,519,536,664,782,700,503,380,135,5460,6,3,0,3,3,0,0,0,3,18,30,46,34,44,22,42,20,16,9,263,0,3,5,3,11,16,19,0,3,60,0,4,10,7,7,3,9,0,0,40,0,0,5,0,3,6,4,3,0,21,0,0,0,3,0,3,0,3,0,9,0,0,0,0,0,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,30,60,54,57,46,76,56,22,12,413,36,63,54,60,49,76,56,22,15,431,1277,582,590,724,831,776,559,402,150,5891,Bland (A)
